<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
GODREJPROP_F1,04/01/2022,09:15:00,1684.65,1684.95,1674.90,1684.95,5202,4120675
GODREJPROP_F1,04/01/2022,09:16:00,1687.00,1687.00,1683.05,1683.05,4875,4120675
GODREJPROP_F1,04/01/2022,09:17:00,1682.50,1682.50,1676.10,1677.00,9425,4124575
GODREJPROP_F1,04/01/2022,09:18:00,1677.00,1679.30,1675.30,1679.30,3900,4124575
GODREJPROP_F1,04/01/2022,09:19:00,1680.40,1682.95,1680.40,1682.95,4225,4124575
GODREJPROP_F1,04/01/2022,09:20:00,1682.60,1699.85,1680.60,1699.85,63700,4127175
GODREJPROP_F1,04/01/2022,09:21:00,1700.00,1704.95,1693.95,1696.00,33150,4127175
GODREJPROP_F1,04/01/2022,09:22:00,1695.55,1695.95,1689.65,1689.65,15600,4127175
GODREJPROP_F1,04/01/2022,09:23:00,1689.65,1695.85,1688.90,1695.55,23075,4146025
GODREJPROP_F1,04/01/2022,09:24:00,1694.00,1696.00,1691.15,1695.00,11700,4146025
GODREJPROP_F1,04/01/2022,09:25:00,1694.85,1698.55,1694.80,1697.55,7800,4146025
GODREJPROP_F1,04/01/2022,09:26:00,1696.40,1697.85,1694.75,1694.75,13975,4155450
GODREJPROP_F1,04/01/2022,09:27:00,1694.75,1694.85,1690.60,1690.60,9750,4155450
GODREJPROP_F1,04/01/2022,09:28:00,1690.05,1690.05,1687.90,1687.90,3900,4155450
GODREJPROP_F1,04/01/2022,09:29:00,1689.00,1689.00,1689.00,1689.00,2275,4157075
GODREJPROP_F1,04/01/2022,09:30:00,1688.95,1688.95,1683.75,1683.75,9100,4157075
GODREJPROP_F1,04/01/2022,09:31:00,1683.70,1683.70,1680.95,1682.00,5200,4157075
GODREJPROP_F1,04/01/2022,09:32:00,1680.90,1683.15,1679.10,1679.10,8775,4168450
GODREJPROP_F1,04/01/2022,09:33:00,1679.70,1681.45,1676.35,1679.00,10075,4168450
GODREJPROP_F1,04/01/2022,09:34:00,1679.25,1680.65,1678.00,1679.00,12350,4168450
GODREJPROP_F1,04/01/2022,09:35:00,1679.00,1679.00,1675.25,1675.25,5850,4179825
GODREJPROP_F1,04/01/2022,09:36:00,1675.25,1675.25,1674.15,1674.70,8775,4179825
GODREJPROP_F1,04/01/2022,09:37:00,1675.55,1677.80,1674.95,1676.25,5850,4179825
GODREJPROP_F1,04/01/2022,09:38:00,1677.20,1681.10,1677.20,1681.10,3250,4180800
GODREJPROP_F1,04/01/2022,09:39:00,1682.75,1682.75,1679.80,1679.80,1625,4180800
GODREJPROP_F1,04/01/2022,09:40:00,1680.00,1680.15,1679.60,1679.60,2275,4180800
GODREJPROP_F1,04/01/2022,09:41:00,1682.35,1685.15,1682.35,1684.45,11050,4184700
GODREJPROP_F1,04/01/2022,09:42:00,1683.75,1683.75,1682.40,1682.95,1625,4184700
GODREJPROP_F1,04/01/2022,09:43:00,1685.00,1687.15,1685.00,1687.00,975,4184700
GODREJPROP_F1,04/01/2022,09:44:00,1685.80,1685.80,1685.80,1685.80,325,4185025
GODREJPROP_F1,04/01/2022,09:45:00,1687.40,1689.95,1687.40,1687.50,8125,4185025
GODREJPROP_F1,04/01/2022,09:46:00,1687.50,1690.95,1687.50,1690.30,3250,4185025
GODREJPROP_F1,04/01/2022,09:47:00,1690.00,1690.00,1688.15,1690.00,1950,4190225
GODREJPROP_F1,04/01/2022,09:48:00,1688.50,1688.50,1686.35,1686.35,4550,4190225
GODREJPROP_F1,04/01/2022,09:49:00,1686.15,1687.75,1686.15,1687.75,650,4190225
GODREJPROP_F1,04/01/2022,09:50:00,1686.40,1687.95,1686.40,1687.75,975,4188925
GODREJPROP_F1,04/01/2022,09:51:00,1687.95,1688.45,1687.95,1688.45,2925,4188925
GODREJPROP_F1,04/01/2022,09:52:00,1689.45,1690.00,1689.30,1689.30,2275,4188925
GODREJPROP_F1,04/01/2022,09:53:00,1691.00,1692.75,1690.20,1692.75,8775,4189575
GODREJPROP_F1,04/01/2022,09:54:00,1693.00,1693.30,1693.00,1693.00,3900,4189575
GODREJPROP_F1,04/01/2022,09:55:00,1692.95,1693.00,1692.10,1692.10,1625,4189575
GODREJPROP_F1,04/01/2022,09:56:00,1691.80,1692.30,1691.80,1691.90,2275,4192500
GODREJPROP_F1,04/01/2022,09:57:00,1691.70,1692.60,1689.30,1689.30,2600,4192500
GODREJPROP_F1,04/01/2022,09:58:00,1689.65,1691.15,1688.85,1688.85,6175,4192500
GODREJPROP_F1,04/01/2022,10:00:00,1689.95,1690.00,1689.10,1689.10,2600,4192500
GODREJPROP_F1,04/01/2022,10:02:00,1689.10,1689.10,1689.10,1689.10,325,4192500
GODREJPROP_F1,04/01/2022,10:03:00,1690.00,1697.10,1690.00,1697.10,16250,4191850
GODREJPROP_F1,04/01/2022,10:04:00,1696.55,1699.00,1696.10,1698.25,6825,4191850
GODREJPROP_F1,04/01/2022,10:05:00,1698.50,1700.00,1695.55,1695.55,6175,4156425
GODREJPROP_F1,04/01/2022,10:06:00,1696.20,1696.20,1696.00,1696.00,975,4156425
GODREJPROP_F1,04/01/2022,10:07:00,1696.35,1697.75,1696.05,1696.05,1300,4156425
GODREJPROP_F1,04/01/2022,10:08:00,1694.85,1695.00,1694.45,1695.00,10725,4158375
GODREJPROP_F1,04/01/2022,10:09:00,1695.00,1695.00,1695.00,1695.00,975,4158375
GODREJPROP_F1,04/01/2022,10:10:00,1695.00,1695.60,1695.00,1695.60,650,4158375
GODREJPROP_F1,04/01/2022,10:11:00,1694.40,1696.00,1693.70,1696.00,2275,4158700
GODREJPROP_F1,04/01/2022,10:12:00,1697.60,1698.00,1696.00,1698.00,3900,4158700
GODREJPROP_F1,04/01/2022,10:13:00,1697.00,1697.00,1696.05,1696.05,1950,4158700
GODREJPROP_F1,04/01/2022,10:14:00,1697.00,1697.00,1697.00,1697.00,325,4158700
GODREJPROP_F1,04/01/2022,10:15:00,1696.50,1696.50,1696.10,1696.10,2275,4158700
GODREJPROP_F1,04/01/2022,10:16:00,1696.05,1698.50,1696.05,1698.50,2275,4158700
GODREJPROP_F1,04/01/2022,10:17:00,1697.90,1697.90,1697.15,1697.15,975,4158050
GODREJPROP_F1,04/01/2022,10:18:00,1697.00,1697.00,1696.55,1696.55,975,4158050
GODREJPROP_F1,04/01/2022,10:19:00,1697.75,1697.75,1696.50,1696.50,1300,4158050
GODREJPROP_F1,04/01/2022,10:20:00,1697.05,1697.05,1696.05,1696.05,1300,4157075
GODREJPROP_F1,04/01/2022,10:21:00,1696.05,1696.05,1696.00,1696.00,650,4157075
GODREJPROP_F1,04/01/2022,10:22:00,1696.00,1696.00,1696.00,1696.00,325,4157075
GODREJPROP_F1,04/01/2022,10:23:00,1697.10,1697.10,1695.80,1695.80,650,4157400
GODREJPROP_F1,04/01/2022,10:24:00,1695.50,1696.80,1695.50,1696.80,975,4157400
GODREJPROP_F1,04/01/2022,10:25:00,1696.30,1699.35,1696.30,1699.35,3250,4157400
GODREJPROP_F1,04/01/2022,10:26:00,1697.85,1697.85,1697.65,1697.65,975,4158050
GODREJPROP_F1,04/01/2022,10:27:00,1697.35,1697.35,1697.35,1697.35,325,4158050
GODREJPROP_F1,04/01/2022,10:28:00,1697.35,1697.35,1697.10,1697.10,1300,4158050
GODREJPROP_F1,04/01/2022,10:29:00,1697.00,1697.00,1696.85,1696.85,2600,4157400
GODREJPROP_F1,04/01/2022,10:30:00,1696.85,1696.85,1696.30,1696.30,975,4157400
GODREJPROP_F1,04/01/2022,10:31:00,1697.00,1697.00,1697.00,1697.00,650,4157400
GODREJPROP_F1,04/01/2022,10:32:00,1696.00,1696.00,1695.85,1695.85,2275,4157075
GODREJPROP_F1,04/01/2022,10:33:00,1695.00,1696.60,1695.00,1696.60,1950,4157075
GODREJPROP_F1,04/01/2022,10:34:00,1698.00,1698.00,1698.00,1698.00,650,4157075
GODREJPROP_F1,04/01/2022,10:35:00,1698.90,1700.00,1698.90,1700.00,7150,4156425
GODREJPROP_F1,04/01/2022,10:36:00,1701.00,1701.00,1701.00,1701.00,3575,4156425
GODREJPROP_F1,04/01/2022,10:37:00,1700.00,1700.95,1700.00,1700.95,2275,4156425
GODREJPROP_F1,04/01/2022,10:38:00,1701.00,1702.00,1701.00,1701.00,4875,4150575
GODREJPROP_F1,04/01/2022,10:39:00,1701.55,1701.95,1701.50,1701.60,3250,4150575
GODREJPROP_F1,04/01/2022,10:40:00,1701.10,1702.45,1701.10,1702.45,2600,4150575
GODREJPROP_F1,04/01/2022,10:41:00,1701.05,1701.80,1701.05,1701.80,5525,4149925
GODREJPROP_F1,04/01/2022,10:42:00,1701.80,1702.65,1701.70,1701.70,975,4149925
GODREJPROP_F1,04/01/2022,10:43:00,1703.40,1703.90,1701.60,1701.60,9425,4149925
GODREJPROP_F1,04/01/2022,10:44:00,1701.15,1702.00,1700.60,1702.00,3575,4150900
GODREJPROP_F1,04/01/2022,10:45:00,1703.00,1703.00,1702.45,1703.00,975,4150900
GODREJPROP_F1,04/01/2022,10:46:00,1703.05,1703.65,1703.05,1703.65,650,4150900
GODREJPROP_F1,04/01/2022,10:47:00,1702.30,1702.30,1701.10,1701.10,2925,4150900
GODREJPROP_F1,04/01/2022,10:48:00,1700.70,1700.70,1698.00,1698.00,6500,4150900
GODREJPROP_F1,04/01/2022,10:49:00,1697.50,1698.00,1697.50,1697.55,2925,4150900
GODREJPROP_F1,04/01/2022,10:50:00,1697.00,1697.00,1696.55,1696.55,650,4152850
GODREJPROP_F1,04/01/2022,10:51:00,1696.55,1696.55,1696.55,1696.55,325,4152850
GODREJPROP_F1,04/01/2022,10:53:00,1697.00,1697.00,1696.40,1696.40,1950,4153500
GODREJPROP_F1,04/01/2022,10:54:00,1695.10,1695.75,1695.10,1695.75,1950,4153500
GODREJPROP_F1,04/01/2022,10:55:00,1695.10,1696.10,1695.10,1696.10,1300,4153500
GODREJPROP_F1,04/01/2022,10:56:00,1696.00,1696.20,1696.00,1696.20,1950,4153500
GODREJPROP_F1,04/01/2022,10:57:00,1695.20,1695.20,1692.10,1692.10,6175,4153175
GODREJPROP_F1,04/01/2022,10:58:00,1692.75,1694.40,1692.75,1694.40,1300,4153175
GODREJPROP_F1,04/01/2022,10:59:00,1693.75,1693.75,1693.75,1693.75,650,4153175
GODREJPROP_F1,04/01/2022,11:02:00,1694.85,1694.85,1694.85,1694.85,1950,4151550
GODREJPROP_F1,04/01/2022,11:03:00,1694.85,1694.85,1694.10,1694.10,975,4151550
GODREJPROP_F1,04/01/2022,11:04:00,1693.40,1694.65,1693.40,1694.65,650,4151550
GODREJPROP_F1,04/01/2022,11:05:00,1693.65,1694.05,1693.50,1693.65,2925,4152525
GODREJPROP_F1,04/01/2022,11:06:00,1692.85,1692.85,1692.00,1692.00,2275,4152525
GODREJPROP_F1,04/01/2022,11:07:00,1692.05,1692.80,1692.05,1692.80,1300,4152525
GODREJPROP_F1,04/01/2022,11:08:00,1692.60,1693.25,1692.60,1693.25,4550,4154800
GODREJPROP_F1,04/01/2022,11:09:00,1694.65,1694.65,1694.10,1694.10,3250,4154800
GODREJPROP_F1,04/01/2022,11:10:00,1695.05,1695.05,1695.05,1695.05,1300,4154800
GODREJPROP_F1,04/01/2022,11:12:00,1695.95,1695.95,1694.35,1694.35,2275,4155775
