<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
INDUSINDBK_F3,04/01/2022,09:24:00,945.00,945.00,945.00,945.00,901,0
INDUSINDBK_F3,04/01/2022,10:00:00,958.50,958.95,958.50,958.95,1800,900
INDUSINDBK_F3,04/01/2022,10:09:00,960.05,960.05,960.05,960.05,900,1800
INDUSINDBK_F3,04/01/2022,10:30:00,968.15,968.15,968.15,968.15,900,1800
INDUSINDBK_F3,04/01/2022,10:38:00,971.20,971.20,971.20,971.20,900,2700
INDUSINDBK_F3,04/01/2022,10:50:00,971.20,971.20,971.20,971.20,900,3600
INDUSINDBK_F3,04/01/2022,11:16:00,969.20,969.20,969.20,969.20,900,4500
INDUSINDBK_F3,04/01/2022,11:21:00,969.20,969.20,969.20,969.20,900,5400
INDUSINDBK_F3,04/01/2022,12:02:00,973.00,973.00,973.00,973.00,900,4500
INDUSINDBK_F3,04/01/2022,12:25:00,975.00,975.00,975.00,975.00,900,4500
INDUSINDBK_F3,04/01/2022,12:33:00,975.00,975.00,975.00,975.00,900,5400
INDUSINDBK_F3,04/01/2022,14:08:00,977.00,977.00,977.00,977.00,900,6300
INDUSINDBK_F3,04/01/2022,14:35:00,978.00,978.00,978.00,978.00,900,6300
INDUSINDBK_F3,04/01/2022,15:23:00,978.00,978.00,978.00,978.00,900,6300
INDUSINDBK_F3,04/01/2022,15:27:00,978.00,978.00,978.00,978.00,900,7200
INDUSINDBK_F3,04/01/2022,15:28:00,976.80,976.80,976.80,976.80,900,7200
INDUSINDBK_F3,04/04/2022,09:15:00,970.00,970.00,970.00,970.00,1801,8100
INDUSINDBK_F3,04/04/2022,09:25:00,984.00,984.00,984.00,984.00,900,8100
INDUSINDBK_F3,04/04/2022,09:26:00,984.00,984.00,984.00,984.00,900,8100
INDUSINDBK_F3,04/04/2022,09:35:00,987.45,987.45,987.45,987.45,900,9000
INDUSINDBK_F3,04/04/2022,09:41:00,987.45,987.45,987.45,987.45,1800,9000
INDUSINDBK_F3,04/04/2022,09:47:00,979.00,979.00,979.00,979.00,900,9900
INDUSINDBK_F3,04/04/2022,09:57:00,974.65,974.65,974.65,974.65,900,10800
INDUSINDBK_F3,04/04/2022,09:59:00,972.10,972.10,972.10,972.10,1800,11700
