<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
NIFTYFINANCE,04/21/2022,09:07:00,16800.35,16800.35,16800.35,16800.35,0,0
NIFTYFINANCE,04/21/2022,09:15:00,16797.90,16814.75,16773.20,16792.55,0,0
NIFTYFINANCE,04/21/2022,09:16:00,16794.85,16824.70,16793.50,16822.45,0,0
NIFTYFINANCE,04/21/2022,09:17:00,16822.45,16827.75,16806.55,16808.80,0,0
NIFTYFINANCE,04/21/2022,09:18:00,16808.75,16824.20,16808.75,16822.45,0,0
NIFTYFINANCE,04/21/2022,09:19:00,16822.85,16826.60,16818.65,16824.30,0,0
NIFTYFINANCE,04/21/2022,09:20:00,16823.95,16828.00,16814.15,16816.90,0,0
NIFTYFINANCE,04/21/2022,09:21:00,16816.40,16817.85,16812.55,16814.45,0,0
NIFTYFINANCE,04/21/2022,09:22:00,16815.40,16823.40,16812.10,16812.75,0,0
NIFTYFINANCE,04/21/2022,09:23:00,16813.10,16813.10,16799.20,16805.90,0,0
NIFTYFINANCE,04/21/2022,09:24:00,16806.40,16810.55,16803.95,16805.25,0,0
NIFTYFINANCE,04/21/2022,09:25:00,16805.75,16810.50,16793.70,16793.70,0,0
NIFTYFINANCE,04/21/2022,09:26:00,16793.95,16799.95,16786.25,16797.90,0,0
NIFTYFINANCE,04/21/2022,09:27:00,16794.20,16796.05,16785.10,16786.30,0,0
NIFTYFINANCE,04/21/2022,09:28:00,16787.60,16790.85,16784.10,16787.65,0,0
NIFTYFINANCE,04/21/2022,09:29:00,16785.65,16787.35,16773.15,16775.95,0,0
NIFTYFINANCE,04/21/2022,09:30:00,16776.95,16780.60,16767.80,16778.50,0,0
NIFTYFINANCE,04/21/2022,09:31:00,16778.55,16783.20,16776.40,16776.40,0,0
NIFTYFINANCE,04/21/2022,09:32:00,16776.25,16782.55,16775.75,16779.15,0,0
NIFTYFINANCE,04/21/2022,09:33:00,16779.35,16803.45,16779.35,16802.05,0,0
NIFTYFINANCE,04/21/2022,09:34:00,16801.25,16809.55,16798.10,16798.10,0,0
NIFTYFINANCE,04/21/2022,09:35:00,16797.15,16797.50,16786.30,16796.15,0,0
NIFTYFINANCE,04/21/2022,09:36:00,16796.70,16797.45,16793.75,16794.85,0,0
NIFTYFINANCE,04/21/2022,09:37:00,16794.70,16801.10,16793.85,16798.90,0,0
NIFTYFINANCE,04/21/2022,09:38:00,16799.10,16799.10,16792.20,16793.35,0,0
NIFTYFINANCE,04/21/2022,09:39:00,16793.75,16797.05,16790.40,16791.60,0,0
NIFTYFINANCE,04/21/2022,09:40:00,16791.40,16794.60,16785.25,16786.40,0,0
NIFTYFINANCE,04/21/2022,09:41:00,16786.60,16788.20,16780.55,16784.70,0,0
NIFTYFINANCE,04/21/2022,09:42:00,16784.15,16793.95,16782.95,16792.25,0,0
NIFTYFINANCE,04/21/2022,09:43:00,16793.00,16793.90,16789.90,16793.20,0,0
NIFTYFINANCE,04/21/2022,09:44:00,16792.30,16793.80,16789.85,16790.70,0,0
NIFTYFINANCE,04/21/2022,09:45:00,16790.10,16799.95,16789.65,16799.25,0,0
NIFTYFINANCE,04/21/2022,09:46:00,16799.35,16805.70,16791.85,16792.10,0,0
