<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SUNPHARMA_F1,04/01/2022,09:15:00,912.95,921.40,912.95,921.40,31501,17120600
SUNPHARMA_F1,04/01/2022,09:16:00,919.15,919.15,912.15,912.15,34300,17120600
SUNPHARMA_F1,04/01/2022,09:17:00,914.40,914.40,913.50,914.25,14700,17126200
SUNPHARMA_F1,04/01/2022,09:18:00,913.80,913.80,913.00,913.40,16800,17126200
SUNPHARMA_F1,04/01/2022,09:19:00,913.25,913.85,912.00,913.00,41300,17126200
SUNPHARMA_F1,04/01/2022,09:20:00,912.60,914.15,912.55,913.95,15400,17152100
SUNPHARMA_F1,04/01/2022,09:21:00,914.00,914.75,913.45,914.75,31500,17152100
SUNPHARMA_F1,04/01/2022,09:22:00,914.85,916.35,914.85,915.50,16800,17152100
SUNPHARMA_F1,04/01/2022,09:23:00,917.20,918.25,917.20,917.60,19600,17171700
SUNPHARMA_F1,04/01/2022,09:24:00,917.90,917.90,915.95,915.95,12600,17171700
SUNPHARMA_F1,04/01/2022,09:25:00,915.75,915.75,914.85,914.90,4900,17171700
SUNPHARMA_F1,04/01/2022,09:26:00,914.80,914.80,914.15,914.30,9100,17191300
SUNPHARMA_F1,04/01/2022,09:27:00,913.40,914.50,913.40,914.50,9100,17191300
SUNPHARMA_F1,04/01/2022,09:28:00,914.75,915.25,914.70,915.00,21000,17191300
SUNPHARMA_F1,04/01/2022,09:29:00,915.25,916.20,915.25,916.20,5600,17205300
SUNPHARMA_F1,04/01/2022,09:30:00,915.95,916.50,915.75,916.50,8400,17205300
SUNPHARMA_F1,04/01/2022,09:31:00,916.40,916.40,915.85,915.85,6300,17205300
SUNPHARMA_F1,04/01/2022,09:32:00,915.90,916.40,915.90,916.20,3500,17212300
SUNPHARMA_F1,04/01/2022,09:33:00,916.70,916.80,916.55,916.70,6300,17212300
SUNPHARMA_F1,04/01/2022,09:34:00,916.20,916.20,915.65,916.00,6300,17212300
SUNPHARMA_F1,04/01/2022,09:35:00,915.65,915.95,915.50,915.95,4200,17216500
SUNPHARMA_F1,04/01/2022,09:36:00,915.90,915.95,915.55,915.95,3500,17216500
SUNPHARMA_F1,04/01/2022,09:37:00,915.65,917.00,915.65,916.55,11200,17216500
SUNPHARMA_F1,04/01/2022,09:38:00,916.65,917.40,916.65,917.40,3500,17224900
SUNPHARMA_F1,04/01/2022,09:39:00,917.20,917.20,916.30,916.30,8400,17224900
SUNPHARMA_F1,04/01/2022,09:40:00,917.00,917.00,915.80,916.65,15400,17224900
SUNPHARMA_F1,04/01/2022,09:41:00,916.50,916.75,916.50,916.75,1400,17229100
SUNPHARMA_F1,04/01/2022,09:42:00,916.55,917.00,916.55,916.75,2800,17229100
SUNPHARMA_F1,04/01/2022,09:43:00,916.75,917.05,916.70,916.85,4200,17229100
SUNPHARMA_F1,04/01/2022,09:44:00,917.10,917.10,916.80,916.80,1400,17231900
SUNPHARMA_F1,04/01/2022,09:45:00,916.75,917.30,916.60,916.60,9800,17231900
SUNPHARMA_F1,04/01/2022,09:46:00,916.35,916.60,916.35,916.60,2100,17231900
SUNPHARMA_F1,04/01/2022,09:47:00,916.65,917.00,916.05,917.00,6300,17237500
SUNPHARMA_F1,04/01/2022,09:48:00,917.45,917.95,916.85,917.95,44100,17237500
SUNPHARMA_F1,04/01/2022,09:49:00,918.30,919.10,918.30,919.10,18900,17237500
SUNPHARMA_F1,04/01/2022,09:50:00,918.90,919.20,918.10,919.10,16100,17245900
SUNPHARMA_F1,04/01/2022,09:51:00,919.20,919.40,917.55,917.55,31500,17245900
SUNPHARMA_F1,04/01/2022,09:52:00,917.50,917.50,916.90,917.00,8400,17245900
SUNPHARMA_F1,04/01/2022,09:53:00,916.60,916.60,916.40,916.40,1400,17251500
SUNPHARMA_F1,04/01/2022,09:54:00,916.70,918.35,916.70,917.80,23800,17251500
SUNPHARMA_F1,04/01/2022,09:55:00,917.35,917.95,917.35,917.95,19600,17251500
SUNPHARMA_F1,04/01/2022,09:56:00,917.35,917.95,917.25,917.25,4200,17272500
SUNPHARMA_F1,04/01/2022,09:57:00,917.25,918.25,917.10,917.10,18200,17272500
SUNPHARMA_F1,04/01/2022,09:58:00,917.40,917.95,917.40,917.95,4200,17272500
SUNPHARMA_F1,04/01/2022,09:59:00,918.00,918.10,918.00,918.05,3500,17283000
SUNPHARMA_F1,04/01/2022,10:00:00,917.45,918.00,917.45,917.90,2100,17283000
