<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
ABBOTINDIA_F2,04/03/2023,09:17:00,22238.1992,22260.0000,22238.1992,22258.2500,162,640,
ABBOTINDIA_F2,04/03/2023,09:39:00,22100.0000,22100.0000,22100.0000,22100.0000,40,680,
ABBOTINDIA_F2,04/03/2023,09:46:00,22100.0000,22100.0000,22100.0000,22100.0000,40,680,
ABBOTINDIA_F2,04/03/2023,10:49:00,21987.7500,21987.7500,21987.7500,21987.7500,40,640,
ABBOTINDIA_F2,04/03/2023,11:08:00,21987.7500,21987.7500,21987.7500,21987.7500,40,640,
ABBOTINDIA_F2,04/03/2023,11:39:00,22300.0000,22300.0000,22300.0000,22300.0000,40,600,
ABBOTINDIA_F2,04/03/2023,15:11:00,22390.0000,22390.0000,22390.0000,22390.0000,40,600,
ABBOTINDIA_F2,04/03/2023,15:22:00,22430.0000,22430.0000,22430.0000,22430.0000,40,640,
ABBOTINDIA_F2,04/05/2023,09:16:00,22396.9004,22396.9004,22396.9004,22396.9004,41,680,
ABBOTINDIA_F2,04/05/2023,09:48:00,22632.3496,22632.3496,22632.3496,22632.3496,40,720,
ABBOTINDIA_F2,04/05/2023,09:53:00,22632.3496,22632.3496,22632.3496,22632.3496,40,680,
ABBOTINDIA_F2,04/05/2023,09:56:00,22695.3008,22695.3008,22695.3008,22695.3008,40,680,
ABBOTINDIA_F2,04/05/2023,09:59:00,22695.3008,22695.3008,22695.3008,22695.3008,40,760,
ABBOTINDIA_F2,04/05/2023,10:07:00,22697.5508,22697.5508,22697.5508,22697.5508,40,760,
ABBOTINDIA_F2,04/05/2023,10:11:00,22775.0000,22775.0000,22775.0000,22775.0000,80,760,
ABBOTINDIA_F2,04/05/2023,10:12:00,22800.0000,22800.0000,22800.0000,22800.0000,240,840,
ABBOTINDIA_F2,04/05/2023,10:16:00,22899.0000,22899.0000,22899.0000,22899.0000,40,1000,
ABBOTINDIA_F2,04/05/2023,10:18:00,22970.0000,22970.0000,22970.0000,22970.0000,320,1040,
ABBOTINDIA_F2,04/05/2023,10:22:00,22970.0000,22970.0000,22970.0000,22970.0000,40,1160,
ABBOTINDIA_F2,04/05/2023,10:52:00,22806.0000,22806.0000,22806.0000,22806.0000,40,1200,
ABBOTINDIA_F2,04/05/2023,11:16:00,22856.3496,22856.3496,22856.3496,22856.3496,40,1200,
ABBOTINDIA_F2,04/05/2023,11:35:00,22856.3496,22869.9492,22856.3496,22869.9492,80,1200,
ABBOTINDIA_F2,04/05/2023,11:37:00,22829.9492,22872.5000,22829.9492,22872.5000,120,1240,
ABBOTINDIA_F2,04/05/2023,11:43:00,22900.0000,22900.0000,22900.0000,22900.0000,40,1280,
ABBOTINDIA_F2,04/05/2023,11:50:00,22924.6992,22924.6992,22924.6992,22924.6992,40,1320,
ABBOTINDIA_F2,04/05/2023,11:51:00,22955.0000,22955.0000,22955.0000,22955.0000,40,1280,
ABBOTINDIA_F2,04/05/2023,12:00:00,23000.0000,23000.0000,23000.0000,23000.0000,120,1240,
ABBOTINDIA_F2,04/05/2023,12:08:00,23000.0000,23000.0000,23000.0000,23000.0000,40,1320,
ABBOTINDIA_F2,04/05/2023,12:14:00,22920.6992,22920.6992,22920.6992,22920.6992,40,1320,
ABBOTINDIA_F2,04/05/2023,12:42:00,22830.0000,22830.0000,22830.0000,22830.0000,40,1320,
