<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
BHEL_F2,04/03/2023,09:15:00,71.8000,71.8000,71.6500,71.6500,42002,1911000,
BHEL_F2,04/03/2023,09:16:00,72.0500,72.0500,71.9000,71.9000,31500,1911000,
BHEL_F2,04/03/2023,09:17:00,71.7500,71.7500,71.7500,71.7500,10500,1911000,
BHEL_F2,04/03/2023,09:18:00,71.9000,71.9000,71.8500,71.8500,21000,1932000,
BHEL_F2,04/03/2023,09:20:00,72.3000,72.3000,72.3000,72.3000,31500,1932000,
BHEL_F2,04/03/2023,09:24:00,72.3000,72.3000,72.3000,72.3000,10500,1932000,
BHEL_F2,04/03/2023,09:30:00,71.7500,71.7500,71.5000,71.5000,31500,1932000,
BHEL_F2,04/03/2023,09:34:00,71.5000,71.5000,71.5000,71.5000,10500,1953000,
BHEL_F2,04/03/2023,09:38:00,71.5000,71.5000,71.5000,71.5000,10500,1963500,
BHEL_F2,04/03/2023,09:39:00,71.4000,71.4000,71.4000,71.4000,10500,1974000,
BHEL_F2,04/03/2023,09:40:00,71.3500,71.3500,71.3500,71.3500,10500,1974000,
BHEL_F2,04/03/2023,09:47:00,71.3500,71.3500,71.3500,71.3500,10500,1974000,
BHEL_F2,04/03/2023,09:51:00,71.5000,71.5000,71.5000,71.5000,10500,1963500,
BHEL_F2,04/03/2023,09:53:00,71.5500,71.5500,71.5500,71.5500,10500,1963500,
BHEL_F2,04/03/2023,10:01:00,71.3500,71.3500,71.3000,71.3000,21000,1974000,
BHEL_F2,04/03/2023,10:04:00,71.3000,71.3000,71.1500,71.1500,31500,1984500,
BHEL_F2,04/03/2023,10:06:00,71.1500,71.2500,71.1500,71.2500,31500,1995000,
BHEL_F2,04/03/2023,10:15:00,71.0000,71.0000,71.0000,71.0000,105000,2026500,
BHEL_F2,04/03/2023,10:20:00,71.1500,71.1500,71.1500,71.1500,10500,2079000,
BHEL_F2,04/03/2023,10:21:00,71.0500,71.0500,71.0500,71.0500,10500,2079000,
BHEL_F2,04/03/2023,10:24:00,71.0000,71.0000,71.0000,71.0000,21000,2089500,
BHEL_F2,04/03/2023,10:25:00,70.9500,70.9500,70.9500,70.9500,21000,2089500,
BHEL_F2,04/03/2023,10:27:00,70.9500,70.9500,70.9500,70.9500,10500,2121000,
BHEL_F2,04/03/2023,10:30:00,71.0000,71.0000,71.0000,71.0000,10500,2121000,
BHEL_F2,04/03/2023,10:39:00,71.0500,71.0500,71.0500,71.0500,10500,2131500,
BHEL_F2,04/03/2023,10:40:00,71.0000,71.0000,71.0000,71.0000,10500,2131500,
BHEL_F2,04/03/2023,10:46:00,71.1500,71.1500,71.1500,71.1500,10500,2152500,
BHEL_F2,04/03/2023,10:48:00,71.0500,71.0500,71.0500,71.0500,10500,2163000,
BHEL_F2,04/03/2023,11:00:00,71.0500,71.0500,71.0500,71.0500,21000,2173500,
BHEL_F2,04/03/2023,11:02:00,70.9500,71.0500,70.9500,71.0500,52500,2173500,
BHEL_F2,04/03/2023,11:03:00,71.1000,71.1000,71.1000,71.1000,10500,2205000,
