<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
HAVELLS_F3,04/06/2023,09:53:00,1198.1000,1198.1000,1198.1000,1198.1000,501,500,
HAVELLS_F3,04/06/2023,12:36:00,1212.7500,1212.7500,1212.7500,1212.7500,1500,1000,
HAVELLS_F3,04/10/2023,09:55:00,1191.0000,1191.0000,1191.0000,1191.0000,501,2500,
HAVELLS_F3,04/10/2023,10:15:00,1189.0000,1189.0000,1189.0000,1189.0000,500,3000,
HAVELLS_F3,04/10/2023,10:38:00,1179.0000,1179.0000,1179.0000,1179.0000,500,3500,
HAVELLS_F3,04/10/2023,10:52:00,1178.4500,1178.4500,1178.4500,1178.4500,500,4000,
HAVELLS_F3,04/10/2023,15:29:00,1178.4500,1178.4500,1178.4500,1178.4500,500,4500,
HAVELLS_F3,04/11/2023,11:05:00,1172.0500,1172.0500,1172.0500,1172.0500,501,5000,
HAVELLS_F3,04/12/2023,13:36:00,1192.0000,1192.0000,1192.0000,1192.0000,501,5500,
HAVELLS_F3,04/12/2023,15:09:00,1192.0000,1192.0000,1192.0000,1192.0000,500,5000,
HAVELLS_F3,04/13/2023,09:29:00,1199.5000,1199.5000,1199.5000,1199.5000,501,4500,
HAVELLS_F3,04/13/2023,09:32:00,1199.5000,1199.5000,1199.5000,1199.5000,500,5000,
HAVELLS_F3,04/17/2023,10:51:00,1215.0000,1215.0000,1215.0000,1215.0000,501,5000,
HAVELLS_F3,04/17/2023,14:27:00,1220.0000,1220.0000,1220.0000,1220.0000,500,4500,
HAVELLS_F3,04/17/2023,15:12:00,1225.0000,1225.0000,1225.0000,1225.0000,1000,5000,
HAVELLS_F3,04/19/2023,10:48:00,1224.0000,1224.0000,1224.0000,1224.0000,501,5000,
HAVELLS_F3,04/19/2023,11:15:00,1224.0000,1224.0000,1224.0000,1224.0000,500,5500,
HAVELLS_F3,04/19/2023,11:40:00,1223.0000,1223.0000,1223.0000,1223.0000,500,6000,
HAVELLS_F3,04/19/2023,14:34:00,1223.0000,1223.0000,1223.0000,1223.0000,500,6500,
HAVELLS_F3,04/19/2023,15:00:00,1231.0000,1231.0000,1231.0000,1231.0000,500,6500,
HAVELLS_F3,04/20/2023,12:17:00,1232.0000,1232.0000,1232.0000,1232.0000,501,6500,
HAVELLS_F3,04/20/2023,12:55:00,1226.0000,1226.0000,1226.0000,1226.0000,1500,7000,
HAVELLS_F3,04/20/2023,14:06:00,1213.0000,1213.0000,1213.0000,1213.0000,500,8500,
HAVELLS_F3,04/21/2023,15:19:00,1219.5500,1219.5500,1219.5500,1219.5500,501,9000,
HAVELLS_F3,04/24/2023,09:41:00,1205.9000,1205.9000,1205.9000,1205.9000,501,9500,
HAVELLS_F3,04/24/2023,10:36:00,1213.0000,1213.0000,1213.0000,1213.0000,500,10000,
HAVELLS_F3,04/24/2023,11:46:00,1213.0000,1213.0000,1213.0000,1213.0000,500,10500,
HAVELLS_F3,04/24/2023,12:30:00,1209.5000,1209.5000,1209.5000,1209.5000,500,11000,
HAVELLS_F3,04/24/2023,13:05:00,1211.0000,1211.0000,1211.0000,1211.0000,500,11500,
HAVELLS_F3,04/25/2023,09:19:00,1213.0500,1213.0500,1213.0500,1213.0500,501,11500,
HAVELLS_F3,04/25/2023,09:32:00,1205.9000,1205.9000,1205.9000,1205.9000,500,12000,
HAVELLS_F3,04/25/2023,09:43:00,1205.9000,1205.9000,1205.9000,1205.9000,500,12500,
HAVELLS_F3,04/25/2023,10:22:00,1211.8500,1211.8500,1211.8500,1211.8500,500,13000,
HAVELLS_F3,04/25/2023,12:04:00,1220.8500,1220.8500,1220.8500,1220.8500,500,13500,
HAVELLS_F3,04/25/2023,13:49:00,1227.1000,1227.1000,1227.1000,1227.1000,500,13000,
HAVELLS_F3,04/25/2023,15:03:00,1227.1000,1227.1000,1227.1000,1227.1000,500,13000,
HAVELLS_F3,04/26/2023,09:16:00,1227.6000,1227.6500,1227.6000,1227.6500,1002,13500,
HAVELLS_F3,04/26/2023,09:28:00,1227.7500,1227.7500,1227.7500,1227.7500,500,13500,
HAVELLS_F3,04/26/2023,10:30:00,1232.0000,1232.0000,1232.0000,1232.0000,1000,13000,
HAVELLS_F3,04/26/2023,10:44:00,1235.0000,1235.0000,1235.0000,1235.0000,1000,13500,
HAVELLS_F3,04/26/2023,10:45:00,1237.0000,1237.0000,1237.0000,1237.0000,500,13000,
HAVELLS_F3,04/26/2023,11:13:00,1238.3000,1238.3000,1238.3000,1238.3000,500,13500,
HAVELLS_F3,04/26/2023,14:03:00,1238.3000,1238.3000,1238.3000,1238.3000,500,13000,
HAVELLS_F3,04/26/2023,14:29:00,1228.0000,1228.0000,1228.0000,1228.0000,500,13000,
HAVELLS_F3,04/26/2023,14:59:00,1228.0000,1228.0000,1228.0000,1228.0000,500,13500,
HAVELLS_F3,04/26/2023,15:14:00,1230.3500,1230.3500,1230.3500,1230.3500,1000,13500,
HAVELLS_F3,04/27/2023,09:51:00,1229.2500,1229.3000,1229.2500,1229.3000,1002,13500,
HAVELLS_F3,04/27/2023,10:21:00,1230.9000,1230.9000,1230.9000,1230.9000,500,14500,
HAVELLS_F3,04/27/2023,10:44:00,1235.7000,1235.7000,1235.7000,1235.7000,500,14500,
HAVELLS_F3,04/27/2023,10:45:00,1237.0000,1237.0000,1237.0000,1237.0000,500,14500,
HAVELLS_F3,04/27/2023,11:15:00,1238.0000,1238.0000,1238.0000,1238.0000,500,14500,
HAVELLS_F3,04/27/2023,11:50:00,1238.0000,1238.0000,1238.0000,1238.0000,500,14000,
HAVELLS_F3,04/27/2023,14:01:00,1237.3000,1237.3000,1237.3000,1237.3000,500,14000,
HAVELLS_F3,04/27/2023,14:07:00,1236.1000,1236.1000,1236.1000,1236.1000,500,14500,
HAVELLS_F3,04/27/2023,15:26:00,1235.8500,1235.8500,1235.8500,1235.8500,3500,14500,
HAVELLS_F3,04/27/2023,15:28:00,1238.0500,1238.0500,1238.0500,1238.0500,500,17500,
