<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
TVSMOTOR_F3,04/05/2023,09:53:00,1086.8000,1086.8000,1086.8000,1086.8000,701,700,
TVSMOTOR_F3,04/05/2023,10:26:00,1093.0000,1093.0000,1093.0000,1093.0000,700,700,
TVSMOTOR_F3,04/05/2023,11:43:00,1093.0000,1093.0000,1093.0000,1093.0000,700,1400,
TVSMOTOR_F3,04/05/2023,11:44:00,1090.0000,1090.0000,1090.0000,1090.0000,4900,1400,
TVSMOTOR_F3,04/06/2023,14:33:00,1094.1000,1094.1000,1094.1000,1094.1000,701,7000,
TVSMOTOR_F3,04/06/2023,15:12:00,1099.5500,1099.5500,1099.5500,1099.5500,700,6300,
TVSMOTOR_F3,04/10/2023,13:45:00,1108.6000,1108.6000,1108.6000,1108.6000,701,7000,
TVSMOTOR_F3,04/11/2023,10:28:00,1113.1000,1113.1000,1113.1000,1113.1000,701,7700,
TVSMOTOR_F3,04/11/2023,11:20:00,1116.1000,1116.1000,1116.1000,1116.1000,700,8400,
TVSMOTOR_F3,04/11/2023,13:32:00,1119.7500,1119.7500,1119.7500,1119.7500,700,7700,
TVSMOTOR_F3,04/11/2023,13:58:00,1125.0000,1125.0000,1125.0000,1125.0000,700,7700,
TVSMOTOR_F3,04/11/2023,15:27:00,1140.0000,1140.0000,1140.0000,1140.0000,2800,8400,
TVSMOTOR_F3,04/12/2023,09:17:00,1143.0000,1143.0000,1143.0000,1143.0000,701,9800,
TVSMOTOR_F3,04/12/2023,09:18:00,1142.5500,1142.5500,1142.5500,1142.5500,700,9800,
TVSMOTOR_F3,04/12/2023,09:19:00,1143.4500,1143.4500,1143.4500,1143.4500,1400,9800,
TVSMOTOR_F3,04/12/2023,09:20:00,1137.0000,1137.0000,1137.0000,1137.0000,700,11900,
TVSMOTOR_F3,04/12/2023,09:23:00,1134.0000,1134.0000,1134.0000,1134.0000,700,11900,
TVSMOTOR_F3,04/12/2023,09:24:00,1133.8000,1133.8000,1133.8000,1133.8000,1400,13300,
TVSMOTOR_F3,04/12/2023,09:25:00,1134.9000,1134.9000,1134.9000,1134.9000,1400,13300,
TVSMOTOR_F3,04/12/2023,09:26:00,1134.9000,1134.9000,1134.9000,1134.9000,700,13300,
TVSMOTOR_F3,04/12/2023,09:32:00,1132.9500,1132.9500,1132.9500,1132.9500,700,16100,
TVSMOTOR_F3,04/12/2023,09:38:00,1132.8500,1132.8500,1132.8500,1132.8500,700,16100,
TVSMOTOR_F3,04/12/2023,09:44:00,1132.8500,1132.8500,1132.8500,1132.8500,700,16100,
TVSMOTOR_F3,04/12/2023,09:52:00,1134.2500,1134.2500,1134.2500,1134.2500,1400,16800,
TVSMOTOR_F3,04/12/2023,10:05:00,1133.8000,1133.8000,1133.8000,1133.8000,700,17500,
TVSMOTOR_F3,04/12/2023,10:12:00,1133.4000,1133.4000,1133.4000,1133.4000,700,18200,
TVSMOTOR_F3,04/12/2023,10:13:00,1133.4500,1133.4500,1133.4500,1133.4500,700,18200,
TVSMOTOR_F3,04/12/2023,10:18:00,1134.0500,1134.0500,1134.0500,1134.0500,700,18900,
TVSMOTOR_F3,04/12/2023,11:06:00,1134.4500,1134.4500,1134.4500,1134.4500,700,19600,
TVSMOTOR_F3,04/12/2023,11:41:00,1132.2500,1132.2500,1132.2500,1132.2500,700,19600,
TVSMOTOR_F3,04/12/2023,11:50:00,1132.2500,1132.2500,1132.2500,1132.2500,700,20300,
TVSMOTOR_F3,04/12/2023,11:58:00,1135.1000,1135.1000,1135.1000,1135.1000,700,19600,
TVSMOTOR_F3,04/12/2023,14:24:00,1144.3500,1144.3500,1144.3500,1144.3500,700,19600,
TVSMOTOR_F3,04/12/2023,15:10:00,1144.3500,1144.3500,1144.3500,1144.3500,700,20300,
TVSMOTOR_F3,04/12/2023,15:18:00,1140.5500,1140.5500,1140.5500,1140.5500,700,19600,
TVSMOTOR_F3,04/12/2023,15:29:00,1139.0500,1139.0500,1139.0500,1139.0500,700,20300,
TVSMOTOR_F3,04/13/2023,10:30:00,1141.6500,1141.6500,1141.6500,1141.6500,701,19600,
TVSMOTOR_F3,04/13/2023,11:15:00,1145.0000,1145.0000,1145.0000,1145.0000,700,18900,
TVSMOTOR_F3,04/13/2023,11:35:00,1147.0500,1147.0500,1147.0500,1147.0500,700,19600,
TVSMOTOR_F3,04/13/2023,11:39:00,1148.1000,1148.1000,1148.1000,1148.1000,700,19600,
TVSMOTOR_F3,04/13/2023,11:57:00,1148.1000,1148.1000,1148.1000,1148.1000,700,18900,
TVSMOTOR_F3,04/13/2023,12:45:00,1155.0000,1155.0000,1155.0000,1155.0000,1400,18900,
TVSMOTOR_F3,04/13/2023,12:47:00,1157.2500,1157.2500,1157.2500,1157.2500,700,18900,
TVSMOTOR_F3,04/13/2023,13:10:00,1157.2500,1157.2500,1157.2500,1157.2500,700,19600,
TVSMOTOR_F3,04/13/2023,13:18:00,1157.0000,1157.0000,1157.0000,1157.0000,1400,20300,
TVSMOTOR_F3,04/13/2023,13:51:00,1157.0000,1157.0000,1157.0000,1157.0000,700,20300,
TVSMOTOR_F3,04/13/2023,13:59:00,1158.0000,1158.0000,1158.0000,1158.0000,700,20300,
TVSMOTOR_F3,04/13/2023,14:01:00,1162.0000,1162.0000,1162.0000,1162.0000,700,20300,
TVSMOTOR_F3,04/13/2023,14:09:00,1162.0000,1162.0000,1162.0000,1162.0000,700,19600,
TVSMOTOR_F3,04/13/2023,14:25:00,1165.8500,1165.8500,1165.8500,1165.8500,1400,19600,
TVSMOTOR_F3,04/13/2023,14:27:00,1167.6500,1167.6500,1167.6500,1167.6500,700,20300,
TVSMOTOR_F3,04/13/2023,14:30:00,1167.6500,1167.6500,1167.6500,1167.6500,700,19600,
TVSMOTOR_F3,04/13/2023,14:49:00,1170.0000,1170.0000,1170.0000,1170.0000,700,20300,
TVSMOTOR_F3,04/17/2023,09:25:00,1168.0000,1168.0000,1168.0000,1168.0000,701,20300,
TVSMOTOR_F3,04/17/2023,09:28:00,1167.2500,1167.2500,1167.2500,1167.2500,700,21000,
TVSMOTOR_F3,04/17/2023,09:30:00,1167.2500,1167.2500,1167.2500,1167.2500,700,21700,
TVSMOTOR_F3,04/17/2023,10:51:00,1159.9000,1159.9000,1159.9000,1159.9000,700,22400,
TVSMOTOR_F3,04/17/2023,11:12:00,1159.9000,1159.9000,1159.9000,1159.9000,700,22400,
TVSMOTOR_F3,04/17/2023,12:09:00,1168.2000,1168.2000,1168.2000,1168.2000,700,21700,
TVSMOTOR_F3,04/17/2023,12:12:00,1168.2000,1168.2000,1168.2000,1168.2000,700,21700,
TVSMOTOR_F3,04/17/2023,12:59:00,1166.5000,1166.5000,1166.5000,1166.5000,700,21700,
TVSMOTOR_F3,04/17/2023,13:01:00,1167.0000,1167.0000,1167.0000,1167.0000,700,22400,
TVSMOTOR_F3,04/17/2023,13:16:00,1166.0000,1166.0000,1166.0000,1166.0000,1400,23100,
TVSMOTOR_F3,04/17/2023,13:17:00,1163.0000,1163.0000,1163.0000,1163.0000,700,23100,
TVSMOTOR_F3,04/17/2023,14:50:00,1165.9500,1165.9500,1165.9500,1165.9500,700,24500,
TVSMOTOR_F3,04/17/2023,14:59:00,1166.4500,1166.4500,1166.4500,1166.4500,700,25200,
TVSMOTOR_F3,04/17/2023,15:11:00,1166.4500,1166.4500,1166.4500,1166.4500,700,25200,
TVSMOTOR_F3,04/17/2023,15:16:00,1164.7500,1164.7500,1164.7500,1164.7500,700,25900,
TVSMOTOR_F3,04/18/2023,09:53:00,1161.7500,1161.7500,1161.7500,1161.7500,701,26600,
TVSMOTOR_F3,04/18/2023,10:32:00,1162.0000,1162.0000,1162.0000,1162.0000,2800,26600,
TVSMOTOR_F3,04/18/2023,10:40:00,1165.0000,1165.0000,1165.0000,1165.0000,700,29400,
TVSMOTOR_F3,04/18/2023,10:52:00,1169.0500,1169.0500,1169.0500,1169.0500,700,30100,
TVSMOTOR_F3,04/18/2023,10:55:00,1169.1500,1169.1500,1169.1500,1169.1500,700,29400,
TVSMOTOR_F3,04/18/2023,11:11:00,1169.1500,1169.1500,1169.1500,1169.1500,700,29400,
TVSMOTOR_F3,04/18/2023,11:34:00,1161.5500,1161.5500,1161.5500,1161.5500,700,29400,
TVSMOTOR_F3,04/18/2023,11:50:00,1160.0000,1160.0000,1160.0000,1160.0000,700,30100,
TVSMOTOR_F3,04/18/2023,13:41:00,1152.5000,1152.5000,1152.5000,1152.5000,700,30800,
TVSMOTOR_F3,04/18/2023,13:43:00,1150.0000,1150.0000,1150.0000,1150.0000,700,30100,
TVSMOTOR_F3,04/18/2023,13:44:00,1149.0000,1149.0000,1149.0000,1149.0000,700,30100,
TVSMOTOR_F3,04/18/2023,13:58:00,1149.0000,1149.0000,1149.0000,1149.0000,700,30100,
TVSMOTOR_F3,04/18/2023,14:11:00,1149.0000,1149.0000,1149.0000,1149.0000,700,30100,
TVSMOTOR_F3,04/18/2023,14:20:00,1152.2000,1152.2000,1152.2000,1152.2000,700,30100,
TVSMOTOR_F3,04/18/2023,14:38:00,1150.0000,1150.0000,1150.0000,1150.0000,700,29400,
TVSMOTOR_F3,04/18/2023,15:18:00,1150.0000,1150.0000,1150.0000,1150.0000,700,29400,
TVSMOTOR_F3,04/18/2023,15:28:00,1150.0000,1150.0000,1150.0000,1150.0000,700,30100,
TVSMOTOR_F3,04/19/2023,09:20:00,1170.0000,1170.0000,1170.0000,1170.0000,701,30800,
TVSMOTOR_F3,04/19/2023,09:21:00,1167.9500,1167.9500,1167.9500,1167.9500,1400,30800,
TVSMOTOR_F3,04/19/2023,09:22:00,1168.0000,1168.0000,1166.2000,1166.2000,2100,30800,
TVSMOTOR_F3,04/19/2023,09:24:00,1166.2000,1166.2000,1166.2000,1166.2000,700,31500,
TVSMOTOR_F3,04/19/2023,09:26:00,1166.0000,1166.0000,1166.0000,1166.0000,700,31500,
TVSMOTOR_F3,04/19/2023,09:28:00,1166.0000,1170.0000,1166.0000,1170.0000,2100,31500,
TVSMOTOR_F3,04/19/2023,09:30:00,1170.5500,1170.5500,1170.5500,1170.5500,1400,29400,
TVSMOTOR_F3,04/19/2023,09:31:00,1170.7500,1170.7500,1170.7500,1170.7500,700,29400,
TVSMOTOR_F3,04/19/2023,09:34:00,1170.7500,1170.7500,1170.0000,1170.0000,4200,31500,
TVSMOTOR_F3,04/19/2023,09:37:00,1169.0000,1169.0000,1169.0000,1169.0000,700,31500,
TVSMOTOR_F3,04/19/2023,09:41:00,1169.4000,1169.4000,1169.4000,1169.4000,700,32900,
TVSMOTOR_F3,04/19/2023,09:46:00,1172.0000,1172.0000,1172.0000,1172.0000,700,33600,
TVSMOTOR_F3,04/19/2023,09:47:00,1172.0000,1172.0000,1172.0000,1172.0000,700,33600,
TVSMOTOR_F3,04/19/2023,09:52:00,1172.0000,1172.0000,1172.0000,1172.0000,700,33600,
TVSMOTOR_F3,04/19/2023,09:54:00,1171.0000,1171.0000,1171.0000,1171.0000,1400,34300,
TVSMOTOR_F3,04/19/2023,10:03:00,1171.0000,1171.0000,1171.0000,1171.0000,700,35000,
TVSMOTOR_F3,04/19/2023,10:07:00,1171.0000,1171.0000,1171.0000,1171.0000,700,35000,
