<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BALKRISIND_F3,08/01/2022,14:30:00,2415.20,2415.20,2415.20,2415.20,301,0
BALKRISIND_F3,08/02/2022,10:39:00,2435.90,2435.90,2435.90,2435.90,301,300
BALKRISIND_F3,08/02/2022,14:14:00,2435.45,2435.45,2435.45,2435.45,300,600
BALKRISIND_F3,08/03/2022,09:49:00,2430.00,2430.00,2430.00,2430.00,301,900
BALKRISIND_F3,08/03/2022,10:08:00,2430.00,2430.00,2430.00,2430.00,300,900
BALKRISIND_F3,08/03/2022,14:16:00,2416.25,2416.25,2416.25,2416.25,300,1200
BALKRISIND_F3,08/04/2022,11:47:00,2315.00,2315.00,2315.00,2315.00,901,1500
BALKRISIND_F3,08/04/2022,13:52:00,2343.70,2343.70,2343.70,2343.70,300,1500
BALKRISIND_F3,08/04/2022,15:22:00,2343.70,2343.70,2343.70,2343.70,300,2100
BALKRISIND_F3,08/05/2022,09:18:00,2250.00,2250.00,2250.00,2250.00,301,2400
BALKRISIND_F3,08/05/2022,09:20:00,2245.00,2245.00,2245.00,2245.00,300,2700
BALKRISIND_F3,08/05/2022,09:35:00,2209.40,2209.40,2209.40,2209.40,600,3000
BALKRISIND_F3,08/05/2022,09:50:00,2214.60,2214.60,2214.60,2214.60,600,3300
BALKRISIND_F3,08/05/2022,09:57:00,2210.00,2210.00,2210.00,2210.00,300,3900
BALKRISIND_F3,08/05/2022,10:04:00,2202.30,2202.30,2202.30,2202.30,300,4200
BALKRISIND_F3,08/05/2022,10:08:00,2202.05,2202.05,2202.05,2202.05,300,4500
BALKRISIND_F3,08/05/2022,10:10:00,2199.00,2199.00,2199.00,2199.00,300,4500
BALKRISIND_F3,08/05/2022,10:16:00,2199.00,2199.00,2199.00,2199.00,300,5100
BALKRISIND_F3,08/05/2022,10:19:00,2190.00,2190.00,2190.00,2190.00,300,5400
BALKRISIND_F3,08/05/2022,10:34:00,2190.00,2190.00,2190.00,2190.00,600,5400
BALKRISIND_F3,08/05/2022,10:35:00,2191.35,2191.35,2191.35,2191.35,300,6000
BALKRISIND_F3,08/05/2022,10:44:00,2193.25,2193.25,2193.25,2193.25,300,6300
BALKRISIND_F3,08/05/2022,11:39:00,2193.25,2193.25,2193.25,2193.25,300,6600
BALKRISIND_F3,08/05/2022,11:40:00,2189.55,2189.55,2189.55,2189.55,300,6600
BALKRISIND_F3,08/05/2022,12:05:00,2185.00,2185.00,2185.00,2185.00,300,6900
