<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CROMPTON_F2,08/01/2022,10:58:00,395.00,395.00,395.00,395.00,1501,24000
CROMPTON_F2,08/01/2022,11:17:00,396.65,396.65,396.65,396.65,1500,24000
CROMPTON_F2,08/01/2022,11:47:00,398.05,398.05,398.05,398.05,1500,25500
CROMPTON_F2,08/01/2022,15:20:00,400.00,400.00,400.00,400.00,1500,24000
CROMPTON_F2,08/02/2022,09:50:00,403.40,403.85,403.35,403.40,6003,24000
CROMPTON_F2,08/02/2022,09:51:00,401.70,401.70,401.70,401.70,1500,24000
CROMPTON_F2,08/03/2022,09:41:00,393.90,393.90,393.90,393.90,1501,22500
CROMPTON_F2,08/03/2022,10:41:00,393.45,393.45,393.45,393.45,3000,21000
CROMPTON_F2,08/03/2022,12:00:00,393.25,393.25,393.25,393.25,1500,22500
CROMPTON_F2,08/03/2022,12:15:00,393.10,393.10,393.10,393.10,1500,22500
CROMPTON_F2,08/03/2022,12:22:00,393.10,393.10,393.10,393.10,1500,24000
CROMPTON_F2,08/03/2022,13:30:00,394.10,394.10,394.10,394.10,1500,25500
CROMPTON_F2,08/03/2022,15:18:00,394.50,394.50,394.50,394.50,1500,25500
CROMPTON_F2,08/03/2022,15:27:00,394.50,394.50,394.50,394.50,1500,27000
CROMPTON_F2,08/04/2022,10:25:00,388.00,388.00,388.00,388.00,1501,21000
CROMPTON_F2,08/04/2022,10:36:00,388.00,388.00,388.00,388.00,1500,22500
CROMPTON_F2,08/04/2022,10:37:00,388.00,388.00,388.00,388.00,1500,22500
CROMPTON_F2,08/04/2022,11:20:00,386.00,386.00,386.00,386.00,1500,19500
CROMPTON_F2,08/04/2022,11:48:00,385.60,385.60,385.60,385.60,3000,21000
CROMPTON_F2,08/04/2022,12:01:00,387.90,387.90,387.90,387.90,1500,18000
CROMPTON_F2,08/04/2022,12:09:00,387.75,387.75,387.75,387.75,1500,18000
CROMPTON_F2,08/04/2022,12:30:00,388.65,388.65,388.65,388.65,1500,18000
CROMPTON_F2,08/04/2022,12:33:00,388.65,388.65,388.65,388.65,1500,19500
CROMPTON_F2,08/04/2022,12:50:00,389.30,389.30,389.30,389.30,1500,21000
CROMPTON_F2,08/04/2022,13:38:00,389.30,389.30,389.30,389.30,1500,22500
CROMPTON_F2,08/04/2022,15:01:00,391.45,391.45,391.45,391.45,1500,24000
CROMPTON_F2,08/04/2022,15:19:00,391.45,391.45,391.45,391.45,1500,22500
CROMPTON_F2,08/04/2022,15:23:00,388.35,388.35,388.35,388.35,1500,22500
CROMPTON_F2,08/04/2022,15:25:00,386.80,386.80,386.80,386.80,1500,24000
CROMPTON_F2,08/04/2022,15:27:00,385.90,385.90,385.20,385.20,3000,24000
CROMPTON_F2,08/04/2022,15:29:00,382.45,382.45,382.00,382.00,9000,25500
CROMPTON_F2,08/05/2022,09:15:00,382.00,382.00,377.00,377.00,3000,25500
CROMPTON_F2,08/05/2022,09:16:00,377.00,377.00,368.05,374.00,12000,25500
CROMPTON_F2,08/05/2022,09:17:00,371.20,371.20,371.20,371.20,4500,33000
CROMPTON_F2,08/05/2022,09:18:00,371.60,371.60,370.50,370.50,7500,33000
CROMPTON_F2,08/05/2022,09:20:00,374.85,374.85,374.60,374.60,3000,40500
CROMPTON_F2,08/05/2022,09:22:00,376.90,376.90,376.90,376.90,1500,40500
CROMPTON_F2,08/05/2022,09:24:00,376.65,376.65,376.65,376.65,1500,43500
CROMPTON_F2,08/05/2022,09:26:00,376.45,376.45,376.45,376.45,1500,43500
CROMPTON_F2,08/05/2022,09:31:00,376.50,376.50,376.50,376.50,1500,43500
CROMPTON_F2,08/05/2022,09:32:00,376.25,376.25,376.25,376.25,1500,43500
CROMPTON_F2,08/05/2022,09:34:00,376.50,376.50,376.50,376.50,1500,43500
CROMPTON_F2,08/05/2022,09:38:00,377.30,377.30,377.30,377.30,1500,43500
CROMPTON_F2,08/05/2022,09:39:00,378.05,378.05,378.05,378.05,4500,43500
CROMPTON_F2,08/05/2022,09:41:00,377.10,377.10,377.10,377.10,1500,42000
CROMPTON_F2,08/05/2022,09:42:00,377.05,377.05,377.05,377.05,1500,42000
CROMPTON_F2,08/05/2022,09:51:00,377.95,377.95,377.95,377.95,1500,45000
CROMPTON_F2,08/05/2022,09:52:00,377.25,377.25,377.25,377.25,1500,45000
CROMPTON_F2,08/05/2022,09:55:00,377.90,377.90,377.90,377.90,1500,46500
CROMPTON_F2,08/05/2022,10:01:00,378.00,378.00,378.00,378.00,10500,46500
CROMPTON_F2,08/05/2022,10:04:00,377.80,377.80,377.80,377.80,1500,42000
CROMPTON_F2,08/05/2022,10:07:00,377.70,377.70,377.70,377.70,1500,42000
CROMPTON_F2,08/05/2022,10:08:00,379.05,379.10,379.05,379.10,4500,40500
CROMPTON_F2,08/05/2022,10:19:00,379.10,379.10,378.45,378.45,4500,42000
CROMPTON_F2,08/05/2022,10:24:00,378.85,378.85,378.85,378.85,1500,42000
CROMPTON_F2,08/05/2022,10:35:00,378.55,378.55,378.55,378.55,1500,42000
CROMPTON_F2,08/05/2022,11:21:00,378.60,378.60,378.60,378.60,1500,42000
CROMPTON_F2,08/05/2022,11:23:00,377.65,377.65,377.65,377.65,1500,42000
CROMPTON_F2,08/05/2022,11:24:00,377.45,377.45,377.45,377.45,1500,42000
CROMPTON_F2,08/05/2022,11:27:00,378.15,378.15,378.15,378.15,3000,40500
CROMPTON_F2,08/05/2022,11:30:00,377.65,377.65,377.50,377.50,3000,40500
CROMPTON_F2,08/05/2022,11:35:00,377.55,377.55,377.55,377.55,1500,42000
CROMPTON_F2,08/05/2022,11:42:00,378.05,378.30,378.05,378.30,3000,42000
CROMPTON_F2,08/05/2022,11:46:00,379.00,379.00,379.00,379.00,1500,40500
CROMPTON_F2,08/05/2022,11:49:00,379.45,379.45,379.45,379.45,1500,40500
CROMPTON_F2,08/05/2022,11:53:00,379.45,379.45,379.45,379.45,1500,42000
CROMPTON_F2,08/05/2022,12:02:00,379.00,379.00,379.00,379.00,4500,40500
CROMPTON_F2,08/05/2022,12:23:00,379.90,379.90,379.90,379.90,1500,42000
