<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ESCORTS_F2,08/01/2022,09:19:00,1692.65,1692.65,1692.65,1692.65,551,20350
ESCORTS_F2,08/01/2022,09:34:00,1702.00,1702.00,1702.00,1702.00,550,20350
ESCORTS_F2,08/01/2022,09:40:00,1705.00,1705.00,1705.00,1705.00,550,20900
ESCORTS_F2,08/01/2022,09:51:00,1705.00,1705.00,1705.00,1705.00,1100,20900
ESCORTS_F2,08/01/2022,09:59:00,1701.35,1701.35,1701.35,1701.35,550,20350
ESCORTS_F2,08/01/2022,10:22:00,1709.20,1709.20,1709.20,1709.20,550,20900
ESCORTS_F2,08/01/2022,10:31:00,1709.20,1709.20,1709.20,1709.20,1100,21450
ESCORTS_F2,08/01/2022,12:17:00,1700.40,1700.40,1700.40,1700.40,550,22550
ESCORTS_F2,08/01/2022,12:47:00,1703.55,1703.55,1703.55,1703.55,550,22550
ESCORTS_F2,08/01/2022,13:05:00,1715.00,1715.00,1715.00,1715.00,550,22550
ESCORTS_F2,08/01/2022,13:07:00,1715.00,1715.00,1715.00,1715.00,550,22000
ESCORTS_F2,08/01/2022,13:11:00,1715.00,1715.00,1715.00,1715.00,550,22000
ESCORTS_F2,08/01/2022,14:50:00,1715.00,1715.00,1715.00,1715.00,550,22550
ESCORTS_F2,08/01/2022,14:53:00,1708.95,1708.95,1708.95,1708.95,550,22550
ESCORTS_F2,08/01/2022,15:07:00,1707.00,1707.00,1707.00,1707.00,550,22550
ESCORTS_F2,08/01/2022,15:24:00,1703.00,1703.00,1703.00,1703.00,550,23100
ESCORTS_F2,08/02/2022,09:19:00,1621.00,1621.05,1621.00,1621.05,2201,23650
ESCORTS_F2,08/02/2022,09:20:00,1615.15,1615.15,1600.00,1600.00,1100,24750
ESCORTS_F2,08/02/2022,09:21:00,1600.00,1600.00,1600.00,1600.00,550,24750
ESCORTS_F2,08/02/2022,09:22:00,1614.60,1614.60,1614.60,1614.60,550,24750
ESCORTS_F2,08/02/2022,09:26:00,1610.00,1610.00,1610.00,1610.00,550,26400
ESCORTS_F2,08/02/2022,09:32:00,1615.00,1615.00,1615.00,1615.00,550,26400
ESCORTS_F2,08/02/2022,09:34:00,1616.00,1616.00,1616.00,1616.00,550,26400
ESCORTS_F2,08/02/2022,09:36:00,1620.00,1620.00,1620.00,1620.00,1100,27500
ESCORTS_F2,08/02/2022,09:38:00,1611.00,1611.00,1611.00,1611.00,550,28050
ESCORTS_F2,08/02/2022,09:49:00,1609.95,1609.95,1609.95,1609.95,550,28050
ESCORTS_F2,08/02/2022,09:50:00,1609.95,1609.95,1609.00,1609.00,1650,29700
ESCORTS_F2,08/02/2022,09:52:00,1608.45,1608.45,1608.45,1608.45,550,29700
ESCORTS_F2,08/02/2022,09:53:00,1609.00,1609.00,1609.00,1609.00,550,29700
