<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
INDUSINDBK_F3,08/01/2022,09:17:00,1046.50,1046.50,1043.00,1043.00,2701,17100
INDUSINDBK_F3,08/01/2022,09:18:00,1040.00,1040.00,1040.00,1040.00,900,17100
INDUSINDBK_F3,08/01/2022,09:26:00,1035.00,1035.00,1035.00,1035.00,900,19800
INDUSINDBK_F3,08/01/2022,09:49:00,1033.00,1033.00,1033.00,1033.00,900,20700
INDUSINDBK_F3,08/01/2022,09:58:00,1026.00,1026.00,1026.00,1026.00,4500,20700
INDUSINDBK_F3,08/01/2022,10:06:00,1026.00,1026.00,1026.00,1026.00,900,22500
INDUSINDBK_F3,08/01/2022,10:19:00,1031.60,1031.60,1031.60,1031.60,900,22500
INDUSINDBK_F3,08/01/2022,10:22:00,1032.10,1032.10,1032.10,1032.10,900,23400
INDUSINDBK_F3,08/01/2022,10:30:00,1032.10,1032.10,1032.10,1032.10,900,23400
INDUSINDBK_F3,08/01/2022,10:43:00,1037.90,1037.90,1037.90,1037.90,900,24300
INDUSINDBK_F3,08/01/2022,11:25:00,1032.00,1032.00,1032.00,1032.00,900,24300
INDUSINDBK_F3,08/01/2022,12:35:00,1032.10,1032.10,1032.10,1032.10,900,23400
INDUSINDBK_F3,08/01/2022,12:55:00,1035.40,1035.40,1035.40,1035.40,900,23400
INDUSINDBK_F3,08/01/2022,13:08:00,1035.00,1035.00,1035.00,1035.00,900,24300
INDUSINDBK_F3,08/01/2022,13:09:00,1034.70,1034.70,1034.70,1034.70,900,25200
INDUSINDBK_F3,08/01/2022,13:34:00,1040.00,1041.00,1040.00,1041.00,2700,26100
INDUSINDBK_F3,08/01/2022,13:35:00,1041.20,1041.20,1041.20,1041.20,900,26100
INDUSINDBK_F3,08/01/2022,13:36:00,1039.00,1039.00,1039.00,1039.00,900,24300
INDUSINDBK_F3,08/01/2022,13:55:00,1042.50,1042.50,1042.50,1042.50,900,25200
INDUSINDBK_F3,08/01/2022,13:56:00,1040.60,1040.60,1040.60,1040.60,900,25200
INDUSINDBK_F3,08/01/2022,14:24:00,1041.50,1041.50,1041.50,1041.50,900,26100
INDUSINDBK_F3,08/01/2022,14:29:00,1045.15,1045.15,1044.95,1044.95,1800,25200
INDUSINDBK_F3,08/01/2022,14:34:00,1045.15,1045.15,1044.50,1044.50,1800,26100
INDUSINDBK_F3,08/01/2022,14:38:00,1044.75,1044.75,1044.75,1044.75,900,27900
INDUSINDBK_F3,08/01/2022,14:43:00,1046.00,1046.30,1046.00,1046.30,1800,27000
INDUSINDBK_F3,08/01/2022,14:47:00,1045.05,1045.05,1045.05,1045.05,900,28800
INDUSINDBK_F3,08/01/2022,15:00:00,1045.95,1045.95,1045.95,1045.95,900,29700
INDUSINDBK_F3,08/01/2022,15:01:00,1046.50,1046.50,1046.50,1046.50,900,29700
INDUSINDBK_F3,08/01/2022,15:06:00,1045.10,1045.10,1045.10,1045.10,900,30600
INDUSINDBK_F3,08/01/2022,15:14:00,1040.00,1040.00,1040.00,1040.00,900,30600
INDUSINDBK_F3,08/01/2022,15:15:00,1038.45,1038.45,1038.45,1038.45,900,31500
INDUSINDBK_F3,08/01/2022,15:25:00,1039.65,1039.65,1039.65,1039.65,1800,30600
INDUSINDBK_F3,08/01/2022,15:30:00,1040.90,1040.90,1040.90,1040.90,900,28800
INDUSINDBK_F3,08/02/2022,09:16:00,1042.30,1042.30,1042.10,1042.10,1802,27000
INDUSINDBK_F3,08/02/2022,09:21:00,1044.80,1044.80,1044.80,1044.80,900,27900
INDUSINDBK_F3,08/02/2022,09:23:00,1044.80,1044.80,1044.80,1044.80,900,27900
INDUSINDBK_F3,08/02/2022,09:36:00,1054.80,1054.80,1054.80,1054.80,900,28800
INDUSINDBK_F3,08/02/2022,09:37:00,1055.00,1056.80,1055.00,1056.80,1800,28800
INDUSINDBK_F3,08/02/2022,09:39:00,1060.00,1060.00,1060.00,1060.00,900,29700
INDUSINDBK_F3,08/02/2022,09:40:00,1063.00,1063.00,1063.00,1063.00,900,29700
INDUSINDBK_F3,08/02/2022,09:41:00,1063.00,1064.25,1063.00,1064.25,2700,31500
INDUSINDBK_F3,08/02/2022,09:45:00,1064.25,1064.25,1064.25,1064.25,900,32400
INDUSINDBK_F3,08/02/2022,09:47:00,1059.90,1059.90,1059.90,1059.90,900,32400
INDUSINDBK_F3,08/02/2022,09:49:00,1058.80,1058.80,1058.80,1058.80,1800,33300
INDUSINDBK_F3,08/02/2022,10:05:00,1055.85,1055.85,1055.85,1055.85,900,32400
INDUSINDBK_F3,08/02/2022,10:09:00,1055.00,1055.00,1055.00,1055.00,900,33300
INDUSINDBK_F3,08/02/2022,10:11:00,1052.00,1052.00,1052.00,1052.00,900,33300
INDUSINDBK_F3,08/02/2022,10:12:00,1051.30,1051.30,1051.30,1051.30,900,34200
INDUSINDBK_F3,08/02/2022,10:15:00,1051.00,1051.00,1051.00,1051.00,900,33300
INDUSINDBK_F3,08/02/2022,10:19:00,1050.80,1050.80,1050.80,1050.80,900,34200
INDUSINDBK_F3,08/02/2022,10:30:00,1050.80,1050.80,1050.80,1050.80,900,35100
INDUSINDBK_F3,08/02/2022,10:31:00,1051.40,1051.40,1051.40,1051.40,900,35100
INDUSINDBK_F3,08/02/2022,10:33:00,1050.80,1050.80,1050.80,1050.80,900,34200
INDUSINDBK_F3,08/02/2022,10:37:00,1053.25,1053.25,1053.25,1053.25,1800,33300
INDUSINDBK_F3,08/02/2022,10:42:00,1056.35,1056.35,1056.35,1056.35,900,33300
INDUSINDBK_F3,08/02/2022,10:51:00,1057.00,1057.00,1057.00,1057.00,900,33300
INDUSINDBK_F3,08/02/2022,11:16:00,1061.20,1061.20,1060.85,1060.85,1800,33300
INDUSINDBK_F3,08/02/2022,11:19:00,1060.00,1060.00,1060.00,1060.00,900,35100
