<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
LT_F3,08/01/2022,10:50:00,1830.65,1830.65,1830.65,1830.65,301,3000
LT_F3,08/01/2022,10:53:00,1829.45,1829.45,1829.45,1829.45,300,3000
LT_F3,08/01/2022,11:41:00,1825.45,1825.45,1825.45,1825.45,300,3300
LT_F3,08/01/2022,12:47:00,1825.45,1831.50,1825.45,1831.50,600,3600
LT_F3,08/01/2022,14:31:00,1832.00,1832.00,1832.00,1832.00,300,4200
LT_F3,08/01/2022,14:43:00,1837.00,1837.00,1837.00,1837.00,300,4500
LT_F3,08/01/2022,14:44:00,1837.00,1837.00,1837.00,1837.00,300,4500
LT_F3,08/01/2022,15:26:00,1838.00,1838.00,1838.00,1838.00,600,4800
LT_F3,08/02/2022,09:18:00,1832.70,1835.15,1832.70,1835.15,2402,5400
LT_F3,08/02/2022,09:52:00,1818.20,1818.20,1818.20,1818.20,300,7800
LT_F3,08/02/2022,09:58:00,1806.00,1806.00,1806.00,1806.00,300,8100
LT_F3,08/02/2022,10:04:00,1803.35,1803.35,1803.35,1803.35,300,8400
LT_F3,08/02/2022,10:13:00,1801.00,1801.00,1801.00,1801.00,300,8700
LT_F3,08/02/2022,10:26:00,1800.00,1800.00,1800.00,1800.00,300,8700
LT_F3,08/02/2022,10:29:00,1798.00,1798.00,1798.00,1798.00,600,8700
LT_F3,08/02/2022,10:30:00,1798.00,1798.00,1798.00,1798.00,300,9600
LT_F3,08/02/2022,10:36:00,1806.00,1806.00,1806.00,1806.00,300,9900
LT_F3,08/02/2022,11:45:00,1820.30,1820.30,1820.30,1820.30,300,9600
LT_F3,08/02/2022,12:37:00,1810.00,1810.00,1810.00,1810.00,300,9600
LT_F3,08/02/2022,13:02:00,1807.00,1807.00,1807.00,1807.00,300,9900
LT_F3,08/02/2022,13:14:00,1806.00,1806.00,1806.00,1806.00,300,10200
LT_F3,08/02/2022,13:16:00,1806.00,1806.00,1806.00,1806.00,300,10500
LT_F3,08/02/2022,14:41:00,1822.75,1822.75,1822.75,1822.75,600,10800
LT_F3,08/02/2022,14:50:00,1822.75,1822.75,1822.75,1822.75,300,11400
LT_F3,08/02/2022,15:09:00,1818.20,1818.20,1818.20,1818.20,300,11100
LT_F3,08/02/2022,15:11:00,1815.80,1815.80,1815.80,1815.80,300,10800
LT_F3,08/02/2022,15:14:00,1817.70,1817.70,1817.70,1817.70,300,10800
LT_F3,08/02/2022,15:27:00,1808.60,1808.60,1808.60,1808.60,600,10800
