<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TATAMOTORS_F3,08/01/2022,09:15:00,458.00,458.00,458.00,458.00,2851,79800
TATAMOTORS_F3,08/01/2022,09:16:00,459.00,459.00,459.00,459.00,1425,79800
TATAMOTORS_F3,08/01/2022,09:17:00,459.00,459.00,459.00,459.00,2850,75525
TATAMOTORS_F3,08/01/2022,09:20:00,459.00,459.00,459.00,459.00,1425,78375
TATAMOTORS_F3,08/01/2022,09:21:00,458.00,458.25,458.00,458.00,9975,78375
TATAMOTORS_F3,08/01/2022,09:23:00,462.00,462.00,462.00,462.00,1425,84075
TATAMOTORS_F3,08/01/2022,09:27:00,463.05,463.05,463.05,463.05,1425,84075
TATAMOTORS_F3,08/01/2022,09:30:00,463.05,463.05,463.00,463.00,4275,85500
TATAMOTORS_F3,08/01/2022,09:32:00,462.50,462.50,462.50,462.50,2850,85500
TATAMOTORS_F3,08/01/2022,09:33:00,463.60,463.60,463.60,463.60,4275,91200
TATAMOTORS_F3,08/01/2022,09:34:00,465.00,465.50,465.00,465.50,8550,91200
TATAMOTORS_F3,08/01/2022,09:35:00,465.50,465.50,465.50,465.50,7125,109725
TATAMOTORS_F3,08/01/2022,09:36:00,466.00,466.40,466.00,466.40,4275,109725
TATAMOTORS_F3,08/01/2022,09:37:00,466.40,466.40,466.40,466.40,1425,109725
TATAMOTORS_F3,08/01/2022,09:38:00,465.50,465.50,465.50,465.50,1425,109725
TATAMOTORS_F3,08/01/2022,09:41:00,468.10,468.10,468.10,468.10,1425,115425
TATAMOTORS_F3,08/01/2022,09:42:00,470.00,470.00,469.70,470.00,8550,115425
TATAMOTORS_F3,08/01/2022,09:44:00,472.05,472.05,472.05,472.05,2850,115425
TATAMOTORS_F3,08/01/2022,09:45:00,471.10,471.10,471.05,471.05,2850,125400
TATAMOTORS_F3,08/01/2022,09:46:00,471.25,471.25,471.25,471.25,1425,125400
TATAMOTORS_F3,08/01/2022,09:48:00,474.00,475.00,474.00,474.65,11400,128250
TATAMOTORS_F3,08/01/2022,09:49:00,474.65,474.65,474.65,474.65,1425,128250
TATAMOTORS_F3,08/01/2022,09:50:00,474.45,474.95,474.45,474.95,2850,128250
TATAMOTORS_F3,08/01/2022,09:51:00,474.50,474.50,474.50,474.50,1425,136800
TATAMOTORS_F3,08/01/2022,09:54:00,473.45,473.45,473.45,473.45,1425,135375
TATAMOTORS_F3,08/01/2022,10:08:00,471.00,471.00,471.00,471.00,2850,136800
TATAMOTORS_F3,08/01/2022,10:15:00,472.85,472.85,472.85,472.85,1425,139650
TATAMOTORS_F3,08/01/2022,10:20:00,471.60,471.60,471.60,471.60,1425,139650
TATAMOTORS_F3,08/01/2022,10:29:00,472.60,472.60,472.60,472.60,2850,139650
TATAMOTORS_F3,08/01/2022,10:34:00,472.10,472.10,472.10,472.10,1425,142500
TATAMOTORS_F3,08/01/2022,10:35:00,471.85,471.85,471.85,471.85,1425,142500
TATAMOTORS_F3,08/01/2022,10:37:00,473.00,473.35,473.00,473.35,5700,143925
TATAMOTORS_F3,08/01/2022,10:40:00,473.00,473.00,473.00,473.00,1425,143925
TATAMOTORS_F3,08/01/2022,10:41:00,473.95,473.95,473.95,473.95,1425,142500
TATAMOTORS_F3,08/01/2022,10:42:00,474.60,474.60,474.60,474.60,1425,142500
TATAMOTORS_F3,08/01/2022,10:49:00,474.00,474.00,474.00,474.00,1425,145350
TATAMOTORS_F3,08/01/2022,10:53:00,473.40,473.40,473.40,473.40,1425,146775
TATAMOTORS_F3,08/01/2022,10:55:00,474.00,474.00,474.00,474.00,1425,146775
TATAMOTORS_F3,08/01/2022,10:57:00,474.00,474.00,473.80,473.80,2850,145350
TATAMOTORS_F3,08/01/2022,11:02:00,475.00,475.00,475.00,475.00,4275,146775
TATAMOTORS_F3,08/01/2022,11:04:00,475.00,475.00,475.00,475.00,1425,143925
TATAMOTORS_F3,08/01/2022,11:09:00,475.00,475.00,475.00,475.00,1425,145350
TATAMOTORS_F3,08/01/2022,11:14:00,474.90,474.90,474.90,474.90,5700,143925
TATAMOTORS_F3,08/01/2022,11:16:00,474.25,474.25,474.25,474.25,2850,149625
TATAMOTORS_F3,08/01/2022,11:21:00,475.20,475.20,475.20,475.20,7125,148200
TATAMOTORS_F3,08/01/2022,11:25:00,475.80,475.80,475.80,475.80,1425,155325
TATAMOTORS_F3,08/01/2022,11:36:00,475.95,475.95,475.95,475.95,1425,155325
TATAMOTORS_F3,08/01/2022,11:37:00,476.00,476.00,476.00,476.00,1425,155325
TATAMOTORS_F3,08/01/2022,11:45:00,476.00,476.00,476.00,476.00,1425,155325
TATAMOTORS_F3,08/01/2022,11:55:00,474.30,474.30,474.30,474.30,1425,155325
TATAMOTORS_F3,08/01/2022,11:56:00,474.15,474.15,474.15,474.15,1425,156750
TATAMOTORS_F3,08/01/2022,12:00:00,474.00,474.15,473.95,473.95,4275,156750
TATAMOTORS_F3,08/01/2022,12:15:00,476.00,476.00,476.00,476.00,1425,158175
TATAMOTORS_F3,08/01/2022,12:18:00,475.95,475.95,475.95,475.95,1425,158175
TATAMOTORS_F3,08/01/2022,12:30:00,473.90,473.90,473.90,473.90,1425,159600
TATAMOTORS_F3,08/01/2022,12:32:00,474.40,474.40,474.25,474.25,4275,159600
TATAMOTORS_F3,08/01/2022,12:34:00,474.60,474.60,474.60,474.60,1425,159600
TATAMOTORS_F3,08/01/2022,12:35:00,475.55,475.55,475.55,475.55,1425,159600
TATAMOTORS_F3,08/01/2022,12:36:00,475.90,475.90,475.90,475.90,1425,159600
TATAMOTORS_F3,08/01/2022,12:46:00,475.50,475.50,475.50,475.50,1425,161025
TATAMOTORS_F3,08/01/2022,12:47:00,475.50,475.50,475.50,475.50,1425,161025
TATAMOTORS_F3,08/01/2022,12:51:00,475.65,475.65,475.65,475.65,1425,158175
TATAMOTORS_F3,08/01/2022,12:53:00,475.65,475.65,475.65,475.65,1425,158175
TATAMOTORS_F3,08/01/2022,12:58:00,477.00,477.00,477.00,477.00,2850,156750
TATAMOTORS_F3,08/01/2022,13:01:00,477.30,477.45,477.30,477.45,2850,156750
TATAMOTORS_F3,08/01/2022,13:12:00,477.45,477.45,477.45,477.45,1425,156750
TATAMOTORS_F3,08/01/2022,13:22:00,477.30,477.30,477.30,477.30,1425,158175
TATAMOTORS_F3,08/01/2022,13:29:00,477.30,477.30,477.30,477.30,1425,156750
TATAMOTORS_F3,08/01/2022,13:30:00,477.30,477.30,477.30,477.30,1425,156750
TATAMOTORS_F3,08/01/2022,13:34:00,477.15,477.15,477.15,477.15,1425,158175
TATAMOTORS_F3,08/01/2022,13:38:00,476.50,476.50,476.50,476.50,1425,156750
TATAMOTORS_F3,08/01/2022,13:51:00,477.00,477.00,477.00,477.00,1425,156750
TATAMOTORS_F3,08/01/2022,13:53:00,477.80,477.80,477.80,477.80,1425,156750
TATAMOTORS_F3,08/01/2022,13:54:00,478.40,478.40,478.40,478.40,5700,156750
TATAMOTORS_F3,08/01/2022,14:02:00,478.40,478.40,478.40,478.40,2850,155325
TATAMOTORS_F3,08/01/2022,14:03:00,478.70,478.70,478.70,478.70,1425,158175
TATAMOTORS_F3,08/01/2022,14:14:00,480.00,480.00,480.00,480.00,4275,159600
TATAMOTORS_F3,08/01/2022,14:18:00,480.00,480.00,480.00,480.00,2850,162450
TATAMOTORS_F3,08/01/2022,14:19:00,480.00,480.35,480.00,480.35,4275,162450
TATAMOTORS_F3,08/01/2022,14:22:00,480.35,480.35,480.00,480.00,2850,159600
TATAMOTORS_F3,08/01/2022,14:29:00,481.50,481.50,481.50,481.50,1425,159600
TATAMOTORS_F3,08/01/2022,14:36:00,481.50,481.50,481.50,481.50,1425,159600
TATAMOTORS_F3,08/01/2022,14:37:00,482.65,482.65,482.65,482.65,1425,159600
TATAMOTORS_F3,08/01/2022,14:38:00,483.05,483.05,483.05,483.05,1425,159600
TATAMOTORS_F3,08/01/2022,14:39:00,483.05,483.05,483.05,483.05,1425,159600
TATAMOTORS_F3,08/01/2022,14:43:00,484.00,484.00,484.00,484.00,1425,163875
TATAMOTORS_F3,08/01/2022,14:45:00,484.00,484.00,484.00,484.00,2850,163875
TATAMOTORS_F3,08/01/2022,14:46:00,483.60,483.60,483.60,483.60,1425,163875
TATAMOTORS_F3,08/01/2022,14:48:00,484.50,484.50,484.50,484.50,1425,168150
TATAMOTORS_F3,08/01/2022,14:49:00,484.50,484.50,484.00,484.00,2850,168150
TATAMOTORS_F3,08/01/2022,14:51:00,485.40,485.40,485.40,485.40,5700,168150
TATAMOTORS_F3,08/01/2022,14:52:00,485.60,485.60,485.60,485.60,5700,173850
TATAMOTORS_F3,08/01/2022,14:54:00,485.55,485.55,485.55,485.55,2850,179550
TATAMOTORS_F3,08/01/2022,14:57:00,485.05,485.05,485.05,485.05,1425,182400
TATAMOTORS_F3,08/01/2022,14:58:00,485.30,485.30,485.30,485.30,1425,182400
TATAMOTORS_F3,08/01/2022,15:00:00,485.00,485.00,484.90,484.90,7125,183825
TATAMOTORS_F3,08/01/2022,15:04:00,484.90,484.90,484.90,484.90,1425,183825
TATAMOTORS_F3,08/01/2022,15:06:00,485.90,485.90,485.90,485.90,1425,183825
TATAMOTORS_F3,08/01/2022,15:07:00,485.90,485.90,485.90,485.90,1425,183825
TATAMOTORS_F3,08/01/2022,15:12:00,485.00,485.00,485.00,485.00,5700,186675
TATAMOTORS_F3,08/01/2022,15:13:00,484.30,484.30,484.30,484.30,1425,192375
TATAMOTORS_F3,08/01/2022,15:14:00,484.00,484.00,484.00,484.00,1425,192375
TATAMOTORS_F3,08/01/2022,15:18:00,484.40,484.40,484.40,484.40,2850,192375
TATAMOTORS_F3,08/01/2022,15:20:00,485.30,485.80,485.30,485.80,8550,192375
TATAMOTORS_F3,08/01/2022,15:23:00,484.90,484.90,484.90,484.90,4275,188100
TATAMOTORS_F3,08/01/2022,15:24:00,484.80,484.80,484.70,484.70,11400,189525
TATAMOTORS_F3,08/01/2022,15:25:00,484.70,484.70,484.70,484.70,1425,189525
TATAMOTORS_F3,08/01/2022,15:26:00,484.70,484.70,484.70,484.70,2850,189525
