<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TORNTPHARM_F1,08/01/2022,09:15:00,1554.80,1555.00,1546.00,1554.75,8501,1515500
TORNTPHARM_F1,08/01/2022,09:16:00,1558.25,1558.25,1549.50,1554.80,16000,1515500
TORNTPHARM_F1,08/01/2022,09:17:00,1555.95,1558.60,1555.95,1556.00,13000,1515500
TORNTPHARM_F1,08/01/2022,09:18:00,1550.15,1550.15,1545.95,1549.05,8000,1532000
TORNTPHARM_F1,08/01/2022,09:19:00,1548.90,1551.80,1548.90,1551.80,2500,1532000
TORNTPHARM_F1,08/01/2022,09:20:00,1552.30,1554.15,1552.00,1552.00,3000,1533500
TORNTPHARM_F1,08/01/2022,09:21:00,1553.00,1554.60,1551.55,1551.55,5500,1533500
TORNTPHARM_F1,08/01/2022,09:22:00,1547.35,1547.35,1538.00,1538.70,9500,1533500
TORNTPHARM_F1,08/01/2022,09:23:00,1541.85,1541.85,1538.70,1540.00,3000,1534500
TORNTPHARM_F1,08/01/2022,09:24:00,1539.70,1539.70,1535.40,1535.40,7000,1534500
TORNTPHARM_F1,08/01/2022,09:25:00,1535.40,1545.75,1535.00,1545.75,8000,1534500
TORNTPHARM_F1,08/01/2022,09:26:00,1547.55,1554.20,1547.50,1551.35,4000,1538000
TORNTPHARM_F1,08/01/2022,09:27:00,1551.90,1551.90,1551.90,1551.90,500,1538000
TORNTPHARM_F1,08/01/2022,09:28:00,1557.55,1562.35,1553.70,1553.70,22000,1538000
TORNTPHARM_F1,08/01/2022,09:29:00,1551.90,1551.90,1548.25,1551.85,5500,1537500
TORNTPHARM_F1,08/01/2022,09:30:00,1552.25,1552.25,1549.40,1549.40,7000,1537500
TORNTPHARM_F1,08/01/2022,09:31:00,1551.80,1551.80,1545.95,1545.95,4500,1537500
TORNTPHARM_F1,08/01/2022,09:32:00,1546.05,1546.45,1543.65,1543.65,5500,1541000
TORNTPHARM_F1,08/01/2022,09:33:00,1546.90,1550.05,1546.90,1550.05,2000,1541000
TORNTPHARM_F1,08/01/2022,09:34:00,1552.10,1553.30,1547.95,1550.60,6000,1541000
TORNTPHARM_F1,08/01/2022,09:36:00,1550.00,1551.50,1550.00,1551.50,1500,1540500
TORNTPHARM_F1,08/01/2022,09:37:00,1551.15,1551.15,1549.00,1550.85,2000,1540500
TORNTPHARM_F1,08/01/2022,09:38:00,1551.15,1551.15,1550.75,1550.75,2500,1540500
TORNTPHARM_F1,08/01/2022,09:39:00,1551.75,1551.75,1549.65,1550.00,2000,1540500
