<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TRENT_F2,08/01/2022,09:16:00,1284.40,1284.40,1284.40,1284.40,726,47850
TRENT_F2,08/01/2022,09:20:00,1289.15,1289.15,1289.15,1289.15,725,47850
TRENT_F2,08/01/2022,09:22:00,1289.15,1289.15,1289.15,1289.15,725,47850
TRENT_F2,08/01/2022,09:26:00,1283.90,1283.90,1283.90,1283.90,725,47850
TRENT_F2,08/01/2022,09:30:00,1283.90,1283.90,1283.90,1283.90,725,47850
TRENT_F2,08/01/2022,09:34:00,1290.65,1290.65,1290.65,1290.65,725,48575
TRENT_F2,08/01/2022,09:41:00,1291.15,1291.15,1291.15,1291.15,725,48575
TRENT_F2,08/01/2022,10:32:00,1291.50,1291.50,1291.50,1291.50,725,48575
TRENT_F2,08/01/2022,11:31:00,1291.50,1291.50,1291.50,1291.50,725,49300
TRENT_F2,08/01/2022,11:39:00,1294.60,1294.60,1294.60,1294.60,1450,49300
TRENT_F2,08/01/2022,12:07:00,1294.60,1294.60,1294.60,1294.60,1450,50750
TRENT_F2,08/01/2022,12:17:00,1294.20,1294.20,1294.20,1294.20,725,50025
TRENT_F2,08/01/2022,12:19:00,1290.50,1290.50,1290.50,1290.50,2175,50750
TRENT_F2,08/01/2022,13:34:00,1283.00,1283.00,1283.00,1283.00,725,51475
TRENT_F2,08/01/2022,13:41:00,1283.00,1283.00,1283.00,1283.00,725,51475
TRENT_F2,08/01/2022,13:44:00,1289.30,1289.30,1289.30,1289.30,725,52200
TRENT_F2,08/01/2022,14:05:00,1294.95,1294.95,1294.95,1294.95,725,52925
TRENT_F2,08/01/2022,14:06:00,1300.80,1300.80,1300.80,1300.80,2175,53650
TRENT_F2,08/01/2022,14:08:00,1307.20,1307.20,1307.20,1307.20,1450,53650
TRENT_F2,08/01/2022,14:14:00,1308.55,1308.55,1308.55,1308.55,1450,55825
TRENT_F2,08/01/2022,14:16:00,1306.20,1306.20,1306.20,1306.20,1450,55825
