<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
ABB_F2,01-08-2023,09:15:00,4631.0,4631.0,4631.0,4631.0,251,28250
ABB_F2,01-08-2023,09:18:00,4611.0,4611.0,4611.0,4611.0,250,28250
ABB_F2,01-08-2023,09:23:00,4598.0,4598.0,4598.0,4598.0,250,28250
ABB_F2,01-08-2023,09:33:00,4581.0,4581.0,4581.0,4581.0,250,28250
ABB_F2,01-08-2023,09:36:00,4580.0,4580.0,4580.0,4580.0,250,28000
ABB_F2,01-08-2023,10:09:00,4568.0,4568.0,4568.0,4568.0,250,27750
ABB_F2,01-08-2023,10:11:00,4568.0,4568.0,4568.0,4568.0,250,27750
ABB_F2,01-08-2023,10:15:00,4561.0,4561.0,4561.0,4561.0,250,27500
ABB_F2,01-08-2023,10:51:00,4558.0,4558.0,4558.0,4558.0,250,27500
ABB_F2,01-08-2023,11:50:00,4558.0,4558.0,4558.0,4558.0,250,27750
ABB_F2,01-08-2023,13:17:00,4553.3501,4553.3501,4553.3501,4553.3501,500,28000
ABB_F2,01-08-2023,14:07:00,4553.3501,4570.0,4553.3501,4570.0,500,27500
ABB_F2,01-08-2023,14:08:00,4570.0,4570.0,4570.0,4570.0,250,27500
ABB_F2,01-08-2023,14:45:00,4560.0,4560.0,4560.0,4560.0,250,28250
ABB_F2,01-08-2023,15:11:00,4565.3999,4565.3999,4565.3999,4565.3999,250,28250
ABB_F2,01-08-2023,15:29:00,4577.4502,4577.4502,4577.4502,4577.4502,250,28000
ABB_F2,02-08-2023,09:19:00,4574.1499,4575.0,4574.1499,4575.0,501,27750
ABB_F2,02-08-2023,09:20:00,4580.0,4580.0,4580.0,4580.0,500,28000
ABB_F2,02-08-2023,09:27:00,4580.7998,4580.7998,4580.7998,4580.7998,250,28500
ABB_F2,02-08-2023,09:31:00,4580.7998,4580.7998,4580.7998,4580.7998,250,28500
ABB_F2,02-08-2023,09:35:00,4563.0,4563.0,4563.0,4563.0,250,28500
ABB_F2,02-08-2023,10:03:00,4563.0,4563.0,4563.0,4563.0,250,28500
ABB_F2,02-08-2023,10:09:00,4594.0,4595.0,4594.0,4595.0,500,28500
ABB_F2,02-08-2023,10:16:00,4595.0,4595.0,4595.0,4595.0,250,28500
ABB_F2,02-08-2023,10:24:00,4575.0,4575.0,4575.0,4575.0,250,28250
ABB_F2,02-08-2023,11:05:00,4542.0498,4542.0498,4542.0498,4542.0498,1250,28250
ABB_F2,02-08-2023,11:32:00,4541.0,4541.0,4541.0,4541.0,1000,28500
ABB_F2,02-08-2023,11:43:00,4523.75,4523.75,4523.75,4523.75,250,28500
ABB_F2,02-08-2023,11:53:00,4522.0,4522.0,4522.0,4522.0,250,28500
ABB_F2,02-08-2023,11:54:00,4513.75,4513.75,4513.75,4513.75,500,28500
ABB_F2,02-08-2023,12:13:00,4513.75,4513.75,4513.75,4513.75,250,28500
ABB_F2,02-08-2023,12:18:00,4510.3501,4510.3501,4510.3501,4510.3501,250,28250
ABB_F2,02-08-2023,12:31:00,4500.0,4500.0,4500.0,4500.0,500,28250
ABB_F2,02-08-2023,12:32:00,4500.0,4500.0,4500.0,4500.0,500,28250
ABB_F2,02-08-2023,13:07:00,4491.25,4491.25,4491.25,4491.25,250,28250
ABB_F2,02-08-2023,13:15:00,4480.0,4480.0,4480.0,4480.0,250,28000
ABB_F2,02-08-2023,13:23:00,4472.4502,4472.4502,4472.4502,4472.4502,250,27750
ABB_F2,02-08-2023,13:31:00,4470.0,4470.0,4470.0,4470.0,750,28000
ABB_F2,02-08-2023,13:32:00,4466.0498,4466.0498,4466.0498,4466.0498,250,28000
ABB_F2,02-08-2023,13:35:00,4466.0498,4466.0498,4466.0498,4466.0498,250,27750
ABB_F2,02-08-2023,13:39:00,4468.2998,4468.2998,4468.2998,4468.2998,250,27750
ABB_F2,02-08-2023,13:43:00,4470.2998,4470.2998,4470.2998,4470.2998,250,28000
ABB_F2,02-08-2023,13:44:00,4463.6001,4463.6001,4463.6001,4463.6001,1000,28000
ABB_F2,02-08-2023,13:51:00,4463.6001,4463.6001,4463.6001,4463.6001,750,27000
ABB_F2,02-08-2023,13:54:00,4461.0,4461.0,4461.0,4461.0,250,27000
ABB_F2,02-08-2023,13:57:00,4450.0,4450.0,4450.0,4450.0,500,27000
ABB_F2,02-08-2023,14:00:00,4447.25,4447.25,4447.25,4447.25,250,27000
ABB_F2,02-08-2023,14:01:00,4447.25,4450.1001,4447.25,4450.1001,500,27000
ABB_F2,02-08-2023,14:36:00,4441.0,4441.0,4441.0,4441.0,500,26750
ABB_F2,02-08-2023,14:46:00,4441.0,4441.0,4441.0,4441.0,250,27250
