<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
DABUR_F1,01-08-2023,09:15:00,578.05,578.05,577.05,577.05,8752,13707500
DABUR_F1,01-08-2023,09:16:00,577.05,577.05,577.05,577.05,5000,13707500
DABUR_F1,01-08-2023,09:17:00,579.8,579.8,578.55,578.85,10000,13711250
DABUR_F1,01-08-2023,09:18:00,578.65,578.65,578.65,578.65,1250,13711250
DABUR_F1,01-08-2023,09:19:00,578.85,578.85,578.85,578.85,2500,13711250
DABUR_F1,01-08-2023,09:20:00,579.05,579.05,579.0,579.0,2500,13715000
DABUR_F1,01-08-2023,09:21:00,578.55,578.65,578.55,578.55,5000,13715000
DABUR_F1,01-08-2023,09:22:00,579.2,579.5,579.15,579.15,12500,13715000
DABUR_F1,01-08-2023,09:23:00,578.1,579.15,578.1,579.15,10000,13720000
DABUR_F1,01-08-2023,09:24:00,579.45,579.45,579.45,579.45,1250,13720000
DABUR_F1,01-08-2023,09:25:00,578.95,579.6,578.8,579.6,10000,13720000
DABUR_F1,01-08-2023,09:26:00,579.55,579.55,579.55,579.55,1250,13720000
DABUR_F1,01-08-2023,09:27:00,579.1,579.35,579.1,579.35,2500,13732500
DABUR_F1,01-08-2023,09:29:00,579.0,579.2,578.5,579.0,6250,13736250
DABUR_F1,01-08-2023,09:31:00,578.7,579.15,578.7,578.85,3750,13736250
DABUR_F1,01-08-2023,09:32:00,578.75,579.4,578.75,579.4,2500,13737500
DABUR_F1,01-08-2023,09:33:00,579.0,579.0,579.0,579.0,1250,13737500
DABUR_F1,01-08-2023,09:34:00,579.15,579.15,579.15,579.15,1250,13737500
DABUR_F1,01-08-2023,09:36:00,579.15,579.15,579.15,579.15,1250,13737500
DABUR_F1,01-08-2023,09:37:00,579.15,579.15,579.15,579.15,1250,13736250
DABUR_F1,01-08-2023,09:38:00,579.2,579.2,579.2,579.2,2500,13738750
DABUR_F1,01-08-2023,09:39:00,579.25,579.25,579.25,579.25,1250,13738750
DABUR_F1,01-08-2023,09:40:00,579.55,579.7,579.55,579.7,8750,13738750
DABUR_F1,01-08-2023,09:41:00,579.5,579.8,579.25,579.8,6250,13743750
DABUR_F1,01-08-2023,09:42:00,579.75,580.05,579.65,580.05,7500,13743750
DABUR_F1,01-08-2023,09:43:00,579.8,580.1,579.75,579.75,8750,13743750
