<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
DLF_F3,01-08-2023,09:15:00,520.05,520.05,520.05,520.05,3301,14850
DLF_F3,01-08-2023,09:20:00,519.7,519.7,519.0,519.0,3300,14850
DLF_F3,01-08-2023,09:22:00,522.65,522.65,519.0,519.0,6600,14850
DLF_F3,01-08-2023,09:29:00,519.2,519.2,519.2,519.2,1650,18150
DLF_F3,01-08-2023,09:30:00,518.0,518.0,518.0,518.0,1650,19800
DLF_F3,01-08-2023,09:33:00,518.0,518.0,518.0,518.0,1650,21450
DLF_F3,01-08-2023,09:35:00,520.0,520.0,520.0,520.0,1650,21450
DLF_F3,01-08-2023,09:39:00,519.7,519.7,519.7,519.7,1650,24750
DLF_F3,01-08-2023,09:40:00,519.7,519.7,519.7,519.7,3300,24750
DLF_F3,01-08-2023,09:45:00,520.75,520.75,520.75,520.75,1650,29700
DLF_F3,01-08-2023,11:08:00,508.35,508.35,508.35,508.35,1650,31350
DLF_F3,01-08-2023,11:09:00,508.0,508.0,508.0,508.0,1650,33000
DLF_F3,01-08-2023,12:02:00,508.0,508.0,508.0,508.0,16500,34650
DLF_F3,01-08-2023,12:15:00,513.1,513.1,512.9,512.9,3300,46200
DLF_F3,01-08-2023,12:16:00,513.1,513.1,513.1,513.1,3300,46200
DLF_F3,01-08-2023,12:42:00,510.0,510.0,510.0,510.0,3300,52800
DLF_F3,01-08-2023,13:21:00,511.1,511.1,511.1,511.1,1650,56100
DLF_F3,01-08-2023,13:24:00,510.9,510.9,510.9,510.9,1650,56100
DLF_F3,01-08-2023,14:10:00,510.0,510.0,510.0,510.0,1650,56100
DLF_F3,01-08-2023,14:40:00,511.0,511.0,511.0,511.0,1650,57750
DLF_F3,01-08-2023,15:04:00,511.75,511.75,511.75,511.75,1650,59400
DLF_F3,02-08-2023,09:15:00,504.75,504.75,504.55,504.55,3302,61050
DLF_F3,02-08-2023,09:17:00,500.45,500.45,500.45,500.45,1650,61050
DLF_F3,02-08-2023,09:21:00,500.45,500.45,500.45,500.45,1650,64350
DLF_F3,02-08-2023,09:22:00,501.6,501.6,501.6,501.6,1650,64350
DLF_F3,02-08-2023,09:28:00,500.0,500.0,500.0,500.0,3300,62700
DLF_F3,02-08-2023,10:06:00,510.25,510.25,510.25,510.25,1650,62700
