<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
HINDUNILVR_F3,01-08-2023,09:21:00,2606.7,2606.75,2606.2,2606.2,1502,17100
HINDUNILVR_F3,01-08-2023,09:25:00,2603.05,2603.05,2603.05,2603.05,300,18600
HINDUNILVR_F3,01-08-2023,09:38:00,2603.05,2603.05,2603.05,2603.05,300,18900
HINDUNILVR_F3,01-08-2023,09:39:00,2603.6499,2603.6499,2603.6499,2603.6499,300,18900
HINDUNILVR_F3,01-08-2023,09:40:00,2602.8999,2602.8999,2602.0,2602.0,1500,18900
HINDUNILVR_F3,01-08-2023,09:41:00,2602.25,2602.5,2602.25,2602.5,1200,18900
HINDUNILVR_F3,01-08-2023,09:46:00,2607.1499,2607.1499,2607.1499,2607.1499,300,22200
HINDUNILVR_F3,01-08-2023,10:08:00,2612.05,2612.05,2612.05,2612.05,900,22500
HINDUNILVR_F3,01-08-2023,10:09:00,2612.05,2612.05,2612.05,2612.05,300,22500
HINDUNILVR_F3,01-08-2023,13:20:00,2612.05,2612.05,2612.05,2612.05,900,22200
HINDUNILVR_F3,01-08-2023,13:24:00,2612.05,2612.05,2612.05,2612.05,600,23100
HINDUNILVR_F3,01-08-2023,13:40:00,2612.05,2612.05,2612.05,2612.05,300,23100
HINDUNILVR_F3,01-08-2023,13:43:00,2604.0,2604.0,2604.0,2604.0,300,23400
HINDUNILVR_F3,01-08-2023,13:56:00,2601.8999,2601.8999,2601.8999,2601.8999,600,23700
HINDUNILVR_F3,01-08-2023,14:03:00,2602.1001,2602.1001,2602.1001,2602.1001,600,24300
HINDUNILVR_F3,01-08-2023,14:05:00,2601.3501,2601.3501,2601.3501,2601.3501,300,24300
HINDUNILVR_F3,01-08-2023,14:09:00,2601.3501,2601.8,2601.3501,2601.8,600,24900
HINDUNILVR_F3,01-08-2023,14:20:00,2600.0,2600.0,2600.0,2600.0,600,25200
HINDUNILVR_F3,01-08-2023,15:25:00,2600.0,2600.0,2600.0,2600.0,300,25800
HINDUNILVR_F3,02-08-2023,09:26:00,2599.75,2599.75,2599.75,2599.75,301,25500
HINDUNILVR_F3,02-08-2023,09:43:00,2592.0,2592.0,2592.0,2592.0,300,25500
HINDUNILVR_F3,02-08-2023,10:02:00,2592.0,2592.0,2592.0,2592.0,300,25500
HINDUNILVR_F3,02-08-2023,11:11:00,2608.0,2608.0,2608.0,2608.0,300,25800
HINDUNILVR_F3,02-08-2023,11:49:00,2620.05,2620.05,2620.05,2620.05,300,25800
HINDUNILVR_F3,02-08-2023,12:09:00,2623.0,2623.0,2623.0,2623.0,300,25800
HINDUNILVR_F3,02-08-2023,12:10:00,2623.0,2623.0,2623.0,2623.0,600,25800
HINDUNILVR_F3,02-08-2023,12:49:00,2623.0,2623.0,2623.0,2623.0,300,26400
HINDUNILVR_F3,03-08-2023,09:19:00,2608.1001,2608.1001,2608.1001,2608.1001,1501,26700
HINDUNILVR_F3,03-08-2023,09:27:00,2593.5,2593.5,2593.5,2593.5,300,26700
HINDUNILVR_F3,03-08-2023,09:30:00,2593.5,2593.5,2593.5,2593.5,300,26700
HINDUNILVR_F3,03-08-2023,09:38:00,2592.8,2592.8,2592.8,2592.8,600,26700
HINDUNILVR_F3,03-08-2023,10:45:00,2592.8,2592.8,2592.8,2592.8,300,26700
HINDUNILVR_F3,03-08-2023,10:46:00,2591.3,2591.3,2591.3,2591.3,300,26700
HINDUNILVR_F3,03-08-2023,11:13:00,2590.0,2590.0,2590.0,2590.0,300,27000
HINDUNILVR_F3,03-08-2023,12:51:00,2590.0,2590.0,2590.0,2590.0,300,27000
HINDUNILVR_F3,03-08-2023,13:05:00,2581.05,2581.05,2581.05,2581.05,600,27000
HINDUNILVR_F3,03-08-2023,14:01:00,2588.0,2588.0,2588.0,2588.0,300,27300
HINDUNILVR_F3,04-08-2023,10:47:00,2589.8501,2589.8501,2589.8501,2589.8501,301,27600
HINDUNILVR_F3,04-08-2023,10:56:00,2591.0,2591.0,2591.0,2591.0,300,27600
HINDUNILVR_F3,04-08-2023,15:06:00,2591.0,2591.0,2591.0,2591.0,300,27600
HINDUNILVR_F3,04-08-2023,15:29:00,2591.0,2591.0,2591.0,2591.0,300,27600
HINDUNILVR_F3,07-08-2023,09:35:00,2600.0,2600.0,2600.0,2600.0,1801,27600
HINDUNILVR_F3,07-08-2023,10:00:00,2606.6499,2606.6499,2606.6499,2606.6499,300,28200
HINDUNILVR_F3,07-08-2023,10:38:00,2606.6499,2606.6499,2606.6499,2606.6499,300,28200
HINDUNILVR_F3,07-08-2023,10:39:00,2607.0,2607.0,2607.0,2607.0,300,28200
HINDUNILVR_F3,07-08-2023,10:54:00,2607.0,2607.0,2607.0,2607.0,600,27600
HINDUNILVR_F3,07-08-2023,10:55:00,2609.3,2609.3,2609.3,2609.3,300,27600
HINDUNILVR_F3,07-08-2023,11:07:00,2609.3,2609.3,2609.3,2609.3,600,27600
HINDUNILVR_F3,07-08-2023,11:08:00,2601.75,2601.95,2601.75,2601.95,900,27600
HINDUNILVR_F3,07-08-2023,11:27:00,2609.55,2609.55,2609.55,2609.55,300,29100
HINDUNILVR_F3,07-08-2023,11:53:00,2609.55,2609.55,2609.55,2609.55,300,29100
HINDUNILVR_F3,07-08-2023,12:03:00,2603.25,2603.25,2603.25,2603.25,300,29100
HINDUNILVR_F3,07-08-2023,12:40:00,2603.25,2603.25,2603.25,2603.25,300,29400
HINDUNILVR_F3,07-08-2023,12:44:00,2605.3501,2605.3501,2605.3501,2605.3501,2100,29400
HINDUNILVR_F3,07-08-2023,12:55:00,2606.55,2606.55,2606.55,2606.55,900,29700
HINDUNILVR_F3,07-08-2023,13:15:00,2610.0,2610.0,2610.0,2610.0,300,30600
HINDUNILVR_F3,07-08-2023,14:08:00,2610.3,2610.3,2610.3,2610.3,300,30600
HINDUNILVR_F3,07-08-2023,14:22:00,2613.0,2613.0,2613.0,2613.0,300,30900
HINDUNILVR_F3,07-08-2023,14:24:00,2613.95,2613.95,2613.95,2613.95,600,30900
HINDUNILVR_F3,07-08-2023,14:28:00,2610.3999,2610.3999,2610.3999,2610.3999,900,30900
HINDUNILVR_F3,07-08-2023,14:29:00,2610.3999,2610.3999,2610.3999,2610.3999,900,30900
HINDUNILVR_F3,07-08-2023,14:34:00,2610.0,2610.0,2610.0,2610.0,600,32700
HINDUNILVR_F3,07-08-2023,14:39:00,2611.0,2611.0,2611.0,2611.0,900,33300
HINDUNILVR_F3,07-08-2023,14:40:00,2611.2,2611.2,2611.2,2611.2,300,33300
HINDUNILVR_F3,07-08-2023,14:41:00,2611.0,2611.0,2611.0,2611.0,600,33300
HINDUNILVR_F3,07-08-2023,14:43:00,2611.1001,2611.1001,2611.0,2611.0,2100,35100
HINDUNILVR_F3,07-08-2023,14:46:00,2611.3,2611.3,2611.3,2611.3,300,37200
HINDUNILVR_F3,07-08-2023,14:47:00,2611.3999,2611.3999,2611.3999,2611.3999,600,37200
HINDUNILVR_F3,07-08-2023,14:51:00,2611.45,2611.45,2611.45,2611.45,300,38100
HINDUNILVR_F3,07-08-2023,14:56:00,2611.6001,2611.6001,2611.6001,2611.6001,600,38400
HINDUNILVR_F3,07-08-2023,14:57:00,2611.6001,2611.6001,2611.6001,2611.6001,600,38400
HINDUNILVR_F3,07-08-2023,14:58:00,2612.0,2612.0,2612.0,2612.0,600,39600
HINDUNILVR_F3,07-08-2023,14:59:00,2612.2,2612.2,2612.2,2612.2,600,39600
HINDUNILVR_F3,07-08-2023,15:25:00,2608.6001,2608.6001,2608.6001,2608.6001,300,40800
HINDUNILVR_F3,08-08-2023,09:23:00,2614.1001,2614.1001,2614.05,2614.05,902,40800
HINDUNILVR_F3,08-08-2023,10:27:00,2610.5,2610.5,2610.5,2610.5,300,40800
HINDUNILVR_F3,08-08-2023,10:31:00,2610.5,2610.5,2610.5,2610.5,900,40800
HINDUNILVR_F3,08-08-2023,10:46:00,2610.0,2610.0,2610.0,2610.0,300,41100
HINDUNILVR_F3,08-08-2023,10:57:00,2607.0,2607.0,2607.0,2607.0,300,41100
HINDUNILVR_F3,08-08-2023,11:37:00,2607.0,2607.0,2607.0,2607.0,300,41100
HINDUNILVR_F3,08-08-2023,11:54:00,2597.05,2597.05,2597.05,2597.05,1500,41100
HINDUNILVR_F3,08-08-2023,11:55:00,2598.8501,2598.8501,2598.8501,2598.8501,1800,41100
HINDUNILVR_F3,08-08-2023,12:25:00,2600.0,2600.0,2600.0,2600.0,300,44400
HINDUNILVR_F3,08-08-2023,14:14:00,2604.45,2604.45,2604.45,2604.45,1500,44400
HINDUNILVR_F3,08-08-2023,15:22:00,2601.3,2601.3,2601.3,2601.3,300,44100
HINDUNILVR_F3,08-08-2023,15:23:00,2601.6499,2601.6499,2601.6499,2601.6499,1800,44100
HINDUNILVR_F3,08-08-2023,15:26:00,2600.0,2600.0,2600.0,2600.0,600,44700
HINDUNILVR_F3,08-08-2023,15:27:00,2600.8,2600.8,2600.8,2600.8,300,44700
HINDUNILVR_F3,08-08-2023,15:29:00,2603.8999,2603.8999,2603.8999,2603.8999,300,44700
HINDUNILVR_F3,09-08-2023,09:39:00,2585.0,2585.0,2585.0,2585.0,301,44400
HINDUNILVR_F3,09-08-2023,09:49:00,2585.0,2585.0,2585.0,2585.0,300,44400
HINDUNILVR_F3,09-08-2023,10:18:00,2586.0,2586.0,2586.0,2586.0,300,44400
HINDUNILVR_F3,09-08-2023,11:25:00,2586.0,2586.0,2586.0,2586.0,300,44400
HINDUNILVR_F3,09-08-2023,11:32:00,2580.0,2580.0,2580.0,2580.0,300,44400
HINDUNILVR_F3,09-08-2023,12:26:00,2580.0,2580.0,2580.0,2580.0,300,44400
HINDUNILVR_F3,09-08-2023,12:31:00,2582.0,2582.0,2582.0,2582.0,300,44400
HINDUNILVR_F3,09-08-2023,14:36:00,2585.0,2585.0,2585.0,2585.0,300,44700
HINDUNILVR_F3,09-08-2023,15:18:00,2592.0,2592.0,2592.0,2592.0,3300,45000
HINDUNILVR_F3,10-08-2023,09:39:00,2582.1499,2582.1499,2582.1499,2582.1499,301,45300
HINDUNILVR_F3,10-08-2023,09:41:00,2579.0,2579.0,2579.0,2579.0,1200,45300
HINDUNILVR_F3,10-08-2023,09:43:00,2579.0,2579.0,2579.0,2579.0,300,45000
HINDUNILVR_F3,10-08-2023,10:23:00,2575.0,2575.0,2575.0,2575.0,300,45000
HINDUNILVR_F3,10-08-2023,10:28:00,2573.0,2573.0,2573.0,2573.0,300,45000
HINDUNILVR_F3,10-08-2023,10:31:00,2570.0,2570.0,2570.0,2570.0,600,45300
HINDUNILVR_F3,10-08-2023,10:40:00,2565.55,2565.55,2565.55,2565.55,300,45300
HINDUNILVR_F3,10-08-2023,11:15:00,2565.55,2565.55,2565.55,2565.55,300,45300
HINDUNILVR_F3,10-08-2023,11:16:00,2565.0,2565.0,2565.0,2565.0,600,45300
HINDUNILVR_F3,10-08-2023,11:25:00,2565.0,2565.0,2565.0,2565.0,900,45600
HINDUNILVR_F3,10-08-2023,12:14:00,2571.0,2571.0,2571.0,2571.0,300,45600
HINDUNILVR_F3,10-08-2023,12:18:00,2567.8999,2567.8999,2567.8999,2567.8999,300,45600
HINDUNILVR_F3,10-08-2023,12:37:00,2568.3,2568.3,2568.3,2568.3,600,45900
HINDUNILVR_F3,10-08-2023,12:40:00,2571.55,2571.55,2571.55,2571.55,300,45900
HINDUNILVR_F3,10-08-2023,13:32:00,2567.0,2567.0,2567.0,2567.0,300,45900
HINDUNILVR_F3,10-08-2023,13:34:00,2566.2,2566.2,2566.2,2566.2,300,46200
HINDUNILVR_F3,10-08-2023,14:13:00,2575.0,2575.0,2575.0,2575.0,3000,46500
HINDUNILVR_F3,11-08-2023,09:22:00,2558.0,2558.0,2558.0,2558.0,301,46800
HINDUNILVR_F3,11-08-2023,09:23:00,2557.3999,2557.3999,2557.3999,2557.3999,300,46800
HINDUNILVR_F3,11-08-2023,09:30:00,2550.0,2550.0,2550.0,2550.0,300,47100
HINDUNILVR_F3,11-08-2023,09:33:00,2550.0,2550.0,2550.0,2550.0,300,47400
HINDUNILVR_F3,11-08-2023,09:55:00,2554.95,2554.95,2554.95,2554.95,300,47400
HINDUNILVR_F3,11-08-2023,09:56:00,2555.7,2555.7,2555.7,2555.7,300,47400
HINDUNILVR_F3,11-08-2023,09:57:00,2554.8,2554.8,2554.8,2554.8,300,48000
HINDUNILVR_F3,11-08-2023,10:14:00,2550.0,2550.0,2550.0,2550.0,900,48000
HINDUNILVR_F3,11-08-2023,10:17:00,2553.6499,2553.6499,2553.6499,2553.6499,300,48900
HINDUNILVR_F3,11-08-2023,10:22:00,2552.0,2552.0,2552.0,2552.0,300,49200
