<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
LTIM_F2,01-08-2023,09:15:00,4984.8999,4984.8999,4984.8999,4984.8999,151,50700
LTIM_F2,01-08-2023,09:17:00,4983.6499,4985.0,4981.3501,4985.0,900,50700
LTIM_F2,01-08-2023,09:18:00,4988.8501,4992.5,4988.8501,4992.5,300,50700
LTIM_F2,01-08-2023,09:19:00,4992.5,4992.5,4992.5,4992.5,300,50700
LTIM_F2,01-08-2023,09:20:00,4983.0,4983.0,4983.0,4983.0,300,50700
LTIM_F2,01-08-2023,09:21:00,4979.0,4979.0,4979.0,4979.0,300,51900
LTIM_F2,01-08-2023,09:22:00,4976.1499,4976.1499,4976.1499,4976.1499,150,51900
LTIM_F2,01-08-2023,09:32:00,4976.1499,4976.1499,4976.1499,4976.1499,150,52200
LTIM_F2,01-08-2023,09:33:00,4986.0,4986.0,4986.0,4986.0,150,52200
LTIM_F2,01-08-2023,09:36:00,4987.0,4987.0,4986.5498,4986.5498,300,52350
LTIM_F2,01-08-2023,09:38:00,5000.0,5000.0,5000.0,5000.0,150,52350
LTIM_F2,01-08-2023,09:39:00,5000.0,5000.0,5000.0,5000.0,300,52200
LTIM_F2,01-08-2023,09:41:00,4990.0,4990.0,4990.0,4990.0,300,52200
LTIM_F2,01-08-2023,09:43:00,4997.0498,4997.0498,4997.0498,4997.0498,300,52650
LTIM_F2,01-08-2023,09:56:00,4996.7002,4996.7002,4996.7002,4996.7002,150,52650
LTIM_F2,01-08-2023,09:57:00,4996.4502,4996.4502,4991.0,4991.0,300,52800
LTIM_F2,01-08-2023,09:58:00,4982.5,4983.4502,4982.5,4983.4502,300,52800
LTIM_F2,01-08-2023,10:00:00,4987.0498,4987.0498,4987.0498,4987.0498,150,52800
LTIM_F2,01-08-2023,10:06:00,4995.0,4995.0,4995.0,4995.0,150,52650
LTIM_F2,01-08-2023,10:07:00,4998.25,5000.9502,4998.25,5000.9502,450,52650
LTIM_F2,01-08-2023,10:09:00,5001.0,5001.0,5001.0,5001.0,300,52650
LTIM_F2,01-08-2023,10:10:00,5006.7998,5006.7998,5006.7998,5006.7998,150,52650
LTIM_F2,01-08-2023,10:11:00,5007.0,5007.0,5007.0,5007.0,150,52650
LTIM_F2,01-08-2023,10:14:00,5007.0,5007.0,5007.0,5007.0,300,52650
LTIM_F2,01-08-2023,10:15:00,5002.0,5002.0,5002.0,5002.0,150,52800
LTIM_F2,01-08-2023,10:24:00,4986.8501,4986.8501,4986.8501,4986.8501,150,52650
LTIM_F2,01-08-2023,10:32:00,4997.0,4997.0,4997.0,4997.0,150,52500
LTIM_F2,01-08-2023,10:35:00,4998.0498,4998.0498,4998.0498,4998.0498,150,52500
LTIM_F2,01-08-2023,10:42:00,4978.6499,4978.6499,4978.1499,4978.1499,300,52650
LTIM_F2,01-08-2023,10:50:00,4978.0,4978.0,4978.0,4978.0,450,52950
LTIM_F2,01-08-2023,10:53:00,4987.0,4987.5498,4987.0,4987.5498,450,53100
LTIM_F2,01-08-2023,10:55:00,4996.3999,4996.3999,4992.2002,4992.2002,450,53100
LTIM_F2,01-08-2023,11:01:00,4992.3501,4992.3501,4992.3501,4992.3501,300,53100
LTIM_F2,01-08-2023,11:17:00,5001.0,5001.0,5001.0,5001.0,300,52950
LTIM_F2,01-08-2023,11:18:00,5004.9502,5004.9502,5004.9502,5004.9502,150,52950
LTIM_F2,01-08-2023,11:19:00,5004.8999,5004.8999,5004.8999,5004.8999,300,52950
LTIM_F2,01-08-2023,11:20:00,5008.0,5008.0,5008.0,5008.0,150,52950
LTIM_F2,01-08-2023,11:26:00,5016.8999,5016.8999,5016.8999,5016.8999,150,52950
LTIM_F2,01-08-2023,11:28:00,5016.8999,5016.8999,5016.8999,5016.8999,150,52800
LTIM_F2,01-08-2023,11:44:00,5007.0,5007.0,5007.0,5007.0,150,52800
LTIM_F2,01-08-2023,11:57:00,5007.0,5007.0,5007.0,5007.0,150,52800
LTIM_F2,01-08-2023,12:10:00,5008.4502,5008.4502,5008.4502,5008.4502,150,52650
LTIM_F2,01-08-2023,12:22:00,5020.0,5020.0,5020.0,5020.0,450,52650
