<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
SHREECEM_F1,01-08-2023,09:15:00,24319.1992,24319.1992,24299.0,24299.0,51,209725
SHREECEM_F1,01-08-2023,09:16:00,24280.0508,24280.0508,24280.0508,24280.0508,100,209725
SHREECEM_F1,01-08-2023,09:17:00,24280.0,24297.9492,24280.0,24297.9492,225,209900
SHREECEM_F1,01-08-2023,09:18:00,24302.9004,24302.9004,24302.9004,24302.9004,100,209900
SHREECEM_F1,01-08-2023,09:19:00,24307.5,24341.9492,24281.0,24292.0508,275,209900
SHREECEM_F1,01-08-2023,09:20:00,24292.0508,24292.0508,24280.4492,24280.4492,175,210150
SHREECEM_F1,01-08-2023,09:21:00,24290.3008,24290.3008,24253.8496,24253.8496,150,210150
SHREECEM_F1,01-08-2023,09:22:00,24283.6992,24283.6992,24267.9492,24280.9004,200,210150
SHREECEM_F1,01-08-2023,09:23:00,24285.8496,24303.3008,24285.8496,24303.3008,100,210175
SHREECEM_F1,01-08-2023,09:24:00,24300.0,24315.8008,24300.0,24305.0,250,210175
SHREECEM_F1,01-08-2023,09:25:00,24311.8008,24312.9004,24300.0508,24312.9004,100,210175
SHREECEM_F1,01-08-2023,09:26:00,24297.1504,24324.5508,24297.1504,24324.5508,175,210175
SHREECEM_F1,01-08-2023,09:27:00,24307.0,24307.0,24307.0,24307.0,25,210425
SHREECEM_F1,01-08-2023,09:28:00,24325.0,24325.0,24325.0,24325.0,25,210425
SHREECEM_F1,01-08-2023,09:29:00,24331.1992,24349.75,24331.1992,24349.75,100,210475
SHREECEM_F1,01-08-2023,09:30:00,24349.75,24349.75,24305.3496,24305.3496,125,210475
SHREECEM_F1,01-08-2023,09:31:00,24295.0,24295.0,24276.1992,24276.1992,175,210475
SHREECEM_F1,01-08-2023,09:32:00,24265.5508,24286.5996,24265.5508,24286.5996,125,210500
SHREECEM_F1,01-08-2023,09:33:00,24286.5996,24286.5996,24286.5996,24286.5996,25,210500
SHREECEM_F1,01-08-2023,09:34:00,24321.0,24321.0,24266.4004,24266.4004,1075,210500
SHREECEM_F1,01-08-2023,09:35:00,24261.0,24270.25,24242.4492,24242.4492,250,210700
SHREECEM_F1,01-08-2023,09:36:00,24242.0508,24242.0508,24242.0508,24242.0508,25,210700
SHREECEM_F1,01-08-2023,09:37:00,24242.0508,24242.0508,24240.0,24240.0,100,210700
SHREECEM_F1,01-08-2023,09:38:00,24239.1504,24239.1504,24239.1504,24239.1504,25,210775
SHREECEM_F1,01-08-2023,09:39:00,24239.1504,24239.1504,24234.0,24234.0,50,210775
SHREECEM_F1,01-08-2023,09:40:00,24216.0,24216.0,24200.0,24200.0,325,210775
SHREECEM_F1,01-08-2023,09:41:00,24200.0,24225.0,24200.0,24210.0996,125,210875
SHREECEM_F1,01-08-2023,09:42:00,24200.0,24204.25,24184.8008,24184.8008,125,210875
SHREECEM_F1,01-08-2023,09:43:00,24184.8008,24184.8008,24184.8008,24184.8008,25,210875
SHREECEM_F1,01-08-2023,09:44:00,24204.4492,24213.0996,24198.1504,24198.1504,250,210900
SHREECEM_F1,01-08-2023,09:45:00,24227.4004,24247.1992,24221.0996,24221.0996,150,210900
SHREECEM_F1,01-08-2023,09:46:00,24228.6992,24230.0,24228.6992,24230.0,50,210900
SHREECEM_F1,01-08-2023,09:48:00,24223.4004,24276.4492,24223.4004,24276.4492,400,210900
SHREECEM_F1,01-08-2023,09:49:00,24279.9004,24279.9004,24258.3008,24264.0508,825,210900
SHREECEM_F1,01-08-2023,09:50:00,24274.9492,24275.0,24274.9492,24275.0,125,211600
SHREECEM_F1,01-08-2023,09:51:00,24288.0,24288.0,24263.1992,24275.1992,125,211600
SHREECEM_F1,01-08-2023,09:53:00,24278.1504,24278.1504,24278.1504,24278.1504,25,211600
SHREECEM_F1,01-08-2023,09:54:00,24258.0508,24258.0508,24258.0508,24258.0508,25,211700
SHREECEM_F1,01-08-2023,09:55:00,24268.0508,24278.4004,24268.0508,24278.4004,50,211700
SHREECEM_F1,01-08-2023,09:56:00,24261.4492,24261.4492,24261.4492,24261.4492,25,211700
SHREECEM_F1,01-08-2023,09:57:00,24271.6992,24271.6992,24261.9004,24261.9004,200,211775
SHREECEM_F1,01-08-2023,09:58:00,24254.0,24254.9004,24237.25,24237.25,200,211775
SHREECEM_F1,01-08-2023,09:59:00,24248.4004,24257.1992,24231.6992,24231.6992,150,211750
SHREECEM_F1,01-08-2023,10:01:00,24234.3496,24234.3496,24216.0508,24216.0508,50,211750
SHREECEM_F1,01-08-2023,10:03:00,24242.0,24278.25,24239.6992,24239.6992,825,211775
SHREECEM_F1,01-08-2023,10:04:00,24237.3008,24237.3008,24237.3008,24237.3008,75,211775
SHREECEM_F1,01-08-2023,10:05:00,24233.4004,24243.3496,24233.4004,24243.3496,50,212200
SHREECEM_F1,01-08-2023,10:06:00,24257.5508,24257.5508,24232.3008,24232.3008,75,212200
SHREECEM_F1,01-08-2023,10:07:00,24243.8496,24243.8496,24243.8496,24243.8496,25,212200
SHREECEM_F1,01-08-2023,10:08:00,24241.0508,24241.0508,24241.0508,24241.0508,25,212200
SHREECEM_F1,01-08-2023,10:09:00,24258.1504,24258.1504,24258.1504,24258.1504,25,212300
SHREECEM_F1,01-08-2023,10:10:00,24261.9492,24261.9492,24230.9492,24230.9492,200,212300
SHREECEM_F1,01-08-2023,10:12:00,24241.0996,24254.4492,24241.0996,24252.3008,75,212400
SHREECEM_F1,01-08-2023,10:14:00,24271.3496,24294.0,24264.1992,24264.1992,275,212500
SHREECEM_F1,01-08-2023,10:15:00,24283.25,24283.25,24281.6992,24281.6992,50,212500
SHREECEM_F1,01-08-2023,10:16:00,24279.0,24279.0,24254.0,24254.0,50,212500
SHREECEM_F1,01-08-2023,10:17:00,24258.75,24258.75,24258.75,24258.75,25,212500
SHREECEM_F1,01-08-2023,10:18:00,24273.6992,24281.1992,24273.6992,24281.1992,75,212575
SHREECEM_F1,01-08-2023,10:20:00,24281.1504,24281.1504,24281.1504,24281.1504,25,212600
SHREECEM_F1,01-08-2023,10:21:00,24270.5996,24270.5996,24270.5996,24270.5996,25,212600
SHREECEM_F1,01-08-2023,10:22:00,24238.9004,24238.9004,24215.6504,24215.6504,100,212600
SHREECEM_F1,01-08-2023,10:24:00,24220.0,24220.0,24220.0,24220.0,25,212600
SHREECEM_F1,01-08-2023,10:25:00,24221.0,24221.0,24221.0,24221.0,25,212600
SHREECEM_F1,01-08-2023,10:26:00,24230.4492,24230.4492,24230.4492,24230.4492,50,212600
SHREECEM_F1,01-08-2023,10:27:00,24234.5,24236.5,24234.5,24236.5,75,212600
SHREECEM_F1,01-08-2023,10:28:00,24234.1992,24234.1992,24233.5996,24233.5996,50,212600
SHREECEM_F1,01-08-2023,10:29:00,24240.0,24240.0,24211.75,24211.75,350,212625
SHREECEM_F1,01-08-2023,10:30:00,24196.9004,24237.0508,24196.9004,24200.5996,225,212625
SHREECEM_F1,01-08-2023,10:31:00,24225.9492,24225.9492,24190.0,24190.0,275,212625
SHREECEM_F1,01-08-2023,10:32:00,24182.5,24182.5,24175.0,24175.0,475,212625
SHREECEM_F1,01-08-2023,10:33:00,24212.4004,24246.3008,24212.4004,24246.3008,100,212250
SHREECEM_F1,01-08-2023,10:34:00,24222.0,24222.0,24222.0,24222.0,725,212250
SHREECEM_F1,01-08-2023,10:35:00,24190.0,24216.3008,24190.0,24216.3008,250,212250
SHREECEM_F1,01-08-2023,10:36:00,24196.0,24210.9004,24196.0,24210.9004,375,212850
SHREECEM_F1,01-08-2023,10:37:00,24211.1992,24211.1992,24211.1992,24211.1992,25,212850
SHREECEM_F1,01-08-2023,10:38:00,24211.0,24211.0,24211.0,24211.0,25,212700
SHREECEM_F1,01-08-2023,10:39:00,24207.1504,24207.1504,24207.1504,24207.1504,50,212700
SHREECEM_F1,01-08-2023,10:40:00,24220.8008,24220.8008,24220.8008,24220.8008,25,212700
SHREECEM_F1,01-08-2023,10:42:00,24220.0,24220.0,24201.75,24201.75,50,212725
SHREECEM_F1,01-08-2023,10:43:00,24215.8496,24220.0,24215.8496,24220.0,100,212725
SHREECEM_F1,01-08-2023,10:44:00,24233.4492,24233.4492,24233.4492,24233.4492,25,212725
SHREECEM_F1,01-08-2023,10:46:00,24203.25,24203.25,24200.0,24200.1504,200,212825
SHREECEM_F1,01-08-2023,10:48:00,24209.0996,24209.0996,24209.0996,24209.0996,50,212875
SHREECEM_F1,01-08-2023,10:49:00,24222.5996,24222.5996,24222.5996,24222.5996,50,212875
SHREECEM_F1,01-08-2023,10:50:00,24221.3496,24249.8496,24221.3496,24249.8496,175,212875
SHREECEM_F1,01-08-2023,10:51:00,24244.0,24244.0,24244.0,24244.0,600,212975
SHREECEM_F1,01-08-2023,10:52:00,24237.5996,24237.5996,24237.5996,24237.5996,25,212975
SHREECEM_F1,01-08-2023,10:54:00,24235.3008,24235.3008,24235.3008,24235.3008,25,213425
SHREECEM_F1,01-08-2023,10:55:00,24237.5996,24237.5996,24237.5996,24237.5996,25,213425
SHREECEM_F1,01-08-2023,10:56:00,24236.8496,24236.8496,24234.5,24234.5,50,213425
SHREECEM_F1,01-08-2023,10:57:00,24237.6504,24245.8008,24237.6504,24245.8008,75,213450
SHREECEM_F1,01-08-2023,10:59:00,24249.9004,24263.3496,24249.9004,24260.3008,150,213450
SHREECEM_F1,01-08-2023,11:01:00,24255.9004,24257.9492,24253.6992,24257.9492,75,213600
SHREECEM_F1,01-08-2023,11:04:00,24251.1504,24251.1504,24241.4004,24242.5508,725,213675
SHREECEM_F1,01-08-2023,11:05:00,24239.0508,24242.9492,24239.0508,24242.9492,75,213675
SHREECEM_F1,01-08-2023,11:07:00,24249.4004,24254.1504,24249.4004,24254.1504,75,214375
SHREECEM_F1,01-08-2023,11:09:00,24239.5,24240.4004,24239.5,24240.4004,75,214450
SHREECEM_F1,01-08-2023,11:11:00,24239.3008,24259.6504,24231.3496,24231.3496,800,214450
SHREECEM_F1,01-08-2023,11:12:00,24246.4492,24246.4492,24246.4492,24246.4492,25,214175
SHREECEM_F1,01-08-2023,11:13:00,24246.5,24246.5,24246.5,24246.5,25,214175
SHREECEM_F1,01-08-2023,11:14:00,24240.8496,24240.8496,24240.8496,24240.8496,25,214175
SHREECEM_F1,01-08-2023,11:15:00,24257.75,24257.75,24257.75,24257.75,25,214175
SHREECEM_F1,01-08-2023,11:16:00,24252.0,24252.0,24252.0,24252.0,25,214225
SHREECEM_F1,01-08-2023,11:18:00,24230.9492,24255.6992,24230.9492,24255.6992,300,214250
SHREECEM_F1,01-08-2023,11:19:00,24256.1504,24281.25,24256.1504,24281.25,150,214250
SHREECEM_F1,01-08-2023,11:20:00,24263.8008,24276.25,24263.8008,24276.25,50,214250
SHREECEM_F1,01-08-2023,11:21:00,24256.4492,24256.4492,24256.4492,24256.4492,50,214250
SHREECEM_F1,01-08-2023,11:22:00,24259.25,24264.1992,24251.0,24251.0,150,214250
SHREECEM_F1,01-08-2023,11:24:00,24238.9492,24251.1992,24238.9492,24251.1992,100,214350
SHREECEM_F1,01-08-2023,11:25:00,24234.5508,24234.5508,24234.5508,24234.5508,100,214350
SHREECEM_F1,01-08-2023,11:26:00,24249.4492,24249.4492,24249.4492,24249.4492,25,214375
SHREECEM_F1,01-08-2023,11:27:00,24249.9492,24249.9492,24249.9492,24249.9492,25,214375
SHREECEM_F1,01-08-2023,11:28:00,24227.4004,24227.4004,24227.4004,24227.4004,25,214375
SHREECEM_F1,01-08-2023,11:29:00,24243.9004,24250.0,24243.9004,24250.0,75,214375
SHREECEM_F1,01-08-2023,11:30:00,24255.5508,24255.5508,24255.5508,24255.5508,25,214375
SHREECEM_F1,01-08-2023,11:31:00,24252.9492,24252.9492,24252.9492,24252.9492,25,214250
