<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ASIANPAINT_F3,12/01/2022,09:17:00,3242.00,3242.00,3242.00,3242.00,201,4800
ASIANPAINT_F3,12/01/2022,09:45:00,3242.00,3242.00,3242.00,3242.00,200,4800
ASIANPAINT_F3,12/01/2022,11:22:00,3242.00,3242.00,3242.00,3242.00,200,5000
ASIANPAINT_F3,12/01/2022,14:48:00,3251.00,3251.00,3251.00,3251.00,200,5200
ASIANPAINT_F3,12/01/2022,15:10:00,3252.35,3252.35,3252.35,3252.35,200,5000
ASIANPAINT_F3,12/02/2022,09:26:00,3218.00,3218.00,3218.00,3218.00,201,5200
ASIANPAINT_F3,12/02/2022,09:29:00,3210.00,3210.00,3210.00,3210.00,200,5400
ASIANPAINT_F3,12/02/2022,09:46:00,3210.00,3210.00,3210.00,3210.00,200,5600
ASIANPAINT_F3,12/02/2022,09:49:00,3210.00,3210.00,3210.00,3210.00,200,5800
ASIANPAINT_F3,12/02/2022,09:51:00,3211.20,3211.20,3211.20,3211.20,200,6000
ASIANPAINT_F3,12/02/2022,10:13:00,3206.00,3206.00,3206.00,3206.00,200,6200
ASIANPAINT_F3,12/02/2022,10:40:00,3206.00,3206.00,3206.00,3206.00,200,6400
ASIANPAINT_F3,12/02/2022,10:50:00,3211.90,3211.90,3211.90,3211.90,200,6400
ASIANPAINT_F3,12/02/2022,10:55:00,3210.00,3210.00,3210.00,3210.00,200,6600
ASIANPAINT_F3,12/02/2022,11:00:00,3209.20,3209.20,3209.20,3209.20,200,6600
ASIANPAINT_F3,12/02/2022,11:44:00,3209.00,3209.00,3209.00,3209.00,1800,6600
ASIANPAINT_F3,12/02/2022,11:57:00,3207.05,3207.05,3207.05,3207.05,200,8400
ASIANPAINT_F3,12/02/2022,12:03:00,3201.00,3201.00,3201.00,3201.00,400,8600
ASIANPAINT_F3,12/02/2022,12:15:00,3201.00,3201.00,3201.00,3201.00,400,9000
ASIANPAINT_F3,12/02/2022,12:25:00,3204.00,3204.00,3204.00,3204.00,200,9400
ASIANPAINT_F3,12/02/2022,13:25:00,3204.00,3204.00,3204.00,3204.00,200,9600
ASIANPAINT_F3,12/02/2022,13:29:00,3201.00,3201.00,3201.00,3201.00,200,9800
ASIANPAINT_F3,12/02/2022,13:32:00,3200.00,3200.00,3200.00,3200.00,200,10000
ASIANPAINT_F3,12/02/2022,13:40:00,3200.00,3200.00,3200.00,3200.00,200,10000
ASIANPAINT_F3,12/02/2022,13:56:00,3207.00,3207.00,3207.00,3207.00,200,10400
