<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MFSL_F2,12/01/2022,09:15:00,716.75,716.75,716.70,716.70,1302,79300
MFSL_F2,12/01/2022,09:16:00,720.00,720.00,720.00,720.00,650,79300
MFSL_F2,12/01/2022,09:28:00,720.00,720.00,718.00,718.00,3900,79950
MFSL_F2,12/01/2022,09:32:00,715.60,715.60,715.60,715.60,1950,79300
MFSL_F2,12/01/2022,09:33:00,714.25,714.25,714.25,714.25,650,79300
MFSL_F2,12/01/2022,09:49:00,711.65,711.65,711.65,711.65,2600,78000
MFSL_F2,12/01/2022,09:50:00,712.00,712.00,712.00,712.00,650,78000
MFSL_F2,12/01/2022,10:05:00,712.15,712.15,712.15,712.15,1300,79300
MFSL_F2,12/01/2022,10:09:00,710.95,710.95,710.95,710.95,6500,79300
MFSL_F2,12/01/2022,10:19:00,709.95,709.95,709.95,709.95,650,77350
MFSL_F2,12/01/2022,10:21:00,709.95,709.95,709.95,709.95,650,78000
MFSL_F2,12/01/2022,10:28:00,714.10,714.10,714.10,714.10,1300,78650
MFSL_F2,12/01/2022,10:29:00,716.80,718.45,716.80,718.45,3900,78650
MFSL_F2,12/01/2022,11:01:00,718.00,718.00,718.00,718.00,650,78000
MFSL_F2,12/01/2022,11:06:00,717.05,717.05,717.05,717.05,650,78000
MFSL_F2,12/01/2022,11:58:00,711.50,711.50,711.50,711.50,1300,78650
MFSL_F2,12/01/2022,12:00:00,709.95,709.95,709.95,709.95,650,78000
MFSL_F2,12/01/2022,12:25:00,713.50,713.50,713.50,713.50,650,78650
MFSL_F2,12/01/2022,13:17:00,715.65,715.65,715.65,715.65,650,79300
MFSL_F2,12/01/2022,13:29:00,713.50,713.50,713.50,713.50,650,78650
MFSL_F2,12/01/2022,13:31:00,713.10,713.10,713.10,713.10,650,79300
MFSL_F2,12/01/2022,13:47:00,711.40,711.40,711.40,711.40,650,79300
MFSL_F2,12/01/2022,14:29:00,711.65,711.65,711.65,711.65,650,79300
MFSL_F2,12/01/2022,14:30:00,711.20,711.20,711.20,711.20,650,79300
MFSL_F2,12/01/2022,14:52:00,710.65,710.65,710.65,710.65,650,79950
MFSL_F2,12/01/2022,15:01:00,712.10,712.10,712.10,712.10,650,79950
MFSL_F2,12/01/2022,15:10:00,712.10,712.10,712.10,712.10,650,79950
MFSL_F2,12/01/2022,15:20:00,709.55,709.55,709.55,709.55,1950,79950
MFSL_F2,12/01/2022,15:26:00,709.55,709.55,709.55,709.55,1300,79950
MFSL_F2,12/01/2022,15:29:00,711.65,711.65,711.65,711.65,650,78650
MFSL_F2,12/02/2022,09:19:00,709.30,709.30,709.30,709.30,651,78000
MFSL_F2,12/02/2022,09:20:00,709.00,709.00,709.00,709.00,650,78000
MFSL_F2,12/02/2022,09:22:00,707.65,707.65,707.65,707.65,650,78650
MFSL_F2,12/02/2022,09:23:00,707.65,707.65,707.65,707.65,650,78650
MFSL_F2,12/02/2022,09:53:00,714.50,714.50,714.50,714.50,1300,78000
MFSL_F2,12/02/2022,09:56:00,714.50,714.50,714.50,714.50,650,76700
MFSL_F2,12/02/2022,09:57:00,714.75,714.75,714.75,714.75,650,77350
MFSL_F2,12/02/2022,10:00:00,716.00,716.00,716.00,716.00,650,77350
MFSL_F2,12/02/2022,11:08:00,716.60,716.60,716.60,716.60,650,77350
MFSL_F2,12/02/2022,11:16:00,718.00,718.00,718.00,718.00,1300,76700
MFSL_F2,12/02/2022,11:21:00,718.75,720.00,718.75,720.00,1950,75400
MFSL_F2,12/02/2022,11:23:00,720.00,720.00,720.00,720.00,650,75400
MFSL_F2,12/02/2022,11:50:00,715.00,715.00,715.00,715.00,1300,74750
MFSL_F2,12/02/2022,11:52:00,714.35,714.35,714.35,714.35,650,73450
MFSL_F2,12/02/2022,11:58:00,710.70,710.70,710.70,710.70,650,74100
MFSL_F2,12/02/2022,12:01:00,711.15,711.15,711.15,711.15,650,74750
MFSL_F2,12/02/2022,12:03:00,710.10,710.10,710.10,710.10,650,74750
MFSL_F2,12/02/2022,12:12:00,709.95,709.95,709.95,709.95,650,74750
MFSL_F2,12/02/2022,13:58:00,713.90,713.90,711.75,711.75,1300,75400
MFSL_F2,12/02/2022,14:33:00,712.80,712.80,712.80,712.80,1300,74750
MFSL_F2,12/02/2022,15:10:00,714.45,714.45,714.45,714.45,650,74750
MFSL_F2,12/02/2022,15:22:00,715.00,715.00,715.00,715.00,650,74750
MFSL_F2,12/05/2022,09:16:00,718.00,718.05,718.00,718.05,1302,74750
MFSL_F2,12/05/2022,09:21:00,716.50,716.50,716.50,716.50,650,75400
MFSL_F2,12/05/2022,09:37:00,716.50,716.50,716.50,716.50,650,75400
MFSL_F2,12/05/2022,09:44:00,722.30,722.30,722.30,722.30,1950,74100
MFSL_F2,12/05/2022,09:46:00,722.30,722.30,722.30,722.30,650,74100
MFSL_F2,12/05/2022,09:53:00,722.10,722.10,722.10,722.10,1300,75400
MFSL_F2,12/05/2022,10:20:00,722.10,722.10,722.10,722.10,650,75400
MFSL_F2,12/05/2022,10:27:00,726.80,726.80,726.80,726.80,650,75400
MFSL_F2,12/05/2022,10:32:00,726.80,726.80,726.80,726.80,650,75400
MFSL_F2,12/05/2022,11:12:00,725.35,725.35,725.35,725.35,650,74750
MFSL_F2,12/05/2022,11:23:00,727.00,727.00,727.00,727.00,650,75400
MFSL_F2,12/05/2022,11:25:00,728.35,728.35,728.35,728.35,1300,75400
MFSL_F2,12/05/2022,11:32:00,728.80,728.80,728.80,728.80,650,75400
MFSL_F2,12/05/2022,11:36:00,728.80,728.80,728.05,728.05,1300,76050
MFSL_F2,12/05/2022,11:37:00,728.00,728.00,728.00,728.00,1300,76050
MFSL_F2,12/05/2022,11:39:00,730.00,730.00,730.00,730.00,2600,76050
MFSL_F2,12/05/2022,12:35:00,730.00,730.00,730.00,730.00,1300,75400
MFSL_F2,12/05/2022,12:57:00,724.50,724.50,724.50,724.50,650,74750
MFSL_F2,12/05/2022,13:00:00,725.80,725.80,725.80,725.80,650,74750
MFSL_F2,12/05/2022,13:04:00,725.50,725.50,725.50,725.50,650,75400
MFSL_F2,12/05/2022,14:30:00,728.00,728.00,728.00,728.00,650,74750
