<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SHRIRAMFIN_F3,12/20/2022,14:10:00,1279.00,1279.00,1279.00,1279.00,601,226200
SHRIRAMFIN_F3,12/20/2022,14:26:00,1282.00,1282.00,1282.00,1282.00,600,226800
SHRIRAMFIN_F3,12/20/2022,15:26:00,1282.00,1282.00,1282.00,1282.00,600,226200
SHRIRAMFIN_F3,12/20/2022,15:27:00,1282.15,1282.15,1282.15,1282.15,600,226200
SHRIRAMFIN_F3,12/21/2022,09:33:00,1297.40,1297.40,1297.40,1297.40,601,226200
SHRIRAMFIN_F3,12/21/2022,09:37:00,1297.40,1297.40,1297.40,1297.40,600,225600
SHRIRAMFIN_F3,12/21/2022,09:38:00,1297.40,1297.40,1297.40,1297.40,1200,225600
SHRIRAMFIN_F3,12/21/2022,09:41:00,1297.40,1297.40,1297.40,1297.40,600,225600
SHRIRAMFIN_F3,12/21/2022,09:42:00,1288.00,1288.00,1288.00,1288.00,600,225600
SHRIRAMFIN_F3,12/21/2022,09:54:00,1287.35,1287.35,1287.35,1287.35,600,226200
SHRIRAMFIN_F3,12/21/2022,10:08:00,1287.35,1287.35,1287.35,1287.35,1200,226800
SHRIRAMFIN_F3,12/21/2022,10:11:00,1287.35,1287.35,1287.35,1287.35,600,226800
SHRIRAMFIN_F3,12/21/2022,11:18:00,1308.40,1308.40,1308.40,1308.40,600,227400
SHRIRAMFIN_F3,12/21/2022,12:36:00,1308.40,1308.40,1308.40,1308.40,600,228000
SHRIRAMFIN_F3,12/21/2022,12:55:00,1296.40,1296.40,1296.40,1296.40,600,228600
SHRIRAMFIN_F3,12/21/2022,13:10:00,1295.05,1295.05,1295.05,1295.05,600,229200
SHRIRAMFIN_F3,12/21/2022,15:07:00,1296.00,1296.00,1296.00,1296.00,600,229800
SHRIRAMFIN_F3,12/21/2022,15:08:00,1296.50,1296.50,1296.50,1296.50,600,229800
SHRIRAMFIN_F3,12/21/2022,15:10:00,1296.50,1296.50,1296.50,1296.50,600,231000
SHRIRAMFIN_F3,12/22/2022,14:21:00,1292.50,1292.50,1292.50,1292.50,601,231000
SHRIRAMFIN_F3,12/22/2022,14:44:00,1285.40,1285.40,1285.40,1285.40,600,231000
SHRIRAMFIN_F3,12/22/2022,15:29:00,1285.40,1285.40,1285.40,1285.40,600,231600
SHRIRAMFIN_F3,12/23/2022,12:50:00,1285.40,1285.40,1285.40,1285.40,3000,232200
SHRIRAMFIN_F3,12/23/2022,15:04:00,1257.00,1257.00,1257.00,1257.00,600,232200
SHRIRAMFIN_F3,12/23/2022,15:16:00,1257.00,1257.00,1257.00,1257.00,600,232800
