<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
APOLLOHOSP_F3,01-12-2023,09:22:00,5650.0,5675.0,5650.0,5675.0,376,0
APOLLOHOSP_F3,01-12-2023,10:08:00,5675.0,5675.0,5675.0,5675.0,125,375
APOLLOHOSP_F3,01-12-2023,12:23:00,5645.3999,5645.3999,5645.3999,5645.3999,125,500
APOLLOHOSP_F3,01-12-2023,12:24:00,5645.3999,5645.3999,5645.3999,5645.3999,125,500
APOLLOHOSP_F3,01-12-2023,12:30:00,5674.9502,5674.9502,5674.9502,5674.9502,125,625
APOLLOHOSP_F3,04-12-2023,09:48:00,5721.0,5721.0,5721.0,5721.0,126,750
APOLLOHOSP_F3,04-12-2023,11:27:00,5721.0,5721.0,5721.0,5721.0,125,875
APOLLOHOSP_F3,04-12-2023,15:01:00,5701.1001,5701.1001,5701.1001,5701.1001,125,1000
APOLLOHOSP_F3,05-12-2023,09:32:00,5701.1001,5701.1001,5701.1001,5701.1001,126,1125
APOLLOHOSP_F3,05-12-2023,11:23:00,5672.5498,5672.5498,5672.5498,5672.5498,125,1125
APOLLOHOSP_F3,05-12-2023,14:53:00,5672.5498,5672.5498,5672.5498,5672.5498,125,1250
APOLLOHOSP_F3,05-12-2023,14:56:00,5672.5498,5672.5498,5672.5498,5672.5498,125,1125
APOLLOHOSP_F3,05-12-2023,15:01:00,5672.5498,5672.5498,5672.5498,5672.5498,125,1125
APOLLOHOSP_F3,06-12-2023,10:15:00,5677.25,5677.25,5677.25,5677.25,126,1250
APOLLOHOSP_F3,06-12-2023,10:25:00,5650.0,5650.0,5650.0,5650.0,125,1375
APOLLOHOSP_F3,06-12-2023,10:26:00,5650.0,5650.0,5650.0,5650.0,125,1375
APOLLOHOSP_F3,06-12-2023,10:41:00,5650.0,5650.0,5650.0,5650.0,125,1625
APOLLOHOSP_F3,06-12-2023,10:55:00,5640.0498,5640.0498,5640.0498,5640.0498,125,1625
APOLLOHOSP_F3,06-12-2023,10:57:00,5640.0498,5640.0498,5640.0498,5640.0498,125,1625
APOLLOHOSP_F3,06-12-2023,12:30:00,5640.0498,5640.0498,5640.0498,5640.0498,125,1750
APOLLOHOSP_F3,06-12-2023,12:32:00,5640.0,5640.0,5640.0,5640.0,125,1750
APOLLOHOSP_F3,06-12-2023,13:24:00,5640.0,5640.0,5640.0,5640.0,125,1750
APOLLOHOSP_F3,06-12-2023,15:21:00,5640.0,5640.0,5640.0,5640.0,125,1750
APOLLOHOSP_F3,06-12-2023,15:22:00,5640.0,5640.0,5640.0,5640.0,125,1750
APOLLOHOSP_F3,07-12-2023,09:26:00,5595.6499,5595.6499,5594.3999,5594.3999,251,1750
APOLLOHOSP_F3,07-12-2023,11:40:00,5562.9502,5562.9502,5562.9502,5562.9502,125,1750
APOLLOHOSP_F3,07-12-2023,11:56:00,5562.9502,5562.9502,5562.9502,5562.9502,125,1875
APOLLOHOSP_F3,07-12-2023,12:34:00,5560.0,5560.0,5560.0,5560.0,125,1875
APOLLOHOSP_F3,07-12-2023,13:17:00,5560.0,5560.0,5560.0,5560.0,125,2000
APOLLOHOSP_F3,07-12-2023,15:03:00,5560.0,5560.0,5560.0,5560.0,125,2125
APOLLOHOSP_F3,07-12-2023,15:14:00,5571.9502,5571.9502,5571.9502,5571.9502,125,2125
APOLLOHOSP_F3,07-12-2023,15:20:00,5570.0,5570.0,5570.0,5570.0,125,2125
APOLLOHOSP_F3,07-12-2023,15:21:00,5570.0,5570.0,5570.0,5570.0,125,2250
APOLLOHOSP_F3,08-12-2023,09:21:00,5600.0,5600.0,5600.0,5600.0,126,2375
APOLLOHOSP_F3,08-12-2023,09:22:00,5604.8999,5615.2998,5604.8999,5615.2998,875,2375
APOLLOHOSP_F3,08-12-2023,09:44:00,5615.2998,5615.2998,5615.2998,5615.2998,125,2750
APOLLOHOSP_F3,08-12-2023,09:53:00,5578.1499,5578.1499,5578.1499,5578.1499,125,2875
APOLLOHOSP_F3,08-12-2023,09:55:00,5592.1499,5592.1499,5592.1499,5592.1499,125,2875
APOLLOHOSP_F3,08-12-2023,10:08:00,5585.3999,5585.3999,5585.3999,5585.3999,125,2875
APOLLOHOSP_F3,08-12-2023,10:14:00,5570.5,5570.5,5570.5,5570.5,125,3000
APOLLOHOSP_F3,08-12-2023,10:18:00,5557.0498,5557.0498,5557.0498,5557.0498,125,3125
APOLLOHOSP_F3,08-12-2023,10:55:00,5557.0498,5557.0498,5557.0498,5557.0498,125,3125
APOLLOHOSP_F3,08-12-2023,10:59:00,5551.3999,5551.3999,5551.3999,5551.3999,125,3250
APOLLOHOSP_F3,08-12-2023,12:02:00,5551.3999,5551.3999,5551.3999,5551.3999,125,3250
APOLLOHOSP_F3,08-12-2023,12:05:00,5577.0,5577.0,5577.0,5577.0,125,3125
APOLLOHOSP_F3,08-12-2023,12:35:00,5595.1001,5595.1001,5595.1001,5595.1001,125,3000
APOLLOHOSP_F3,08-12-2023,13:19:00,5587.1001,5587.1001,5587.1001,5587.1001,125,2875
APOLLOHOSP_F3,08-12-2023,14:07:00,5587.1001,5587.1001,5587.1001,5587.1001,125,2875
APOLLOHOSP_F3,08-12-2023,14:39:00,5600.0,5600.0,5600.0,5600.0,125,2750
APOLLOHOSP_F3,08-12-2023,14:43:00,5620.0,5620.0,5620.0,5620.0,375,2750
APOLLOHOSP_F3,08-12-2023,14:58:00,5640.0,5640.0,5640.0,5640.0,125,2625
APOLLOHOSP_F3,08-12-2023,15:15:00,5645.0,5645.0,5645.0,5645.0,125,2625
APOLLOHOSP_F3,08-12-2023,15:16:00,5645.0,5645.0,5645.0,5645.0,125,2625
APOLLOHOSP_F3,11-12-2023,09:38:00,5629.7998,5629.7998,5629.7998,5629.7998,126,2750
APOLLOHOSP_F3,11-12-2023,10:31:00,5615.0,5615.0,5615.0,5615.0,125,2875
APOLLOHOSP_F3,11-12-2023,12:46:00,5615.0,5615.0,5615.0,5615.0,125,3000
APOLLOHOSP_F3,11-12-2023,14:27:00,5625.25,5625.25,5625.25,5625.25,125,3125
APOLLOHOSP_F3,11-12-2023,15:15:00,5631.3999,5631.3999,5631.3999,5631.3999,125,3250
APOLLOHOSP_F3,12-12-2023,09:22:00,5631.3999,5631.3999,5631.3999,5631.3999,126,3250
APOLLOHOSP_F3,12-12-2023,12:11:00,5612.8999,5612.8999,5612.8999,5612.8999,125,3250
APOLLOHOSP_F3,12-12-2023,12:21:00,5600.9502,5600.9502,5600.9502,5600.9502,250,3250
APOLLOHOSP_F3,12-12-2023,12:28:00,5592.0,5592.0,5592.0,5592.0,125,3375
APOLLOHOSP_F3,12-12-2023,12:32:00,5582.7002,5582.7002,5582.7002,5582.7002,125,3375
APOLLOHOSP_F3,12-12-2023,12:49:00,5554.3999,5554.3999,5554.3999,5554.3999,125,3375
APOLLOHOSP_F3,12-12-2023,13:36:00,5554.3999,5554.3999,5554.3999,5554.3999,125,3250
APOLLOHOSP_F3,12-12-2023,13:43:00,5547.0,5547.0,5547.0,5547.0,125,3250
APOLLOHOSP_F3,12-12-2023,13:47:00,5540.0498,5540.0498,5540.0498,5540.0498,125,3375
APOLLOHOSP_F3,12-12-2023,14:55:00,5523.0498,5523.0498,5523.0498,5523.0498,125,3500
APOLLOHOSP_F3,12-12-2023,14:56:00,5510.8501,5510.8501,5510.8501,5510.8501,125,3500
APOLLOHOSP_F3,13-12-2023,09:15:00,5508.7998,5508.7998,5508.7998,5508.7998,126,3500
APOLLOHOSP_F3,13-12-2023,09:17:00,5508.7998,5508.7998,5507.7002,5507.7002,875,3500
APOLLOHOSP_F3,13-12-2023,09:24:00,5507.7002,5507.7002,5507.7002,5507.7002,125,4500
APOLLOHOSP_F3,13-12-2023,12:50:00,5527.0498,5527.0498,5527.0498,5527.0498,125,4625
APOLLOHOSP_F3,14-12-2023,09:18:00,5510.0,5510.0,5510.0,5510.0,126,4625
APOLLOHOSP_F3,14-12-2023,09:23:00,5580.6499,5580.6499,5580.6499,5580.6499,250,4750
APOLLOHOSP_F3,14-12-2023,09:25:00,5484.1001,5484.1001,5484.1001,5484.1001,125,4750
APOLLOHOSP_F3,14-12-2023,09:26:00,5583.1499,5583.1499,5583.1499,5583.1499,125,4750
APOLLOHOSP_F3,14-12-2023,10:38:00,5595.0,5595.0,5595.0,5595.0,125,4500
APOLLOHOSP_F3,14-12-2023,11:03:00,5595.0,5595.0,5595.0,5595.0,125,4625
APOLLOHOSP_F3,14-12-2023,15:05:00,5600.1001,5600.1001,5600.1001,5600.1001,125,4500
APOLLOHOSP_F3,14-12-2023,15:18:00,5609.0498,5609.0498,5609.0498,5609.0498,125,4375
APOLLOHOSP_F3,14-12-2023,15:19:00,5609.0498,5609.0498,5609.0498,5609.0498,250,4250
APOLLOHOSP_F3,14-12-2023,15:25:00,5617.0,5619.9502,5617.0,5619.9502,250,4000
APOLLOHOSP_F3,14-12-2023,15:26:00,5620.0,5620.0,5620.0,5620.0,125,4000
APOLLOHOSP_F3,15-12-2023,09:37:00,5620.0,5620.0,5620.0,5620.0,126,3875
APOLLOHOSP_F3,15-12-2023,09:39:00,5615.0,5615.0,5615.0,5615.0,125,3875
APOLLOHOSP_F3,15-12-2023,09:42:00,5615.0,5615.0,5615.0,5615.0,125,4000
APOLLOHOSP_F3,15-12-2023,10:21:00,5615.0,5615.0,5615.0,5615.0,125,4125
APOLLOHOSP_F3,18-12-2023,11:11:00,5629.0,5629.0,5629.0,5629.0,126,4125
APOLLOHOSP_F3,18-12-2023,12:20:00,5610.25,5610.25,5610.25,5610.25,125,4250
APOLLOHOSP_F3,18-12-2023,13:01:00,5600.0,5600.0,5600.0,5600.0,125,4375
APOLLOHOSP_F3,18-12-2023,14:42:00,5600.0,5600.0,5600.0,5600.0,125,4500
APOLLOHOSP_F3,18-12-2023,14:54:00,5600.0,5600.0,5600.0,5600.0,125,4500
APOLLOHOSP_F3,18-12-2023,15:18:00,5595.0,5595.0,5595.0,5595.0,250,4750
APOLLOHOSP_F3,19-12-2023,09:39:00,5700.0,5700.0,5700.0,5700.0,126,4875
APOLLOHOSP_F3,19-12-2023,09:47:00,5728.0498,5728.0498,5728.0498,5728.0498,125,5000
APOLLOHOSP_F3,19-12-2023,09:48:00,5728.0498,5728.0498,5728.0498,5728.0498,125,5125
APOLLOHOSP_F3,19-12-2023,10:30:00,5665.8501,5665.8501,5665.8501,5665.8501,125,5250
APOLLOHOSP_F3,19-12-2023,10:37:00,5650.6499,5650.6499,5650.6499,5650.6499,125,5375
APOLLOHOSP_F3,19-12-2023,11:15:00,5645.0,5645.0,5645.0,5645.0,250,5500
APOLLOHOSP_F3,19-12-2023,11:19:00,5645.0,5645.0,5645.0,5645.0,125,5750
APOLLOHOSP_F3,19-12-2023,11:27:00,5652.8999,5652.8999,5652.8999,5652.8999,125,5875
APOLLOHOSP_F3,19-12-2023,12:19:00,5652.0,5652.0,5652.0,5652.0,125,6000
APOLLOHOSP_F3,19-12-2023,12:50:00,5654.3999,5654.3999,5654.3999,5654.3999,125,6125
APOLLOHOSP_F3,19-12-2023,13:01:00,5651.0,5651.0,5651.0,5651.0,125,6250
APOLLOHOSP_F3,19-12-2023,13:37:00,5675.0,5675.0,5675.0,5675.0,125,6375
APOLLOHOSP_F3,19-12-2023,15:00:00,5653.0,5653.0,5653.0,5653.0,125,6250
APOLLOHOSP_F3,19-12-2023,15:05:00,5653.0,5653.0,5653.0,5653.0,125,6375
APOLLOHOSP_F3,19-12-2023,15:24:00,5652.4502,5652.4502,5652.4502,5652.4502,250,6375
APOLLOHOSP_F3,20-12-2023,09:23:00,5667.25,5667.25,5667.25,5667.25,126,6250
APOLLOHOSP_F3,20-12-2023,09:24:00,5680.0,5680.0,5680.0,5680.0,125,6125
APOLLOHOSP_F3,20-12-2023,09:25:00,5680.0,5680.0,5680.0,5680.0,875,6125
APOLLOHOSP_F3,20-12-2023,10:45:00,5680.0,5680.0,5680.0,5680.0,125,5125
APOLLOHOSP_F3,20-12-2023,13:28:00,5600.0498,5600.0498,5600.0498,5600.0498,250,5000
APOLLOHOSP_F3,20-12-2023,13:29:00,5600.1001,5600.1001,5600.1001,5600.1001,125,5000
APOLLOHOSP_F3,20-12-2023,13:35:00,5600.0,5600.0,5600.0,5600.0,125,5000
APOLLOHOSP_F3,20-12-2023,13:39:00,5600.0,5600.0,5600.0,5600.0,125,5125
APOLLOHOSP_F3,20-12-2023,13:49:00,5606.6499,5606.6499,5606.6499,5606.6499,125,5250
APOLLOHOSP_F3,20-12-2023,14:00:00,5600.0,5600.0,5600.0,5600.0,125,5250
APOLLOHOSP_F3,20-12-2023,14:44:00,5540.0,5540.0,5540.0,5540.0,125,5375
APOLLOHOSP_F3,20-12-2023,15:08:00,5508.0,5508.0,5508.0,5508.0,125,5500
APOLLOHOSP_F3,20-12-2023,15:09:00,5500.0,5500.0,5500.0,5500.0,250,5500
APOLLOHOSP_F3,20-12-2023,15:15:00,5500.0,5500.0,5500.0,5500.0,125,5875
APOLLOHOSP_F3,21-12-2023,09:15:00,5445.0,5445.0,5444.0,5444.0,252,6000
APOLLOHOSP_F3,21-12-2023,09:17:00,5440.5,5440.5,5440.5,5440.5,125,6000
APOLLOHOSP_F3,21-12-2023,09:23:00,5439.3501,5439.3501,5439.3501,5439.3501,250,6125
APOLLOHOSP_F3,21-12-2023,09:29:00,5439.3501,5439.3501,5439.3501,5439.3501,125,6375
APOLLOHOSP_F3,21-12-2023,09:31:00,5463.0,5463.0,5463.0,5463.0,125,6500
APOLLOHOSP_F3,21-12-2023,10:07:00,5558.5,5558.5,5558.5,5558.5,125,6375
APOLLOHOSP_F3,21-12-2023,10:09:00,5558.5,5558.5,5558.5,5558.5,125,6500
APOLLOHOSP_F3,21-12-2023,10:16:00,5534.0,5534.0,5534.0,5534.0,125,6500
APOLLOHOSP_F3,21-12-2023,10:22:00,5541.0,5541.0,5541.0,5541.0,125,6500
APOLLOHOSP_F3,21-12-2023,10:37:00,5514.4502,5514.4502,5514.4502,5514.4502,500,6625
APOLLOHOSP_F3,21-12-2023,10:42:00,5545.0,5545.0,5545.0,5545.0,250,6750
APOLLOHOSP_F3,21-12-2023,10:47:00,5545.0,5545.0,5545.0,5545.0,125,6500
APOLLOHOSP_F3,21-12-2023,10:49:00,5540.0,5540.0,5540.0,5540.0,125,6625
APOLLOHOSP_F3,21-12-2023,10:53:00,5540.0,5540.0,5540.0,5540.0,500,6750
APOLLOHOSP_F3,21-12-2023,11:45:00,5575.0,5586.0,5575.0,5586.0,250,7250
APOLLOHOSP_F3,21-12-2023,11:46:00,5600.0,5600.0,5600.0,5600.0,125,7250
APOLLOHOSP_F3,21-12-2023,11:48:00,5600.0,5600.0,5600.0,5600.0,125,7250
APOLLOHOSP_F3,21-12-2023,11:53:00,5619.1001,5619.1001,5619.1001,5619.1001,125,7125
APOLLOHOSP_F3,21-12-2023,11:54:00,5619.1001,5619.1001,5619.1001,5619.1001,125,7125
APOLLOHOSP_F3,21-12-2023,13:41:00,5619.1001,5619.1001,5619.1001,5619.1001,125,7000
APOLLOHOSP_F3,21-12-2023,14:59:00,5560.2002,5560.2002,5560.2002,5560.2002,125,7125
APOLLOHOSP_F3,22-12-2023,09:25:00,5570.0,5570.0,5570.0,5570.0,126,7125
APOLLOHOSP_F3,22-12-2023,10:28:00,5591.0,5591.0,5591.0,5591.0,125,7125
APOLLOHOSP_F3,22-12-2023,10:53:00,5595.7998,5595.7998,5595.7998,5595.7998,125,7250
APOLLOHOSP_F3,22-12-2023,10:54:00,5595.7998,5595.7998,5595.7998,5595.7998,125,7250
APOLLOHOSP_F3,22-12-2023,11:33:00,5619.0,5619.0,5619.0,5619.0,125,7125
APOLLOHOSP_F3,22-12-2023,11:36:00,5620.0,5620.0,5620.0,5620.0,125,7125
APOLLOHOSP_F3,22-12-2023,11:42:00,5637.8501,5637.8501,5637.8501,5637.8501,125,7125
APOLLOHOSP_F3,22-12-2023,12:03:00,5637.8501,5637.8501,5637.8501,5637.8501,250,7125
APOLLOHOSP_F3,22-12-2023,12:16:00,5637.8501,5637.8501,5637.8501,5637.8501,125,6875
APOLLOHOSP_F3,22-12-2023,12:26:00,5632.0,5632.0,5632.0,5632.0,125,6750
APOLLOHOSP_F3,22-12-2023,12:35:00,5608.75,5608.75,5587.4502,5587.4502,250,6750
APOLLOHOSP_F3,22-12-2023,13:00:00,5603.7002,5603.7002,5603.7002,5603.7002,125,6750
APOLLOHOSP_F3,22-12-2023,14:37:00,5632.0,5632.0,5632.0,5632.0,125,6750
APOLLOHOSP_F3,22-12-2023,14:51:00,5631.5,5631.5,5631.5,5631.5,125,6625
APOLLOHOSP_F3,26-12-2023,09:20:00,5675.0,5675.0,5675.0,5675.0,126,6500
APOLLOHOSP_F3,26-12-2023,09:21:00,5680.0,5690.0,5680.0,5690.0,250,6500
APOLLOHOSP_F3,26-12-2023,09:23:00,5690.0,5690.0,5690.0,5690.0,125,6500
APOLLOHOSP_F3,26-12-2023,09:44:00,5680.0,5680.0,5680.0,5680.0,125,6625
APOLLOHOSP_F3,26-12-2023,10:44:00,5690.0,5690.0,5690.0,5690.0,250,6500
APOLLOHOSP_F3,26-12-2023,10:47:00,5685.0,5685.0,5685.0,5685.0,125,6250
