<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
GMRINFRA_F3,04-12-2023,11:16:00,63.75,63.75,63.75,63.75,11251,0
GMRINFRA_F3,04-12-2023,11:19:00,63.8,63.8,63.8,63.8,11250,11250
GMRINFRA_F3,04-12-2023,11:25:00,63.8,63.8,63.8,63.8,11250,22500
GMRINFRA_F3,04-12-2023,12:59:00,63.3,63.3,63.3,63.3,11250,33750
GMRINFRA_F3,04-12-2023,13:02:00,63.3,63.3,63.3,63.3,11250,45000
GMRINFRA_F3,04-12-2023,13:03:00,63.3,63.3,63.3,63.3,11250,56250
GMRINFRA_F3,05-12-2023,09:25:00,64.5,64.5,64.5,64.5,11251,0
GMRINFRA_F3,05-12-2023,09:46:00,64.4,64.4,64.4,64.4,11250,78750
GMRINFRA_F3,05-12-2023,10:00:00,64.4,64.4,64.4,64.4,11250,90000
GMRINFRA_F3,05-12-2023,11:27:00,64.6,64.6,64.6,64.6,11250,101250
GMRINFRA_F3,05-12-2023,11:43:00,62.75,62.75,62.75,62.75,33750,101250
GMRINFRA_F3,05-12-2023,12:57:00,62.75,62.75,62.75,62.75,11250,135000
GMRINFRA_F3,06-12-2023,10:18:00,62.85,62.85,62.85,62.85,11251,146250
GMRINFRA_F3,06-12-2023,11:16:00,62.5,62.5,62.5,62.5,11250,157500
GMRINFRA_F3,06-12-2023,15:13:00,61.95,61.95,61.95,61.95,112500,168750
GMRINFRA_F3,07-12-2023,09:16:00,61.9,61.9,61.9,61.9,11251,225000
GMRINFRA_F3,07-12-2023,09:56:00,63.55,63.55,63.55,63.55,11250,225000
GMRINFRA_F3,07-12-2023,10:33:00,63.55,63.55,63.55,63.55,11250,225000
GMRINFRA_F3,07-12-2023,10:38:00,63.55,63.55,63.55,63.55,11250,225000
GMRINFRA_F3,07-12-2023,10:39:00,63.55,63.55,63.55,63.55,11250,225000
GMRINFRA_F3,07-12-2023,11:53:00,63.85,63.85,63.85,63.85,11250,225000
GMRINFRA_F3,07-12-2023,12:00:00,63.85,63.85,63.85,63.85,11250,236250
GMRINFRA_F3,07-12-2023,12:08:00,63.85,63.85,63.85,63.85,22500,247500
GMRINFRA_F3,07-12-2023,12:24:00,63.85,63.85,63.85,63.85,11250,258750
GMRINFRA_F3,07-12-2023,13:42:00,63.6,63.6,63.6,63.6,11250,258750
GMRINFRA_F3,07-12-2023,14:20:00,63.8,63.8,63.8,63.8,90000,270000
GMRINFRA_F3,07-12-2023,15:30:00,62.25,62.25,62.25,62.25,112500,270000
GMRINFRA_F3,08-12-2023,09:17:00,60.2,60.3,60.2,60.3,33751,337500
GMRINFRA_F3,08-12-2023,09:18:00,60.85,60.85,60.85,60.85,67500,371250
GMRINFRA_F3,08-12-2023,09:19:00,62.35,62.35,62.35,62.35,292500,371250
GMRINFRA_F3,08-12-2023,09:20:00,60.75,60.75,60.75,60.75,11250,337500
GMRINFRA_F3,08-12-2023,09:21:00,60.85,60.95,60.85,60.95,22500,337500
