<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
NAUKRI_F1,01-12-2023,09:15:00,4657.4502,4676.25,4657.4502,4670.25,2852,1483650
NAUKRI_F1,01-12-2023,09:16:00,4670.0,4672.9502,4658.3999,4662.1001,2400,1483650
NAUKRI_F1,01-12-2023,09:17:00,4655.0,4655.0,4648.4502,4648.4502,2400,1485150
NAUKRI_F1,01-12-2023,09:18:00,4646.7002,4646.7002,4641.4502,4641.4502,1350,1485150
NAUKRI_F1,01-12-2023,09:19:00,4639.5498,4639.5498,4629.5498,4629.7002,1950,1485150
NAUKRI_F1,01-12-2023,09:20:00,4630.25,4634.5498,4628.0,4628.0,1050,1485600
NAUKRI_F1,01-12-2023,09:21:00,4628.0,4628.0,4615.0,4618.2998,5100,1485600
NAUKRI_F1,01-12-2023,09:22:00,4615.0,4615.6499,4611.0,4615.6001,2850,1485600
NAUKRI_F1,01-12-2023,09:23:00,4608.0,4617.5,4605.0,4617.0,4800,1486350
NAUKRI_F1,01-12-2023,09:24:00,4611.1499,4613.1001,4607.4502,4613.0498,1350,1486350
NAUKRI_F1,01-12-2023,09:25:00,4609.0,4609.0,4599.0,4603.6499,4500,1486350
NAUKRI_F1,01-12-2023,09:26:00,4600.25,4600.8501,4582.1001,4593.1001,12300,1488150
NAUKRI_F1,01-12-2023,09:27:00,4596.75,4601.7998,4592.0,4592.1499,4200,1488150
NAUKRI_F1,01-12-2023,09:28:00,4594.4502,4602.3501,4590.7998,4599.0,2400,1488150
NAUKRI_F1,01-12-2023,09:29:00,4602.2002,4602.2002,4594.5498,4595.6001,1800,1489350
NAUKRI_F1,01-12-2023,09:30:00,4598.0498,4601.7002,4596.0,4596.0,1800,1489350
NAUKRI_F1,01-12-2023,09:31:00,4598.0,4600.3999,4592.1001,4600.3999,3150,1489350
NAUKRI_F1,01-12-2023,09:32:00,4601.7002,4607.6001,4600.1001,4605.1499,2700,1492200
NAUKRI_F1,01-12-2023,09:33:00,4608.0,4608.0,4591.1001,4595.1499,3600,1492200
NAUKRI_F1,01-12-2023,09:34:00,4595.1499,4603.9502,4592.7002,4603.9502,1350,1492200
NAUKRI_F1,01-12-2023,09:35:00,4600.0,4601.6001,4597.2002,4601.6001,1050,1493400
NAUKRI_F1,01-12-2023,09:36:00,4601.25,4603.2998,4601.25,4603.2998,300,1493400
NAUKRI_F1,01-12-2023,09:37:00,4599.8501,4599.8501,4599.8501,4599.8501,150,1493400
NAUKRI_F1,01-12-2023,09:38:00,4602.3999,4603.2002,4596.3999,4600.7998,3000,1494450
NAUKRI_F1,01-12-2023,09:39:00,4596.7998,4600.2002,4595.3501,4600.2002,1650,1494450
NAUKRI_F1,01-12-2023,09:40:00,4598.6001,4598.6001,4598.6001,4598.6001,600,1494450
NAUKRI_F1,01-12-2023,09:41:00,4595.25,4599.0498,4595.25,4599.0498,750,1495350
NAUKRI_F1,01-12-2023,09:42:00,4598.0,4600.0,4597.6499,4600.0,450,1495350
NAUKRI_F1,01-12-2023,09:43:00,4600.0,4604.2998,4596.1499,4604.2998,1500,1495350
NAUKRI_F1,01-12-2023,09:44:00,4598.4502,4601.2002,4596.1499,4600.0,2850,1497000
NAUKRI_F1,01-12-2023,09:45:00,4602.75,4602.75,4598.8999,4600.0,3300,1497000
NAUKRI_F1,01-12-2023,09:46:00,4596.1001,4596.1001,4590.0,4590.0,1500,1497000
NAUKRI_F1,01-12-2023,09:47:00,4590.0,4590.6499,4582.1499,4584.5,5100,1498950
NAUKRI_F1,01-12-2023,09:48:00,4585.8501,4585.8501,4584.5,4584.5,600,1498950
NAUKRI_F1,01-12-2023,09:49:00,4581.0,4582.3501,4578.5498,4582.3501,3300,1498950
NAUKRI_F1,01-12-2023,09:50:00,4581.0,4588.5,4580.0,4588.5,1500,1500750
NAUKRI_F1,01-12-2023,09:51:00,4590.0,4592.6499,4586.5498,4592.6499,1200,1500750
NAUKRI_F1,01-12-2023,09:52:00,4593.3999,4597.3501,4593.3999,4597.3501,600,1500750
NAUKRI_F1,01-12-2023,09:53:00,4597.0,4597.0,4591.0,4591.0,1950,1500600
NAUKRI_F1,01-12-2023,09:54:00,4588.6499,4591.0,4585.0,4585.0,1950,1500600
NAUKRI_F1,01-12-2023,09:55:00,4585.0,4585.0,4584.7002,4584.7002,3300,1500600
NAUKRI_F1,01-12-2023,09:56:00,4582.2002,4585.0,4581.9502,4584.75,2550,1500300
NAUKRI_F1,01-12-2023,09:57:00,4579.5498,4583.5,4578.8501,4583.5,2100,1500300
NAUKRI_F1,01-12-2023,09:58:00,4584.8999,4584.8999,4581.9502,4581.9502,450,1500300
NAUKRI_F1,01-12-2023,09:59:00,4586.9502,4586.9502,4586.9502,4586.9502,150,1498950
NAUKRI_F1,01-12-2023,10:00:00,4583.6001,4583.6001,4581.0498,4581.0498,900,1498950
NAUKRI_F1,01-12-2023,10:01:00,4580.0,4580.0,4578.0,4578.6499,1650,1498950
NAUKRI_F1,01-12-2023,10:02:00,4580.8501,4582.25,4578.0,4579.2998,1950,1501050
NAUKRI_F1,01-12-2023,10:03:00,4578.0498,4579.7002,4578.0498,4579.7002,600,1501050
NAUKRI_F1,01-12-2023,10:04:00,4575.3999,4577.2998,4572.7002,4576.7998,1950,1501050
NAUKRI_F1,01-12-2023,10:05:00,4579.7002,4579.9502,4573.3999,4573.3999,900,1502100
NAUKRI_F1,01-12-2023,10:07:00,4574.0,4575.6001,4568.0,4570.0,2250,1502100
NAUKRI_F1,01-12-2023,10:08:00,4570.3999,4571.9502,4566.0,4569.2998,1650,1501500
NAUKRI_F1,01-12-2023,10:09:00,4565.0,4571.7002,4564.0,4566.0,1800,1501500
NAUKRI_F1,01-12-2023,10:10:00,4569.25,4571.9502,4566.75,4571.9502,1500,1501500
NAUKRI_F1,01-12-2023,10:11:00,4568.0498,4571.0,4568.0498,4571.0,900,1503900
NAUKRI_F1,01-12-2023,10:12:00,4567.0,4567.0,4565.0,4566.2998,750,1503900
NAUKRI_F1,01-12-2023,10:13:00,4567.0,4571.5,4567.0,4568.6001,600,1503900
NAUKRI_F1,01-12-2023,10:14:00,4567.0,4568.6001,4563.0,4563.0,1200,1503300
NAUKRI_F1,01-12-2023,10:15:00,4561.5498,4562.6001,4558.2002,4558.2002,2250,1503300
NAUKRI_F1,01-12-2023,10:16:00,4557.7002,4560.0498,4555.3999,4560.0498,2700,1503300
NAUKRI_F1,01-12-2023,10:17:00,4561.7998,4562.9502,4560.0,4560.0,1500,1504200
NAUKRI_F1,01-12-2023,10:18:00,4562.9502,4563.6499,4561.0,4562.4502,1350,1504200
NAUKRI_F1,01-12-2023,10:19:00,4565.25,4565.25,4559.3999,4563.9502,3000,1504200
NAUKRI_F1,01-12-2023,10:20:00,4559.0,4561.8999,4559.0,4559.2998,1500,1504200
NAUKRI_F1,01-12-2023,10:21:00,4557.4502,4557.5498,4553.2998,4555.0,2850,1504200
NAUKRI_F1,01-12-2023,10:22:00,4556.6499,4561.1001,4556.0,4560.8501,2550,1504200
NAUKRI_F1,01-12-2023,10:23:00,4560.0,4561.1001,4558.0,4561.1001,1050,1504950
NAUKRI_F1,01-12-2023,10:24:00,4563.2002,4563.2002,4563.0,4563.0,450,1504950
NAUKRI_F1,01-12-2023,10:25:00,4563.2002,4568.75,4563.2002,4568.75,1800,1504950
NAUKRI_F1,01-12-2023,10:26:00,4568.9502,4568.9502,4563.0,4565.0498,1950,1507200
NAUKRI_F1,01-12-2023,10:27:00,4565.0,4568.7998,4564.0,4568.7998,2400,1507200
NAUKRI_F1,01-12-2023,10:28:00,4568.9502,4568.9502,4562.0,4564.75,1950,1507200
NAUKRI_F1,01-12-2023,10:29:00,4561.4502,4568.0,4560.0,4567.75,1950,1507650
NAUKRI_F1,01-12-2023,10:30:00,4562.0,4564.6001,4562.0,4564.6001,300,1507650
