<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BATAINDIA_F3,02/01/2022,10:45:00,2070.00,2070.00,2070.00,2070.00,551,1100
BATAINDIA_F3,02/01/2022,11:09:00,2047.15,2047.15,2047.15,2047.15,1100,1100
BATAINDIA_F3,02/01/2022,14:40:00,2046.60,2046.60,2046.60,2046.60,1100,1650
BATAINDIA_F3,02/02/2022,09:58:00,2049.30,2049.30,2049.30,2049.30,551,2750
BATAINDIA_F3,02/03/2022,10:31:00,2030.00,2030.00,2030.00,2030.00,551,2750
BATAINDIA_F3,02/03/2022,10:55:00,2032.90,2032.90,2032.90,2032.90,1100,2750
BATAINDIA_F3,02/04/2022,09:34:00,1981.00,1981.00,1981.00,1981.00,551,2200
BATAINDIA_F3,02/04/2022,11:59:00,1976.50,1976.50,1976.50,1976.50,550,2750
BATAINDIA_F3,02/04/2022,12:26:00,1973.25,1973.25,1973.25,1973.25,550,3300
BATAINDIA_F3,02/04/2022,12:49:00,1973.25,1973.25,1973.25,1973.25,550,3300
BATAINDIA_F3,02/07/2022,09:54:00,1949.25,1949.25,1949.25,1949.25,1101,3850
BATAINDIA_F3,02/07/2022,10:02:00,1940.00,1940.00,1940.00,1940.00,550,4950
BATAINDIA_F3,02/07/2022,10:27:00,1925.00,1925.00,1925.00,1925.00,550,4950
BATAINDIA_F3,02/07/2022,11:27:00,1925.00,1925.00,1925.00,1925.00,550,5500
BATAINDIA_F3,02/07/2022,11:42:00,1925.00,1925.00,1925.00,1925.00,550,6050
BATAINDIA_F3,02/07/2022,12:04:00,1925.00,1925.00,1925.00,1925.00,550,6600
BATAINDIA_F3,02/07/2022,13:19:00,1923.45,1923.45,1923.45,1923.45,2750,7150
BATAINDIA_F3,02/08/2022,10:13:00,1908.00,1908.00,1908.00,1908.00,551,9900
BATAINDIA_F3,02/08/2022,10:20:00,1917.50,1917.50,1917.50,1917.50,1100,10450
BATAINDIA_F3,02/08/2022,13:02:00,1917.50,1917.50,1917.50,1917.50,550,9350
BATAINDIA_F3,02/08/2022,14:03:00,1917.50,1917.50,1917.50,1917.50,550,9900
BATAINDIA_F3,02/08/2022,15:27:00,1917.50,1917.50,1917.50,1917.50,550,9900
BATAINDIA_F3,02/08/2022,15:28:00,1890.00,1890.00,1890.00,1890.00,550,10450
BATAINDIA_F3,02/09/2022,09:36:00,1905.00,1905.00,1905.00,1905.00,551,11000
BATAINDIA_F3,02/09/2022,11:21:00,1901.75,1901.75,1901.75,1901.75,550,11550
BATAINDIA_F3,02/09/2022,11:49:00,1890.00,1890.00,1890.00,1890.00,550,12100
BATAINDIA_F3,02/09/2022,14:41:00,1890.00,1890.00,1890.00,1890.00,550,12650
BATAINDIA_F3,02/09/2022,15:00:00,1905.00,1905.00,1905.00,1905.00,550,13200
BATAINDIA_F3,02/09/2022,15:25:00,1908.00,1908.00,1908.00,1908.00,550,13200
BATAINDIA_F3,02/10/2022,09:17:00,1906.90,1906.90,1906.90,1906.90,551,13200
BATAINDIA_F3,02/10/2022,09:29:00,1915.00,1915.00,1915.00,1915.00,550,13750
BATAINDIA_F3,02/10/2022,09:42:00,1923.20,1923.20,1923.20,1923.20,550,13750
BATAINDIA_F3,02/10/2022,09:57:00,1923.75,1923.75,1923.75,1923.75,550,13750
BATAINDIA_F3,02/10/2022,10:03:00,1923.75,1923.75,1923.75,1923.75,550,13750
BATAINDIA_F3,02/10/2022,13:16:00,1923.40,1923.40,1923.40,1923.40,550,14300
