<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CADILAHC_F2,02/01/2022,09:16:00,410.00,410.05,410.00,410.05,3302,854700
CADILAHC_F2,02/01/2022,09:17:00,410.80,410.80,410.80,410.80,2200,858000
CADILAHC_F2,02/01/2022,09:19:00,411.10,411.10,411.10,411.10,1100,858000
CADILAHC_F2,02/01/2022,09:20:00,411.20,411.65,411.20,411.65,2200,858000
CADILAHC_F2,02/01/2022,09:21:00,412.10,412.10,412.10,412.10,3300,858000
CADILAHC_F2,02/01/2022,09:22:00,411.05,411.05,411.05,411.05,1100,858000
CADILAHC_F2,02/01/2022,09:23:00,410.80,410.80,410.30,410.30,2200,858000
CADILAHC_F2,02/01/2022,09:24:00,410.15,410.15,410.15,410.15,1100,862400
CADILAHC_F2,02/01/2022,09:25:00,410.80,410.80,410.80,410.80,1100,862400
CADILAHC_F2,02/01/2022,09:27:00,411.20,411.20,411.20,411.20,3300,862400
CADILAHC_F2,02/01/2022,09:31:00,409.50,409.50,409.50,409.50,1100,864600
CADILAHC_F2,02/01/2022,09:33:00,409.20,409.20,409.20,409.20,1100,865700
CADILAHC_F2,02/01/2022,09:36:00,409.20,409.20,409.20,409.20,2200,863500
CADILAHC_F2,02/01/2022,09:38:00,409.20,409.20,409.20,409.20,1100,863500
CADILAHC_F2,02/01/2022,09:40:00,409.00,409.00,409.00,409.00,1100,865700
CADILAHC_F2,02/01/2022,09:45:00,409.00,409.00,409.00,409.00,1100,864600
CADILAHC_F2,02/01/2022,09:49:00,410.50,410.50,410.50,410.50,1100,865700
CADILAHC_F2,02/01/2022,09:54:00,411.60,411.60,411.60,411.60,1100,865700
CADILAHC_F2,02/01/2022,09:56:00,411.90,411.90,411.90,411.90,1100,865700
CADILAHC_F2,02/01/2022,09:57:00,412.15,412.15,412.15,412.15,1100,865700
CADILAHC_F2,02/01/2022,09:59:00,412.15,412.15,412.15,412.15,1100,865700
CADILAHC_F2,02/01/2022,10:07:00,413.00,413.00,413.00,413.00,11000,865700
CADILAHC_F2,02/01/2022,10:11:00,413.00,413.00,413.00,413.00,1100,874500
CADILAHC_F2,02/01/2022,10:24:00,411.35,411.35,411.35,411.35,1100,875600
CADILAHC_F2,02/01/2022,10:44:00,413.20,413.20,413.20,413.20,1100,875600
CADILAHC_F2,02/01/2022,10:54:00,413.20,413.20,413.20,413.20,2200,876700
CADILAHC_F2,02/01/2022,10:58:00,411.95,411.95,411.90,411.90,2200,878900
CADILAHC_F2,02/01/2022,11:12:00,411.00,411.00,411.00,411.00,1100,881100
CADILAHC_F2,02/01/2022,11:37:00,410.25,410.80,410.25,410.80,2200,882200
CADILAHC_F2,02/01/2022,11:38:00,411.00,411.00,411.00,411.00,1100,882200
CADILAHC_F2,02/01/2022,11:44:00,412.00,412.00,412.00,412.00,2200,880000
CADILAHC_F2,02/01/2022,11:48:00,411.95,411.95,411.95,411.95,1100,881100
CADILAHC_F2,02/01/2022,12:03:00,411.95,411.95,411.95,411.95,1100,881100
CADILAHC_F2,02/01/2022,12:04:00,411.60,411.60,411.60,411.60,1100,881100
CADILAHC_F2,02/01/2022,12:10:00,411.40,411.40,411.40,411.40,1100,880000
CADILAHC_F2,02/01/2022,12:12:00,411.75,411.75,411.75,411.75,1100,881100
CADILAHC_F2,02/01/2022,12:14:00,411.40,411.40,411.40,411.40,1100,881100
CADILAHC_F2,02/01/2022,12:20:00,410.10,410.10,410.10,410.10,14300,880000
CADILAHC_F2,02/01/2022,12:30:00,411.80,411.80,411.80,411.80,1100,871200
CADILAHC_F2,02/01/2022,12:31:00,411.80,411.80,411.80,411.80,1100,871200
CADILAHC_F2,02/01/2022,12:42:00,412.65,412.65,412.65,412.65,1100,872300
CADILAHC_F2,02/01/2022,12:46:00,413.00,413.00,413.00,413.00,1100,872300
CADILAHC_F2,02/01/2022,12:49:00,413.00,413.60,413.00,413.60,3300,872300
CADILAHC_F2,02/01/2022,12:50:00,414.00,414.00,414.00,414.00,1100,872300
CADILAHC_F2,02/01/2022,12:52:00,414.00,414.00,414.00,414.00,1100,873400
CADILAHC_F2,02/01/2022,12:55:00,414.40,414.40,414.40,414.40,1100,873400
CADILAHC_F2,02/01/2022,12:57:00,414.40,414.40,414.40,414.40,2200,872300
CADILAHC_F2,02/01/2022,12:58:00,414.40,414.40,414.40,414.40,1100,872300
CADILAHC_F2,02/01/2022,13:03:00,412.60,412.60,412.60,412.60,2200,871200
CADILAHC_F2,02/01/2022,13:04:00,411.15,411.15,411.15,411.15,1100,871200
CADILAHC_F2,02/01/2022,13:11:00,411.15,411.15,411.15,411.15,1100,871200
CADILAHC_F2,02/01/2022,13:13:00,409.75,409.85,409.75,409.85,4400,870100
CADILAHC_F2,02/01/2022,13:15:00,409.45,409.45,409.45,409.45,1100,871200
CADILAHC_F2,02/01/2022,13:22:00,410.35,410.35,410.35,410.35,1100,871200
CADILAHC_F2,02/01/2022,13:23:00,409.65,409.65,409.65,409.65,1100,871200
CADILAHC_F2,02/01/2022,13:33:00,410.75,410.75,410.75,410.75,1100,869000
CADILAHC_F2,02/01/2022,13:43:00,411.30,411.30,411.30,411.30,1100,869000
CADILAHC_F2,02/01/2022,13:51:00,410.85,410.85,410.85,410.85,1100,869000
CADILAHC_F2,02/01/2022,14:28:00,411.50,411.50,411.50,411.50,1100,871200
CADILAHC_F2,02/01/2022,14:43:00,411.50,411.50,411.50,411.50,1100,872300
CADILAHC_F2,02/01/2022,14:45:00,412.10,412.10,412.10,412.10,1100,872300
CADILAHC_F2,02/01/2022,14:54:00,410.95,410.95,410.95,410.95,1100,873400
CADILAHC_F2,02/01/2022,15:00:00,410.40,410.40,410.40,410.40,1100,873400
CADILAHC_F2,02/01/2022,15:01:00,410.15,410.15,410.15,410.15,1100,874500
CADILAHC_F2,02/01/2022,15:07:00,410.95,410.95,410.95,410.95,1100,875600
CADILAHC_F2,02/01/2022,15:09:00,410.90,410.90,410.90,410.90,1100,875600
CADILAHC_F2,02/01/2022,15:11:00,410.10,410.10,410.10,410.10,1100,877800
CADILAHC_F2,02/01/2022,15:15:00,410.05,410.05,410.05,410.05,1100,878900
CADILAHC_F2,02/01/2022,15:18:00,410.40,410.40,410.40,410.40,2200,880000
CADILAHC_F2,02/01/2022,15:19:00,410.25,410.25,410.25,410.25,1100,880000
CADILAHC_F2,02/01/2022,15:21:00,410.20,410.20,410.20,410.20,1100,883300
CADILAHC_F2,02/01/2022,15:22:00,410.30,410.30,410.30,410.30,1100,883300
CADILAHC_F2,02/01/2022,15:23:00,410.35,410.35,410.35,410.35,1100,883300
CADILAHC_F2,02/01/2022,15:24:00,410.30,410.30,410.30,410.30,1100,883300
CADILAHC_F2,02/01/2022,15:29:00,411.00,411.00,411.00,411.00,1100,884400
CADILAHC_F2,02/02/2022,09:15:00,415.00,415.85,415.00,415.85,2202,882200
CADILAHC_F2,02/02/2022,09:16:00,415.85,416.70,415.70,416.70,5500,882200
