<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
LAURUSLABS_F3,02/01/2022,09:25:00,515.00,515.00,515.00,515.00,901,2700
LAURUSLABS_F3,02/01/2022,10:29:00,520.00,520.00,520.00,520.00,900,3600
LAURUSLABS_F3,02/01/2022,10:31:00,521.30,521.30,521.30,521.30,1800,4500
LAURUSLABS_F3,02/01/2022,10:41:00,522.00,522.00,522.00,522.00,900,5400
LAURUSLABS_F3,02/01/2022,12:18:00,523.20,523.20,523.20,523.20,900,5400
LAURUSLABS_F3,02/01/2022,12:39:00,524.45,524.45,524.45,524.45,900,6300
LAURUSLABS_F3,02/01/2022,12:40:00,525.00,525.00,525.00,525.00,900,6300
LAURUSLABS_F3,02/01/2022,12:44:00,525.25,525.25,525.25,525.25,1800,7200
LAURUSLABS_F3,02/01/2022,13:15:00,521.90,521.90,521.50,521.50,1800,8100
LAURUSLABS_F3,02/01/2022,14:03:00,526.60,526.60,526.60,526.60,900,9000
LAURUSLABS_F3,02/01/2022,14:21:00,526.60,526.60,526.60,526.60,900,9000
LAURUSLABS_F3,02/01/2022,14:57:00,524.00,524.00,524.00,524.00,900,9900
LAURUSLABS_F3,02/01/2022,15:06:00,526.00,526.00,526.00,526.00,900,10800
LAURUSLABS_F3,02/01/2022,15:11:00,525.80,525.80,525.80,525.80,900,11700
LAURUSLABS_F3,02/01/2022,15:14:00,526.00,526.00,526.00,526.00,900,11700
LAURUSLABS_F3,02/02/2022,09:47:00,529.00,529.00,529.00,529.00,901,11700
LAURUSLABS_F3,02/02/2022,10:10:00,530.00,530.00,530.00,530.00,900,12600
LAURUSLABS_F3,02/02/2022,11:06:00,536.00,536.00,536.00,536.00,900,13500
LAURUSLABS_F3,02/02/2022,14:25:00,536.00,536.00,536.00,536.00,900,14400
LAURUSLABS_F3,02/02/2022,14:50:00,528.60,528.60,528.60,528.60,900,15300
LAURUSLABS_F3,02/02/2022,15:28:00,528.35,528.35,528.35,528.35,900,16200
LAURUSLABS_F3,02/03/2022,13:09:00,539.00,539.00,539.00,539.00,901,17100
LAURUSLABS_F3,02/03/2022,13:37:00,541.50,541.50,541.50,541.50,900,18000
LAURUSLABS_F3,02/03/2022,14:11:00,541.50,541.50,541.50,541.50,900,18900
LAURUSLABS_F3,02/03/2022,14:37:00,534.40,534.40,534.40,534.40,900,18900
LAURUSLABS_F3,02/03/2022,15:28:00,534.40,534.40,534.40,534.40,900,18900
LAURUSLABS_F3,02/04/2022,13:01:00,530.00,530.00,530.00,530.00,901,18000
LAURUSLABS_F3,02/07/2022,10:03:00,533.00,533.00,533.00,533.00,901,18900
LAURUSLABS_F3,02/07/2022,11:12:00,535.00,535.00,535.00,535.00,900,18000
LAURUSLABS_F3,02/07/2022,15:18:00,535.00,535.00,535.00,535.00,900,18900
LAURUSLABS_F3,02/08/2022,09:50:00,532.20,532.20,532.20,532.20,901,18900
LAURUSLABS_F3,02/09/2022,13:58:00,531.50,531.50,531.50,531.50,901,18900
LAURUSLABS_F3,02/09/2022,14:24:00,531.60,531.60,531.60,531.60,900,19800
LAURUSLABS_F3,02/09/2022,14:49:00,531.60,531.60,531.60,531.60,900,20700
LAURUSLABS_F3,02/10/2022,10:25:00,540.00,540.00,540.00,540.00,901,20700
LAURUSLABS_F3,02/10/2022,10:30:00,541.80,541.80,541.80,541.80,900,19800
LAURUSLABS_F3,02/10/2022,10:32:00,541.80,541.80,541.80,541.80,900,19800
LAURUSLABS_F3,02/10/2022,10:50:00,541.00,541.00,541.00,541.00,900,19800
LAURUSLABS_F3,02/10/2022,11:40:00,543.55,543.55,543.55,543.55,900,20700
LAURUSLABS_F3,02/10/2022,12:30:00,543.55,543.55,543.55,543.55,900,21600
LAURUSLABS_F3,02/10/2022,13:02:00,548.05,548.05,548.05,548.05,900,20700
LAURUSLABS_F3,02/10/2022,14:22:00,548.05,548.05,548.05,548.05,900,21600
LAURUSLABS_F3,02/10/2022,14:52:00,542.00,542.00,542.00,542.00,900,22500
LAURUSLABS_F3,02/10/2022,15:21:00,545.40,545.40,545.40,545.40,900,23400
LAURUSLABS_F3,02/11/2022,09:27:00,554.40,554.40,554.40,554.40,901,22500
LAURUSLABS_F3,02/11/2022,09:34:00,557.45,557.45,557.45,557.45,900,23400
LAURUSLABS_F3,02/11/2022,09:40:00,564.00,564.00,564.00,564.00,900,22500
LAURUSLABS_F3,02/11/2022,09:41:00,565.40,565.40,565.40,565.40,900,21600
LAURUSLABS_F3,02/11/2022,09:46:00,570.00,570.00,570.00,570.00,900,22500
LAURUSLABS_F3,02/11/2022,09:48:00,570.00,570.00,570.00,570.00,900,23400
LAURUSLABS_F3,02/11/2022,10:21:00,566.60,566.60,566.60,566.60,900,24300
LAURUSLABS_F3,02/11/2022,12:43:00,562.10,562.10,562.10,562.10,900,25200
LAURUSLABS_F3,02/11/2022,13:15:00,563.50,563.50,563.50,563.50,900,26100
LAURUSLABS_F3,02/11/2022,14:15:00,559.95,559.95,559.95,559.95,900,27000
LAURUSLABS_F3,02/11/2022,14:30:00,553.15,553.15,553.15,553.15,900,27000
LAURUSLABS_F3,02/11/2022,15:16:00,553.15,553.15,553.15,553.15,900,27000
LAURUSLABS_F3,02/14/2022,09:30:00,552.20,552.20,552.20,552.20,901,27000
LAURUSLABS_F3,02/14/2022,15:01:00,534.00,534.00,534.00,534.00,900,26100
LAURUSLABS_F3,02/14/2022,15:02:00,533.00,533.00,532.50,532.50,1800,26100
LAURUSLABS_F3,02/14/2022,15:03:00,532.50,532.50,532.00,532.00,1800,25200
LAURUSLABS_F3,02/14/2022,15:05:00,531.00,531.00,531.00,531.00,900,25200
LAURUSLABS_F3,02/14/2022,15:09:00,528.00,528.00,528.00,528.00,900,25200
LAURUSLABS_F3,02/14/2022,15:11:00,527.30,527.30,527.30,527.30,1800,25200
LAURUSLABS_F3,02/14/2022,15:12:00,527.35,527.35,526.80,526.80,5400,30600
LAURUSLABS_F3,02/14/2022,15:13:00,526.80,526.80,526.80,526.80,1800,30600
LAURUSLABS_F3,02/15/2022,09:23:00,537.35,537.35,537.35,537.35,901,31500
LAURUSLABS_F3,02/15/2022,09:38:00,539.60,539.60,539.60,539.60,900,30600
LAURUSLABS_F3,02/15/2022,09:42:00,542.85,542.85,542.85,542.85,900,30600
LAURUSLABS_F3,02/15/2022,10:18:00,542.85,542.85,542.85,542.85,900,30600
LAURUSLABS_F3,02/15/2022,11:10:00,535.00,535.00,535.00,535.00,900,30600
LAURUSLABS_F3,02/15/2022,11:33:00,547.00,547.00,547.00,547.00,900,30600
LAURUSLABS_F3,02/16/2022,10:03:00,558.65,558.65,558.65,558.65,901,30600
LAURUSLABS_F3,02/16/2022,13:00:00,557.50,557.50,557.50,557.50,900,31500
LAURUSLABS_F3,02/16/2022,15:11:00,553.45,553.45,553.45,553.45,1800,30600
LAURUSLABS_F3,02/16/2022,15:20:00,553.00,553.00,553.00,553.00,900,31500
LAURUSLABS_F3,02/17/2022,10:55:00,553.30,553.30,553.30,553.30,1801,31500
LAURUSLABS_F3,02/17/2022,10:57:00,553.35,553.35,553.35,553.35,900,31500
LAURUSLABS_F3,02/17/2022,12:35:00,560.00,560.00,560.00,560.00,900,30600
LAURUSLABS_F3,02/17/2022,13:48:00,560.00,560.00,560.00,560.00,1800,30600
LAURUSLABS_F3,02/17/2022,15:24:00,553.65,553.65,553.65,553.65,900,30600
LAURUSLABS_F3,02/18/2022,14:10:00,555.00,555.00,555.00,555.00,901,30600
LAURUSLABS_F3,02/18/2022,14:50:00,554.35,554.35,554.35,554.35,900,30600
LAURUSLABS_F3,02/18/2022,15:09:00,554.35,554.35,554.35,554.35,9000,30600
LAURUSLABS_F3,02/18/2022,15:12:00,554.05,554.05,554.05,554.05,900,38700
LAURUSLABS_F3,02/18/2022,15:13:00,554.05,554.05,554.00,554.00,2700,38700
LAURUSLABS_F3,02/18/2022,15:18:00,554.00,554.00,554.00,554.00,12600,40500
LAURUSLABS_F3,02/18/2022,15:19:00,554.00,554.00,554.00,554.00,13500,53100
LAURUSLABS_F3,02/18/2022,15:20:00,554.00,554.00,554.00,554.00,7200,53100
LAURUSLABS_F3,02/18/2022,15:23:00,554.00,554.00,554.00,554.00,2700,71100
LAURUSLABS_F3,02/18/2022,15:24:00,555.35,555.35,555.00,555.00,9900,71100
LAURUSLABS_F3,02/18/2022,15:25:00,554.95,554.95,554.95,554.95,1800,74700
LAURUSLABS_F3,02/18/2022,15:26:00,555.20,555.20,555.20,555.20,900,74700
LAURUSLABS_F3,02/18/2022,15:29:00,554.05,554.05,554.05,554.05,900,75600
LAURUSLABS_F3,02/21/2022,09:44:00,546.80,546.80,546.80,546.80,901,76500
LAURUSLABS_F3,02/21/2022,10:00:00,546.00,546.00,546.00,546.00,2700,77400
LAURUSLABS_F3,02/21/2022,10:04:00,545.00,545.00,545.00,545.00,900,77400
LAURUSLABS_F3,02/21/2022,10:16:00,545.00,545.00,545.00,545.00,900,81000
LAURUSLABS_F3,02/21/2022,10:17:00,545.00,545.00,545.00,545.00,900,81000
LAURUSLABS_F3,02/21/2022,12:36:00,545.00,545.00,545.00,545.00,1800,81900
LAURUSLABS_F3,02/21/2022,12:47:00,545.00,545.00,545.00,545.00,900,83700
LAURUSLABS_F3,02/21/2022,12:57:00,548.70,548.70,548.70,548.70,900,83700
LAURUSLABS_F3,02/21/2022,13:41:00,548.70,548.70,548.70,548.70,900,82800
LAURUSLABS_F3,02/21/2022,14:40:00,548.70,548.70,548.70,548.70,2700,81900
LAURUSLABS_F3,02/21/2022,14:42:00,532.25,532.25,532.25,532.25,2700,81900
LAURUSLABS_F3,02/21/2022,15:12:00,532.25,532.25,532.25,532.25,900,82800
LAURUSLABS_F3,02/21/2022,15:25:00,541.80,541.80,541.80,541.80,1800,81900
LAURUSLABS_F3,02/21/2022,15:29:00,540.75,540.75,540.75,540.75,900,81900
LAURUSLABS_F3,02/22/2022,09:27:00,541.00,541.00,541.00,541.00,901,76500
LAURUSLABS_F3,02/22/2022,09:29:00,540.95,540.95,540.95,540.95,1800,76500
LAURUSLABS_F3,02/22/2022,09:34:00,538.55,538.55,538.55,538.55,900,77400
LAURUSLABS_F3,02/22/2022,09:44:00,535.00,535.00,535.00,535.00,900,76500
LAURUSLABS_F3,02/22/2022,09:54:00,535.00,535.00,535.00,535.00,900,76500
LAURUSLABS_F3,02/22/2022,11:31:00,540.70,540.70,540.70,540.70,3600,76500
LAURUSLABS_F3,02/22/2022,13:22:00,533.40,533.40,533.40,533.40,900,77400
LAURUSLABS_F3,02/22/2022,13:27:00,529.50,529.50,529.50,529.50,4500,78300
LAURUSLABS_F3,02/22/2022,13:48:00,529.75,529.75,529.75,529.75,900,78300
LAURUSLABS_F3,02/22/2022,13:59:00,530.95,530.95,530.95,530.95,900,78300
LAURUSLABS_F3,02/23/2022,12:19:00,535.70,535.70,535.70,535.70,901,79200
