<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
LICHSGFIN_F3,02/01/2022,09:20:00,395.35,395.35,395.35,395.35,2001,30000
LICHSGFIN_F3,02/01/2022,09:21:00,396.60,396.60,396.60,396.60,2000,30000
LICHSGFIN_F3,02/01/2022,09:39:00,397.10,397.10,397.10,397.10,2000,32000
LICHSGFIN_F3,02/01/2022,11:22:00,400.00,400.00,400.00,400.00,4000,34000
LICHSGFIN_F3,02/01/2022,11:35:00,400.00,400.00,395.00,395.00,4000,38000
LICHSGFIN_F3,02/01/2022,11:41:00,395.00,395.00,395.00,395.00,2000,40000
LICHSGFIN_F3,02/01/2022,12:00:00,397.00,397.00,397.00,397.00,2000,42000
LICHSGFIN_F3,02/01/2022,12:24:00,392.60,392.60,392.60,392.60,2000,44000
LICHSGFIN_F3,02/01/2022,12:44:00,392.60,397.30,392.60,397.30,4000,44000
LICHSGFIN_F3,02/01/2022,13:20:00,387.35,387.35,387.35,387.35,2000,42000
LICHSGFIN_F3,02/01/2022,13:29:00,387.35,387.35,387.35,387.35,2000,44000
LICHSGFIN_F3,02/01/2022,14:42:00,391.00,391.00,391.00,391.00,2000,46000
LICHSGFIN_F3,02/01/2022,14:51:00,391.45,391.45,391.45,391.45,2000,48000
LICHSGFIN_F3,02/01/2022,14:55:00,391.45,391.45,391.45,391.45,2000,50000
LICHSGFIN_F3,02/01/2022,15:23:00,391.90,391.90,391.90,391.90,2000,48000
LICHSGFIN_F3,02/02/2022,09:40:00,399.90,399.95,399.90,399.95,4001,48000
LICHSGFIN_F3,02/02/2022,09:41:00,400.50,400.50,400.50,400.50,2000,48000
LICHSGFIN_F3,02/02/2022,09:43:00,400.50,400.50,400.50,400.50,2000,44000
LICHSGFIN_F3,02/02/2022,10:00:00,402.00,402.00,402.00,402.00,2000,46000
LICHSGFIN_F3,02/02/2022,10:01:00,402.95,402.95,402.95,402.95,4000,46000
LICHSGFIN_F3,02/02/2022,10:02:00,403.00,403.00,403.00,403.00,2000,46000
LICHSGFIN_F3,02/02/2022,10:06:00,406.80,406.80,406.80,406.80,4000,44000
LICHSGFIN_F3,02/02/2022,10:07:00,407.00,407.00,407.00,407.00,2000,44000
LICHSGFIN_F3,02/02/2022,10:11:00,408.00,408.00,408.00,408.00,2000,48000
LICHSGFIN_F3,02/02/2022,10:19:00,409.95,409.95,409.95,409.95,2000,46000
LICHSGFIN_F3,02/02/2022,10:21:00,409.95,409.95,409.95,409.95,2000,46000
LICHSGFIN_F3,02/02/2022,10:27:00,408.55,408.55,408.55,408.55,2000,44000
LICHSGFIN_F3,02/02/2022,10:30:00,409.15,409.15,409.15,409.15,2000,42000
LICHSGFIN_F3,02/02/2022,10:36:00,409.15,409.15,409.15,409.15,2000,44000
LICHSGFIN_F3,02/02/2022,10:39:00,407.05,407.05,407.05,407.05,2000,46000
LICHSGFIN_F3,02/02/2022,10:54:00,405.00,405.00,405.00,405.00,4000,48000
LICHSGFIN_F3,02/02/2022,11:05:00,406.80,406.80,406.80,406.80,2000,52000
LICHSGFIN_F3,02/02/2022,11:07:00,406.70,406.70,406.70,406.70,2000,54000
LICHSGFIN_F3,02/02/2022,11:17:00,406.80,406.80,406.80,406.80,2000,56000
LICHSGFIN_F3,02/02/2022,11:28:00,407.00,407.00,407.00,407.00,2000,56000
LICHSGFIN_F3,02/02/2022,11:30:00,407.00,407.00,407.00,407.00,2000,58000
LICHSGFIN_F3,02/02/2022,11:33:00,406.65,406.65,406.65,406.65,2000,58000
LICHSGFIN_F3,02/02/2022,11:51:00,406.65,406.65,406.65,406.65,4000,58000
LICHSGFIN_F3,02/02/2022,11:56:00,406.55,406.55,406.55,406.55,2000,62000
LICHSGFIN_F3,02/02/2022,12:32:00,405.15,405.15,405.15,405.15,2000,64000
LICHSGFIN_F3,02/02/2022,12:36:00,405.00,405.00,405.00,405.00,4000,66000
LICHSGFIN_F3,02/02/2022,12:38:00,405.00,405.00,405.00,405.00,2000,62000
LICHSGFIN_F3,02/02/2022,12:57:00,403.50,403.50,403.50,403.50,2000,64000
LICHSGFIN_F3,02/02/2022,13:04:00,404.35,404.35,404.35,404.35,2000,66000
LICHSGFIN_F3,02/02/2022,14:51:00,407.00,407.00,407.00,407.00,2000,68000
