<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MRF_F3,02/01/2022,09:38:00,72903.55,72903.55,72903.55,72903.55,11,50
MRF_F3,02/01/2022,15:14:00,72410.40,72410.40,72410.40,72410.40,10,50
MRF_F3,02/01/2022,15:19:00,72400.00,72400.00,72400.00,72400.00,10,60
MRF_F3,02/02/2022,10:14:00,73200.00,73200.00,73200.00,73200.00,11,70
MRF_F3,02/02/2022,11:57:00,72591.10,72591.10,72591.10,72591.10,10,80
MRF_F3,02/02/2022,12:09:00,72448.15,72448.15,72448.15,72448.15,10,90
MRF_F3,02/02/2022,12:31:00,72400.00,72400.00,72400.00,72400.00,10,100
MRF_F3,02/02/2022,12:56:00,72400.00,72400.00,72400.00,72400.00,10,110
MRF_F3,02/02/2022,12:58:00,72350.00,72350.00,72350.00,72350.00,10,110
MRF_F3,02/02/2022,13:03:00,72350.00,72350.00,72350.00,72350.00,10,120
MRF_F3,02/02/2022,14:07:00,72350.00,72350.00,72350.00,72350.00,10,130
MRF_F3,02/02/2022,15:17:00,72400.00,72400.00,72400.00,72400.00,10,140
MRF_F3,02/03/2022,09:15:00,71415.65,71415.65,71415.65,71415.65,11,130
MRF_F3,02/03/2022,09:22:00,71415.65,71415.65,71415.65,71415.65,20,140
MRF_F3,02/03/2022,09:42:00,71650.65,71650.65,71650.65,71650.65,10,140
MRF_F3,02/03/2022,09:47:00,72350.00,72419.21,72350.00,72419.21,20,140
MRF_F3,02/03/2022,10:00:00,72419.35,72419.35,72419.35,72419.35,20,140
MRF_F3,02/03/2022,12:15:00,72419.35,72419.35,72419.35,72419.35,10,150
MRF_F3,02/03/2022,14:17:00,71951.96,71951.96,71951.96,71951.96,10,140
MRF_F3,02/03/2022,14:50:00,72089.46,72089.46,72089.46,72089.46,10,140
MRF_F3,02/03/2022,15:12:00,71772.55,71772.55,71772.55,71772.55,10,150
MRF_F3,02/03/2022,15:20:00,71772.55,71772.55,71772.55,71772.55,10,150
MRF_F3,02/03/2022,15:26:00,71700.00,71700.00,71650.00,71650.00,100,140
MRF_F3,02/03/2022,15:27:00,71650.00,71650.00,71650.00,71650.00,30,140
MRF_F3,02/03/2022,15:29:00,71527.71,71527.71,71527.71,71527.71,10,250
MRF_F3,02/04/2022,09:52:00,71663.96,71663.96,71663.96,71663.96,11,250
MRF_F3,02/04/2022,10:19:00,71500.00,71500.00,71500.00,71500.00,10,250
MRF_F3,02/04/2022,11:24:00,71395.00,71395.00,71395.00,71395.00,10,260
MRF_F3,02/04/2022,12:12:00,70950.00,70950.00,70950.00,70950.00,10,270
MRF_F3,02/04/2022,12:15:00,70950.00,70950.00,70950.00,70950.00,10,280
MRF_F3,02/04/2022,12:21:00,70800.00,70800.00,70800.00,70800.00,10,290
MRF_F3,02/04/2022,13:33:00,70800.00,70800.00,70800.00,70800.00,10,300
MRF_F3,02/04/2022,13:38:00,70800.00,70800.00,70800.00,70800.00,10,310
MRF_F3,02/04/2022,14:13:00,70800.00,70800.00,70800.00,70800.00,10,320
MRF_F3,02/04/2022,14:29:00,70750.00,70750.00,70750.00,70750.00,10,330
MRF_F3,02/04/2022,14:33:00,70710.00,70710.00,70700.00,70700.00,30,340
