<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
RAMCOCEM_F2,02/01/2022,09:51:00,874.00,874.00,874.00,874.00,851,37400
RAMCOCEM_F2,02/01/2022,09:59:00,876.00,876.00,876.00,876.00,1700,38250
RAMCOCEM_F2,02/01/2022,10:03:00,877.55,877.55,877.55,877.55,850,37400
RAMCOCEM_F2,02/01/2022,10:06:00,881.10,881.10,881.10,881.10,850,38250
RAMCOCEM_F2,02/01/2022,10:13:00,881.10,881.10,881.10,881.10,850,38250
RAMCOCEM_F2,02/01/2022,10:19:00,881.10,881.10,881.10,881.10,850,39100
RAMCOCEM_F2,02/01/2022,10:25:00,880.00,880.00,880.00,880.00,850,38250
RAMCOCEM_F2,02/01/2022,10:30:00,880.00,880.00,880.00,880.00,850,38250
RAMCOCEM_F2,02/01/2022,10:36:00,876.65,876.65,876.65,876.65,850,37400
RAMCOCEM_F2,02/01/2022,10:56:00,872.50,872.50,872.50,872.50,1700,38250
RAMCOCEM_F2,02/01/2022,11:16:00,872.50,872.50,872.50,872.50,850,39100
RAMCOCEM_F2,02/01/2022,11:35:00,870.00,870.00,870.00,870.00,850,38250
RAMCOCEM_F2,02/01/2022,12:34:00,881.65,881.65,870.00,870.00,3400,39100
RAMCOCEM_F2,02/01/2022,12:47:00,896.45,896.45,896.45,896.45,1700,39950
RAMCOCEM_F2,02/01/2022,13:14:00,896.45,896.45,896.45,896.45,850,40800
RAMCOCEM_F2,02/01/2022,13:43:00,897.20,897.20,897.20,897.20,1700,40800
RAMCOCEM_F2,02/01/2022,14:35:00,897.20,897.20,897.20,897.20,850,40800
RAMCOCEM_F2,02/01/2022,15:03:00,895.00,895.00,895.00,895.00,850,41650
RAMCOCEM_F2,02/01/2022,15:05:00,895.60,895.60,895.60,895.60,850,42500
RAMCOCEM_F2,02/01/2022,15:10:00,897.05,897.05,897.05,897.05,850,42500
RAMCOCEM_F2,02/01/2022,15:29:00,895.75,895.75,895.75,895.75,850,43350
RAMCOCEM_F2,02/01/2022,15:30:00,899.25,899.25,899.25,899.25,850,43350
RAMCOCEM_F2,02/02/2022,09:16:00,900.10,900.10,900.10,900.10,851,44200
RAMCOCEM_F2,02/02/2022,09:17:00,905.00,906.00,905.00,906.00,4250,43350
RAMCOCEM_F2,02/02/2022,09:18:00,906.00,906.00,906.00,906.00,850,43350
RAMCOCEM_F2,02/02/2022,09:20:00,897.10,897.10,895.50,895.50,2550,43350
RAMCOCEM_F2,02/02/2022,09:21:00,893.00,893.00,893.00,893.00,850,48450
RAMCOCEM_F2,02/02/2022,09:24:00,893.00,893.00,893.00,893.00,1700,49300
RAMCOCEM_F2,02/02/2022,09:56:00,908.30,908.30,908.30,908.30,850,50150
RAMCOCEM_F2,02/02/2022,10:04:00,908.30,908.30,908.30,908.30,850,51000
RAMCOCEM_F2,02/02/2022,10:07:00,908.30,908.30,908.30,908.30,850,51850
RAMCOCEM_F2,02/02/2022,10:31:00,900.00,900.00,900.00,900.00,850,51000
RAMCOCEM_F2,02/02/2022,10:40:00,895.00,895.00,895.00,895.00,1700,51000
RAMCOCEM_F2,02/02/2022,11:28:00,901.05,901.05,901.05,901.05,850,51000
RAMCOCEM_F2,02/02/2022,12:36:00,894.00,894.00,894.00,894.00,850,51000
RAMCOCEM_F2,02/02/2022,12:48:00,894.00,894.00,894.00,894.00,850,51000
RAMCOCEM_F2,02/02/2022,12:49:00,894.00,894.00,894.00,894.00,850,51000
RAMCOCEM_F2,02/02/2022,12:50:00,894.00,894.00,894.00,894.00,850,51000
RAMCOCEM_F2,02/02/2022,12:58:00,894.00,894.00,894.00,894.00,850,51000
RAMCOCEM_F2,02/02/2022,13:24:00,893.10,893.10,893.10,893.10,850,51000
RAMCOCEM_F2,02/02/2022,13:31:00,893.15,893.15,893.15,893.15,850,51000
RAMCOCEM_F2,02/02/2022,13:37:00,891.35,891.35,891.35,891.35,850,50150
RAMCOCEM_F2,02/02/2022,13:39:00,889.95,889.95,889.95,889.95,5100,50150
RAMCOCEM_F2,02/02/2022,15:15:00,887.10,887.10,887.10,887.10,850,49300
RAMCOCEM_F2,02/02/2022,15:29:00,887.10,887.10,887.10,887.10,850,49300
RAMCOCEM_F2,02/03/2022,09:19:00,895.25,895.25,895.25,895.25,851,49300
RAMCOCEM_F2,02/03/2022,10:51:00,885.25,885.25,885.25,885.25,850,50150
RAMCOCEM_F2,02/03/2022,11:06:00,885.15,885.15,885.15,885.15,850,50150
RAMCOCEM_F2,02/03/2022,11:16:00,882.10,882.10,882.10,882.10,1700,51000
RAMCOCEM_F2,02/03/2022,11:26:00,882.10,882.10,882.10,882.10,850,49300
RAMCOCEM_F2,02/03/2022,11:32:00,882.00,882.00,882.00,882.00,850,49300
RAMCOCEM_F2,02/03/2022,15:15:00,875.25,875.25,875.25,875.25,1700,50150
RAMCOCEM_F2,02/04/2022,09:15:00,865.05,865.05,865.05,865.05,851,51000
RAMCOCEM_F2,02/04/2022,09:19:00,876.00,876.00,876.00,876.00,850,51000
RAMCOCEM_F2,02/04/2022,09:48:00,890.00,890.00,890.00,890.00,1700,50150
RAMCOCEM_F2,02/04/2022,09:52:00,892.45,894.00,892.45,894.00,2550,51000
RAMCOCEM_F2,02/04/2022,09:58:00,894.00,894.00,894.00,894.00,850,52700
