<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TORNTPOWER_F3,02/03/2022,15:16:00,541.85,541.85,541.85,541.85,1501,1500
TORNTPOWER_F3,02/03/2022,15:29:00,536.00,536.00,536.00,536.00,1500,3000
TORNTPOWER_F3,02/04/2022,09:32:00,538.70,538.70,538.70,538.70,3001,4500
TORNTPOWER_F3,02/04/2022,09:37:00,549.75,549.75,549.75,549.75,1500,6000
TORNTPOWER_F3,02/04/2022,09:38:00,549.75,549.75,549.75,549.75,1500,4500
TORNTPOWER_F3,02/04/2022,11:41:00,571.30,571.30,571.30,571.30,1500,3000
TORNTPOWER_F3,02/04/2022,14:09:00,585.90,585.90,585.90,585.90,1500,3000
TORNTPOWER_F3,02/04/2022,14:18:00,585.90,585.90,585.90,585.90,1500,4500
TORNTPOWER_F3,02/04/2022,14:44:00,574.30,574.30,574.30,574.30,1500,6000
TORNTPOWER_F3,02/04/2022,15:02:00,574.30,574.30,574.30,574.30,1500,7500
TORNTPOWER_F3,02/07/2022,09:20:00,562.70,562.70,562.45,562.45,4502,7500
TORNTPOWER_F3,02/07/2022,12:03:00,533.75,533.75,533.75,533.75,3000,10500
TORNTPOWER_F3,02/07/2022,12:04:00,533.75,533.75,533.75,533.75,1500,10500
TORNTPOWER_F3,02/07/2022,12:05:00,532.65,532.65,532.65,532.65,1500,10500
TORNTPOWER_F3,02/07/2022,12:17:00,527.90,527.90,527.90,527.90,1500,7500
TORNTPOWER_F3,02/07/2022,13:01:00,527.90,527.90,527.90,527.90,1500,6000
TORNTPOWER_F3,02/07/2022,13:12:00,528.00,528.00,528.00,528.00,1500,6000
TORNTPOWER_F3,02/07/2022,13:37:00,521.00,521.00,521.00,521.00,1500,7500
TORNTPOWER_F3,02/07/2022,13:38:00,521.00,521.40,521.00,521.40,3000,7500
TORNTPOWER_F3,02/07/2022,13:44:00,520.00,520.00,520.00,520.00,1500,12000
TORNTPOWER_F3,02/07/2022,13:45:00,520.00,520.00,520.00,520.00,1500,12000
TORNTPOWER_F3,02/07/2022,13:54:00,519.25,519.25,519.25,519.25,1500,15000
TORNTPOWER_F3,02/07/2022,13:55:00,519.25,519.25,519.25,519.25,1500,15000
TORNTPOWER_F3,02/07/2022,14:22:00,525.00,525.00,525.00,525.00,1500,16500
TORNTPOWER_F3,02/07/2022,14:25:00,524.65,524.65,524.65,524.65,6000,18000
TORNTPOWER_F3,02/07/2022,14:46:00,519.00,519.00,519.00,519.00,3000,18000
TORNTPOWER_F3,02/07/2022,15:18:00,516.90,516.90,516.90,516.90,1500,21000
TORNTPOWER_F3,02/08/2022,09:18:00,508.00,508.00,508.00,508.00,1501,22500
TORNTPOWER_F3,02/08/2022,09:19:00,502.95,504.00,502.95,504.00,7500,22500
TORNTPOWER_F3,02/08/2022,09:20:00,503.00,503.00,503.00,503.00,1500,30000
TORNTPOWER_F3,02/08/2022,09:27:00,504.00,504.00,504.00,504.00,1500,30000
TORNTPOWER_F3,02/08/2022,09:33:00,502.00,502.00,501.90,501.90,3000,30000
TORNTPOWER_F3,02/08/2022,09:42:00,498.00,498.00,498.00,498.00,1500,33000
TORNTPOWER_F3,02/08/2022,09:43:00,498.00,501.00,498.00,501.00,6000,33000
TORNTPOWER_F3,02/08/2022,09:44:00,502.90,502.90,502.90,502.90,4500,39000
TORNTPOWER_F3,02/08/2022,09:47:00,507.00,507.00,507.00,507.00,1500,43500
TORNTPOWER_F3,02/08/2022,11:12:00,500.00,500.00,500.00,500.00,1500,45000
TORNTPOWER_F3,02/08/2022,11:35:00,506.15,506.15,506.15,506.15,1500,45000
TORNTPOWER_F3,02/08/2022,11:58:00,504.55,504.55,504.55,504.55,1500,45000
TORNTPOWER_F3,02/08/2022,13:55:00,501.25,501.25,501.25,501.25,1500,45000
TORNTPOWER_F3,02/08/2022,13:57:00,501.05,501.05,501.05,501.05,1500,45000
TORNTPOWER_F3,02/08/2022,14:37:00,499.30,499.30,499.30,499.30,1500,45000
TORNTPOWER_F3,02/08/2022,15:02:00,501.80,501.80,501.80,501.80,1500,45000
TORNTPOWER_F3,02/09/2022,10:15:00,502.90,502.90,502.90,502.90,1501,43500
TORNTPOWER_F3,02/10/2022,09:25:00,502.30,502.30,502.30,502.30,1501,45000
TORNTPOWER_F3,02/10/2022,09:31:00,501.95,501.95,501.95,501.95,3000,46500
TORNTPOWER_F3,02/10/2022,09:43:00,501.95,501.95,501.95,501.95,1500,49500
TORNTPOWER_F3,02/10/2022,09:44:00,506.90,506.90,506.90,506.90,1500,49500
TORNTPOWER_F3,02/10/2022,09:48:00,506.95,506.95,506.95,506.95,1500,48000
TORNTPOWER_F3,02/10/2022,13:01:00,509.95,509.95,509.95,509.95,1500,48000
TORNTPOWER_F3,02/11/2022,15:11:00,496.25,496.25,496.25,496.25,1501,48000
TORNTPOWER_F3,02/11/2022,15:29:00,496.00,496.00,496.00,496.00,1500,48000
TORNTPOWER_F3,02/14/2022,11:13:00,489.00,489.00,489.00,489.00,1501,49500
