<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKBARODA_F3,02/01/2023,09:16:00,171.35,171.35,171.35,171.35,5851,234000
BANKBARODA_F3,02/01/2023,09:19:00,171.35,171.35,171.35,171.35,5850,239850
BANKBARODA_F3,02/01/2023,09:20:00,170.30,170.30,170.30,170.30,11700,245700
BANKBARODA_F3,02/01/2023,09:23:00,169.65,169.65,169.65,169.65,5850,245700
BANKBARODA_F3,02/01/2023,09:29:00,169.00,169.00,169.00,169.00,5850,251550
BANKBARODA_F3,02/01/2023,09:32:00,169.00,169.00,169.00,169.00,5850,251550
BANKBARODA_F3,02/01/2023,09:53:00,167.50,167.50,167.50,167.50,5850,251550
BANKBARODA_F3,02/01/2023,09:57:00,166.50,166.50,166.50,166.50,23400,245700
BANKBARODA_F3,02/01/2023,10:10:00,166.50,166.50,166.50,166.50,5850,222300
BANKBARODA_F3,02/01/2023,10:28:00,168.60,168.60,168.60,168.60,5850,228150
BANKBARODA_F3,02/01/2023,10:35:00,169.20,169.20,169.20,169.20,5850,228150
BANKBARODA_F3,02/01/2023,10:38:00,169.30,169.30,169.30,169.30,5850,228150
BANKBARODA_F3,02/01/2023,10:50:00,169.00,169.00,169.00,169.00,11700,228150
BANKBARODA_F3,02/01/2023,10:56:00,168.80,168.80,168.80,168.80,5850,228150
BANKBARODA_F3,02/01/2023,11:14:00,167.50,167.50,167.50,167.50,5850,228150
BANKBARODA_F3,02/01/2023,11:20:00,166.80,166.80,166.50,166.50,11700,228150
BANKBARODA_F3,02/01/2023,11:21:00,166.40,166.40,166.40,166.40,5850,222300
BANKBARODA_F3,02/01/2023,11:30:00,166.40,166.40,166.40,166.40,11700,222300
BANKBARODA_F3,02/01/2023,12:02:00,167.00,167.00,167.00,167.00,5850,228150
BANKBARODA_F3,02/01/2023,12:15:00,166.50,166.50,166.50,166.50,11700,228150
BANKBARODA_F3,02/01/2023,12:18:00,166.00,166.00,166.00,166.00,5850,222300
BANKBARODA_F3,02/01/2023,12:25:00,166.00,166.00,166.00,166.00,5850,222300
BANKBARODA_F3,02/01/2023,12:32:00,168.90,168.90,168.90,168.90,17550,222300
BANKBARODA_F3,02/01/2023,12:35:00,169.05,169.05,169.05,169.05,5850,239850
BANKBARODA_F3,02/01/2023,12:39:00,169.80,169.80,169.80,169.80,29250,239850
BANKBARODA_F3,02/01/2023,12:40:00,169.85,169.85,169.85,169.85,11700,239850
BANKBARODA_F3,02/01/2023,12:41:00,169.00,169.00,169.00,169.00,5850,239850
BANKBARODA_F3,02/01/2023,12:58:00,169.95,169.95,169.95,169.95,5850,263250
BANKBARODA_F3,02/01/2023,12:59:00,170.45,170.45,170.45,170.45,11700,263250
BANKBARODA_F3,02/01/2023,13:11:00,170.00,170.00,170.00,170.00,5850,269100
BANKBARODA_F3,02/01/2023,13:18:00,169.95,169.95,169.95,169.95,11700,269100
BANKBARODA_F3,02/01/2023,13:22:00,169.00,169.00,169.00,169.00,11700,274950
BANKBARODA_F3,02/01/2023,13:25:00,168.30,168.30,168.30,168.30,5850,269100
BANKBARODA_F3,02/01/2023,13:26:00,168.05,168.05,168.05,168.05,5850,269100
BANKBARODA_F3,02/01/2023,13:51:00,166.10,166.10,166.10,166.10,23400,263250
BANKBARODA_F3,02/01/2023,13:55:00,165.00,165.00,165.00,165.00,5850,263250
BANKBARODA_F3,02/01/2023,13:56:00,164.75,164.75,164.20,164.20,11700,263250
BANKBARODA_F3,02/01/2023,13:59:00,163.70,163.70,163.70,163.70,11700,251550
BANKBARODA_F3,02/01/2023,14:00:00,163.00,163.00,163.00,163.00,5850,251550
BANKBARODA_F3,02/01/2023,14:01:00,161.15,161.15,161.15,161.15,93600,251550
BANKBARODA_F3,02/01/2023,14:04:00,161.15,161.15,161.15,161.15,5850,204750
BANKBARODA_F3,02/01/2023,14:05:00,163.70,163.70,163.70,163.70,5850,204750
BANKBARODA_F3,02/01/2023,14:06:00,163.60,163.60,163.60,163.60,5850,204750
BANKBARODA_F3,02/01/2023,14:13:00,163.00,163.00,163.00,163.00,5850,216450
BANKBARODA_F3,02/01/2023,14:16:00,162.00,162.00,162.00,162.00,5850,216450
BANKBARODA_F3,02/01/2023,14:18:00,161.15,161.15,161.15,161.15,17550,216450
BANKBARODA_F3,02/01/2023,14:19:00,160.00,160.00,160.00,160.00,5850,210600
BANKBARODA_F3,02/01/2023,14:22:00,160.00,160.00,160.00,160.00,11700,210600
BANKBARODA_F3,02/01/2023,14:23:00,159.60,159.60,159.60,159.60,5850,210600
BANKBARODA_F3,02/01/2023,14:25:00,159.55,159.55,159.55,159.55,5850,210600
BANKBARODA_F3,02/01/2023,14:26:00,159.50,159.50,159.50,159.50,11700,210600
BANKBARODA_F3,02/01/2023,14:28:00,159.00,159.00,159.00,159.00,5850,210600
BANKBARODA_F3,02/01/2023,14:36:00,159.00,159.00,159.00,159.00,5850,216450
BANKBARODA_F3,02/01/2023,14:38:00,159.95,159.95,159.95,159.95,5850,222300
BANKBARODA_F3,02/01/2023,14:43:00,158.15,158.15,158.15,158.15,11700,228150
BANKBARODA_F3,02/01/2023,14:45:00,154.80,154.80,154.00,154.00,11700,228150
BANKBARODA_F3,02/01/2023,14:47:00,153.70,153.70,153.70,153.70,5850,239850
BANKBARODA_F3,02/01/2023,14:53:00,153.70,154.55,153.70,154.55,29250,245700
BANKBARODA_F3,02/01/2023,14:55:00,153.80,153.80,153.80,153.80,5850,251550
BANKBARODA_F3,02/01/2023,14:56:00,153.80,153.80,153.80,153.80,11700,251550
BANKBARODA_F3,02/01/2023,14:59:00,153.70,153.70,153.70,153.70,11700,263250
BANKBARODA_F3,02/01/2023,15:01:00,155.80,155.80,155.80,155.80,5850,274950
BANKBARODA_F3,02/01/2023,15:02:00,156.00,156.00,156.00,156.00,5850,274950
BANKBARODA_F3,02/01/2023,15:03:00,156.40,156.55,156.40,156.55,17550,274950
BANKBARODA_F3,02/01/2023,15:04:00,156.55,156.55,156.55,156.55,5850,274950
BANKBARODA_F3,02/01/2023,15:07:00,156.55,158.00,156.55,158.00,11700,274950
BANKBARODA_F3,02/01/2023,15:11:00,158.00,158.00,158.00,158.00,5850,274950
BANKBARODA_F3,02/01/2023,15:13:00,157.40,157.95,157.40,157.95,11700,280800
BANKBARODA_F3,02/01/2023,15:14:00,157.90,157.90,157.00,157.00,17550,280800
BANKBARODA_F3,02/01/2023,15:17:00,157.05,157.05,157.05,157.05,5850,310050
BANKBARODA_F3,02/01/2023,15:18:00,157.00,157.00,157.00,157.00,5850,310050
BANKBARODA_F3,02/01/2023,15:21:00,157.00,157.00,157.00,157.00,52650,315900
