<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CUB_F3,02/01/2023,09:19:00,162.10,162.10,162.10,162.10,10001,40000
CUB_F3,02/01/2023,11:45:00,160.90,160.90,160.90,160.90,5000,30000
CUB_F3,02/01/2023,14:48:00,154.70,154.70,154.70,154.70,10000,30000
CUB_F3,02/01/2023,14:49:00,154.65,154.65,154.65,154.65,5000,30000
CUB_F3,02/01/2023,14:50:00,154.65,154.65,154.65,154.65,5000,30000
CUB_F3,02/02/2023,15:07:00,154.65,154.65,154.65,154.65,5000,35000
CUB_F3,02/06/2023,09:16:00,154.65,154.65,154.65,154.65,5000,40000
CUB_F3,02/06/2023,09:27:00,160.10,160.10,160.10,160.10,10000,35000
CUB_F3,02/06/2023,12:18:00,160.80,160.80,160.80,160.80,15000,35000
CUB_F3,02/07/2023,09:17:00,160.05,160.05,160.05,160.05,5001,50000
CUB_F3,02/07/2023,09:26:00,160.35,160.35,160.35,160.35,10000,55000
CUB_F3,02/07/2023,11:52:00,161.75,161.75,161.75,161.75,5000,55000
CUB_F3,02/08/2023,09:22:00,160.00,160.00,160.00,160.00,5001,60000
CUB_F3,02/08/2023,09:23:00,160.25,160.25,160.25,160.25,20000,60000
CUB_F3,02/08/2023,09:40:00,158.65,158.65,158.65,158.65,5000,80000
CUB_F3,02/08/2023,11:00:00,158.00,158.00,158.00,158.00,5000,75000
CUB_F3,02/08/2023,14:30:00,158.00,158.00,158.00,158.00,5000,75000
CUB_F3,02/08/2023,14:33:00,161.50,161.50,161.50,161.50,5000,75000
CUB_F3,02/09/2023,09:20:00,161.15,161.15,161.10,161.10,10002,75000
CUB_F3,02/09/2023,09:22:00,161.45,161.45,161.45,161.45,5000,70000
CUB_F3,02/09/2023,09:23:00,161.55,161.55,161.55,161.55,5000,70000
CUB_F3,02/09/2023,09:28:00,161.65,161.65,161.65,161.65,25000,75000
CUB_F3,02/09/2023,10:30:00,161.65,161.65,161.65,161.65,5000,80000
CUB_F3,02/09/2023,10:34:00,160.05,160.05,160.05,160.05,5000,85000
CUB_F3,02/09/2023,10:43:00,159.95,159.95,159.95,159.95,5000,90000
CUB_F3,02/09/2023,12:47:00,158.15,158.15,158.15,158.15,20000,95000
CUB_F3,02/09/2023,14:46:00,159.65,159.65,159.65,159.65,5000,85000
CUB_F3,02/09/2023,15:05:00,159.00,159.00,159.00,159.00,5000,90000
CUB_F3,02/10/2023,10:15:00,162.00,162.00,162.00,162.00,5001,95000
CUB_F3,02/10/2023,10:55:00,162.00,162.00,162.00,162.00,5000,90000
CUB_F3,02/13/2023,09:18:00,151.00,151.00,151.00,151.00,5001,95000
CUB_F3,02/13/2023,09:19:00,150.90,150.90,150.00,150.00,10000,95000
CUB_F3,02/13/2023,09:20:00,150.00,150.00,150.00,150.00,5000,95000
CUB_F3,02/13/2023,09:22:00,150.00,150.00,150.00,150.00,5000,95000
CUB_F3,02/13/2023,09:27:00,149.00,149.00,149.00,149.00,5000,100000
CUB_F3,02/13/2023,09:28:00,148.00,148.00,148.00,148.00,10000,100000
CUB_F3,02/13/2023,09:29:00,146.25,146.25,146.25,146.25,5000,115000
CUB_F3,02/13/2023,09:30:00,146.25,146.25,146.25,146.25,35000,115000
CUB_F3,02/13/2023,09:33:00,146.25,146.25,146.25,146.25,10000,125000
CUB_F3,02/13/2023,09:34:00,146.25,146.25,146.25,146.25,5000,125000
CUB_F3,02/13/2023,09:46:00,146.25,146.25,146.25,146.25,50000,135000
CUB_F3,02/13/2023,09:51:00,144.05,144.05,144.05,144.05,5000,185000
CUB_F3,02/13/2023,09:52:00,144.05,144.05,144.05,144.05,5000,185000
CUB_F3,02/13/2023,09:53:00,146.25,146.25,146.25,146.25,15000,185000
CUB_F3,02/13/2023,09:54:00,146.25,146.25,146.25,146.25,15000,180000
CUB_F3,02/13/2023,09:55:00,145.95,145.95,145.95,145.95,5000,180000
CUB_F3,02/13/2023,10:00:00,145.95,145.95,145.95,145.95,5000,190000
CUB_F3,02/13/2023,10:05:00,145.00,145.00,145.00,145.00,5000,195000
CUB_F3,02/13/2023,10:07:00,145.00,145.00,145.00,145.00,35000,200000
CUB_F3,02/13/2023,10:08:00,145.00,145.00,145.00,145.00,15000,235000
CUB_F3,02/13/2023,10:24:00,144.90,144.90,144.90,144.90,5000,250000
CUB_F3,02/13/2023,10:30:00,144.10,144.10,144.10,144.10,5000,255000
CUB_F3,02/13/2023,10:33:00,143.80,143.80,143.80,143.80,5000,260000
CUB_F3,02/13/2023,10:36:00,143.50,143.50,143.50,143.50,5000,265000
CUB_F3,02/13/2023,10:45:00,143.20,143.20,143.20,143.20,5000,270000
CUB_F3,02/13/2023,10:46:00,142.70,142.70,142.70,142.70,5000,270000
