<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
FINNIFTY_F2,02/01/2023,09:35:00,18454.45,18454.45,18454.40,18454.40,202,480
FINNIFTY_F2,02/01/2023,11:17:00,18584.70,18584.70,18584.70,18584.70,80,520
FINNIFTY_F2,02/01/2023,12:30:00,18684.75,18684.75,18684.75,18684.75,80,560
FINNIFTY_F2,02/01/2023,12:37:00,18864.05,18864.05,18864.05,18864.05,40,560
FINNIFTY_F2,02/01/2023,13:17:00,18864.05,18864.05,18864.05,18864.05,80,600
FINNIFTY_F2,02/01/2023,14:43:00,18253.55,18253.55,18253.55,18253.55,40,520
FINNIFTY_F2,02/01/2023,14:47:00,18077.85,18077.85,18077.85,18077.85,40,520
FINNIFTY_F2,02/01/2023,15:25:00,18077.85,18077.85,18077.85,18077.85,200,560
FINNIFTY_F2,02/02/2023,09:32:00,18100.05,18100.05,18100.00,18100.00,82,520
FINNIFTY_F2,02/02/2023,09:59:00,18100.00,18100.00,18100.00,18100.00,80,600
FINNIFTY_F2,02/02/2023,13:19:00,18123.85,18123.85,18123.85,18123.85,40,640
FINNIFTY_F2,02/02/2023,13:46:00,18123.85,18123.85,18123.85,18123.85,40,680
FINNIFTY_F2,02/02/2023,14:17:00,18061.00,18061.00,18061.00,18061.00,40,680
FINNIFTY_F2,02/02/2023,14:22:00,18256.60,18256.60,18256.60,18256.60,40,640
FINNIFTY_F2,02/02/2023,14:42:00,18256.60,18256.60,18256.60,18256.60,80,640
FINNIFTY_F2,02/02/2023,14:46:00,18255.00,18256.60,18255.00,18256.60,80,600
FINNIFTY_F2,02/02/2023,15:26:00,18292.30,18292.30,18292.30,18292.30,80,600
FINNIFTY_F2,02/02/2023,15:28:00,18245.00,18245.00,18245.00,18245.00,40,640
FINNIFTY_F2,02/03/2023,09:26:00,18378.70,18378.70,18378.70,18378.70,161,680
FINNIFTY_F2,02/03/2023,09:28:00,18386.25,18386.25,18386.25,18386.25,40,680
FINNIFTY_F2,02/03/2023,10:58:00,18386.25,18386.25,18365.50,18365.50,80,640
FINNIFTY_F2,02/03/2023,11:58:00,18360.00,18360.00,18360.00,18360.00,80,720
FINNIFTY_F2,02/03/2023,14:21:00,18360.00,18360.00,18360.00,18360.00,40,720
FINNIFTY_F2,02/03/2023,14:42:00,18570.00,18570.00,18570.00,18570.00,40,720
FINNIFTY_F2,02/03/2023,14:47:00,18599.95,18599.95,18599.95,18599.95,80,720
FINNIFTY_F2,02/03/2023,15:03:00,18630.00,18630.00,18630.00,18630.00,40,680
FINNIFTY_F2,02/03/2023,15:29:00,18630.00,18630.00,18630.00,18630.00,40,680
FINNIFTY_F2,02/06/2023,09:57:00,18613.80,18613.80,18613.75,18613.75,82,640
FINNIFTY_F2,02/06/2023,09:59:00,18622.50,18622.50,18622.50,18622.50,40,640
FINNIFTY_F2,02/06/2023,10:18:00,18622.50,18622.50,18622.50,18622.50,80,680
FINNIFTY_F2,02/06/2023,13:47:00,18622.50,18622.50,18622.50,18622.50,40,680
FINNIFTY_F2,02/06/2023,15:03:00,18570.00,18570.00,18570.00,18570.00,80,680
FINNIFTY_F2,02/06/2023,15:29:00,18561.10,18561.10,18561.10,18561.10,40,680
FINNIFTY_F2,02/07/2023,10:39:00,18581.10,18581.10,18581.10,18581.10,41,640
FINNIFTY_F2,02/07/2023,11:15:00,18598.00,18598.00,18598.00,18598.00,40,680
FINNIFTY_F2,02/07/2023,12:15:00,18598.00,18598.00,18598.00,18598.00,40,680
FINNIFTY_F2,02/07/2023,12:22:00,18541.00,18541.00,18541.00,18541.00,40,720
FINNIFTY_F2,02/07/2023,12:26:00,18525.05,18525.05,18525.05,18525.05,40,720
FINNIFTY_F2,02/07/2023,12:33:00,18525.05,18525.05,18525.05,18525.05,40,720
FINNIFTY_F2,02/07/2023,12:50:00,18521.00,18521.00,18521.00,18521.00,40,760
FINNIFTY_F2,02/07/2023,13:38:00,18521.00,18521.00,18521.00,18521.00,40,800
FINNIFTY_F2,02/07/2023,13:54:00,18568.00,18568.00,18568.00,18568.00,40,800
FINNIFTY_F2,02/07/2023,13:58:00,18570.50,18570.50,18570.50,18570.50,40,800
FINNIFTY_F2,02/07/2023,14:01:00,18545.35,18545.35,18545.35,18545.35,40,800
FINNIFTY_F2,02/07/2023,14:05:00,18579.40,18579.40,18579.40,18579.40,40,800
FINNIFTY_F2,02/07/2023,14:33:00,18588.75,18588.75,18588.75,18588.75,40,800
FINNIFTY_F2,02/07/2023,14:45:00,18604.00,18604.00,18604.00,18604.00,80,800
FINNIFTY_F2,02/07/2023,15:22:00,18604.00,18604.00,18604.00,18604.00,40,880
FINNIFTY_F2,02/07/2023,15:24:00,18604.00,18604.00,18604.00,18604.00,80,920
FINNIFTY_F2,02/07/2023,15:26:00,18585.00,18585.00,18585.00,18585.00,80,920
FINNIFTY_F2,02/08/2023,09:33:00,18716.95,18717.00,18716.95,18717.00,82,1040
FINNIFTY_F2,02/08/2023,10:06:00,18711.80,18711.80,18711.80,18711.80,40,1000
FINNIFTY_F2,02/08/2023,10:28:00,18652.75,18652.75,18652.75,18652.75,40,1040
