<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HINDPETRO_F2,02/01/2023,09:18:00,239.30,239.30,239.25,239.25,5401,229500
HINDPETRO_F2,02/01/2023,09:58:00,238.05,238.05,238.05,238.05,2700,226800
HINDPETRO_F2,02/01/2023,10:25:00,238.05,238.05,238.05,238.05,2700,224100
HINDPETRO_F2,02/01/2023,10:34:00,238.55,238.55,238.55,238.55,2700,224100
HINDPETRO_F2,02/01/2023,10:35:00,238.40,238.80,238.40,238.80,8100,224100
HINDPETRO_F2,02/01/2023,10:46:00,239.75,239.75,239.75,239.75,2700,226800
HINDPETRO_F2,02/01/2023,11:12:00,240.00,240.00,240.00,240.00,5400,229500
HINDPETRO_F2,02/01/2023,11:30:00,240.45,240.45,240.45,240.45,2700,226800
HINDPETRO_F2,02/01/2023,12:38:00,240.45,240.45,240.45,240.45,2700,226800
HINDPETRO_F2,02/01/2023,12:42:00,240.00,240.00,240.00,240.00,2700,226800
HINDPETRO_F2,02/01/2023,12:46:00,238.45,238.45,238.45,238.45,2700,229500
HINDPETRO_F2,02/01/2023,12:53:00,237.90,237.90,237.90,237.90,2700,229500
HINDPETRO_F2,02/01/2023,12:54:00,237.90,240.60,237.90,240.60,62100,229500
HINDPETRO_F2,02/01/2023,12:55:00,241.40,241.40,241.40,241.40,40500,229500
HINDPETRO_F2,02/01/2023,12:56:00,240.80,240.80,240.80,240.80,8100,229500
HINDPETRO_F2,02/01/2023,12:59:00,243.35,243.35,243.35,243.35,2700,286200
HINDPETRO_F2,02/01/2023,13:00:00,243.35,243.35,243.35,243.35,2700,283500
HINDPETRO_F2,02/01/2023,13:01:00,241.20,241.20,241.20,241.20,2700,283500
HINDPETRO_F2,02/01/2023,13:02:00,243.00,243.00,243.00,243.00,2700,283500
HINDPETRO_F2,02/01/2023,13:03:00,242.25,242.25,242.25,242.25,2700,283500
HINDPETRO_F2,02/01/2023,13:04:00,242.05,242.05,242.05,242.05,2700,286200
HINDPETRO_F2,02/01/2023,13:07:00,242.40,242.40,242.40,242.40,5400,288900
HINDPETRO_F2,02/01/2023,13:10:00,242.40,242.40,242.40,242.40,10800,283500
HINDPETRO_F2,02/01/2023,13:11:00,242.90,242.90,242.90,242.90,5400,283500
HINDPETRO_F2,02/01/2023,13:21:00,240.40,240.40,240.40,240.40,2700,286200
HINDPETRO_F2,02/01/2023,13:23:00,239.35,239.35,239.35,239.35,2700,286200
HINDPETRO_F2,02/01/2023,13:28:00,239.00,239.00,239.00,239.00,2700,283500
HINDPETRO_F2,02/01/2023,13:29:00,239.00,239.00,239.00,239.00,2700,283500
HINDPETRO_F2,02/01/2023,13:32:00,239.35,239.35,239.35,239.35,5400,280800
HINDPETRO_F2,02/01/2023,13:38:00,239.40,239.40,239.40,239.40,2700,278100
HINDPETRO_F2,02/01/2023,13:39:00,238.90,238.90,238.90,238.90,2700,278100
HINDPETRO_F2,02/01/2023,13:45:00,239.65,239.65,239.65,239.65,2700,278100
HINDPETRO_F2,02/01/2023,13:47:00,239.90,239.90,239.90,239.90,2700,278100
HINDPETRO_F2,02/01/2023,13:54:00,238.90,238.90,238.90,238.90,8100,275400
HINDPETRO_F2,02/01/2023,14:07:00,238.50,238.50,238.50,238.50,2700,278100
HINDPETRO_F2,02/01/2023,14:14:00,239.50,239.50,239.50,239.50,2700,275400
HINDPETRO_F2,02/01/2023,14:17:00,238.55,238.55,238.55,238.55,2700,275400
HINDPETRO_F2,02/01/2023,14:22:00,238.00,238.00,238.00,238.00,2700,275400
HINDPETRO_F2,02/01/2023,14:28:00,237.25,237.25,237.25,237.25,2700,272700
