<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MARICO_F3,02/01/2023,10:09:00,511.65,511.65,511.65,511.65,1201,2400
MARICO_F3,02/01/2023,10:36:00,511.65,511.65,511.65,511.65,1200,3600
MARICO_F3,02/01/2023,12:33:00,510.00,510.00,510.00,510.00,1200,2400
MARICO_F3,02/01/2023,12:34:00,510.00,510.00,510.00,510.00,2400,2400
MARICO_F3,02/01/2023,12:36:00,510.00,510.00,510.00,510.00,2400,2400
MARICO_F3,02/03/2023,14:29:00,501.30,501.30,501.30,501.30,1201,7200
MARICO_F3,02/06/2023,09:54:00,509.00,509.00,509.00,509.00,2401,8400
MARICO_F3,02/06/2023,09:57:00,509.00,509.00,509.00,509.00,2400,10800
MARICO_F3,02/06/2023,10:01:00,510.00,510.00,510.00,510.00,1200,13200
MARICO_F3,02/06/2023,10:28:00,514.40,514.40,514.40,514.40,1200,14400
MARICO_F3,02/06/2023,10:55:00,514.40,514.40,514.40,514.40,1200,14400
MARICO_F3,02/06/2023,12:12:00,514.40,514.40,514.40,514.40,1200,14400
MARICO_F3,02/06/2023,14:47:00,510.40,510.40,510.40,510.40,1200,13200
MARICO_F3,02/09/2023,12:26:00,501.00,501.00,501.00,501.00,1201,13200
MARICO_F3,02/09/2023,12:36:00,501.00,501.00,501.00,501.00,1200,14400
MARICO_F3,02/09/2023,12:37:00,501.20,501.20,501.20,501.20,1200,14400
MARICO_F3,02/09/2023,12:38:00,501.50,501.50,501.50,501.50,3600,14400
MARICO_F3,02/09/2023,13:02:00,500.00,500.00,500.00,500.00,2400,16800
MARICO_F3,02/09/2023,14:01:00,500.00,500.00,500.00,500.00,1200,18000
MARICO_F3,02/09/2023,14:03:00,500.00,500.00,500.00,500.00,1200,18000
MARICO_F3,02/09/2023,14:19:00,499.00,499.00,499.00,499.00,1200,20400
MARICO_F3,02/10/2023,09:16:00,501.75,501.75,501.75,501.75,1201,21600
MARICO_F3,02/10/2023,09:19:00,500.00,500.00,500.00,500.00,1200,22800
MARICO_F3,02/10/2023,09:47:00,499.35,499.35,499.35,499.35,2400,24000
MARICO_F3,02/10/2023,11:19:00,499.35,499.35,499.35,499.35,1200,26400
MARICO_F3,02/10/2023,13:03:00,500.00,500.00,500.00,500.00,1200,25200
MARICO_F3,02/10/2023,13:15:00,500.30,500.30,500.30,500.30,1200,26400
MARICO_F3,02/10/2023,14:09:00,500.50,500.50,500.50,500.50,1200,25200
MARICO_F3,02/10/2023,14:46:00,501.25,501.25,501.25,501.25,1200,25200
MARICO_F3,02/10/2023,14:53:00,500.50,500.50,500.50,500.50,1200,26400
MARICO_F3,02/10/2023,14:54:00,500.50,500.50,500.50,500.50,1200,25200
MARICO_F3,02/13/2023,10:49:00,499.00,499.00,499.00,499.00,1201,24000
MARICO_F3,02/13/2023,10:56:00,499.00,499.00,499.00,499.00,1200,25200
MARICO_F3,02/13/2023,12:38:00,497.55,497.55,497.55,497.55,1200,26400
MARICO_F3,02/13/2023,14:14:00,497.00,497.00,497.00,497.00,1200,26400
MARICO_F3,02/13/2023,15:24:00,497.00,497.00,497.00,497.00,1200,27600
MARICO_F3,02/13/2023,15:28:00,497.70,497.70,497.70,497.70,1200,28800
MARICO_F3,02/14/2023,13:34:00,497.50,497.50,497.50,497.50,1201,30000
MARICO_F3,02/14/2023,13:35:00,497.75,497.75,497.75,497.75,1200,30000
MARICO_F3,02/15/2023,13:45:00,496.15,496.15,496.15,496.15,1201,27600
MARICO_F3,02/16/2023,09:23:00,500.00,500.00,500.00,500.00,2401,30000
MARICO_F3,02/16/2023,11:22:00,500.00,500.00,500.00,500.00,1200,31200
MARICO_F3,02/16/2023,13:16:00,500.00,500.00,500.00,500.00,1200,32400
MARICO_F3,02/16/2023,13:23:00,499.00,499.00,499.00,499.00,1200,32400
MARICO_F3,02/16/2023,14:43:00,499.00,499.00,499.00,499.00,1200,31200
MARICO_F3,02/17/2023,10:39:00,499.00,499.00,499.00,499.00,1201,32400
MARICO_F3,02/17/2023,13:11:00,496.00,496.00,496.00,496.00,1200,32400
MARICO_F3,02/17/2023,13:31:00,495.80,495.80,495.80,495.80,1200,33600
MARICO_F3,02/17/2023,13:41:00,495.00,495.00,495.00,495.00,1200,34800
MARICO_F3,02/17/2023,14:15:00,495.00,495.00,495.00,495.00,1200,36000
MARICO_F3,02/17/2023,14:29:00,495.00,495.00,495.00,495.00,1200,36000
MARICO_F3,02/17/2023,14:49:00,494.00,494.00,494.00,494.00,1200,37200
MARICO_F3,02/17/2023,15:28:00,494.00,494.00,494.00,494.00,1200,38400
MARICO_F3,02/20/2023,09:15:00,492.65,492.65,492.65,492.65,1201,39600
MARICO_F3,02/20/2023,09:17:00,489.10,489.10,488.10,488.10,3600,39600
MARICO_F3,02/20/2023,09:20:00,488.10,488.10,488.10,488.10,1200,39600
MARICO_F3,02/20/2023,09:48:00,488.10,488.10,488.10,488.10,1200,39600
MARICO_F3,02/20/2023,09:56:00,490.10,490.10,490.10,490.10,1200,40800
MARICO_F3,02/20/2023,10:01:00,490.00,490.00,490.00,490.00,1200,42000
MARICO_F3,02/20/2023,10:23:00,489.65,489.65,489.65,489.65,1200,43200
MARICO_F3,02/20/2023,10:48:00,489.00,489.00,489.00,489.00,1200,44400
MARICO_F3,02/20/2023,12:00:00,490.50,490.50,490.50,490.50,1200,45600
MARICO_F3,02/20/2023,12:22:00,491.40,491.40,491.40,491.40,1200,45600
MARICO_F3,02/20/2023,14:42:00,490.10,490.10,490.10,490.10,1200,46800
MARICO_F3,02/21/2023,09:43:00,495.00,495.00,495.00,495.00,1201,48000
MARICO_F3,02/21/2023,09:44:00,495.50,495.50,495.50,495.50,1200,48000
MARICO_F3,02/21/2023,09:57:00,496.45,496.45,496.45,496.45,1200,46800
MARICO_F3,02/21/2023,10:03:00,496.45,496.45,496.45,496.45,1200,48000
MARICO_F3,02/21/2023,10:19:00,495.00,495.00,495.00,495.00,1200,49200
MARICO_F3,02/21/2023,10:38:00,495.00,495.00,495.00,495.00,1200,50400
MARICO_F3,02/21/2023,10:54:00,498.90,498.90,498.90,498.90,1200,49200
MARICO_F3,02/21/2023,11:00:00,499.00,499.00,499.00,499.00,1200,49200
MARICO_F3,02/21/2023,11:22:00,499.00,499.00,499.00,499.00,1200,48000
MARICO_F3,02/21/2023,11:24:00,499.00,499.00,499.00,499.00,1200,48000
MARICO_F3,02/21/2023,12:00:00,499.00,499.00,499.00,499.00,1200,46800
MARICO_F3,02/21/2023,12:39:00,501.00,501.00,501.00,501.00,2400,46800
MARICO_F3,02/21/2023,14:37:00,499.65,499.65,499.65,499.65,1200,44400
MARICO_F3,02/21/2023,14:57:00,501.65,501.65,501.65,501.65,1200,43200
MARICO_F3,02/21/2023,15:26:00,501.65,501.65,501.65,501.65,1200,44400
MARICO_F3,02/22/2023,09:26:00,502.30,502.30,502.30,502.30,1201,45600
MARICO_F3,02/22/2023,09:30:00,505.00,505.00,505.00,505.00,3600,44400
MARICO_F3,02/22/2023,09:37:00,504.95,504.95,504.95,504.95,1200,42000
MARICO_F3,02/22/2023,09:40:00,505.50,505.50,505.50,505.50,1200,42000
MARICO_F3,02/22/2023,09:45:00,505.50,505.50,505.50,505.50,1200,42000
MARICO_F3,02/22/2023,10:04:00,504.50,504.50,504.50,504.50,1200,42000
MARICO_F3,02/22/2023,10:44:00,503.00,503.00,503.00,503.00,1200,43200
MARICO_F3,02/22/2023,10:55:00,503.45,503.45,503.45,503.45,1200,44400
MARICO_F3,02/22/2023,11:16:00,503.45,503.45,503.45,503.45,1200,43200
MARICO_F3,02/22/2023,11:49:00,501.00,501.00,500.40,500.40,6000,44400
MARICO_F3,02/22/2023,12:43:00,500.40,500.40,500.40,500.40,1200,45600
MARICO_F3,02/22/2023,13:03:00,503.20,503.20,503.20,503.20,2400,44400
MARICO_F3,02/22/2023,14:23:00,504.00,504.00,504.00,504.00,1200,46800
MARICO_F3,02/22/2023,15:01:00,504.45,504.45,504.45,504.45,1200,45600
MARICO_F3,02/23/2023,11:00:00,500.00,500.00,500.00,500.00,3601,46800
MARICO_F3,02/23/2023,11:37:00,502.95,502.95,502.95,502.95,1200,49200
MARICO_F3,02/23/2023,12:03:00,504.45,504.45,504.45,504.45,1200,50400
MARICO_F3,02/23/2023,12:26:00,504.45,504.45,504.45,504.45,2400,49200
MARICO_F3,02/23/2023,12:32:00,504.00,504.00,504.00,504.00,1200,49200
MARICO_F3,02/23/2023,13:15:00,505.00,505.00,505.00,505.00,1200,48000
MARICO_F3,02/23/2023,13:53:00,505.50,505.50,505.50,505.50,1200,46800
MARICO_F3,02/23/2023,14:04:00,505.50,505.50,505.50,505.50,1200,45600
MARICO_F3,02/23/2023,14:12:00,505.50,505.50,505.50,505.50,1200,44400
MARICO_F3,02/23/2023,14:53:00,503.00,503.00,503.00,503.00,1200,45600
MARICO_F3,02/23/2023,14:56:00,503.00,503.00,503.00,503.00,2400,45600
MARICO_F3,02/28/2023,12:17:00,495.30,495.30,495.30,495.30,1201,0
