<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MFSL_F3,02/01/2023,15:12:00,744.00,744.00,743.00,743.00,3901,3250
MFSL_F3,02/01/2023,15:13:00,743.00,743.00,737.00,737.00,3250,3250
MFSL_F3,02/02/2023,14:25:00,705.00,705.00,705.00,705.00,1301,7150
MFSL_F3,02/02/2023,15:07:00,716.75,716.75,716.75,716.75,650,7800
MFSL_F3,02/03/2023,09:20:00,715.00,715.00,715.00,715.00,1301,8450
MFSL_F3,02/03/2023,09:29:00,715.15,715.15,715.15,715.15,1300,9750
MFSL_F3,02/03/2023,10:00:00,715.15,715.15,713.45,713.45,3900,11050
MFSL_F3,02/03/2023,10:56:00,710.10,710.10,710.10,710.10,650,10400
MFSL_F3,02/06/2023,09:42:00,702.35,702.35,702.35,702.35,651,11050
MFSL_F3,02/06/2023,10:45:00,692.65,692.65,692.65,692.65,650,11700
MFSL_F3,02/06/2023,11:24:00,692.65,692.65,692.65,692.65,650,12350
MFSL_F3,02/06/2023,11:52:00,703.55,703.55,703.55,703.55,650,13000
MFSL_F3,02/06/2023,13:35:00,709.25,709.25,709.25,709.25,1300,13000
MFSL_F3,02/06/2023,14:46:00,709.85,709.85,709.85,709.85,650,12350
MFSL_F3,02/07/2023,13:58:00,703.00,703.00,703.00,703.00,1301,11700
MFSL_F3,02/08/2023,11:25:00,725.10,725.10,725.10,725.10,1301,12350
MFSL_F3,02/14/2023,13:43:00,721.40,721.40,721.40,721.40,651,12350
MFSL_F3,02/14/2023,15:02:00,721.40,721.40,721.40,721.40,650,13000
MFSL_F3,02/17/2023,09:52:00,724.30,724.80,724.30,724.80,1952,13650
MFSL_F3,02/17/2023,09:54:00,725.00,725.00,725.00,725.00,1300,14950
MFSL_F3,02/17/2023,09:59:00,725.00,725.00,725.00,725.00,650,16250
MFSL_F3,02/17/2023,10:13:00,722.45,722.45,722.45,722.45,650,16900
MFSL_F3,02/17/2023,11:37:00,722.45,722.45,722.45,722.45,1300,16900
MFSL_F3,02/17/2023,12:18:00,714.60,714.60,714.60,714.60,650,15600
MFSL_F3,02/17/2023,13:18:00,710.55,710.55,710.55,710.55,1300,14300
MFSL_F3,02/17/2023,13:27:00,709.15,709.15,709.15,709.15,1300,14950
MFSL_F3,02/17/2023,14:12:00,712.00,712.00,712.00,712.00,650,16250
MFSL_F3,02/17/2023,14:17:00,717.30,717.30,717.30,717.30,650,16250
MFSL_F3,02/17/2023,14:18:00,717.30,717.30,717.30,717.30,650,16250
MFSL_F3,02/17/2023,14:54:00,711.85,711.85,711.85,711.85,650,16900
MFSL_F3,02/17/2023,14:55:00,712.00,712.00,712.00,712.00,1300,16900
MFSL_F3,02/20/2023,11:10:00,715.85,716.25,715.85,716.25,1951,18850
MFSL_F3,02/20/2023,11:11:00,716.60,716.60,716.60,716.60,650,18850
MFSL_F3,02/20/2023,11:49:00,716.60,716.60,716.60,716.60,650,18850
MFSL_F3,02/20/2023,13:23:00,713.45,713.45,713.45,713.45,650,18850
MFSL_F3,02/20/2023,14:47:00,722.40,722.40,722.40,722.40,650,19500
MFSL_F3,02/20/2023,15:17:00,710.00,710.00,710.00,710.00,650,19500
MFSL_F3,02/20/2023,15:23:00,710.00,710.00,710.00,710.00,650,20150
MFSL_F3,02/21/2023,09:15:00,713.40,713.40,712.60,712.75,3253,20800
MFSL_F3,02/21/2023,09:16:00,711.00,711.00,711.00,711.00,1300,20800
MFSL_F3,02/21/2023,13:27:00,707.20,707.20,707.20,707.20,650,22750
MFSL_F3,02/21/2023,14:35:00,701.00,701.00,701.00,701.00,650,23400
MFSL_F3,02/21/2023,14:37:00,701.00,701.00,701.00,701.00,650,24050
MFSL_F3,02/22/2023,09:15:00,702.10,702.90,702.10,702.90,2602,24700
MFSL_F3,02/22/2023,14:47:00,695.00,695.00,695.00,695.00,650,26650
MFSL_F3,02/23/2023,09:15:00,698.80,698.80,698.80,698.80,651,27300
MFSL_F3,02/23/2023,09:57:00,699.00,699.00,699.00,699.00,650,27300
MFSL_F3,02/23/2023,10:00:00,700.55,700.55,700.55,700.55,650,27950
MFSL_F3,02/23/2023,10:46:00,702.60,702.60,702.60,702.60,650,27950
MFSL_F3,02/23/2023,11:00:00,702.60,702.60,702.60,702.60,650,27950
MFSL_F3,02/23/2023,13:16:00,689.95,689.95,689.95,689.95,650,27300
MFSL_F3,02/23/2023,13:55:00,689.95,689.95,689.95,689.95,650,27950
MFSL_F3,02/23/2023,14:12:00,692.00,692.00,692.00,692.00,650,27950
MFSL_F3,02/23/2023,14:55:00,693.00,693.00,693.00,693.00,1300,27950
