<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
NESTLEIND_F2,02/01/2023,12:13:00,19220.00,19220.00,19220.00,19220.00,41,1400
NESTLEIND_F2,02/01/2023,13:02:00,19315.85,19315.85,19315.85,19315.85,40,1440
NESTLEIND_F2,02/01/2023,13:41:00,19315.85,19315.85,19315.85,19315.85,80,1480
NESTLEIND_F2,02/01/2023,14:03:00,19200.00,19200.00,19200.00,19200.00,40,1560
NESTLEIND_F2,02/01/2023,14:05:00,19200.65,19200.65,19200.65,19200.65,40,1560
NESTLEIND_F2,02/01/2023,15:28:00,19346.40,19346.40,19346.40,19346.40,40,1560
NESTLEIND_F2,02/02/2023,09:17:00,19240.80,19240.80,19240.80,19240.80,41,1600
NESTLEIND_F2,02/02/2023,09:19:00,19193.25,19193.25,19193.25,19193.25,40,1600
NESTLEIND_F2,02/02/2023,09:20:00,19193.25,19193.25,19193.25,19193.25,40,1560
NESTLEIND_F2,02/02/2023,09:40:00,19206.65,19206.65,19206.65,19206.65,40,1600
NESTLEIND_F2,02/02/2023,09:44:00,19191.20,19191.20,19188.20,19188.20,80,1640
NESTLEIND_F2,02/02/2023,09:48:00,19161.65,19161.65,19161.65,19161.65,40,1720
NESTLEIND_F2,02/02/2023,09:54:00,19161.65,19161.65,19161.65,19161.65,40,1680
NESTLEIND_F2,02/02/2023,09:56:00,19150.00,19150.00,19150.00,19150.00,40,1680
NESTLEIND_F2,02/02/2023,09:59:00,19110.40,19110.40,19110.40,19110.40,40,1760
NESTLEIND_F2,02/02/2023,10:11:00,19110.40,19110.40,19110.40,19110.40,40,1760
NESTLEIND_F2,02/02/2023,10:20:00,19125.95,19125.95,19085.70,19085.70,80,1800
NESTLEIND_F2,02/02/2023,10:47:00,19085.70,19085.70,19085.70,19085.70,40,1760
NESTLEIND_F2,02/02/2023,10:59:00,19183.20,19183.20,19183.20,19183.20,40,1800
NESTLEIND_F2,02/02/2023,11:11:00,19252.25,19252.25,19252.25,19252.25,40,1800
NESTLEIND_F2,02/02/2023,11:18:00,19252.25,19252.25,19252.25,19252.25,40,1840
NESTLEIND_F2,02/02/2023,11:24:00,19214.65,19214.65,19214.65,19214.65,40,1880
NESTLEIND_F2,02/02/2023,11:46:00,19258.05,19258.05,19258.05,19258.05,40,1920
NESTLEIND_F2,02/02/2023,11:54:00,19258.05,19258.05,19258.05,19258.05,40,1960
NESTLEIND_F2,02/02/2023,12:07:00,19246.00,19246.00,19246.00,19246.00,40,2000
NESTLEIND_F2,02/02/2023,13:46:00,19137.85,19137.85,19137.85,19137.85,40,2040
NESTLEIND_F2,02/02/2023,14:17:00,19188.60,19188.60,19188.60,19188.60,40,2080
NESTLEIND_F2,02/02/2023,15:00:00,19194.95,19194.95,19194.95,19194.95,40,2120
NESTLEIND_F2,02/02/2023,15:19:00,19194.95,19194.95,19194.95,19194.95,40,2160
NESTLEIND_F2,02/02/2023,15:21:00,19189.95,19189.95,19189.95,19189.95,40,2160
NESTLEIND_F2,02/02/2023,15:23:00,19186.00,19186.00,19186.00,19186.00,40,2160
NESTLEIND_F2,02/02/2023,15:25:00,19197.60,19197.60,19193.35,19193.35,120,2160
NESTLEIND_F2,02/02/2023,15:27:00,19184.35,19196.45,19184.35,19196.45,80,2160
NESTLEIND_F2,02/02/2023,15:28:00,19196.90,19196.90,19196.90,19196.90,40,2200
NESTLEIND_F2,02/02/2023,15:29:00,19173.95,19173.95,19173.95,19173.95,40,2200
NESTLEIND_F2,02/03/2023,09:16:00,19151.70,19151.70,19151.70,19151.70,41,2200
NESTLEIND_F2,02/03/2023,09:23:00,19025.00,19025.00,19025.00,19025.00,40,2240
NESTLEIND_F2,02/03/2023,09:41:00,19025.00,19025.00,19025.00,19025.00,40,2280
NESTLEIND_F2,02/03/2023,11:35:00,19103.90,19103.90,19103.90,19103.90,40,2320
NESTLEIND_F2,02/03/2023,14:50:00,19196.00,19196.00,19196.00,19196.00,40,2360
NESTLEIND_F2,02/03/2023,14:54:00,19196.00,19196.00,19196.00,19196.00,40,2360
NESTLEIND_F2,02/03/2023,15:11:00,19194.55,19194.55,19194.55,19194.55,40,2320
NESTLEIND_F2,02/03/2023,15:19:00,19201.15,19201.15,19201.15,19201.15,40,2360
NESTLEIND_F2,02/03/2023,15:28:00,19201.15,19201.15,19201.15,19201.15,40,2400
NESTLEIND_F2,02/06/2023,09:16:00,19087.45,19087.45,19087.45,19087.45,41,2440
NESTLEIND_F2,02/06/2023,09:17:00,19085.00,19085.00,19043.80,19043.80,80,2440
NESTLEIND_F2,02/06/2023,09:18:00,19005.00,19005.00,19005.00,19005.00,40,2440
NESTLEIND_F2,02/06/2023,09:19:00,19005.00,19005.00,19005.00,19005.00,40,2440
NESTLEIND_F2,02/06/2023,09:20:00,19015.00,19015.00,19015.00,19015.00,40,2440
NESTLEIND_F2,02/06/2023,09:22:00,19000.00,19000.00,19000.00,19000.00,80,2560
NESTLEIND_F2,02/06/2023,09:28:00,18985.00,18985.00,18985.00,18985.00,80,2560
NESTLEIND_F2,02/06/2023,09:29:00,18971.00,18971.00,18971.00,18971.00,80,2560
NESTLEIND_F2,02/06/2023,09:42:00,19025.00,19025.00,19025.00,19025.00,40,2680
NESTLEIND_F2,02/06/2023,09:45:00,19001.00,19001.00,19001.00,19001.00,40,2640
NESTLEIND_F2,02/06/2023,10:17:00,19057.60,19057.60,19057.60,19057.60,40,2680
NESTLEIND_F2,02/06/2023,10:42:00,19068.00,19068.00,19068.00,19068.00,40,2720
NESTLEIND_F2,02/06/2023,10:45:00,19085.40,19085.40,19085.40,19085.40,200,2720
NESTLEIND_F2,02/06/2023,11:35:00,19153.10,19153.10,19153.10,19153.10,40,2880
NESTLEIND_F2,02/06/2023,13:04:00,19153.10,19153.10,19153.10,19153.10,40,2920
NESTLEIND_F2,02/06/2023,13:23:00,19157.00,19157.00,19157.00,19157.00,40,2960
NESTLEIND_F2,02/06/2023,14:04:00,19224.00,19224.00,19224.00,19224.00,40,3000
NESTLEIND_F2,02/06/2023,14:26:00,19224.00,19224.00,19224.00,19224.00,40,3000
NESTLEIND_F2,02/06/2023,15:00:00,19230.00,19230.00,19230.00,19230.00,40,3000
NESTLEIND_F2,02/06/2023,15:26:00,19230.95,19230.95,19230.95,19230.95,40,2960
NESTLEIND_F2,02/07/2023,12:18:00,19114.00,19114.00,19114.00,19114.00,41,2960
NESTLEIND_F2,02/07/2023,14:27:00,19204.40,19204.40,19204.40,19204.40,40,2960
NESTLEIND_F2,02/07/2023,14:31:00,19228.00,19228.00,19228.00,19228.00,40,3000
NESTLEIND_F2,02/07/2023,14:32:00,19230.00,19230.00,19230.00,19230.00,40,3000
NESTLEIND_F2,02/07/2023,14:38:00,19230.00,19230.00,19230.00,19230.00,40,3000
NESTLEIND_F2,02/07/2023,14:39:00,19207.85,19207.85,19207.85,19207.85,40,3000
NESTLEIND_F2,02/07/2023,14:46:00,19232.45,19232.45,19232.45,19232.45,40,3080
NESTLEIND_F2,02/07/2023,14:59:00,19232.45,19232.45,19232.45,19232.45,40,3120
NESTLEIND_F2,02/07/2023,15:14:00,19162.25,19162.25,19162.25,19162.25,40,3160
NESTLEIND_F2,02/07/2023,15:24:00,19166.40,19166.40,19166.40,19166.40,40,3160
