<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SBICARD_F3,02/01/2023,09:34:00,747.00,747.00,747.00,747.00,801,8800
SBICARD_F3,02/01/2023,09:54:00,742.20,742.20,742.20,742.20,800,8800
SBICARD_F3,02/01/2023,10:10:00,742.20,742.20,742.20,742.20,800,8800
SBICARD_F3,02/01/2023,12:26:00,750.00,750.00,750.00,750.00,800,8800
SBICARD_F3,02/01/2023,12:38:00,753.55,753.55,753.55,753.55,800,9600
SBICARD_F3,02/01/2023,13:51:00,753.55,753.55,753.55,753.55,800,9600
SBICARD_F3,02/01/2023,14:00:00,744.00,744.00,744.00,744.00,800,9600
SBICARD_F3,02/01/2023,14:01:00,743.00,743.00,743.00,743.00,800,9600
SBICARD_F3,02/01/2023,14:34:00,745.00,745.00,745.00,745.00,800,10400
SBICARD_F3,02/01/2023,14:36:00,745.00,745.00,745.00,745.00,800,10400
SBICARD_F3,02/02/2023,09:58:00,744.00,744.00,744.00,744.00,801,11200
SBICARD_F3,02/02/2023,10:13:00,743.00,743.00,743.00,743.00,800,11200
SBICARD_F3,02/02/2023,10:18:00,743.00,743.00,743.00,743.00,2400,11200
SBICARD_F3,02/02/2023,10:27:00,742.00,742.00,742.00,742.00,800,8800
SBICARD_F3,02/02/2023,12:23:00,748.20,748.20,742.00,742.00,3200,8800
SBICARD_F3,02/02/2023,15:03:00,750.00,750.00,750.00,750.00,800,10400
SBICARD_F3,02/03/2023,09:18:00,753.35,753.35,753.35,753.35,801,11200
SBICARD_F3,02/03/2023,10:21:00,749.70,749.70,749.70,749.70,800,11200
SBICARD_F3,02/03/2023,10:28:00,748.00,748.00,748.00,748.00,800,11200
SBICARD_F3,02/03/2023,10:39:00,747.00,747.00,747.00,747.00,800,10400
SBICARD_F3,02/03/2023,10:42:00,747.00,747.00,747.00,747.00,800,10400
SBICARD_F3,02/03/2023,11:47:00,751.00,751.00,751.00,751.00,800,11200
SBICARD_F3,02/03/2023,12:19:00,752.95,752.95,752.95,752.95,800,12000
SBICARD_F3,02/03/2023,12:20:00,753.00,753.00,753.00,753.00,800,12000
SBICARD_F3,02/03/2023,12:39:00,753.00,753.00,753.00,753.00,800,11200
SBICARD_F3,02/03/2023,12:41:00,755.00,755.00,755.00,755.00,800,11200
SBICARD_F3,02/03/2023,12:48:00,757.00,757.00,757.00,757.00,800,9600
SBICARD_F3,02/03/2023,13:02:00,757.00,757.00,757.00,757.00,800,9600
SBICARD_F3,02/03/2023,13:35:00,758.00,758.00,758.00,758.00,1600,10400
SBICARD_F3,02/03/2023,13:38:00,758.60,758.60,758.60,758.60,800,10400
SBICARD_F3,02/03/2023,13:42:00,759.85,759.85,759.85,759.85,800,9600
SBICARD_F3,02/03/2023,14:45:00,761.70,761.70,761.70,761.70,1600,8800
SBICARD_F3,02/03/2023,14:46:00,764.00,764.00,764.00,764.00,1600,8800
SBICARD_F3,02/03/2023,15:23:00,764.00,764.00,764.00,764.00,800,9600
SBICARD_F3,02/03/2023,15:29:00,761.25,761.25,761.25,761.25,800,9600
SBICARD_F3,02/06/2023,09:35:00,760.00,760.00,760.00,760.00,1601,10400
SBICARD_F3,02/06/2023,09:49:00,758.00,758.00,755.85,755.85,1600,11200
SBICARD_F3,02/06/2023,10:31:00,755.85,755.85,755.85,755.85,800,12000
SBICARD_F3,02/06/2023,11:07:00,756.00,756.00,756.00,756.00,2400,12000
SBICARD_F3,02/06/2023,11:09:00,755.00,755.00,755.00,755.00,800,13600
SBICARD_F3,02/06/2023,11:52:00,755.00,755.00,755.00,755.00,800,13600
SBICARD_F3,02/06/2023,12:20:00,765.00,765.00,765.00,765.00,1600,14400
SBICARD_F3,02/06/2023,12:27:00,765.00,765.00,765.00,765.00,800,14400
SBICARD_F3,02/06/2023,13:12:00,764.05,764.05,764.05,764.05,800,15200
SBICARD_F3,02/06/2023,14:47:00,765.00,765.00,765.00,765.00,800,16000
SBICARD_F3,02/07/2023,09:15:00,761.00,761.00,761.00,761.00,801,16800
SBICARD_F3,02/07/2023,09:22:00,760.00,760.00,760.00,760.00,1600,17600
SBICARD_F3,02/07/2023,09:49:00,759.00,759.00,759.00,759.00,800,18400
SBICARD_F3,02/07/2023,10:06:00,758.00,758.00,758.00,758.00,800,18400
SBICARD_F3,02/07/2023,10:36:00,757.00,757.00,757.00,757.00,800,18400
SBICARD_F3,02/07/2023,11:24:00,755.50,755.50,755.50,755.50,800,18400
SBICARD_F3,02/07/2023,11:44:00,754.00,754.00,754.00,754.00,800,18400
SBICARD_F3,02/07/2023,14:18:00,754.00,754.00,754.00,754.00,800,18400
SBICARD_F3,02/08/2023,12:52:00,761.95,761.95,761.95,761.95,801,18400
SBICARD_F3,02/09/2023,09:24:00,762.00,762.00,762.00,762.00,801,18400
SBICARD_F3,02/09/2023,09:45:00,764.90,764.90,764.90,764.90,800,18400
