<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ZYDUSLIFE_F3,02/01/2023,10:48:00,447.70,447.70,447.70,447.70,1801,0
ZYDUSLIFE_F3,02/03/2023,12:39:00,442.00,442.00,442.00,442.00,1801,1800
ZYDUSLIFE_F3,02/06/2023,09:17:00,460.00,460.00,459.95,459.95,3602,3600
ZYDUSLIFE_F3,02/06/2023,09:20:00,468.85,468.85,468.85,468.85,1800,7200
ZYDUSLIFE_F3,02/06/2023,09:23:00,468.85,468.85,468.85,468.85,1800,7200
ZYDUSLIFE_F3,02/06/2023,09:25:00,466.00,466.00,466.00,466.00,1800,10800
ZYDUSLIFE_F3,02/06/2023,09:39:00,476.85,476.85,476.85,476.85,5400,12600
ZYDUSLIFE_F3,02/06/2023,09:46:00,477.00,477.00,477.00,477.00,1800,18000
ZYDUSLIFE_F3,02/06/2023,09:49:00,477.00,477.00,477.00,477.00,3600,19800
ZYDUSLIFE_F3,02/06/2023,09:51:00,475.00,475.00,475.00,475.00,1800,16200
ZYDUSLIFE_F3,02/06/2023,10:01:00,475.00,475.00,475.00,475.00,1800,18000
ZYDUSLIFE_F3,02/06/2023,10:46:00,474.60,474.60,474.60,474.60,1800,19800
ZYDUSLIFE_F3,02/06/2023,11:02:00,478.90,478.90,478.90,478.90,3600,19800
ZYDUSLIFE_F3,02/06/2023,11:05:00,478.90,478.90,478.90,478.90,1800,19800
ZYDUSLIFE_F3,02/06/2023,11:28:00,479.95,479.95,479.95,479.95,1800,21600
ZYDUSLIFE_F3,02/06/2023,11:38:00,480.35,480.35,480.35,480.35,1800,23400
ZYDUSLIFE_F3,02/06/2023,13:21:00,480.35,480.35,480.35,480.35,1800,25200
ZYDUSLIFE_F3,02/06/2023,13:54:00,477.20,477.20,477.20,477.20,1800,25200
ZYDUSLIFE_F3,02/06/2023,15:24:00,477.70,477.70,477.70,477.70,1800,25200
ZYDUSLIFE_F3,02/07/2023,09:27:00,483.40,483.40,483.40,483.40,1801,25200
ZYDUSLIFE_F3,02/07/2023,09:40:00,483.95,483.95,483.95,483.95,1800,25200
ZYDUSLIFE_F3,02/07/2023,10:19:00,483.95,483.95,483.95,483.95,1800,27000
ZYDUSLIFE_F3,02/07/2023,10:21:00,480.30,480.30,480.30,480.30,1800,28800
ZYDUSLIFE_F3,02/07/2023,10:23:00,484.90,484.90,484.90,484.90,1800,28800
ZYDUSLIFE_F3,02/07/2023,10:59:00,484.90,484.95,484.90,484.95,3600,28800
ZYDUSLIFE_F3,02/07/2023,12:50:00,484.95,484.95,484.95,484.95,5400,32400
ZYDUSLIFE_F3,02/07/2023,14:11:00,485.10,485.10,485.10,485.10,1800,37800
ZYDUSLIFE_F3,02/07/2023,14:28:00,485.10,485.10,485.10,485.10,1800,39600
ZYDUSLIFE_F3,02/07/2023,14:35:00,485.10,485.10,485.10,485.10,1800,41400
ZYDUSLIFE_F3,02/07/2023,14:36:00,484.95,484.95,484.95,484.95,1800,41400
ZYDUSLIFE_F3,02/07/2023,14:58:00,486.00,486.00,486.00,486.00,1800,45000
ZYDUSLIFE_F3,02/08/2023,09:49:00,483.25,483.25,483.25,483.25,7201,46800
ZYDUSLIFE_F3,02/08/2023,10:00:00,483.35,483.35,483.35,483.35,1800,54000
ZYDUSLIFE_F3,02/08/2023,11:18:00,483.35,483.35,483.35,483.35,1800,54000
ZYDUSLIFE_F3,02/08/2023,11:19:00,478.05,478.05,478.05,478.05,1800,54000
