<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BSOFT_F3,01/03/2022,09:20:00,558.20,558.20,558.20,558.20,1301,1300
BSOFT_F3,01/03/2022,10:31:00,567.00,567.00,567.00,567.00,1300,1300
BSOFT_F3,01/03/2022,10:48:00,567.00,567.00,567.00,567.00,1300,2600
BSOFT_F3,01/03/2022,13:52:00,576.40,576.40,576.40,576.40,1300,3900
BSOFT_F3,01/03/2022,13:58:00,577.70,577.70,577.70,577.70,1300,5200
BSOFT_F3,01/03/2022,15:28:00,577.70,577.70,577.70,577.70,2600,6500
BSOFT_F3,01/04/2022,09:28:00,573.90,573.90,573.90,573.90,2601,9100
BSOFT_F3,01/04/2022,09:37:00,567.50,567.50,567.50,567.50,1300,11700
BSOFT_F3,01/04/2022,09:43:00,567.30,567.30,567.30,567.30,2600,11700
BSOFT_F3,01/05/2022,09:55:00,561.45,561.45,561.45,561.45,1301,10400
BSOFT_F3,01/06/2022,09:38:00,552.80,552.80,552.80,552.80,1301,10400
BSOFT_F3,01/06/2022,09:47:00,550.00,550.00,550.00,550.00,1300,11700
BSOFT_F3,01/07/2022,09:56:00,580.15,580.15,580.15,580.15,1301,11700
BSOFT_F3,01/07/2022,10:32:00,586.05,586.05,586.05,586.05,1300,11700
BSOFT_F3,01/07/2022,10:41:00,586.05,586.05,586.05,586.05,1300,13000
BSOFT_F3,01/07/2022,11:04:00,586.05,586.05,586.05,586.05,1300,11700
BSOFT_F3,01/07/2022,12:47:00,577.00,577.00,577.00,577.00,3900,10400
BSOFT_F3,01/07/2022,13:30:00,577.00,577.00,577.00,577.00,2600,14300
BSOFT_F3,01/07/2022,14:47:00,580.25,580.25,580.25,580.25,1300,16900
BSOFT_F3,01/10/2022,12:15:00,577.80,577.80,577.80,577.80,1301,15600
BSOFT_F3,01/11/2022,10:42:00,574.30,574.30,574.30,574.30,2601,16900
BSOFT_F3,01/13/2022,13:40:00,572.10,572.10,572.10,572.10,1301,19500
BSOFT_F3,01/13/2022,15:29:00,576.00,576.00,576.00,576.00,1300,20800
BSOFT_F3,01/14/2022,11:30:00,567.00,567.00,567.00,567.00,1301,22100
BSOFT_F3,01/17/2022,09:59:00,562.80,562.80,562.80,562.80,1301,22100
BSOFT_F3,01/17/2022,10:47:00,563.00,563.00,563.00,563.00,1300,23400
BSOFT_F3,01/17/2022,12:20:00,563.00,563.00,563.00,563.00,1300,24700
BSOFT_F3,01/18/2022,10:53:00,552.00,552.00,552.00,552.00,1301,26000
BSOFT_F3,01/19/2022,09:57:00,527.05,527.05,527.05,527.05,1301,24700
BSOFT_F3,01/19/2022,11:16:00,521.20,521.20,521.20,521.20,1300,26000
BSOFT_F3,01/19/2022,11:35:00,520.00,520.00,520.00,520.00,1300,26000
BSOFT_F3,01/19/2022,11:37:00,520.00,520.00,520.00,520.00,1300,26000
BSOFT_F3,01/19/2022,12:53:00,519.75,519.75,519.75,519.75,1300,26000
BSOFT_F3,01/19/2022,14:46:00,518.00,518.00,518.00,518.00,1300,27300
BSOFT_F3,01/20/2022,09:16:00,517.00,517.00,517.00,517.00,1301,28600
BSOFT_F3,01/20/2022,10:29:00,516.40,516.40,516.40,516.40,1300,28600
BSOFT_F3,01/20/2022,10:56:00,516.40,516.40,516.40,516.40,1300,29900
BSOFT_F3,01/20/2022,14:21:00,507.95,507.95,507.95,507.95,1300,29900
BSOFT_F3,01/20/2022,15:00:00,507.90,507.90,507.90,507.90,1300,31200
BSOFT_F3,01/21/2022,09:30:00,499.00,499.00,499.00,499.00,1301,32500
BSOFT_F3,01/21/2022,10:08:00,507.65,507.65,507.65,507.65,1300,32500
BSOFT_F3,01/21/2022,11:08:00,507.65,507.65,502.90,502.90,5200,33800
BSOFT_F3,01/21/2022,11:20:00,502.05,502.05,502.05,502.05,1300,33800
BSOFT_F3,01/21/2022,11:36:00,502.05,502.05,502.05,502.05,1300,33800
BSOFT_F3,01/21/2022,13:23:00,502.05,502.05,502.05,502.05,1300,32500
BSOFT_F3,01/21/2022,14:21:00,496.00,496.00,496.00,496.00,1300,32500
BSOFT_F3,01/21/2022,14:40:00,493.00,493.00,493.00,493.00,1300,33800
BSOFT_F3,01/21/2022,14:46:00,490.00,490.00,490.00,490.00,1300,35100
BSOFT_F3,01/21/2022,14:51:00,487.15,487.15,487.15,487.15,1300,36400
BSOFT_F3,01/21/2022,15:18:00,487.15,487.15,487.15,487.15,1300,36400
BSOFT_F3,01/24/2022,10:16:00,465.00,465.00,465.00,465.00,2601,37700
BSOFT_F3,01/24/2022,10:24:00,465.00,465.00,465.00,465.00,1300,37700
BSOFT_F3,01/24/2022,10:29:00,461.95,461.95,461.95,461.95,1300,39000
BSOFT_F3,01/24/2022,10:40:00,461.95,461.95,461.95,461.95,1300,37700
BSOFT_F3,01/24/2022,11:26:00,463.80,463.80,463.80,463.80,1300,36400
BSOFT_F3,01/24/2022,11:27:00,463.00,463.00,463.00,463.00,1300,37700
BSOFT_F3,01/24/2022,12:46:00,455.55,455.55,455.55,455.55,1300,37700
BSOFT_F3,01/24/2022,13:18:00,455.55,455.55,455.55,455.55,1300,36400
BSOFT_F3,01/24/2022,13:35:00,453.00,453.00,453.00,453.00,1300,37700
BSOFT_F3,01/24/2022,14:02:00,453.00,453.00,453.00,453.00,1300,39000
BSOFT_F3,01/24/2022,14:23:00,453.00,453.00,453.00,453.00,3900,40300
BSOFT_F3,01/24/2022,14:48:00,449.70,449.70,449.70,449.70,1300,42900
BSOFT_F3,01/24/2022,15:01:00,449.60,449.60,449.60,449.60,1300,44200
BSOFT_F3,01/24/2022,15:08:00,449.60,449.60,449.60,449.60,1300,45500
BSOFT_F3,01/24/2022,15:10:00,449.60,449.60,449.60,449.60,1300,46800
BSOFT_F3,01/24/2022,15:15:00,452.50,452.50,452.50,452.50,1300,45500
BSOFT_F3,01/24/2022,15:23:00,452.50,452.50,452.50,452.50,1300,44200
BSOFT_F3,01/24/2022,15:28:00,452.50,452.50,452.50,452.50,1300,44200
BSOFT_F3,01/25/2022,09:31:00,451.30,451.30,451.30,451.30,1301,44200
BSOFT_F3,01/25/2022,09:35:00,462.35,462.35,462.35,462.35,1300,44200
BSOFT_F3,01/25/2022,09:38:00,465.55,465.55,465.55,465.55,2600,44200
BSOFT_F3,01/25/2022,09:57:00,467.40,467.40,467.40,467.40,1300,48100
BSOFT_F3,01/25/2022,10:01:00,467.40,467.40,467.40,467.40,1300,49400
BSOFT_F3,01/25/2022,10:07:00,463.50,463.50,463.50,463.50,1300,49400
BSOFT_F3,01/25/2022,10:11:00,460.65,460.65,460.65,460.65,1300,50700
BSOFT_F3,01/25/2022,10:21:00,466.20,466.20,466.20,466.20,1300,49400
BSOFT_F3,01/25/2022,10:42:00,464.30,464.30,464.30,464.30,1300,48100
BSOFT_F3,01/25/2022,11:06:00,464.20,464.20,464.20,464.20,1300,49400
BSOFT_F3,01/25/2022,11:15:00,465.80,465.80,465.80,465.80,1300,48100
BSOFT_F3,01/25/2022,11:47:00,465.80,465.80,465.80,465.80,1300,49400
BSOFT_F3,01/25/2022,12:21:00,464.00,464.00,464.00,464.00,2600,50700
BSOFT_F3,01/25/2022,13:27:00,464.40,464.40,464.40,464.40,2600,53300
BSOFT_F3,01/25/2022,14:35:00,466.60,466.60,466.60,466.60,1300,50700
BSOFT_F3,01/27/2022,09:18:00,466.60,466.60,466.60,466.60,1300,52000
BSOFT_F3,01/27/2022,09:22:00,453.60,454.35,453.60,454.35,2600,50700
BSOFT_F3,01/27/2022,09:26:00,454.35,454.35,454.35,454.35,1300,50700
BSOFT_F3,01/27/2022,09:28:00,446.95,446.95,446.95,446.95,1300,50700
BSOFT_F3,01/27/2022,09:40:00,444.00,444.00,444.00,444.00,1300,53300
BSOFT_F3,01/27/2022,09:41:00,444.00,444.00,444.00,444.00,11700,54600
BSOFT_F3,01/27/2022,09:44:00,446.40,446.40,446.40,446.40,1300,54600
BSOFT_F3,01/27/2022,09:46:00,442.90,442.90,442.90,442.90,1300,54600
BSOFT_F3,01/27/2022,09:49:00,445.25,445.25,445.25,445.25,1300,54600
BSOFT_F3,01/27/2022,09:55:00,447.50,447.50,447.50,447.50,1300,54600
BSOFT_F3,01/27/2022,09:56:00,447.50,447.50,447.50,447.50,1300,54600
BSOFT_F3,01/27/2022,10:01:00,444.00,444.00,444.00,444.00,1300,54600
BSOFT_F3,01/27/2022,10:02:00,443.05,443.05,443.05,443.05,1300,54600
BSOFT_F3,01/27/2022,10:04:00,445.50,445.50,445.50,445.50,1300,54600
BSOFT_F3,01/27/2022,10:26:00,445.00,445.00,445.00,445.00,1300,67600
BSOFT_F3,01/27/2022,10:39:00,444.95,444.95,444.95,444.95,1300,68900
BSOFT_F3,01/27/2022,10:44:00,445.00,445.00,445.00,445.00,1300,68900
BSOFT_F3,01/27/2022,10:55:00,444.35,444.35,444.35,444.35,1300,70200
BSOFT_F3,01/27/2022,11:06:00,441.20,441.20,441.20,441.20,1300,71500
BSOFT_F3,01/27/2022,11:11:00,442.25,442.25,442.25,442.25,1300,71500
BSOFT_F3,01/27/2022,11:17:00,441.45,441.45,441.45,441.45,1300,71500
BSOFT_F3,01/27/2022,11:23:00,442.40,442.40,442.40,442.40,2600,71500
BSOFT_F3,01/27/2022,11:36:00,441.50,441.50,441.50,441.50,1300,72800
BSOFT_F3,01/27/2022,11:37:00,441.40,441.40,441.40,441.40,3900,72800
BSOFT_F3,01/27/2022,11:48:00,440.50,440.50,440.50,440.50,2600,74100
BSOFT_F3,01/27/2022,11:52:00,439.00,439.00,439.00,439.00,11700,84500
BSOFT_F3,01/27/2022,11:57:00,439.00,439.00,439.00,439.00,2600,84500
BSOFT_F3,01/27/2022,12:57:00,437.00,437.00,437.00,437.00,1300,84500
BSOFT_F3,01/27/2022,12:58:00,437.00,437.00,437.00,437.00,1300,84500
BSOFT_F3,01/27/2022,13:08:00,437.00,437.00,437.00,437.00,1300,87100
BSOFT_F3,01/27/2022,13:09:00,437.00,437.00,437.00,437.00,1300,87100
BSOFT_F3,01/27/2022,13:11:00,437.10,437.10,437.10,437.10,1300,88400
BSOFT_F3,01/27/2022,13:20:00,435.35,435.35,435.35,435.35,1300,87100
BSOFT_F3,01/27/2022,13:39:00,439.80,439.80,439.80,439.80,1300,88400
BSOFT_F3,01/27/2022,13:41:00,439.45,439.45,439.45,439.45,1300,88400
BSOFT_F3,01/27/2022,14:00:00,439.80,439.80,439.80,439.80,1300,89700
BSOFT_F3,01/27/2022,14:29:00,443.40,443.40,443.40,443.40,1300,89700
