<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IDFCFIRSTB_F3,01/03/2022,09:29:00,48.90,48.90,48.90,48.90,11101,99900
IDFCFIRSTB_F3,01/03/2022,09:43:00,49.40,49.40,49.40,49.40,11100,99900
IDFCFIRSTB_F3,01/03/2022,09:45:00,49.45,49.45,49.45,49.45,11100,111000
IDFCFIRSTB_F3,01/03/2022,09:59:00,49.45,49.45,49.45,49.45,55500,122100
IDFCFIRSTB_F3,01/03/2022,10:03:00,49.45,49.45,49.45,49.45,11100,166500
IDFCFIRSTB_F3,01/03/2022,10:05:00,49.50,49.50,49.50,49.50,11100,166500
IDFCFIRSTB_F3,01/03/2022,10:24:00,49.70,49.70,49.70,49.70,11100,177600
IDFCFIRSTB_F3,01/03/2022,10:27:00,49.70,49.70,49.70,49.70,11100,188700
IDFCFIRSTB_F3,01/03/2022,10:36:00,49.70,49.70,49.70,49.70,11100,188700
IDFCFIRSTB_F3,01/03/2022,10:44:00,49.55,49.55,49.55,49.55,11100,199800
IDFCFIRSTB_F3,01/03/2022,10:51:00,49.70,49.70,49.70,49.70,11100,199800
IDFCFIRSTB_F3,01/03/2022,10:52:00,49.70,49.70,49.70,49.70,33300,199800
IDFCFIRSTB_F3,01/03/2022,11:15:00,49.80,49.80,49.80,49.80,11100,155400
IDFCFIRSTB_F3,01/03/2022,12:21:00,50.15,50.15,50.15,50.15,11100,166500
IDFCFIRSTB_F3,01/03/2022,12:48:00,50.35,50.35,50.35,50.35,11100,177600
IDFCFIRSTB_F3,01/03/2022,12:58:00,50.45,50.45,50.45,50.45,44400,188700
IDFCFIRSTB_F3,01/03/2022,12:59:00,50.45,50.45,50.40,50.40,33300,188700
IDFCFIRSTB_F3,01/03/2022,13:01:00,50.40,50.40,50.40,50.40,11100,266400
IDFCFIRSTB_F3,01/03/2022,13:08:00,50.40,50.40,50.40,50.40,22200,266400
IDFCFIRSTB_F3,01/03/2022,13:34:00,50.50,50.50,50.50,50.50,11100,288600
IDFCFIRSTB_F3,01/04/2022,09:23:00,50.65,50.65,50.65,50.65,11101,299700
IDFCFIRSTB_F3,01/04/2022,09:39:00,50.00,50.00,50.00,50.00,11100,299700
IDFCFIRSTB_F3,01/04/2022,10:45:00,50.00,50.00,50.00,50.00,11100,299700
IDFCFIRSTB_F3,01/04/2022,11:11:00,50.10,50.10,50.10,50.10,11100,299700
IDFCFIRSTB_F3,01/04/2022,11:30:00,49.80,49.80,49.80,49.80,11100,310800
IDFCFIRSTB_F3,01/04/2022,11:36:00,49.70,49.70,49.70,49.70,11100,321900
IDFCFIRSTB_F3,01/04/2022,12:45:00,49.70,49.70,49.70,49.70,11100,310800
IDFCFIRSTB_F3,01/04/2022,14:39:00,49.80,49.80,49.80,49.80,11100,321900
IDFCFIRSTB_F3,01/04/2022,15:25:00,49.80,49.80,49.80,49.80,22200,310800
IDFCFIRSTB_F3,01/05/2022,10:25:00,50.00,50.00,50.00,50.00,11101,310800
IDFCFIRSTB_F3,01/05/2022,10:29:00,49.95,49.95,49.95,49.95,22200,321900
IDFCFIRSTB_F3,01/05/2022,10:58:00,49.65,49.65,49.65,49.65,11100,344100
IDFCFIRSTB_F3,01/05/2022,11:24:00,49.65,49.65,49.65,49.65,11100,355200
IDFCFIRSTB_F3,01/05/2022,13:04:00,50.55,50.55,50.55,50.55,11100,355200
IDFCFIRSTB_F3,01/05/2022,13:12:00,50.70,50.70,50.70,50.70,11100,366300
IDFCFIRSTB_F3,01/05/2022,13:48:00,50.70,50.70,50.70,50.70,11100,366300
IDFCFIRSTB_F3,01/05/2022,13:49:00,50.40,50.40,50.40,50.40,11100,366300
IDFCFIRSTB_F3,01/05/2022,14:09:00,50.40,50.40,50.40,50.40,11100,388500
IDFCFIRSTB_F3,01/05/2022,14:14:00,50.25,50.25,50.25,50.25,11100,399600
IDFCFIRSTB_F3,01/05/2022,15:28:00,50.20,50.20,50.20,50.20,11100,410700
IDFCFIRSTB_F3,01/06/2022,09:25:00,49.50,49.50,49.50,49.50,11101,421800
IDFCFIRSTB_F3,01/06/2022,09:29:00,49.55,49.55,49.55,49.55,11100,432900
IDFCFIRSTB_F3,01/06/2022,09:36:00,49.55,49.55,49.55,49.55,22200,444000
IDFCFIRSTB_F3,01/06/2022,09:37:00,49.30,49.30,49.30,49.30,11100,444000
IDFCFIRSTB_F3,01/06/2022,10:14:00,49.75,49.75,49.75,49.75,11100,432900
IDFCFIRSTB_F3,01/06/2022,13:54:00,50.25,50.25,50.25,50.25,11100,421800
IDFCFIRSTB_F3,01/07/2022,09:51:00,50.65,50.65,50.65,50.65,11101,410700
IDFCFIRSTB_F3,01/07/2022,09:54:00,50.65,50.65,50.65,50.65,55500,421800
IDFCFIRSTB_F3,01/07/2022,09:57:00,50.65,50.65,50.65,50.65,11100,388500
IDFCFIRSTB_F3,01/07/2022,10:14:00,50.50,50.50,50.50,50.50,22200,399600
IDFCFIRSTB_F3,01/07/2022,10:25:00,50.50,50.50,50.50,50.50,44400,421800
IDFCFIRSTB_F3,01/07/2022,11:52:00,49.75,49.75,49.75,49.75,11100,466200
IDFCFIRSTB_F3,01/07/2022,12:36:00,49.75,49.75,49.75,49.75,22200,477300
IDFCFIRSTB_F3,01/07/2022,13:46:00,49.75,49.75,49.75,49.75,22200,499500
IDFCFIRSTB_F3,01/07/2022,14:13:00,49.65,49.65,49.65,49.65,11100,510600
IDFCFIRSTB_F3,01/07/2022,15:13:00,49.65,49.65,49.65,49.65,11100,521700
IDFCFIRSTB_F3,01/07/2022,15:18:00,49.65,49.65,49.65,49.65,11100,532800
IDFCFIRSTB_F3,01/07/2022,15:28:00,49.80,49.80,49.80,49.80,11100,532800
IDFCFIRSTB_F3,01/10/2022,09:33:00,50.20,50.20,50.20,50.20,11101,543900
IDFCFIRSTB_F3,01/10/2022,09:45:00,50.45,50.45,50.45,50.45,11100,555000
IDFCFIRSTB_F3,01/10/2022,09:56:00,50.45,50.45,50.45,50.45,11100,555000
IDFCFIRSTB_F3,01/10/2022,11:28:00,50.45,50.45,50.45,50.45,11100,555000
IDFCFIRSTB_F3,01/10/2022,11:30:00,49.95,49.95,49.95,49.95,11100,566100
IDFCFIRSTB_F3,01/10/2022,12:41:00,49.95,49.95,49.95,49.95,11100,577200
IDFCFIRSTB_F3,01/10/2022,13:33:00,50.40,50.40,50.40,50.40,11100,588300
IDFCFIRSTB_F3,01/10/2022,13:52:00,50.40,50.40,50.40,50.40,11100,577200
IDFCFIRSTB_F3,01/10/2022,14:02:00,50.50,50.50,50.50,50.50,11100,577200
IDFCFIRSTB_F3,01/10/2022,14:15:00,50.50,50.50,50.50,50.50,11100,577200
IDFCFIRSTB_F3,01/10/2022,14:25:00,50.55,50.55,50.55,50.55,88800,566100
IDFCFIRSTB_F3,01/10/2022,14:30:00,50.55,50.55,50.55,50.55,11100,543900
IDFCFIRSTB_F3,01/10/2022,14:41:00,50.50,50.50,50.50,50.50,22200,543900
IDFCFIRSTB_F3,01/10/2022,14:50:00,50.40,50.40,50.40,50.40,11100,566100
IDFCFIRSTB_F3,01/10/2022,15:21:00,50.40,50.40,50.40,50.40,11100,577200
