<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
LALPATHLAB_F2,01/03/2022,09:16:00,3882.95,3882.95,3866.25,3866.25,626,12125
LALPATHLAB_F2,01/03/2022,09:17:00,3871.25,3871.25,3871.25,3871.25,125,12125
LALPATHLAB_F2,01/03/2022,09:18:00,3888.25,3888.25,3888.25,3888.25,125,12750
LALPATHLAB_F2,01/03/2022,09:23:00,3888.25,3888.25,3888.25,3888.25,125,12875
LALPATHLAB_F2,01/03/2022,09:25:00,3832.35,3832.35,3832.35,3832.35,250,12750
LALPATHLAB_F2,01/03/2022,10:01:00,3852.00,3852.00,3852.00,3852.00,125,12750
LALPATHLAB_F2,01/03/2022,10:11:00,3874.20,3874.20,3874.20,3874.20,125,12875
LALPATHLAB_F2,01/03/2022,10:24:00,3865.50,3865.50,3865.50,3865.50,250,13000
LALPATHLAB_F2,01/03/2022,11:04:00,3864.50,3864.50,3864.50,3864.50,125,13250
LALPATHLAB_F2,01/03/2022,11:06:00,3864.50,3864.50,3864.50,3864.50,125,13250
LALPATHLAB_F2,01/03/2022,11:18:00,3860.05,3860.05,3860.05,3860.05,125,13125
LALPATHLAB_F2,01/03/2022,11:19:00,3863.00,3863.00,3863.00,3863.00,125,13125
LALPATHLAB_F2,01/03/2022,11:20:00,3860.70,3860.70,3860.70,3860.70,125,13125
LALPATHLAB_F2,01/03/2022,11:25:00,3860.70,3860.70,3860.70,3860.70,125,13250
LALPATHLAB_F2,01/03/2022,11:30:00,3865.00,3865.00,3865.00,3865.00,125,13375
LALPATHLAB_F2,01/03/2022,11:32:00,3866.15,3866.15,3866.15,3866.15,125,13375
LALPATHLAB_F2,01/03/2022,11:36:00,3875.00,3875.00,3875.00,3875.00,125,13375
LALPATHLAB_F2,01/03/2022,11:40:00,3890.00,3890.00,3890.00,3890.00,125,13375
LALPATHLAB_F2,01/03/2022,11:46:00,3890.00,3890.00,3890.00,3890.00,125,13500
LALPATHLAB_F2,01/03/2022,11:50:00,3893.65,3893.65,3893.65,3893.65,250,13500
LALPATHLAB_F2,01/03/2022,11:58:00,3893.65,3893.65,3893.65,3893.65,125,13625
LALPATHLAB_F2,01/03/2022,12:34:00,3893.65,3893.65,3893.65,3893.65,500,13625
LALPATHLAB_F2,01/03/2022,12:47:00,3877.00,3877.00,3875.80,3875.80,250,13375
