<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
M&M_F3,01/03/2022,09:20:00,841.90,841.90,841.90,841.90,701,0
M&M_F3,01/03/2022,10:16:00,842.50,842.50,842.50,842.50,700,700
M&M_F3,01/03/2022,13:43:00,842.50,842.50,842.50,842.50,700,1400
M&M_F3,01/03/2022,14:17:00,842.00,842.00,842.00,842.00,700,2100
M&M_F3,01/03/2022,14:19:00,842.00,842.00,842.00,842.00,1400,2100
M&M_F3,01/03/2022,14:33:00,842.00,842.00,842.00,842.00,700,2800
M&M_F3,01/03/2022,15:00:00,840.00,840.00,840.00,840.00,700,2800
M&M_F3,01/03/2022,15:02:00,840.00,840.00,840.00,840.00,700,2800
M&M_F3,01/03/2022,15:14:00,839.50,839.50,839.50,839.50,700,3500
M&M_F3,01/03/2022,15:30:00,839.50,839.50,839.50,839.50,700,4200
M&M_F3,01/04/2022,09:21:00,846.40,846.40,846.40,846.40,701,4200
M&M_F3,01/04/2022,09:34:00,846.00,846.00,846.00,846.00,700,3500
M&M_F3,01/04/2022,11:24:00,843.00,843.00,843.00,843.00,700,4200
M&M_F3,01/04/2022,11:35:00,843.00,843.00,843.00,843.00,700,4900
M&M_F3,01/04/2022,12:37:00,840.00,840.00,840.00,840.00,700,5600
M&M_F3,01/04/2022,14:25:00,839.80,839.80,839.80,839.80,700,6300
M&M_F3,01/04/2022,14:28:00,839.80,839.80,839.80,839.80,700,7000
M&M_F3,01/04/2022,14:38:00,840.40,840.40,840.40,840.40,700,7700
M&M_F3,01/05/2022,09:24:00,845.85,845.85,845.85,845.85,701,7700
M&M_F3,01/05/2022,09:57:00,845.85,845.85,845.85,845.85,700,7700
M&M_F3,01/05/2022,10:07:00,845.55,845.55,845.55,845.55,700,7700
M&M_F3,01/05/2022,11:27:00,845.55,845.55,845.55,845.55,700,7700
M&M_F3,01/05/2022,11:41:00,851.45,851.45,851.45,851.45,700,7700
M&M_F3,01/05/2022,12:30:00,855.90,855.90,855.90,855.90,700,7700
M&M_F3,01/05/2022,12:47:00,855.90,855.90,855.90,855.90,700,7700
M&M_F3,01/05/2022,15:22:00,849.95,849.95,849.95,849.95,700,8400
M&M_F3,01/06/2022,09:52:00,840.00,840.00,840.00,840.00,701,7700
