<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
METROPOLIS_F3,01/05/2022,09:20:00,3450.00,3450.00,3450.00,3450.00,201,200
METROPOLIS_F3,01/06/2022,11:36:00,3385.00,3385.00,3385.00,3385.00,201,400
METROPOLIS_F3,01/12/2022,09:39:00,3177.70,3177.70,3177.70,3177.70,201,600
METROPOLIS_F3,01/12/2022,15:25:00,3123.65,3123.65,3123.65,3123.65,200,600
METROPOLIS_F3,01/13/2022,12:35:00,3141.95,3141.95,3141.95,3141.95,201,800
METROPOLIS_F3,01/14/2022,14:36:00,3050.55,3050.55,3050.55,3050.55,201,1000
METROPOLIS_F3,01/14/2022,15:10:00,3070.00,3070.00,3070.00,3070.00,200,1000
METROPOLIS_F3,01/17/2022,09:53:00,3025.85,3025.85,3025.85,3025.85,201,1200
METROPOLIS_F3,01/17/2022,15:27:00,3005.85,3005.85,3005.85,3005.85,400,1400
METROPOLIS_F3,01/18/2022,09:18:00,2977.75,2977.75,2977.75,2977.75,201,1800
METROPOLIS_F3,01/18/2022,09:52:00,2975.00,2975.00,2975.00,2975.00,200,2000
METROPOLIS_F3,01/18/2022,10:14:00,2967.75,2967.75,2967.75,2967.75,200,2200
METROPOLIS_F3,01/18/2022,11:30:00,2925.00,2925.00,2925.00,2925.00,200,2400
METROPOLIS_F3,01/18/2022,12:32:00,2920.85,2920.85,2920.85,2920.85,200,2600
METROPOLIS_F3,01/18/2022,12:42:00,2906.05,2906.05,2906.05,2906.05,200,2600
METROPOLIS_F3,01/18/2022,12:48:00,2895.00,2895.00,2895.00,2895.00,400,2800
METROPOLIS_F3,01/18/2022,15:22:00,2865.00,2865.00,2865.00,2865.00,200,3000
METROPOLIS_F3,01/18/2022,15:29:00,2865.00,2865.00,2865.00,2865.00,200,3200
METROPOLIS_F3,01/19/2022,09:53:00,2800.00,2800.00,2800.00,2800.00,201,3400
METROPOLIS_F3,01/19/2022,10:25:00,2800.00,2800.00,2800.00,2800.00,200,3400
METROPOLIS_F3,01/19/2022,10:39:00,2800.00,2800.00,2800.00,2800.00,200,3600
METROPOLIS_F3,01/19/2022,10:43:00,2805.00,2805.00,2805.00,2805.00,200,3600
METROPOLIS_F3,01/19/2022,10:45:00,2815.40,2815.40,2815.40,2815.40,200,3400
METROPOLIS_F3,01/19/2022,10:46:00,2822.50,2822.50,2822.50,2822.50,200,3400
