<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ABBOTINDIA_F3,01/02/2023,09:55:00,21700.00,21700.00,21700.00,21700.00,41,0
ABBOTINDIA_F3,01/04/2023,12:48:00,22200.00,22200.00,22200.00,22200.00,41,40
ABBOTINDIA_F3,01/09/2023,09:55:00,22631.75,22631.75,22631.75,22631.75,41,80
ABBOTINDIA_F3,01/09/2023,15:15:00,22400.00,22400.00,22400.00,22400.00,40,120
ABBOTINDIA_F3,01/11/2023,14:03:00,22298.30,22298.30,22298.30,22298.30,41,120
ABBOTINDIA_F3,01/16/2023,11:20:00,22250.00,22250.00,22250.00,22250.00,41,120
ABBOTINDIA_F3,01/16/2023,14:50:00,22100.00,22100.00,22100.00,22100.00,40,120
ABBOTINDIA_F3,01/16/2023,14:54:00,22100.00,22100.00,22100.00,22100.00,40,160
ABBOTINDIA_F3,01/16/2023,15:21:00,22150.00,22150.00,22150.00,22150.00,40,200
ABBOTINDIA_F3,01/17/2023,10:06:00,22150.00,22150.00,22150.00,22150.00,41,240
ABBOTINDIA_F3,01/17/2023,10:55:00,22100.00,22100.00,22100.00,22100.00,40,280
ABBOTINDIA_F3,01/17/2023,15:07:00,21736.65,21736.65,21736.65,21736.65,40,280
ABBOTINDIA_F3,01/17/2023,15:29:00,21736.65,21736.65,21736.65,21736.65,40,320
ABBOTINDIA_F3,01/18/2023,15:03:00,22000.00,22000.00,22000.00,22000.00,41,360
ABBOTINDIA_F3,01/20/2023,12:15:00,21950.00,21950.00,21950.00,21950.00,41,400
ABBOTINDIA_F3,01/20/2023,14:47:00,21900.00,21900.00,21900.00,21900.00,40,360
ABBOTINDIA_F3,01/23/2023,11:27:00,21990.00,21990.00,21990.00,21990.00,41,400
ABBOTINDIA_F3,01/23/2023,13:06:00,22094.85,22094.85,22094.85,22094.85,40,440
ABBOTINDIA_F3,01/23/2023,14:37:00,22094.85,22094.85,22094.85,22094.85,40,480
ABBOTINDIA_F3,01/23/2023,14:40:00,22094.60,22094.60,22094.60,22094.60,40,520
ABBOTINDIA_F3,01/23/2023,14:47:00,22000.00,22000.00,22000.00,22000.00,40,560
ABBOTINDIA_F3,01/23/2023,15:12:00,22095.00,22095.00,22095.00,22095.00,40,600
ABBOTINDIA_F3,01/23/2023,15:19:00,22095.00,22095.00,22095.00,22095.00,40,640
ABBOTINDIA_F3,01/24/2023,11:11:00,22077.50,22077.50,22077.50,22077.50,41,680
ABBOTINDIA_F3,01/24/2023,11:55:00,22059.15,22059.15,22059.15,22059.15,40,720
ABBOTINDIA_F3,01/24/2023,12:43:00,22050.00,22050.00,22050.00,22050.00,80,720
ABBOTINDIA_F3,01/24/2023,15:15:00,21900.00,21900.00,21900.00,21900.00,40,720
