<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ADANIPORTS_F3,01/02/2023,11:25:00,840.55,840.55,840.55,840.55,626,3750
ADANIPORTS_F3,01/02/2023,12:54:00,838.50,838.50,838.50,838.50,625,3125
ADANIPORTS_F3,01/02/2023,13:52:00,838.50,838.50,838.50,838.50,625,3750
ADANIPORTS_F3,01/02/2023,15:23:00,838.50,838.50,838.50,838.50,625,4375
ADANIPORTS_F3,01/03/2023,09:15:00,837.00,840.00,837.00,840.00,1877,4375
ADANIPORTS_F3,01/03/2023,09:20:00,836.00,836.00,836.00,836.00,625,6250
ADANIPORTS_F3,01/03/2023,09:32:00,836.00,836.00,836.00,836.00,625,6875
ADANIPORTS_F3,01/03/2023,12:03:00,837.00,837.00,837.00,837.00,625,6250
ADANIPORTS_F3,01/03/2023,12:08:00,836.60,836.60,836.00,836.00,1250,6875
ADANIPORTS_F3,01/03/2023,13:33:00,836.00,836.00,836.00,836.00,625,8125
ADANIPORTS_F3,01/03/2023,14:09:00,836.25,836.25,836.25,836.25,1250,8750
ADANIPORTS_F3,01/03/2023,14:32:00,838.00,838.00,838.00,838.00,1250,8750
ADANIPORTS_F3,01/03/2023,15:17:00,835.65,835.65,835.65,835.65,625,7500
ADANIPORTS_F3,01/03/2023,15:18:00,835.65,835.65,835.65,835.65,625,8125
ADANIPORTS_F3,01/03/2023,15:25:00,835.00,835.00,835.00,835.00,625,8750
ADANIPORTS_F3,01/03/2023,15:30:00,834.00,834.00,834.00,834.00,625,9375
ADANIPORTS_F3,01/04/2023,09:17:00,833.00,833.00,833.00,833.00,626,10000
ADANIPORTS_F3,01/04/2023,09:25:00,834.50,834.50,834.50,834.50,1250,9375
ADANIPORTS_F3,01/04/2023,09:40:00,834.50,834.50,834.50,834.50,625,8750
ADANIPORTS_F3,01/04/2023,09:53:00,829.00,829.00,829.00,829.00,625,9375
ADANIPORTS_F3,01/04/2023,10:32:00,832.00,832.00,832.00,832.00,1250,9375
ADANIPORTS_F3,01/04/2023,11:01:00,832.00,832.00,832.00,832.00,625,8125
ADANIPORTS_F3,01/04/2023,11:07:00,831.00,831.00,831.00,831.00,625,8750
ADANIPORTS_F3,01/04/2023,11:19:00,830.45,830.45,830.45,830.45,625,9375
ADANIPORTS_F3,01/04/2023,11:26:00,828.00,828.00,828.00,828.00,625,9375
ADANIPORTS_F3,01/04/2023,12:51:00,827.00,827.00,827.00,827.00,625,10000
ADANIPORTS_F3,01/04/2023,13:08:00,827.00,827.00,827.00,827.00,625,10000
ADANIPORTS_F3,01/04/2023,14:06:00,828.00,828.00,828.00,828.00,1875,10000
ADANIPORTS_F3,01/04/2023,14:26:00,824.00,824.00,824.00,824.00,625,10625
ADANIPORTS_F3,01/04/2023,14:53:00,820.00,820.00,820.00,820.00,1875,10625
ADANIPORTS_F3,01/04/2023,15:07:00,820.00,822.90,820.00,822.90,1250,11875
ADANIPORTS_F3,01/05/2023,09:15:00,817.85,817.85,817.85,817.85,626,10625
ADANIPORTS_F3,01/05/2023,09:23:00,820.00,820.00,820.00,820.00,1250,10625
ADANIPORTS_F3,01/05/2023,09:25:00,821.00,821.00,821.00,821.00,1250,10625
ADANIPORTS_F3,01/05/2023,09:58:00,824.00,824.00,824.00,824.00,625,12500
ADANIPORTS_F3,01/05/2023,10:08:00,824.00,824.00,824.00,824.00,625,13125
ADANIPORTS_F3,01/05/2023,10:17:00,824.30,824.30,824.30,824.30,625,13750
ADANIPORTS_F3,01/05/2023,11:53:00,824.30,824.30,824.30,824.30,625,13750
ADANIPORTS_F3,01/05/2023,13:36:00,820.45,820.45,820.45,820.45,625,14375
ADANIPORTS_F3,01/05/2023,14:24:00,823.20,823.20,823.20,823.20,625,15000
ADANIPORTS_F3,01/05/2023,14:33:00,828.00,828.00,828.00,828.00,625,15625
ADANIPORTS_F3,01/05/2023,14:41:00,828.00,828.00,828.00,828.00,625,15625
ADANIPORTS_F3,01/05/2023,14:50:00,831.60,831.60,831.60,831.60,625,15625
ADANIPORTS_F3,01/05/2023,14:56:00,831.60,831.60,831.60,831.60,625,16250
ADANIPORTS_F3,01/05/2023,15:24:00,832.00,832.00,832.00,832.00,1250,16875
ADANIPORTS_F3,01/06/2023,09:21:00,832.45,832.45,832.00,832.00,1252,16875
ADANIPORTS_F3,01/06/2023,10:00:00,830.55,830.55,830.50,830.50,1875,17500
ADANIPORTS_F3,01/06/2023,10:38:00,827.40,827.40,827.40,827.40,625,16875
ADANIPORTS_F3,01/06/2023,10:59:00,826.75,826.75,826.75,826.75,1250,16875
ADANIPORTS_F3,01/06/2023,11:18:00,825.05,825.05,825.05,825.05,625,17500
ADANIPORTS_F3,01/06/2023,12:10:00,825.05,825.05,825.05,825.05,1250,17500
ADANIPORTS_F3,01/06/2023,12:49:00,820.80,820.80,820.80,820.80,625,18750
ADANIPORTS_F3,01/06/2023,13:01:00,819.75,819.75,819.75,819.75,625,19375
ADANIPORTS_F3,01/06/2023,14:15:00,818.85,818.85,818.85,818.85,625,19375
ADANIPORTS_F3,01/06/2023,14:16:00,817.70,817.90,817.70,817.90,5625,19375
ADANIPORTS_F3,01/06/2023,14:18:00,816.70,816.70,816.65,816.65,3750,23750
ADANIPORTS_F3,01/06/2023,15:16:00,821.00,821.00,821.00,821.00,625,24375
ADANIPORTS_F3,01/06/2023,15:18:00,821.00,821.00,821.00,821.00,625,24375
ADANIPORTS_F3,01/06/2023,15:21:00,820.00,820.00,820.00,820.00,1250,24375
ADANIPORTS_F3,01/09/2023,10:15:00,833.00,833.00,833.00,833.00,626,25625
ADANIPORTS_F3,01/09/2023,12:07:00,832.65,832.65,832.65,832.65,625,25000
ADANIPORTS_F3,01/09/2023,12:27:00,830.00,830.00,830.00,830.00,625,25625
ADANIPORTS_F3,01/09/2023,12:55:00,829.95,829.95,829.95,829.95,625,26250
