<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HAVELLS_F3,01/02/2023,09:41:00,1120.70,1120.70,1120.70,1120.70,501,1000
HAVELLS_F3,01/02/2023,14:08:00,1120.00,1120.00,1120.00,1120.00,500,500
HAVELLS_F3,01/02/2023,15:07:00,1120.00,1120.00,1120.00,1120.00,500,1000
HAVELLS_F3,01/04/2023,09:41:00,1141.95,1141.95,1141.95,1141.95,501,1500
HAVELLS_F3,01/04/2023,10:09:00,1142.45,1142.45,1142.45,1142.45,500,1500
HAVELLS_F3,01/06/2023,10:41:00,1195.50,1195.50,1195.50,1195.50,1001,2000
HAVELLS_F3,01/06/2023,11:29:00,1193.50,1193.50,1193.50,1193.50,1500,2000
HAVELLS_F3,01/06/2023,11:30:00,1193.50,1193.50,1193.50,1193.50,500,3000
HAVELLS_F3,01/06/2023,13:21:00,1194.60,1194.60,1194.60,1194.60,500,3500
HAVELLS_F3,01/09/2023,12:43:00,1190.00,1190.00,1190.00,1190.00,501,3500
HAVELLS_F3,01/09/2023,12:48:00,1191.00,1191.00,1191.00,1191.00,500,3500
HAVELLS_F3,01/09/2023,12:53:00,1194.60,1194.60,1194.60,1194.60,500,4000
HAVELLS_F3,01/09/2023,12:54:00,1194.80,1194.80,1194.80,1194.80,500,4500
HAVELLS_F3,01/09/2023,12:59:00,1194.80,1194.80,1194.80,1194.80,500,5000
HAVELLS_F3,01/09/2023,13:02:00,1192.00,1192.00,1192.00,1192.00,500,5500
HAVELLS_F3,01/09/2023,13:03:00,1191.00,1191.00,1191.00,1191.00,1000,5500
HAVELLS_F3,01/09/2023,13:06:00,1192.00,1192.00,1192.00,1192.00,500,6500
HAVELLS_F3,01/18/2023,10:37:00,1195.10,1195.10,1195.10,1195.10,1001,6500
HAVELLS_F3,01/18/2023,13:20:00,1218.15,1218.15,1218.15,1218.15,500,7500
HAVELLS_F3,01/18/2023,13:41:00,1218.15,1218.15,1218.15,1218.15,1000,8000
HAVELLS_F3,01/19/2023,14:30:00,1221.00,1221.00,1221.00,1221.00,501,7000
HAVELLS_F3,01/19/2023,14:44:00,1218.10,1218.10,1218.10,1218.10,1500,7000
HAVELLS_F3,01/19/2023,14:46:00,1212.35,1212.35,1212.35,1212.35,500,8500
HAVELLS_F3,01/19/2023,14:57:00,1212.35,1212.35,1212.35,1212.35,500,8000
HAVELLS_F3,01/20/2023,09:22:00,1190.10,1190.10,1190.10,1190.10,501,8000
HAVELLS_F3,01/20/2023,09:24:00,1189.05,1189.05,1189.05,1189.05,1000,8000
HAVELLS_F3,01/20/2023,09:29:00,1187.85,1187.85,1187.85,1187.85,500,9000
HAVELLS_F3,01/20/2023,09:35:00,1174.50,1174.50,1174.50,1174.50,500,8500
HAVELLS_F3,01/20/2023,09:41:00,1160.10,1160.10,1160.10,1160.10,1500,8500
HAVELLS_F3,01/20/2023,09:50:00,1150.00,1150.00,1150.00,1150.00,500,9000
HAVELLS_F3,01/20/2023,10:04:00,1150.00,1150.00,1150.00,1150.00,500,9000
HAVELLS_F3,01/20/2023,10:14:00,1171.45,1171.45,1170.00,1170.00,1000,9500
HAVELLS_F3,01/20/2023,10:22:00,1169.50,1169.50,1169.50,1169.50,1500,9500
HAVELLS_F3,01/20/2023,10:40:00,1171.40,1171.40,1171.40,1171.40,500,11000
HAVELLS_F3,01/20/2023,10:47:00,1167.40,1167.40,1167.40,1167.40,500,11500
HAVELLS_F3,01/20/2023,11:01:00,1170.00,1170.00,1170.00,1170.00,500,11500
HAVELLS_F3,01/20/2023,12:32:00,1160.00,1160.00,1160.00,1160.00,1000,11500
HAVELLS_F3,01/20/2023,12:42:00,1163.15,1163.15,1163.15,1163.15,500,12500
HAVELLS_F3,01/20/2023,15:00:00,1164.00,1164.00,1164.00,1164.00,500,12500
HAVELLS_F3,01/23/2023,09:17:00,1166.20,1166.20,1166.20,1166.20,501,12500
HAVELLS_F3,01/23/2023,09:20:00,1175.00,1175.00,1175.00,1175.00,500,13000
HAVELLS_F3,01/23/2023,09:23:00,1175.00,1175.00,1175.00,1175.00,1500,13000
HAVELLS_F3,01/23/2023,10:03:00,1164.75,1164.75,1164.75,1164.75,500,11000
HAVELLS_F3,01/23/2023,10:13:00,1182.80,1182.80,1182.80,1182.80,500,11500
HAVELLS_F3,01/23/2023,10:18:00,1184.00,1184.00,1184.00,1184.00,500,11500
HAVELLS_F3,01/23/2023,10:30:00,1184.00,1184.00,1184.00,1184.00,500,12000
HAVELLS_F3,01/23/2023,11:07:00,1189.90,1189.90,1189.90,1189.90,500,11500
HAVELLS_F3,01/23/2023,11:22:00,1193.00,1193.00,1193.00,1193.00,500,11000
HAVELLS_F3,01/23/2023,11:23:00,1194.00,1194.90,1194.00,1194.90,1000,11500
HAVELLS_F3,01/23/2023,11:34:00,1194.90,1194.90,1194.90,1194.90,2000,11000
HAVELLS_F3,01/23/2023,11:35:00,1193.45,1193.45,1193.45,1193.45,1000,11000
HAVELLS_F3,01/23/2023,12:04:00,1196.00,1196.00,1196.00,1196.00,500,14000
HAVELLS_F3,01/23/2023,12:25:00,1196.60,1196.60,1196.60,1196.60,500,14000
HAVELLS_F3,01/23/2023,12:34:00,1197.15,1197.15,1197.15,1197.15,500,14500
HAVELLS_F3,01/23/2023,12:43:00,1200.00,1200.00,1200.00,1200.00,500,14500
HAVELLS_F3,01/23/2023,13:14:00,1200.50,1200.50,1200.50,1200.50,500,14500
HAVELLS_F3,01/23/2023,13:28:00,1200.50,1200.50,1200.50,1200.50,500,14000
HAVELLS_F3,01/23/2023,13:52:00,1193.10,1193.10,1193.10,1193.10,500,13500
HAVELLS_F3,01/23/2023,14:59:00,1205.60,1205.60,1205.60,1205.60,500,14000
HAVELLS_F3,01/23/2023,15:18:00,1208.00,1208.00,1208.00,1208.00,500,14500
HAVELLS_F3,01/23/2023,15:21:00,1208.00,1208.00,1208.00,1208.00,500,14500
HAVELLS_F3,01/23/2023,15:22:00,1208.00,1208.00,1208.00,1208.00,500,14500
HAVELLS_F3,01/24/2023,09:23:00,1208.25,1208.25,1208.25,1208.25,501,14500
HAVELLS_F3,01/24/2023,09:49:00,1199.90,1199.90,1199.90,1199.90,500,14000
HAVELLS_F3,01/24/2023,11:22:00,1196.00,1196.00,1196.00,1196.00,1000,14500
HAVELLS_F3,01/24/2023,11:38:00,1196.00,1196.00,1196.00,1196.00,500,14500
HAVELLS_F3,01/24/2023,12:45:00,1204.70,1204.70,1204.70,1204.70,500,14000
HAVELLS_F3,01/24/2023,13:38:00,1209.35,1209.35,1209.35,1209.35,500,14500
HAVELLS_F3,01/25/2023,09:39:00,1198.75,1198.85,1198.75,1198.85,2002,14500
HAVELLS_F3,01/25/2023,09:46:00,1198.85,1198.85,1198.85,1198.85,500,14500
HAVELLS_F3,01/25/2023,10:02:00,1195.00,1195.00,1195.00,1195.00,500,14500
HAVELLS_F3,01/25/2023,10:42:00,1195.00,1195.00,1195.00,1195.00,500,14500
HAVELLS_F3,01/25/2023,11:18:00,1198.95,1198.95,1198.95,1198.95,500,15000
HAVELLS_F3,01/25/2023,11:35:00,1192.90,1192.90,1192.90,1192.90,1000,15000
HAVELLS_F3,01/25/2023,11:37:00,1192.90,1192.90,1192.90,1192.90,1000,14000
HAVELLS_F3,01/25/2023,11:41:00,1190.10,1190.10,1190.10,1190.10,500,15000
HAVELLS_F3,01/25/2023,12:30:00,1188.10,1188.10,1188.10,1188.10,500,15000
HAVELLS_F3,01/25/2023,12:49:00,1188.10,1188.10,1188.10,1188.10,500,15000
HAVELLS_F3,01/25/2023,14:53:00,1189.00,1189.00,1189.00,1189.00,500,15500
HAVELLS_F3,01/25/2023,15:02:00,1192.25,1192.25,1192.25,1192.25,500,16000
HAVELLS_F3,01/25/2023,15:14:00,1193.45,1193.45,1193.45,1193.45,500,16500
HAVELLS_F3,01/25/2023,15:29:00,1195.95,1195.95,1195.95,1195.95,500,17000
HAVELLS_F3,01/31/2023,15:18:00,1207.55,1208.00,1207.55,1208.00,1002,0
