<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SHREECEM_F3,01/02/2023,10:30:00,23100.00,23100.00,23100.00,23100.00,26,50
SHREECEM_F3,01/02/2023,10:32:00,23100.00,23100.00,23100.00,23100.00,25,75
SHREECEM_F3,01/04/2023,09:15:00,24114.20,24114.20,24114.20,24114.20,26,100
SHREECEM_F3,01/04/2023,11:00:00,24114.15,24114.15,24114.15,24114.15,25,125
SHREECEM_F3,01/04/2023,11:05:00,24114.15,24114.15,24114.15,24114.15,25,150
SHREECEM_F3,01/05/2023,11:00:00,23679.60,23679.60,23679.60,23679.60,26,125
SHREECEM_F3,01/05/2023,12:04:00,23600.00,23600.00,23600.00,23600.00,25,150
SHREECEM_F3,01/05/2023,13:46:00,23600.00,23600.00,23600.00,23600.00,25,125
SHREECEM_F3,01/06/2023,09:43:00,23610.00,23610.00,23610.00,23610.00,26,150
SHREECEM_F3,01/06/2023,13:03:00,23525.00,23525.00,23525.00,23525.00,25,175
SHREECEM_F3,01/09/2023,13:47:00,23390.00,23390.00,23390.00,23390.00,26,200
SHREECEM_F3,01/10/2023,10:28:00,23380.90,23380.90,23380.90,23380.90,26,225
SHREECEM_F3,01/10/2023,14:25:00,23002.45,23002.45,23002.45,23002.45,25,250
SHREECEM_F3,01/10/2023,15:14:00,23002.45,23002.45,23002.45,23002.45,25,250
SHREECEM_F3,01/11/2023,14:06:00,23100.00,23100.00,23100.00,23100.00,26,250
SHREECEM_F3,01/12/2023,10:20:00,23400.00,23400.00,23400.00,23400.00,26,275
SHREECEM_F3,01/16/2023,10:57:00,23954.55,23954.55,23954.55,23954.55,26,300
SHREECEM_F3,01/16/2023,14:20:00,23814.00,23814.00,23814.00,23814.00,100,300
SHREECEM_F3,01/16/2023,14:23:00,23814.00,23814.00,23814.00,23814.00,25,375
SHREECEM_F3,01/18/2023,12:29:00,23730.00,23730.00,23730.00,23730.00,51,400
SHREECEM_F3,01/18/2023,13:00:00,23826.95,23826.95,23826.95,23826.95,25,350
SHREECEM_F3,01/18/2023,14:27:00,23826.95,23826.95,23826.95,23826.95,25,350
SHREECEM_F3,01/18/2023,14:48:00,23812.00,23812.00,23812.00,23812.00,25,350
SHREECEM_F3,01/18/2023,15:00:00,23775.00,23775.00,23775.00,23775.00,25,375
SHREECEM_F3,01/19/2023,09:15:00,23621.00,23621.00,23621.00,23621.00,26,400
SHREECEM_F3,01/19/2023,11:00:00,24000.00,24000.00,24000.00,24000.00,25,425
SHREECEM_F3,01/19/2023,11:02:00,24000.00,24000.00,24000.00,24000.00,25,425
SHREECEM_F3,01/19/2023,12:50:00,24050.00,24050.00,24050.00,24050.00,25,400
SHREECEM_F3,01/19/2023,14:34:00,24100.00,24100.00,24100.00,24100.00,25,400
SHREECEM_F3,01/20/2023,09:45:00,24000.00,24000.00,24000.00,24000.00,26,400
SHREECEM_F3,01/20/2023,11:40:00,24384.00,24384.00,24384.00,24384.00,25,425
SHREECEM_F3,01/20/2023,11:57:00,24384.00,24384.00,24384.00,24384.00,25,450
SHREECEM_F3,01/20/2023,12:08:00,24140.00,24140.00,24140.00,24140.00,50,475
SHREECEM_F3,01/20/2023,12:52:00,24125.40,24125.40,24125.40,24125.40,25,525
SHREECEM_F3,01/20/2023,12:58:00,24200.00,24200.00,24200.00,24200.00,25,550
SHREECEM_F3,01/20/2023,12:59:00,24150.00,24150.00,24150.00,24150.00,25,550
SHREECEM_F3,01/20/2023,15:01:00,23950.00,23950.00,23950.00,23950.00,25,600
SHREECEM_F3,01/20/2023,15:04:00,23950.00,23950.00,23950.00,23950.00,25,625
SHREECEM_F3,01/20/2023,15:05:00,23900.00,23900.00,23900.00,23900.00,25,625
SHREECEM_F3,01/23/2023,10:34:00,23476.35,23476.35,23476.35,23476.35,26,0
SHREECEM_F3,01/23/2023,10:38:00,23457.10,23457.10,23457.10,23457.10,25,675
SHREECEM_F3,01/23/2023,10:42:00,23457.10,23457.10,23457.10,23457.10,25,700
SHREECEM_F3,01/23/2023,11:45:00,23370.00,23370.00,23370.00,23370.00,25,725
SHREECEM_F3,01/23/2023,12:17:00,23169.95,23169.95,23169.95,23169.95,25,750
SHREECEM_F3,01/23/2023,12:25:00,23000.00,23000.00,23000.00,23000.00,25,775
SHREECEM_F3,01/23/2023,12:41:00,23000.00,23000.00,23000.00,23000.00,50,800
SHREECEM_F3,01/23/2023,12:42:00,22926.00,22926.00,22926.00,22926.00,25,850
SHREECEM_F3,01/23/2023,13:19:00,22700.00,22700.00,22700.00,22700.00,25,825
SHREECEM_F3,01/23/2023,13:20:00,22604.70,22604.70,22604.70,22604.70,25,825
SHREECEM_F3,01/23/2023,13:34:00,22604.00,22604.00,22604.00,22604.00,25,850
SHREECEM_F3,01/23/2023,14:11:00,22604.00,22604.00,22604.00,22604.00,25,850
SHREECEM_F3,01/23/2023,14:19:00,22899.95,22899.95,22899.95,22899.95,25,875
SHREECEM_F3,01/23/2023,14:22:00,22820.00,22820.00,22820.00,22820.00,25,875
