<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ABB_F2,07/01/2022,11:05:00,2274.90,2274.90,2274.90,2274.90,251,4250
ABB_F2,07/01/2022,13:07:00,2245.70,2245.70,2245.70,2245.70,500,4500
ABB_F2,07/01/2022,15:18:00,2245.70,2245.70,2245.70,2245.70,250,4500
ABB_F2,07/04/2022,09:33:00,2294.95,2294.95,2294.95,2294.95,251,4750
ABB_F2,07/04/2022,09:36:00,2291.25,2291.25,2291.25,2291.25,250,5000
ABB_F2,07/04/2022,10:15:00,2278.00,2278.00,2278.00,2278.00,250,5000
ABB_F2,07/04/2022,10:24:00,2274.10,2274.10,2274.10,2274.10,500,5250
ABB_F2,07/04/2022,10:37:00,2274.10,2274.10,2274.10,2274.10,250,5250
ABB_F2,07/04/2022,11:14:00,2295.00,2295.00,2295.00,2295.00,500,5250
ABB_F2,07/04/2022,11:15:00,2295.00,2305.50,2295.00,2305.50,1000,5000
ABB_F2,07/04/2022,11:16:00,2305.50,2305.50,2305.50,2305.50,250,5000
ABB_F2,07/04/2022,11:17:00,2296.00,2296.00,2296.00,2296.00,250,5000
ABB_F2,07/04/2022,11:36:00,2277.10,2277.10,2277.10,2277.10,250,5000
ABB_F2,07/04/2022,11:54:00,2277.30,2277.30,2277.30,2277.30,250,5000
ABB_F2,07/04/2022,13:01:00,2297.00,2297.00,2297.00,2297.00,250,4750
ABB_F2,07/04/2022,13:26:00,2307.00,2307.00,2307.00,2307.00,250,4750
ABB_F2,07/04/2022,13:37:00,2312.20,2312.20,2312.20,2312.20,250,5000
ABB_F2,07/04/2022,13:39:00,2314.00,2314.00,2314.00,2314.00,250,5000
ABB_F2,07/04/2022,13:46:00,2314.00,2316.00,2314.00,2316.00,500,5250
ABB_F2,07/04/2022,14:10:00,2331.00,2331.00,2331.00,2331.00,250,5500
ABB_F2,07/04/2022,14:12:00,2335.00,2335.00,2335.00,2335.00,250,5750
ABB_F2,07/04/2022,14:23:00,2349.75,2349.75,2349.75,2349.75,250,5750
ABB_F2,07/04/2022,14:24:00,2355.45,2355.45,2355.45,2355.45,500,5750
ABB_F2,07/04/2022,14:25:00,2357.00,2357.00,2357.00,2357.00,250,5750
ABB_F2,07/04/2022,14:26:00,2357.00,2357.00,2357.00,2357.00,250,5750
ABB_F2,07/04/2022,14:30:00,2359.15,2359.15,2359.15,2359.15,500,5250
ABB_F2,07/04/2022,14:34:00,2359.15,2359.15,2359.15,2359.15,250,5500
ABB_F2,07/04/2022,14:37:00,2360.00,2360.00,2360.00,2360.00,500,5500
ABB_F2,07/04/2022,14:56:00,2369.25,2369.25,2369.25,2369.25,250,5000
ABB_F2,07/04/2022,15:10:00,2369.25,2369.25,2369.25,2369.25,500,5000
ABB_F2,07/04/2022,15:19:00,2353.90,2353.90,2353.90,2353.90,250,5000
ABB_F2,07/04/2022,15:23:00,2358.40,2358.40,2358.40,2358.40,250,5000
ABB_F2,07/04/2022,15:24:00,2361.90,2361.90,2361.90,2361.90,250,5000
ABB_F2,07/04/2022,15:27:00,2362.15,2362.15,2361.90,2361.90,500,5000
ABB_F2,07/05/2022,09:20:00,2360.00,2360.00,2360.00,2360.00,251,5750
ABB_F2,07/05/2022,09:36:00,2356.65,2356.65,2356.65,2356.65,250,5750
ABB_F2,07/05/2022,09:51:00,2356.65,2356.65,2356.65,2356.65,250,5750
ABB_F2,07/05/2022,09:55:00,2381.30,2381.30,2381.30,2381.30,250,6000
ABB_F2,07/05/2022,09:57:00,2389.00,2389.00,2389.00,2389.00,250,6000
ABB_F2,07/05/2022,09:58:00,2389.00,2389.00,2389.00,2389.00,500,6000
ABB_F2,07/05/2022,10:17:00,2389.00,2389.00,2389.00,2389.00,250,5250
ABB_F2,07/05/2022,10:40:00,2387.30,2387.30,2387.30,2387.30,250,5250
ABB_F2,07/05/2022,11:16:00,2372.00,2372.00,2372.00,2372.00,250,5500
ABB_F2,07/05/2022,12:10:00,2378.60,2378.60,2378.60,2378.60,250,5750
ABB_F2,07/05/2022,13:31:00,2347.05,2347.05,2347.05,2347.05,250,5750
ABB_F2,07/05/2022,13:46:00,2347.05,2347.05,2347.05,2347.05,250,5500
ABB_F2,07/05/2022,14:21:00,2352.00,2352.00,2352.00,2352.00,250,5500
ABB_F2,07/05/2022,15:24:00,2356.35,2356.35,2356.35,2356.35,250,5500
