<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
AMARAJABAT_F3,07/01/2022,11:19:00,465.65,465.65,465.65,465.65,1001,0
AMARAJABAT_F3,07/01/2022,15:27:00,473.80,473.80,473.80,473.80,1000,1000
AMARAJABAT_F3,07/04/2022,09:22:00,474.85,474.85,474.85,474.85,1001,2000
AMARAJABAT_F3,07/04/2022,10:04:00,470.05,470.05,470.05,470.05,2000,3000
AMARAJABAT_F3,07/04/2022,10:05:00,470.00,470.00,470.00,470.00,1000,3000
AMARAJABAT_F3,07/04/2022,10:57:00,470.00,470.00,470.00,470.00,1000,4000
AMARAJABAT_F3,07/04/2022,12:05:00,473.85,473.85,473.85,473.85,2000,5000
AMARAJABAT_F3,07/04/2022,14:54:00,475.65,475.65,475.65,475.65,2000,7000
AMARAJABAT_F3,07/04/2022,14:59:00,474.05,474.05,473.20,473.20,2000,5000
AMARAJABAT_F3,07/04/2022,15:03:00,473.00,473.00,473.00,473.00,1000,6000
AMARAJABAT_F3,07/04/2022,15:20:00,475.65,475.65,475.65,475.65,1000,7000
AMARAJABAT_F3,07/04/2022,15:28:00,474.75,474.75,474.75,474.75,1000,8000
AMARAJABAT_F3,07/05/2022,09:58:00,473.70,473.70,473.70,473.70,1001,8000
AMARAJABAT_F3,07/05/2022,10:24:00,474.65,474.65,474.65,474.65,2000,8000
AMARAJABAT_F3,07/05/2022,11:36:00,474.70,474.70,474.70,474.70,1000,8000
AMARAJABAT_F3,07/05/2022,11:37:00,474.80,474.80,474.80,474.80,2000,8000
AMARAJABAT_F3,07/05/2022,11:48:00,475.10,475.10,475.10,475.10,1000,10000
AMARAJABAT_F3,07/05/2022,11:57:00,476.15,476.15,476.15,476.15,1000,10000
AMARAJABAT_F3,07/05/2022,12:57:00,476.15,476.15,472.85,472.85,2000,11000
AMARAJABAT_F3,07/05/2022,13:20:00,472.30,472.30,472.30,472.30,1000,11000
AMARAJABAT_F3,07/05/2022,14:29:00,466.75,466.75,466.75,466.75,1000,11000
AMARAJABAT_F3,07/05/2022,14:40:00,465.00,465.00,465.00,465.00,1000,12000
AMARAJABAT_F3,07/06/2022,09:19:00,463.65,463.65,463.60,463.60,3002,13000
AMARAJABAT_F3,07/06/2022,09:32:00,466.75,466.75,466.75,466.75,1000,13000
AMARAJABAT_F3,07/06/2022,09:41:00,466.75,466.75,466.75,466.75,1000,14000
AMARAJABAT_F3,07/06/2022,11:03:00,467.10,467.10,467.10,467.10,1000,14000
AMARAJABAT_F3,07/06/2022,11:08:00,467.10,467.10,467.10,467.10,1000,14000
AMARAJABAT_F3,07/06/2022,13:07:00,469.50,469.50,469.50,469.50,1000,14000
AMARAJABAT_F3,07/06/2022,13:37:00,469.50,469.50,469.50,469.50,3000,15000
AMARAJABAT_F3,07/06/2022,15:19:00,468.35,468.35,468.35,468.35,1000,12000
AMARAJABAT_F3,07/07/2022,09:16:00,473.80,473.85,473.80,473.85,2001,13000
AMARAJABAT_F3,07/07/2022,09:34:00,474.45,474.45,474.45,474.45,2000,15000
AMARAJABAT_F3,07/07/2022,09:51:00,474.50,474.50,474.50,474.50,1000,15000
AMARAJABAT_F3,07/07/2022,10:07:00,474.50,474.50,474.50,474.50,1000,14000
AMARAJABAT_F3,07/07/2022,10:08:00,474.30,474.30,474.30,474.30,1000,14000
AMARAJABAT_F3,07/07/2022,10:15:00,475.80,475.80,475.80,475.80,2000,15000
AMARAJABAT_F3,07/07/2022,10:52:00,476.20,476.20,476.20,476.20,1000,15000
AMARAJABAT_F3,07/07/2022,11:02:00,476.40,476.40,476.40,476.40,1000,15000
AMARAJABAT_F3,07/07/2022,12:37:00,476.40,476.40,476.40,476.40,1000,16000
AMARAJABAT_F3,07/07/2022,12:53:00,475.40,475.40,475.40,475.40,1000,15000
AMARAJABAT_F3,07/07/2022,14:09:00,473.30,473.30,473.30,473.30,1000,14000
AMARAJABAT_F3,07/07/2022,15:26:00,473.30,473.30,473.30,473.30,1000,15000
AMARAJABAT_F3,07/08/2022,09:29:00,478.10,478.10,478.10,478.10,2001,16000
AMARAJABAT_F3,07/08/2022,09:44:00,483.50,483.50,483.50,483.50,1000,18000
AMARAJABAT_F3,07/08/2022,09:49:00,483.50,483.50,483.50,483.50,5000,19000
AMARAJABAT_F3,07/08/2022,09:50:00,483.80,483.80,483.80,483.80,1000,19000
AMARAJABAT_F3,07/08/2022,10:02:00,483.80,483.80,483.80,483.80,2000,25000
AMARAJABAT_F3,07/08/2022,10:28:00,476.45,476.45,476.45,476.45,1000,26000
AMARAJABAT_F3,07/08/2022,10:30:00,475.00,475.00,475.00,475.00,1000,26000
AMARAJABAT_F3,07/08/2022,13:37:00,471.80,471.80,471.80,471.80,1000,27000
AMARAJABAT_F3,07/08/2022,13:39:00,471.65,471.65,471.65,471.65,1000,27000
AMARAJABAT_F3,07/08/2022,14:04:00,469.30,469.30,469.30,469.30,1000,27000
AMARAJABAT_F3,07/08/2022,14:33:00,469.00,469.00,469.00,469.00,1000,27000
AMARAJABAT_F3,07/11/2022,10:58:00,467.60,467.60,467.60,467.60,1001,27000
AMARAJABAT_F3,07/11/2022,11:09:00,467.05,467.05,467.05,467.05,1000,27000
AMARAJABAT_F3,07/11/2022,12:43:00,467.05,467.05,467.05,467.05,1000,28000
AMARAJABAT_F3,07/11/2022,12:57:00,474.35,474.35,474.35,474.35,1000,29000
AMARAJABAT_F3,07/11/2022,13:22:00,476.60,476.60,476.60,476.60,1000,29000
AMARAJABAT_F3,07/11/2022,13:23:00,476.60,476.60,476.60,476.60,1000,29000
AMARAJABAT_F3,07/11/2022,15:16:00,475.70,475.70,475.70,475.70,1000,30000
AMARAJABAT_F3,07/12/2022,09:18:00,471.10,471.10,471.10,471.10,1001,31000
AMARAJABAT_F3,07/12/2022,09:22:00,470.25,470.25,470.25,470.25,1000,32000
AMARAJABAT_F3,07/12/2022,09:23:00,470.25,470.25,470.25,470.25,1000,33000
AMARAJABAT_F3,07/12/2022,09:52:00,471.00,471.00,471.00,471.00,1000,34000
AMARAJABAT_F3,07/12/2022,09:57:00,470.80,470.80,470.80,470.80,4000,34000
AMARAJABAT_F3,07/12/2022,10:38:00,472.50,472.50,472.50,472.50,1000,34000
AMARAJABAT_F3,07/12/2022,11:29:00,472.50,472.50,472.50,472.50,4000,34000
AMARAJABAT_F3,07/12/2022,11:40:00,468.00,468.00,468.00,468.00,1000,38000
AMARAJABAT_F3,07/12/2022,11:41:00,467.50,467.50,467.50,467.50,1000,39000
AMARAJABAT_F3,07/12/2022,12:17:00,467.50,467.50,467.50,467.50,1000,38000
AMARAJABAT_F3,07/12/2022,12:48:00,467.55,467.55,467.55,467.55,1000,38000
AMARAJABAT_F3,07/12/2022,12:52:00,466.70,466.70,466.70,466.70,2000,38000
AMARAJABAT_F3,07/12/2022,14:08:00,466.70,466.70,466.70,466.70,1000,39000
AMARAJABAT_F3,07/12/2022,15:11:00,469.15,469.15,469.15,469.15,1000,39000
AMARAJABAT_F3,07/12/2022,15:29:00,468.75,468.75,468.75,468.75,1000,40000
AMARAJABAT_F3,07/13/2022,09:58:00,470.50,470.50,470.50,470.50,1001,41000
AMARAJABAT_F3,07/13/2022,10:01:00,469.80,469.80,469.80,469.80,1000,41000
AMARAJABAT_F3,07/13/2022,11:35:00,469.80,469.80,469.80,469.80,1000,40000
AMARAJABAT_F3,07/13/2022,12:48:00,471.65,471.65,471.65,471.65,1000,41000
AMARAJABAT_F3,07/13/2022,13:25:00,470.00,470.00,470.00,470.00,2000,42000
AMARAJABAT_F3,07/13/2022,14:55:00,471.00,471.00,471.00,471.00,2000,44000
AMARAJABAT_F3,07/13/2022,15:01:00,470.80,470.80,470.80,470.80,1000,44000
AMARAJABAT_F3,07/13/2022,15:20:00,470.90,470.90,470.90,470.90,1000,44000
AMARAJABAT_F3,07/13/2022,15:29:00,471.65,471.65,471.65,471.65,1000,44000
AMARAJABAT_F3,07/14/2022,09:25:00,473.75,473.75,472.00,472.00,3002,43000
AMARAJABAT_F3,07/14/2022,09:39:00,474.95,474.95,474.95,474.95,1000,41000
AMARAJABAT_F3,07/14/2022,09:48:00,475.00,475.00,475.00,475.00,1000,42000
AMARAJABAT_F3,07/14/2022,10:13:00,475.00,475.00,475.00,475.00,2000,42000
AMARAJABAT_F3,07/14/2022,11:00:00,473.10,473.10,473.10,473.10,10000,42000
AMARAJABAT_F3,07/14/2022,11:01:00,472.70,472.70,472.70,472.70,1000,42000
AMARAJABAT_F3,07/14/2022,11:03:00,472.25,472.25,472.25,472.25,1000,51000
AMARAJABAT_F3,07/14/2022,11:16:00,472.00,472.00,472.00,472.00,1000,52000
AMARAJABAT_F3,07/14/2022,11:32:00,470.00,470.00,470.00,470.00,1000,53000
AMARAJABAT_F3,07/14/2022,11:48:00,468.95,468.95,468.95,468.95,1000,54000
AMARAJABAT_F3,07/14/2022,12:08:00,468.80,468.80,468.80,468.80,1000,54000
AMARAJABAT_F3,07/14/2022,12:09:00,468.50,468.50,468.50,468.50,1000,54000
AMARAJABAT_F3,07/14/2022,12:16:00,468.50,468.50,468.50,468.50,1000,54000
AMARAJABAT_F3,07/14/2022,12:21:00,470.50,470.50,470.50,470.50,2000,55000
AMARAJABAT_F3,07/14/2022,12:48:00,470.30,470.30,470.30,470.30,1000,57000
AMARAJABAT_F3,07/14/2022,14:08:00,468.75,468.75,468.75,468.75,1000,57000
AMARAJABAT_F3,07/14/2022,14:26:00,466.00,466.00,466.00,466.00,1000,58000
AMARAJABAT_F3,07/14/2022,14:29:00,466.00,466.00,466.00,466.00,1000,57000
AMARAJABAT_F3,07/14/2022,14:32:00,466.00,466.00,466.00,466.00,1000,58000
AMARAJABAT_F3,07/14/2022,14:41:00,467.10,467.10,467.10,467.10,2000,58000
AMARAJABAT_F3,07/14/2022,14:49:00,466.10,466.10,466.10,466.10,2000,58000
AMARAJABAT_F3,07/15/2022,10:13:00,470.80,470.80,470.80,470.80,1001,60000
AMARAJABAT_F3,07/15/2022,10:21:00,470.85,470.85,470.85,470.85,3000,60000
AMARAJABAT_F3,07/15/2022,14:56:00,470.75,470.75,470.75,470.75,1000,57000
AMARAJABAT_F3,07/15/2022,15:06:00,472.00,472.00,472.00,472.00,1000,58000
AMARAJABAT_F3,07/18/2022,09:17:00,475.50,475.50,475.50,475.50,1001,57000
AMARAJABAT_F3,07/18/2022,09:20:00,476.60,476.60,476.60,476.60,1000,57000
AMARAJABAT_F3,07/18/2022,09:29:00,479.00,479.00,479.00,479.00,3000,56000
AMARAJABAT_F3,07/18/2022,09:30:00,480.00,480.00,480.00,480.00,1000,56000
AMARAJABAT_F3,07/18/2022,09:49:00,483.40,483.40,483.40,483.40,1000,54000
AMARAJABAT_F3,07/18/2022,10:17:00,483.40,483.40,483.40,483.40,1000,55000
AMARAJABAT_F3,07/18/2022,10:39:00,484.80,484.80,484.80,484.80,1000,55000
AMARAJABAT_F3,07/18/2022,11:04:00,484.80,484.80,484.80,484.80,3000,56000
AMARAJABAT_F3,07/18/2022,12:04:00,484.90,484.90,484.90,484.90,1000,56000
AMARAJABAT_F3,07/18/2022,12:15:00,485.00,485.00,485.00,485.00,1000,56000
AMARAJABAT_F3,07/18/2022,14:12:00,485.00,485.00,485.00,485.00,1000,56000
AMARAJABAT_F3,07/18/2022,14:27:00,482.55,482.55,482.55,482.55,1000,55000
AMARAJABAT_F3,07/18/2022,14:52:00,482.00,482.00,482.00,482.00,1000,55000
AMARAJABAT_F3,07/19/2022,09:20:00,481.40,481.40,481.40,481.40,1001,55000
AMARAJABAT_F3,07/19/2022,09:21:00,481.15,481.15,481.15,481.15,2000,55000
AMARAJABAT_F3,07/19/2022,09:34:00,484.00,484.00,484.00,484.00,1000,57000
AMARAJABAT_F3,07/19/2022,11:30:00,484.00,484.00,484.00,484.00,1000,58000
AMARAJABAT_F3,07/19/2022,11:41:00,481.35,481.35,481.35,481.35,1000,59000
AMARAJABAT_F3,07/19/2022,11:45:00,479.45,479.45,479.45,479.45,1000,60000
AMARAJABAT_F3,07/19/2022,12:18:00,479.45,479.45,479.45,479.45,1000,60000
AMARAJABAT_F3,07/19/2022,13:14:00,479.00,479.00,479.00,479.00,1000,59000
AMARAJABAT_F3,07/19/2022,14:55:00,479.00,479.00,479.00,479.00,2000,60000
AMARAJABAT_F3,07/20/2022,09:33:00,483.00,483.00,483.00,483.00,4001,60000
AMARAJABAT_F3,07/20/2022,09:44:00,483.15,483.15,483.15,483.15,1000,58000
AMARAJABAT_F3,07/20/2022,09:53:00,483.50,483.50,483.50,483.50,1000,58000
AMARAJABAT_F3,07/20/2022,10:32:00,483.50,483.50,483.50,483.50,3000,59000
AMARAJABAT_F3,07/20/2022,10:36:00,482.80,482.80,482.80,482.80,1000,59000
AMARAJABAT_F3,07/20/2022,11:39:00,484.50,484.50,484.50,484.50,1000,60000
AMARAJABAT_F3,07/20/2022,13:06:00,484.50,484.50,484.50,484.50,2000,61000
AMARAJABAT_F3,07/20/2022,14:17:00,478.30,478.30,478.30,478.30,1000,63000
AMARAJABAT_F3,07/20/2022,14:28:00,478.00,478.00,478.00,478.00,1000,62000
AMARAJABAT_F3,07/20/2022,15:28:00,478.00,478.00,478.00,478.00,3000,63000
AMARAJABAT_F3,07/21/2022,12:03:00,485.00,485.00,485.00,485.00,1001,63000
AMARAJABAT_F3,07/21/2022,12:21:00,485.00,485.00,485.00,485.00,1000,64000
AMARAJABAT_F3,07/21/2022,12:56:00,484.05,484.05,484.05,484.05,1000,64000
AMARAJABAT_F3,07/21/2022,12:57:00,484.00,484.00,484.00,484.00,1000,64000
AMARAJABAT_F3,07/21/2022,13:02:00,483.00,483.00,483.00,483.00,1000,63000
AMARAJABAT_F3,07/21/2022,13:20:00,483.00,483.00,483.00,483.00,1000,64000
AMARAJABAT_F3,07/21/2022,13:35:00,483.00,483.00,483.00,483.00,1000,63000
AMARAJABAT_F3,07/21/2022,13:46:00,482.00,482.00,482.00,482.00,4000,63000
AMARAJABAT_F3,07/21/2022,14:42:00,482.00,482.00,482.00,482.00,1000,63000
AMARAJABAT_F3,07/21/2022,14:50:00,484.55,484.55,484.55,484.55,3000,63000
AMARAJABAT_F3,07/22/2022,09:30:00,485.00,485.00,485.00,485.00,1001,60000
AMARAJABAT_F3,07/22/2022,09:36:00,485.30,485.30,485.30,485.30,1000,61000
AMARAJABAT_F3,07/22/2022,09:42:00,485.30,485.30,485.30,485.30,2000,62000
AMARAJABAT_F3,07/22/2022,09:44:00,482.40,482.40,482.40,482.40,1000,62000
AMARAJABAT_F3,07/22/2022,09:50:00,482.40,482.40,482.40,482.40,2000,62000
AMARAJABAT_F3,07/22/2022,10:04:00,482.75,482.75,482.75,482.75,1000,64000
AMARAJABAT_F3,07/22/2022,10:27:00,484.00,484.00,484.00,484.00,2000,65000
AMARAJABAT_F3,07/22/2022,10:29:00,483.75,483.75,483.75,483.75,1000,65000
AMARAJABAT_F3,07/22/2022,11:11:00,482.00,482.00,482.00,482.00,1000,67000
AMARAJABAT_F3,07/22/2022,11:41:00,482.00,482.00,482.00,482.00,1000,68000
AMARAJABAT_F3,07/22/2022,12:42:00,481.85,481.85,481.85,481.85,1000,68000
AMARAJABAT_F3,07/22/2022,13:04:00,480.15,480.15,480.15,480.15,1000,69000
AMARAJABAT_F3,07/22/2022,13:05:00,480.00,480.00,480.00,480.00,1000,69000
AMARAJABAT_F3,07/22/2022,13:10:00,478.00,478.00,478.00,478.00,1000,68000
AMARAJABAT_F3,07/22/2022,13:47:00,478.00,478.00,478.00,478.00,1000,69000
AMARAJABAT_F3,07/22/2022,13:48:00,479.00,479.00,479.00,479.00,1000,70000
AMARAJABAT_F3,07/22/2022,14:48:00,479.20,479.20,479.20,479.20,1000,70000
AMARAJABAT_F3,07/22/2022,14:56:00,478.00,478.00,478.00,478.00,1000,70000
AMARAJABAT_F3,07/22/2022,15:04:00,477.90,477.90,477.90,477.90,2000,70000
AMARAJABAT_F3,07/22/2022,15:20:00,477.55,477.55,477.50,477.50,2000,71000
AMARAJABAT_F3,07/22/2022,15:21:00,477.50,477.50,477.50,477.50,2000,71000
AMARAJABAT_F3,07/22/2022,15:25:00,475.00,475.00,475.00,475.00,2000,71000
AMARAJABAT_F3,07/22/2022,15:26:00,475.00,475.00,475.00,475.00,2000,71000
AMARAJABAT_F3,07/22/2022,15:27:00,474.95,474.95,474.95,474.95,2000,71000
AMARAJABAT_F3,07/22/2022,15:29:00,475.00,475.00,475.00,475.00,1000,77000
AMARAJABAT_F3,07/25/2022,09:26:00,472.80,472.80,472.80,472.80,3001,78000
AMARAJABAT_F3,07/25/2022,09:31:00,470.85,470.85,470.85,470.85,1000,81000
AMARAJABAT_F3,07/25/2022,09:33:00,470.85,470.85,470.85,470.85,1000,81000
AMARAJABAT_F3,07/25/2022,09:35:00,470.50,470.50,470.50,470.50,1000,82000
AMARAJABAT_F3,07/25/2022,09:45:00,470.50,470.50,470.50,470.50,1000,83000
AMARAJABAT_F3,07/25/2022,09:52:00,470.05,470.05,470.05,470.05,1000,84000
AMARAJABAT_F3,07/25/2022,09:58:00,468.65,468.65,468.00,468.00,2000,85000
AMARAJABAT_F3,07/25/2022,10:14:00,468.00,468.00,468.00,468.00,1000,86000
AMARAJABAT_F3,07/25/2022,10:22:00,470.50,470.50,470.50,470.50,1000,86000
AMARAJABAT_F3,07/25/2022,10:29:00,470.45,470.45,470.45,470.45,1000,87000
AMARAJABAT_F3,07/25/2022,10:46:00,470.00,470.00,470.00,470.00,1000,87000
AMARAJABAT_F3,07/25/2022,11:05:00,469.00,469.00,469.00,469.00,1000,88000
AMARAJABAT_F3,07/25/2022,11:09:00,468.80,468.80,468.80,468.80,1000,89000
AMARAJABAT_F3,07/25/2022,11:10:00,468.00,468.00,468.00,468.00,1000,89000
AMARAJABAT_F3,07/25/2022,11:19:00,467.80,467.80,467.80,467.80,1000,91000
AMARAJABAT_F3,07/25/2022,11:20:00,467.80,467.80,467.80,467.80,1000,91000
AMARAJABAT_F3,07/25/2022,11:37:00,467.80,467.80,467.80,467.80,3000,92000
AMARAJABAT_F3,07/25/2022,11:51:00,468.20,468.20,468.20,468.20,1000,95000
AMARAJABAT_F3,07/25/2022,12:25:00,468.05,468.05,468.05,468.05,1000,96000
AMARAJABAT_F3,07/25/2022,12:29:00,468.00,468.00,468.00,468.00,2000,96000
AMARAJABAT_F3,07/25/2022,12:36:00,468.00,468.00,468.00,468.00,1000,98000
AMARAJABAT_F3,07/25/2022,12:41:00,467.00,467.00,467.00,467.00,1000,99000
AMARAJABAT_F3,07/25/2022,13:01:00,467.00,467.00,467.00,467.00,1000,100000
AMARAJABAT_F3,07/25/2022,13:07:00,466.35,466.35,466.35,466.35,1000,101000
AMARAJABAT_F3,07/25/2022,13:32:00,466.35,466.35,466.35,466.35,1000,101000
AMARAJABAT_F3,07/25/2022,14:10:00,467.90,467.90,467.90,467.90,1000,102000
AMARAJABAT_F3,07/25/2022,14:16:00,467.90,467.90,467.90,467.90,1000,102000
AMARAJABAT_F3,07/25/2022,14:19:00,467.60,467.60,467.60,467.60,1000,102000
AMARAJABAT_F3,07/25/2022,14:20:00,467.90,467.90,467.90,467.90,1000,102000
AMARAJABAT_F3,07/25/2022,14:29:00,468.70,468.70,468.70,468.70,1000,103000
AMARAJABAT_F3,07/25/2022,14:43:00,469.55,469.55,469.55,469.55,1000,102000
AMARAJABAT_F3,07/25/2022,15:06:00,471.90,471.90,471.90,471.90,1000,101000
AMARAJABAT_F3,07/25/2022,15:23:00,473.00,473.00,473.00,473.00,1000,101000
AMARAJABAT_F3,07/25/2022,15:29:00,473.00,473.00,473.00,473.00,2000,102000
AMARAJABAT_F3,07/26/2022,09:28:00,471.80,471.80,471.80,471.80,1001,104000
AMARAJABAT_F3,07/26/2022,09:32:00,471.00,471.00,471.00,471.00,1000,103000
AMARAJABAT_F3,07/26/2022,09:33:00,471.00,471.00,471.00,471.00,2000,103000
AMARAJABAT_F3,07/26/2022,09:36:00,470.05,470.05,470.05,470.05,1000,106000
AMARAJABAT_F3,07/26/2022,09:38:00,469.90,469.90,469.90,469.90,1000,106000
AMARAJABAT_F3,07/26/2022,09:56:00,469.30,469.30,469.30,469.30,1000,107000
AMARAJABAT_F3,07/26/2022,10:04:00,468.20,468.20,468.20,468.20,1000,108000
AMARAJABAT_F3,07/26/2022,10:06:00,468.20,468.20,468.20,468.20,1000,108000
AMARAJABAT_F3,07/26/2022,10:11:00,468.00,468.00,468.00,468.00,1000,108000
AMARAJABAT_F3,07/26/2022,10:14:00,468.00,468.00,468.00,468.00,1000,109000
AMARAJABAT_F3,07/26/2022,10:17:00,468.00,468.00,468.00,468.00,2000,110000
AMARAJABAT_F3,07/26/2022,10:29:00,468.00,468.00,468.00,468.00,1000,112000
AMARAJABAT_F3,07/26/2022,10:34:00,468.30,468.30,468.30,468.30,1000,112000
AMARAJABAT_F3,07/26/2022,10:50:00,468.00,468.00,468.00,468.00,1000,113000
AMARAJABAT_F3,07/26/2022,10:53:00,467.25,467.25,467.25,467.25,1000,114000
AMARAJABAT_F3,07/26/2022,11:05:00,467.25,467.25,467.25,467.25,1000,115000
AMARAJABAT_F3,07/26/2022,11:26:00,468.80,468.80,468.80,468.80,1000,115000
AMARAJABAT_F3,07/26/2022,11:27:00,469.80,469.80,469.80,469.80,1000,115000
AMARAJABAT_F3,07/26/2022,11:30:00,470.80,470.80,470.80,470.80,1000,115000
AMARAJABAT_F3,07/26/2022,11:41:00,470.50,470.50,470.50,470.50,1000,115000
AMARAJABAT_F3,07/26/2022,11:47:00,469.75,469.75,469.75,469.75,2000,116000
AMARAJABAT_F3,07/26/2022,12:13:00,469.00,469.00,469.00,469.00,1000,118000
AMARAJABAT_F3,07/26/2022,12:14:00,468.85,468.85,468.85,468.85,3000,118000
AMARAJABAT_F3,07/26/2022,12:25:00,468.85,468.85,468.85,468.85,1000,119000
AMARAJABAT_F3,07/26/2022,12:39:00,468.95,468.95,468.95,468.95,1000,120000
AMARAJABAT_F3,07/26/2022,12:43:00,469.60,469.60,469.60,469.60,1000,120000
AMARAJABAT_F3,07/26/2022,12:46:00,469.65,469.65,469.65,469.65,2000,120000
