<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ATUL_F3,07/19/2022,11:46:00,8250.00,8250.00,8250.00,8250.00,76,0
ATUL_F3,07/21/2022,15:21:00,8192.00,8192.00,8192.00,8192.00,76,75
ATUL_F3,07/22/2022,13:24:00,8188.65,8188.70,8188.65,8188.70,152,150
ATUL_F3,07/22/2022,13:33:00,8288.55,8288.55,8288.55,8288.55,75,225
ATUL_F3,07/25/2022,10:46:00,8890.00,8890.00,8890.00,8890.00,76,225
ATUL_F3,07/25/2022,11:38:00,8535.85,8535.85,8535.85,8535.85,75,300
ATUL_F3,07/25/2022,12:06:00,8535.85,8535.85,8535.85,8535.85,75,225
ATUL_F3,07/25/2022,12:21:00,8600.00,8600.00,8600.00,8600.00,75,300
ATUL_F3,07/25/2022,12:31:00,8653.90,8654.00,8653.90,8654.00,150,300
ATUL_F3,07/25/2022,12:39:00,8627.00,8627.00,8627.00,8627.00,75,300
ATUL_F3,07/25/2022,14:29:00,8639.00,8639.00,8639.00,8639.00,75,225
ATUL_F3,07/25/2022,14:36:00,8727.70,8727.70,8727.70,8727.70,75,225
ATUL_F3,07/25/2022,14:38:00,8747.00,8747.00,8747.00,8747.00,75,225
ATUL_F3,07/26/2022,10:16:00,8714.45,8714.45,8714.45,8714.45,76,375
ATUL_F3,07/27/2022,10:02:00,8609.05,8609.05,8609.05,8609.05,76,375
ATUL_F3,07/27/2022,14:00:00,8740.00,8740.00,8740.00,8740.00,75,375
ATUL_F3,07/28/2022,13:18:00,8852.00,8852.00,8852.00,8852.00,76,375
