<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CHAMBLFERT_F3,07/01/2022,10:08:00,262.00,262.00,262.00,262.00,1501,0
CHAMBLFERT_F3,07/01/2022,10:40:00,262.00,262.00,262.00,262.00,1500,1500
CHAMBLFERT_F3,07/04/2022,09:19:00,274.20,274.20,274.20,274.20,1501,3000
CHAMBLFERT_F3,07/04/2022,12:14:00,271.50,271.50,271.50,271.50,1500,3000
CHAMBLFERT_F3,07/04/2022,13:21:00,271.00,271.00,271.00,271.00,1500,4500
CHAMBLFERT_F3,07/04/2022,14:05:00,271.00,271.00,271.00,271.00,1500,6000
CHAMBLFERT_F3,07/05/2022,09:19:00,276.80,276.80,276.80,276.80,1501,7500
CHAMBLFERT_F3,07/05/2022,10:53:00,280.00,280.00,280.00,280.00,1500,9000
CHAMBLFERT_F3,07/05/2022,12:44:00,280.00,280.00,280.00,280.00,1500,7500
CHAMBLFERT_F3,07/06/2022,09:31:00,286.10,286.10,286.10,286.10,1501,6000
CHAMBLFERT_F3,07/06/2022,09:41:00,281.10,281.10,281.10,281.10,1500,7500
CHAMBLFERT_F3,07/06/2022,09:46:00,280.80,280.80,280.80,280.80,1500,7500
CHAMBLFERT_F3,07/06/2022,12:25:00,280.80,280.80,280.80,280.80,1500,9000
CHAMBLFERT_F3,07/06/2022,13:44:00,280.80,280.80,280.80,280.80,1500,10500
CHAMBLFERT_F3,07/06/2022,15:19:00,281.15,281.15,281.15,281.15,1500,12000
CHAMBLFERT_F3,07/07/2022,09:37:00,282.20,282.20,282.20,282.20,1501,12000
CHAMBLFERT_F3,07/07/2022,10:57:00,284.80,284.80,284.80,284.80,1500,13500
CHAMBLFERT_F3,07/07/2022,14:28:00,290.05,290.05,290.05,290.05,1500,13500
CHAMBLFERT_F3,07/07/2022,14:29:00,290.05,290.05,290.05,290.05,1500,13500
CHAMBLFERT_F3,07/07/2022,15:04:00,288.65,288.65,288.65,288.65,1500,12000
CHAMBLFERT_F3,07/07/2022,15:22:00,291.50,291.50,291.50,291.50,1500,12000
CHAMBLFERT_F3,07/08/2022,14:12:00,293.20,293.20,293.20,293.20,1501,10500
CHAMBLFERT_F3,07/08/2022,14:39:00,290.85,290.85,290.85,290.85,1500,10500
CHAMBLFERT_F3,07/08/2022,15:22:00,290.85,290.85,290.85,290.85,1500,9000
CHAMBLFERT_F3,07/08/2022,15:24:00,299.45,299.45,299.45,299.45,3000,9000
CHAMBLFERT_F3,07/08/2022,15:25:00,299.40,299.40,299.40,299.40,1500,13500
CHAMBLFERT_F3,07/08/2022,15:28:00,298.10,298.10,298.10,298.10,1500,15000
CHAMBLFERT_F3,07/11/2022,09:23:00,298.90,298.90,298.90,298.90,1501,15000
CHAMBLFERT_F3,07/11/2022,12:16:00,298.80,298.80,298.80,298.80,1500,15000
CHAMBLFERT_F3,07/11/2022,12:51:00,298.80,298.80,298.80,298.80,1500,16500
CHAMBLFERT_F3,07/11/2022,13:29:00,298.80,298.80,298.80,298.80,1500,15000
CHAMBLFERT_F3,07/11/2022,14:41:00,303.40,303.40,303.40,303.40,1500,13500
CHAMBLFERT_F3,07/12/2022,09:41:00,307.25,307.25,307.25,307.25,1501,15000
CHAMBLFERT_F3,07/12/2022,11:20:00,304.25,304.25,304.25,304.25,1500,16500
CHAMBLFERT_F3,07/12/2022,11:45:00,301.00,301.00,301.00,301.00,1500,18000
CHAMBLFERT_F3,07/12/2022,12:43:00,301.00,301.00,301.00,301.00,1500,19500
CHAMBLFERT_F3,07/12/2022,14:55:00,301.00,301.00,301.00,301.00,1500,19500
CHAMBLFERT_F3,07/13/2022,09:27:00,302.00,302.00,302.00,302.00,1501,18000
CHAMBLFERT_F3,07/13/2022,10:15:00,300.30,300.30,300.30,300.30,1500,19500
CHAMBLFERT_F3,07/15/2022,14:49:00,302.95,302.95,302.95,302.95,1501,21000
CHAMBLFERT_F3,07/15/2022,15:09:00,302.00,302.00,302.00,302.00,1500,19500
CHAMBLFERT_F3,07/18/2022,10:13:00,304.40,304.40,304.40,304.40,1501,18000
CHAMBLFERT_F3,07/18/2022,10:44:00,303.60,303.60,303.60,303.60,1500,19500
CHAMBLFERT_F3,07/18/2022,11:14:00,303.60,303.60,303.60,303.60,1500,21000
CHAMBLFERT_F3,07/18/2022,15:15:00,303.60,303.60,303.60,303.60,1500,21000
CHAMBLFERT_F3,07/18/2022,15:18:00,303.60,303.60,303.60,303.60,3000,21000
CHAMBLFERT_F3,07/18/2022,15:26:00,303.30,303.30,303.30,303.30,1500,24000
CHAMBLFERT_F3,07/19/2022,09:47:00,306.55,306.55,306.55,306.55,1501,25500
CHAMBLFERT_F3,07/19/2022,11:30:00,303.45,303.45,303.45,303.45,1500,27000
CHAMBLFERT_F3,07/19/2022,11:38:00,302.00,302.00,302.00,302.00,1500,28500
CHAMBLFERT_F3,07/19/2022,12:51:00,302.00,302.00,302.00,302.00,1500,28500
CHAMBLFERT_F3,07/19/2022,14:23:00,303.70,303.70,303.70,303.70,1500,30000
CHAMBLFERT_F3,07/19/2022,14:55:00,303.55,303.55,303.55,303.55,1500,31500
CHAMBLFERT_F3,07/19/2022,14:57:00,303.55,303.55,303.55,303.55,1500,31500
CHAMBLFERT_F3,07/20/2022,09:26:00,306.50,306.50,306.50,306.50,3001,31500
CHAMBLFERT_F3,07/20/2022,09:39:00,309.95,309.95,309.95,309.95,1500,28500
CHAMBLFERT_F3,07/20/2022,09:44:00,318.00,318.00,318.00,318.00,3000,27000
CHAMBLFERT_F3,07/20/2022,09:52:00,318.00,318.00,318.00,318.00,1500,30000
CHAMBLFERT_F3,07/20/2022,11:08:00,317.35,317.35,317.35,317.35,1500,28500
CHAMBLFERT_F3,07/20/2022,12:32:00,315.00,315.00,315.00,315.00,1500,30000
CHAMBLFERT_F3,07/20/2022,13:18:00,312.20,312.20,312.20,312.20,1500,31500
CHAMBLFERT_F3,07/20/2022,15:02:00,314.45,314.45,314.45,314.45,1500,31500
CHAMBLFERT_F3,07/20/2022,15:18:00,314.45,314.45,314.45,314.45,1500,31500
CHAMBLFERT_F3,07/21/2022,09:49:00,310.75,310.75,310.75,310.75,1501,33000
CHAMBLFERT_F3,07/21/2022,10:17:00,309.50,309.50,309.50,309.50,1500,34500
CHAMBLFERT_F3,07/21/2022,10:40:00,308.55,308.55,308.55,308.55,1500,33000
CHAMBLFERT_F3,07/21/2022,11:51:00,308.55,308.55,308.55,308.55,1500,33000
CHAMBLFERT_F3,07/21/2022,13:03:00,308.75,308.75,308.75,308.75,1500,34500
CHAMBLFERT_F3,07/21/2022,14:04:00,308.45,308.45,308.45,308.45,1500,34500
CHAMBLFERT_F3,07/21/2022,14:23:00,308.45,308.45,308.45,308.45,3000,37500
CHAMBLFERT_F3,07/21/2022,14:28:00,309.00,309.00,309.00,309.00,1500,40500
CHAMBLFERT_F3,07/21/2022,15:04:00,309.75,309.75,309.75,309.75,3000,42000
CHAMBLFERT_F3,07/21/2022,15:05:00,310.00,310.50,310.00,310.50,9000,42000
CHAMBLFERT_F3,07/21/2022,15:20:00,310.50,310.50,310.50,310.50,1500,54000
CHAMBLFERT_F3,07/21/2022,15:27:00,310.70,310.70,310.70,310.70,1500,55500
CHAMBLFERT_F3,07/22/2022,09:21:00,312.50,312.50,312.50,312.50,1501,55500
CHAMBLFERT_F3,07/22/2022,09:22:00,312.50,312.50,312.50,312.50,1500,55500
CHAMBLFERT_F3,07/22/2022,09:37:00,311.40,311.40,311.40,311.40,1500,52500
CHAMBLFERT_F3,07/22/2022,09:50:00,310.40,310.40,310.40,310.40,1500,52500
CHAMBLFERT_F3,07/22/2022,09:58:00,310.40,310.40,310.40,310.40,1500,52500
CHAMBLFERT_F3,07/22/2022,09:59:00,315.00,315.00,315.00,315.00,1500,52500
CHAMBLFERT_F3,07/22/2022,10:01:00,315.50,315.50,315.50,315.50,1500,55500
CHAMBLFERT_F3,07/22/2022,10:03:00,315.50,315.50,315.50,315.50,1500,54000
CHAMBLFERT_F3,07/22/2022,10:06:00,316.00,316.00,316.00,316.00,3000,54000
CHAMBLFERT_F3,07/22/2022,10:08:00,316.45,316.45,316.45,316.45,1500,54000
CHAMBLFERT_F3,07/22/2022,10:20:00,316.45,316.45,316.45,316.45,1500,55500
CHAMBLFERT_F3,07/22/2022,10:22:00,316.40,316.40,316.40,316.40,1500,55500
CHAMBLFERT_F3,07/22/2022,10:38:00,316.80,316.80,316.80,316.80,1500,55500
CHAMBLFERT_F3,07/22/2022,10:39:00,317.10,317.10,317.10,317.10,1500,55500
CHAMBLFERT_F3,07/22/2022,10:40:00,317.10,317.10,317.10,317.10,1500,55500
CHAMBLFERT_F3,07/22/2022,10:42:00,316.40,316.40,316.40,316.40,3000,57000
CHAMBLFERT_F3,07/22/2022,11:03:00,312.90,312.90,312.90,312.90,1500,58500
CHAMBLFERT_F3,07/22/2022,11:07:00,313.90,313.90,313.90,313.90,1500,58500
CHAMBLFERT_F3,07/22/2022,11:15:00,314.35,314.35,314.35,314.35,1500,57000
CHAMBLFERT_F3,07/22/2022,11:36:00,314.00,314.00,314.00,314.00,1500,55500
CHAMBLFERT_F3,07/22/2022,12:54:00,314.00,314.00,314.00,314.00,1500,55500
CHAMBLFERT_F3,07/22/2022,13:08:00,313.40,313.40,313.40,313.40,1500,57000
CHAMBLFERT_F3,07/22/2022,13:24:00,312.50,312.50,312.50,312.50,1500,58500
CHAMBLFERT_F3,07/22/2022,13:33:00,312.00,312.00,312.00,312.00,1500,60000
CHAMBLFERT_F3,07/22/2022,13:39:00,312.40,312.40,312.40,312.40,1500,61500
CHAMBLFERT_F3,07/22/2022,14:25:00,320.65,320.65,320.65,320.65,1500,60000
CHAMBLFERT_F3,07/22/2022,14:26:00,321.55,322.00,321.55,322.00,3000,60000
CHAMBLFERT_F3,07/22/2022,14:27:00,322.00,322.00,322.00,322.00,3000,58500
