<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
ASIANPAINT_F3,07/03/2023,09:15:00,3425.0000,3425.0000,3425.0000,3425.0000,201,2800,
ASIANPAINT_F3,07/03/2023,09:16:00,3425.0000,3425.0000,3425.0000,3425.0000,200,2800,
ASIANPAINT_F3,07/03/2023,10:35:00,3423.2500,3423.2500,3423.2500,3423.2500,200,3200,
ASIANPAINT_F3,07/03/2023,10:58:00,3409.2000,3409.2000,3409.2000,3409.2000,200,3400,
ASIANPAINT_F3,07/03/2023,11:16:00,3409.0000,3409.0000,3409.0000,3409.0000,200,3600,
ASIANPAINT_F3,07/03/2023,11:26:00,3403.8999,3403.8999,3403.8999,3403.8999,200,3600,
ASIANPAINT_F3,07/03/2023,12:42:00,3403.8999,3403.8999,3403.8999,3403.8999,200,3800,
ASIANPAINT_F3,07/04/2023,09:23:00,3435.0000,3435.0000,3435.0000,3435.0000,201,4000,
ASIANPAINT_F3,07/04/2023,09:26:00,3425.0000,3425.0000,3425.0000,3425.0000,200,4000,
ASIANPAINT_F3,07/04/2023,09:30:00,3416.3999,3416.3999,3416.3999,3416.3999,200,4200,
ASIANPAINT_F3,07/04/2023,09:39:00,3416.3999,3416.3999,3416.3999,3416.3999,400,4200,
ASIANPAINT_F3,07/04/2023,10:24:00,3403.8501,3403.8501,3403.8501,3403.8501,200,4200,
ASIANPAINT_F3,07/04/2023,11:16:00,3397.1499,3397.1499,3397.1499,3397.1499,1000,4200,
ASIANPAINT_F3,07/04/2023,12:40:00,3400.5000,3400.5000,3400.5000,3400.5000,400,4800,
ASIANPAINT_F3,07/04/2023,12:46:00,3405.1001,3405.1001,3405.1001,3405.1001,200,5200,
ASIANPAINT_F3,07/04/2023,13:51:00,3405.1001,3405.1001,3405.1001,3405.1001,200,5400,
ASIANPAINT_F3,07/04/2023,15:29:00,3401.0000,3401.0000,3401.0000,3401.0000,200,5400,
ASIANPAINT_F3,07/05/2023,09:22:00,3421.8000,3421.8000,3421.8000,3421.8000,201,5600,
ASIANPAINT_F3,07/05/2023,09:25:00,3433.6001,3433.6001,3433.6001,3433.6001,600,5400,
ASIANPAINT_F3,07/05/2023,09:26:00,3433.6499,3433.6499,3433.6499,3433.6499,200,5400,
ASIANPAINT_F3,07/05/2023,09:30:00,3440.0000,3440.0000,3440.0000,3440.0000,600,6200,
ASIANPAINT_F3,07/05/2023,09:34:00,3440.0000,3440.0000,3440.0000,3440.0000,200,6600,
ASIANPAINT_F3,07/05/2023,09:55:00,3450.5500,3450.5500,3450.5500,3450.5500,200,6800,
ASIANPAINT_F3,07/05/2023,11:21:00,3450.5500,3450.5500,3450.5500,3450.5500,200,7000,
ASIANPAINT_F3,07/05/2023,11:54:00,3425.0000,3425.0000,3425.0000,3425.0000,200,7000,
ASIANPAINT_F3,07/05/2023,12:05:00,3420.0000,3420.0000,3420.0000,3420.0000,200,7000,
ASIANPAINT_F3,07/05/2023,12:20:00,3417.5000,3417.5000,3417.5000,3417.5000,200,7200,
ASIANPAINT_F3,07/05/2023,13:16:00,3412.5500,3412.5500,3412.5500,3412.5500,1000,7400,
ASIANPAINT_F3,07/05/2023,14:59:00,3412.1499,3412.1499,3412.1499,3412.1499,200,8200,
ASIANPAINT_F3,07/05/2023,15:08:00,3412.1499,3412.1499,3412.1499,3412.1499,200,8000,
ASIANPAINT_F3,07/05/2023,15:22:00,3431.1499,3431.1499,3431.1499,3431.1499,200,7800,
ASIANPAINT_F3,07/05/2023,15:24:00,3430.0000,3430.0000,3430.0000,3430.0000,200,7800,
ASIANPAINT_F3,07/06/2023,09:33:00,3421.1001,3421.1001,3421.1001,3421.1001,201,8200,
ASIANPAINT_F3,07/06/2023,12:07:00,3430.2500,3430.2500,3430.2500,3430.2500,1000,8200,
ASIANPAINT_F3,07/06/2023,15:03:00,3450.0000,3450.0000,3450.0000,3450.0000,200,7200,
