<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
HEROMOTOCO_F1,07/03/2023,09:15:00,2870.0000,2886.8501,2861.7000,2872.5000,102303,3602700,
HEROMOTOCO_F1,07/03/2023,09:16:00,2870.0000,2873.9500,2862.6499,2870.1001,96000,3602700,
HEROMOTOCO_F1,07/03/2023,09:17:00,2869.7500,2881.1001,2866.7000,2878.0500,32700,3667500,
HEROMOTOCO_F1,07/03/2023,09:18:00,2879.2000,2884.0000,2877.0500,2878.0000,43500,3667500,
HEROMOTOCO_F1,07/03/2023,09:19:00,2878.3999,2884.1001,2877.3999,2877.5500,14700,3667500,
HEROMOTOCO_F1,07/03/2023,09:20:00,2878.1499,2878.1499,2870.1499,2870.1499,29700,3678900,
HEROMOTOCO_F1,07/03/2023,09:21:00,2872.8000,2872.8000,2865.3501,2866.3999,14100,3678900,
HEROMOTOCO_F1,07/03/2023,09:22:00,2868.8999,2872.7000,2868.8999,2871.8501,5100,3678900,
HEROMOTOCO_F1,07/03/2023,09:23:00,2872.7500,2881.0500,2871.0000,2881.0500,11100,3680400,
HEROMOTOCO_F1,07/03/2023,09:24:00,2878.7500,2880.3999,2876.5500,2877.1001,13800,3680400,
HEROMOTOCO_F1,07/03/2023,09:25:00,2877.1001,2880.6499,2877.1001,2879.0500,3000,3680400,
HEROMOTOCO_F1,07/03/2023,09:26:00,2880.0000,2883.3000,2879.3501,2883.3000,6600,3675000,
HEROMOTOCO_F1,07/03/2023,09:27:00,2882.9500,2883.3000,2880.5500,2880.5500,9300,3675000,
HEROMOTOCO_F1,07/03/2023,09:28:00,2882.0000,2887.3501,2880.1001,2884.3000,17100,3675000,
HEROMOTOCO_F1,07/03/2023,09:29:00,2885.7000,2885.7000,2882.6499,2884.1001,6300,3669600,
HEROMOTOCO_F1,07/03/2023,09:30:00,2882.8501,2885.7500,2882.8501,2885.7500,10500,3669600,
HEROMOTOCO_F1,07/03/2023,09:31:00,2885.7500,2886.8501,2883.8000,2884.8501,24300,3669600,
HEROMOTOCO_F1,07/03/2023,09:32:00,2884.0000,2884.0000,2876.0000,2876.0000,20700,3680100,
HEROMOTOCO_F1,07/03/2023,09:33:00,2876.5000,2881.0000,2875.0000,2881.0000,9600,3680100,
HEROMOTOCO_F1,07/03/2023,09:34:00,2880.6001,2882.6499,2878.0500,2881.8999,6300,3680100,
HEROMOTOCO_F1,07/03/2023,09:35:00,2881.7000,2881.7000,2878.5000,2879.0500,3000,3692400,
HEROMOTOCO_F1,07/03/2023,09:36:00,2879.0000,2879.8501,2877.3999,2877.3999,15900,3692400,
HEROMOTOCO_F1,07/03/2023,09:37:00,2877.3501,2877.8999,2869.0000,2869.0000,46500,3692400,
HEROMOTOCO_F1,07/03/2023,09:38:00,2869.8999,2870.5000,2865.8501,2865.8501,13800,3707700,
HEROMOTOCO_F1,07/03/2023,09:39:00,2867.4500,2870.3999,2865.6499,2866.3000,12000,3707700,
HEROMOTOCO_F1,07/03/2023,09:40:00,2866.3501,2869.5000,2866.3501,2869.3000,2400,3707700,
HEROMOTOCO_F1,07/03/2023,09:41:00,2865.5500,2867.7500,2864.7000,2867.4500,10200,3709500,
HEROMOTOCO_F1,07/03/2023,09:42:00,2867.7000,2868.6001,2867.7000,2868.0500,6000,3709500,
HEROMOTOCO_F1,07/03/2023,09:43:00,2868.0000,2872.6001,2868.0000,2870.5500,3000,3709500,
HEROMOTOCO_F1,07/03/2023,09:44:00,2871.6001,2873.3999,2869.3501,2870.5000,7200,3708600,
HEROMOTOCO_F1,07/03/2023,09:45:00,2870.0000,2870.0000,2867.7000,2867.7000,5100,3708600,
HEROMOTOCO_F1,07/03/2023,09:46:00,2867.0500,2868.7500,2866.2500,2866.2500,2700,3708600,
HEROMOTOCO_F1,07/03/2023,09:47:00,2865.0000,2865.0000,2862.1499,2863.1499,10200,3712800,
HEROMOTOCO_F1,07/03/2023,09:48:00,2864.0000,2868.0000,2864.0000,2866.0000,11100,3712800,
HEROMOTOCO_F1,07/03/2023,09:49:00,2870.0000,2870.2000,2864.1001,2866.6499,27000,3712800,
HEROMOTOCO_F1,07/03/2023,09:50:00,2866.0000,2869.6499,2866.0000,2869.3501,3900,3714000,
HEROMOTOCO_F1,07/03/2023,09:51:00,2869.7000,2870.0500,2868.0500,2868.0500,4500,3714000,
HEROMOTOCO_F1,07/03/2023,09:52:00,2867.5500,2869.8999,2866.8501,2866.8501,3900,3714000,
HEROMOTOCO_F1,07/03/2023,09:53:00,2864.2000,2864.3000,2863.0000,2864.3000,8400,3716700,
HEROMOTOCO_F1,07/03/2023,09:54:00,2864.9500,2866.6001,2864.2000,2864.2000,2400,3716700,
HEROMOTOCO_F1,07/03/2023,09:55:00,2863.8501,2865.0000,2863.3000,2864.0000,3900,3716700,
HEROMOTOCO_F1,07/03/2023,09:56:00,2864.4500,2866.2500,2863.1001,2863.1001,2100,3715500,
HEROMOTOCO_F1,07/03/2023,09:57:00,2863.8501,2864.0500,2863.0000,2863.8000,4500,3715500,
HEROMOTOCO_F1,07/03/2023,09:58:00,2863.0500,2863.8000,2862.3000,2862.3000,13800,3715500,
HEROMOTOCO_F1,07/03/2023,09:59:00,2861.0000,2861.0000,2860.0000,2860.0000,9300,3713100,
HEROMOTOCO_F1,07/03/2023,10:00:00,2860.0000,2861.0000,2860.0000,2861.0000,1500,3713100,
HEROMOTOCO_F1,07/03/2023,10:01:00,2860.9500,2861.0000,2856.5000,2857.6499,15000,3713100,
HEROMOTOCO_F1,07/03/2023,10:02:00,2858.1001,2858.8501,2857.3501,2858.8501,6000,3712800,
HEROMOTOCO_F1,07/03/2023,10:03:00,2858.0000,2859.3501,2857.3999,2859.0000,3000,3712800,
HEROMOTOCO_F1,07/03/2023,10:04:00,2857.2000,2858.3000,2856.7000,2857.0000,4200,3712800,
HEROMOTOCO_F1,07/03/2023,10:05:00,2857.9500,2857.9500,2853.8999,2853.8999,12300,3716100,
HEROMOTOCO_F1,07/03/2023,10:06:00,2854.3000,2857.5000,2851.9500,2853.8999,15000,3716100,
HEROMOTOCO_F1,07/03/2023,10:07:00,2852.0000,2853.6499,2846.3999,2847.8999,36600,3716100,
HEROMOTOCO_F1,07/03/2023,10:08:00,2848.3501,2849.5000,2847.5000,2849.0500,3900,3730800,
HEROMOTOCO_F1,07/03/2023,10:09:00,2850.0000,2850.0000,2844.6499,2846.1001,22500,3730800,
HEROMOTOCO_F1,07/03/2023,10:10:00,2847.9500,2847.9500,2845.2500,2845.2500,6600,3730800,
HEROMOTOCO_F1,07/03/2023,10:11:00,2845.3000,2846.4500,2842.3501,2842.3501,16200,3749400,
HEROMOTOCO_F1,07/03/2023,10:12:00,2842.9500,2843.0500,2839.0000,2839.0000,19800,3749400,
HEROMOTOCO_F1,07/03/2023,10:13:00,2838.1001,2846.9500,2837.8501,2844.5000,12300,3749400,
HEROMOTOCO_F1,07/03/2023,10:14:00,2845.7000,2849.6001,2845.7000,2846.3999,13500,3748800,
HEROMOTOCO_F1,07/03/2023,10:15:00,2847.5500,2847.5500,2844.3501,2847.0000,9900,3748800,
HEROMOTOCO_F1,07/03/2023,10:16:00,2848.3501,2851.3000,2847.9500,2851.3000,12600,3748800,
HEROMOTOCO_F1,07/03/2023,10:17:00,2851.7500,2857.7500,2851.5000,2857.7500,12300,3744900,
HEROMOTOCO_F1,07/03/2023,10:18:00,2856.0000,2856.0000,2848.0000,2848.0000,6000,3744900,
HEROMOTOCO_F1,07/03/2023,10:19:00,2850.0000,2851.3999,2849.6499,2851.2000,3000,3744900,
HEROMOTOCO_F1,07/03/2023,10:20:00,2852.1001,2852.1001,2850.0000,2851.9500,9300,3744300,
HEROMOTOCO_F1,07/03/2023,10:21:00,2852.0000,2853.3999,2851.8000,2853.0000,5400,3744300,
HEROMOTOCO_F1,07/03/2023,10:22:00,2852.0000,2852.8501,2851.5500,2851.5500,6300,3744300,
HEROMOTOCO_F1,07/03/2023,10:23:00,2853.8000,2854.0000,2853.1499,2853.1499,3600,3742200,
HEROMOTOCO_F1,07/03/2023,10:24:00,2853.9500,2854.0000,2853.9500,2854.0000,900,3742200,
HEROMOTOCO_F1,07/03/2023,10:25:00,2854.7500,2857.0000,2854.7500,2857.0000,3300,3742200,
HEROMOTOCO_F1,07/03/2023,10:26:00,2855.0000,2855.0000,2855.0000,2855.0000,2100,3742800,
HEROMOTOCO_F1,07/03/2023,10:27:00,2856.0000,2857.0000,2856.0000,2857.0000,900,3742800,
HEROMOTOCO_F1,07/03/2023,10:28:00,2857.0000,2857.0000,2857.0000,2857.0000,1500,3742800,
HEROMOTOCO_F1,07/03/2023,10:29:00,2858.0000,2858.8999,2856.7000,2856.7000,3900,3739500,
HEROMOTOCO_F1,07/03/2023,10:30:00,2857.2000,2857.3501,2854.0500,2854.0500,4500,3739500,
HEROMOTOCO_F1,07/03/2023,10:31:00,2854.0000,2854.0000,2852.5500,2852.5500,900,3739500,
HEROMOTOCO_F1,07/03/2023,10:32:00,2852.0000,2852.0000,2851.8000,2851.8000,600,3741600,
HEROMOTOCO_F1,07/03/2023,10:33:00,2852.9500,2857.7500,2852.8000,2855.8501,6300,3741600,
HEROMOTOCO_F1,07/03/2023,10:34:00,2857.6001,2857.6001,2855.3501,2855.3501,1500,3741600,
HEROMOTOCO_F1,07/03/2023,10:35:00,2855.4500,2856.0000,2855.3501,2856.0000,2100,3741300,
HEROMOTOCO_F1,07/03/2023,10:36:00,2855.8999,2859.3501,2855.8999,2858.5000,9300,3741300,
HEROMOTOCO_F1,07/03/2023,10:37:00,2859.7000,2861.5500,2859.5500,2860.0000,15000,3741300,
HEROMOTOCO_F1,07/03/2023,10:38:00,2860.0000,2861.9500,2859.0500,2859.7500,6600,3744000,
HEROMOTOCO_F1,07/03/2023,10:39:00,2860.0500,2860.6001,2860.0500,2860.6001,1200,3744000,
HEROMOTOCO_F1,07/03/2023,10:40:00,2859.1001,2859.1001,2858.9500,2858.9500,1200,3744000,
HEROMOTOCO_F1,07/03/2023,10:41:00,2860.0000,2861.3501,2860.0000,2861.3501,3600,3744600,
HEROMOTOCO_F1,07/03/2023,10:42:00,2861.0000,2861.3999,2861.0000,2861.3999,900,3744600,
HEROMOTOCO_F1,07/03/2023,10:43:00,2861.4500,2862.0000,2860.1499,2860.9500,3000,3744600,
HEROMOTOCO_F1,07/03/2023,10:44:00,2860.0000,2860.0000,2859.8501,2859.8501,1800,3744600,
HEROMOTOCO_F1,07/03/2023,10:45:00,2859.6001,2859.6001,2858.8999,2858.8999,1200,3744600,
HEROMOTOCO_F1,07/03/2023,10:46:00,2859.0000,2859.0000,2858.6499,2858.6499,900,3744600,
HEROMOTOCO_F1,07/03/2023,10:47:00,2859.0000,2859.0000,2858.5000,2858.5000,900,3747000,
HEROMOTOCO_F1,07/03/2023,10:49:00,2858.4500,2858.5000,2858.4500,2858.5000,600,3747000,
HEROMOTOCO_F1,07/03/2023,10:50:00,2859.4500,2859.4500,2859.4500,2859.4500,1200,3747000,
HEROMOTOCO_F1,07/03/2023,10:51:00,2860.0000,2860.0000,2860.0000,2860.0000,300,3742500,
HEROMOTOCO_F1,07/03/2023,10:52:00,2860.0000,2860.0000,2859.4500,2859.4500,600,3742500,
HEROMOTOCO_F1,07/03/2023,10:53:00,2859.1001,2859.8501,2859.1001,2859.8501,600,3742500,
HEROMOTOCO_F1,07/03/2023,10:54:00,2860.1001,2860.7500,2860.1001,2860.7500,600,3742500,
HEROMOTOCO_F1,07/03/2023,10:55:00,2860.0000,2861.0000,2860.0000,2861.0000,2400,3742500,
