<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
JKCEMENT_F3,07/13/2023,13:40:00,3260.0000,3260.0000,3260.0000,3260.0000,251,500,
JKCEMENT_F3,07/17/2023,09:21:00,3300.0000,3300.0000,3300.0000,3300.0000,251,750,
JKCEMENT_F3,07/17/2023,14:28:00,3310.0000,3310.0000,3310.0000,3310.0000,250,1000,
JKCEMENT_F3,07/18/2023,11:36:00,3280.0000,3280.0000,3280.0000,3280.0000,251,750,
JKCEMENT_F3,07/20/2023,10:27:00,3280.0000,3280.0000,3280.0000,3280.0000,500,1000,
JKCEMENT_F3,07/20/2023,14:17:00,3194.0000,3194.0000,3194.0000,3194.0000,250,1500,
JKCEMENT_F3,07/20/2023,15:01:00,3194.0000,3194.0000,3194.0000,3194.0000,250,1750,
JKCEMENT_F3,07/21/2023,10:01:00,3140.8501,3140.8501,3140.8501,3140.8501,251,1750,
JKCEMENT_F3,07/26/2023,09:30:00,3200.2500,3200.2500,3200.2500,3200.2500,251,2000,
JKCEMENT_F3,07/27/2023,09:28:00,3235.0000,3235.0000,3235.0000,3235.0000,251,2000,
JKCEMENT_F3,07/27/2023,10:40:00,3213.5500,3213.5500,3213.5500,3213.5500,250,2000,
JKCEMENT_F3,07/27/2023,10:50:00,3208.0000,3208.0000,3208.0000,3208.0000,250,2000,
JKCEMENT_F3,07/27/2023,13:04:00,3187.0500,3187.0500,3187.0500,3187.0500,250,2250,
JKCEMENT_F3,07/27/2023,13:07:00,3187.0500,3187.0500,3187.0500,3187.0500,250,2500,
JKCEMENT_F3,07/27/2023,15:08:00,3185.6001,3185.6001,3185.6001,3185.6001,500,2750,
JKCEMENT_F3,07/31/2023,09:22:00,3234.8999,3234.8999,3234.8999,3234.8999,251,0,
JKCEMENT_F3,07/31/2023,09:25:00,3246.9500,3246.9500,3246.9500,3246.9500,250,250,
