<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
MANAPPURAM_F3,07/03/2023,11:17:00,133.5000,133.5000,133.5000,133.5000,6001,1074000,
MANAPPURAM_F3,07/03/2023,11:32:00,132.9000,132.9000,132.9000,132.9000,6000,6000,
MANAPPURAM_F3,07/03/2023,12:28:00,130.7000,130.7000,130.7000,130.7000,6000,12000,
MANAPPURAM_F3,07/03/2023,12:32:00,130.6000,130.6000,130.6000,130.6000,6000,18000,
MANAPPURAM_F3,07/03/2023,14:12:00,130.5000,130.5000,130.5000,130.5000,6000,18000,
MANAPPURAM_F3,07/03/2023,14:31:00,130.5000,130.5000,130.5000,130.5000,6000,24000,
MANAPPURAM_F3,07/04/2023,09:21:00,131.4000,131.4000,131.4000,131.4000,6001,30000,
MANAPPURAM_F3,07/04/2023,10:00:00,130.0000,130.0000,130.0000,130.0000,6000,30000,
MANAPPURAM_F3,07/04/2023,10:05:00,130.0000,130.0000,130.0000,130.0000,6000,36000,
MANAPPURAM_F3,07/04/2023,10:57:00,132.8000,132.8000,132.8000,132.8000,6000,30000,
MANAPPURAM_F3,07/06/2023,09:18:00,132.8000,132.8000,132.8000,132.8000,6001,36000,
MANAPPURAM_F3,07/06/2023,09:19:00,132.0000,132.0000,132.0000,132.0000,6000,36000,
MANAPPURAM_F3,07/06/2023,09:25:00,132.0000,132.0000,132.0000,132.0000,6000,42000,
MANAPPURAM_F3,07/06/2023,10:19:00,131.0000,131.0000,131.0000,131.0000,6000,48000,
MANAPPURAM_F3,07/06/2023,14:03:00,130.7000,130.7000,130.7000,130.7000,6000,54000,
MANAPPURAM_F3,07/06/2023,14:04:00,130.6000,130.6000,130.6000,130.6000,6000,54000,
MANAPPURAM_F3,07/06/2023,14:26:00,130.6000,130.6000,130.6000,130.6000,12000,66000,
MANAPPURAM_F3,07/06/2023,14:28:00,132.0000,132.0000,132.0000,132.0000,6000,66000,
MANAPPURAM_F3,07/07/2023,09:18:00,132.5000,132.5000,132.5000,132.5000,6001,60000,
MANAPPURAM_F3,07/07/2023,10:37:00,131.5000,131.5000,131.5000,131.5000,6000,54000,
MANAPPURAM_F3,07/07/2023,10:38:00,131.0000,131.0000,131.0000,131.0000,6000,54000,
MANAPPURAM_F3,07/07/2023,10:45:00,130.0000,130.0000,130.0000,130.0000,6000,54000,
MANAPPURAM_F3,07/07/2023,10:51:00,129.9500,129.9500,129.9500,129.9500,6000,60000,
MANAPPURAM_F3,07/07/2023,13:28:00,129.9500,129.9500,129.9500,129.9500,6000,66000,
MANAPPURAM_F3,07/07/2023,13:50:00,131.0000,131.0000,131.0000,131.0000,6000,66000,
MANAPPURAM_F3,07/07/2023,14:38:00,131.5000,131.5000,131.5000,131.5000,6000,60000,
MANAPPURAM_F3,07/07/2023,14:45:00,132.0000,132.0000,132.0000,132.0000,6000,54000,
MANAPPURAM_F3,07/07/2023,14:54:00,132.1500,132.1500,132.1500,132.1500,6000,54000,
MANAPPURAM_F3,07/10/2023,11:03:00,130.4000,130.4000,130.4000,130.4000,12001,60000,
MANAPPURAM_F3,07/10/2023,14:37:00,132.3500,132.3500,132.3500,132.3500,6000,48000,
MANAPPURAM_F3,07/10/2023,15:17:00,134.0000,134.0000,134.0000,134.0000,6000,54000,
MANAPPURAM_F3,07/10/2023,15:19:00,134.0000,134.0000,134.0000,134.0000,6000,54000,
MANAPPURAM_F3,07/11/2023,09:20:00,134.7500,134.7500,134.7500,134.7500,6001,48000,
MANAPPURAM_F3,07/11/2023,12:01:00,134.4500,134.4500,134.4500,134.4500,6000,54000,
MANAPPURAM_F3,07/11/2023,12:02:00,134.4500,134.4500,134.4500,134.4500,6000,54000,
MANAPPURAM_F3,07/11/2023,12:09:00,134.4000,134.4000,134.3500,134.3500,36000,66000,
MANAPPURAM_F3,07/11/2023,12:10:00,134.3500,134.3500,134.3500,134.3500,24000,66000,
