<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
PAGEIND_F2,07/03/2023,09:18:00,38174.7500,38174.7500,38174.6992,38174.6992,32,2700,
PAGEIND_F2,07/03/2023,09:41:00,38180.6992,38180.6992,38180.6992,38180.6992,15,2730,
PAGEIND_F2,07/03/2023,09:50:00,38180.6992,38180.6992,38180.6992,38180.6992,15,2745,
PAGEIND_F2,07/03/2023,10:10:00,38020.6992,38020.6992,38020.6992,38020.6992,15,2760,
PAGEIND_F2,07/03/2023,10:25:00,38020.0000,38020.0000,38020.0000,38020.0000,15,2760,
PAGEIND_F2,07/03/2023,10:26:00,37955.0000,37955.0000,37955.0000,37955.0000,15,2775,
PAGEIND_F2,07/03/2023,10:29:00,37955.0000,37955.0000,37955.0000,37955.0000,15,2790,
PAGEIND_F2,07/03/2023,10:31:00,37944.0000,37944.0000,37944.0000,37944.0000,15,2805,
PAGEIND_F2,07/03/2023,10:40:00,37944.0000,37944.0000,37944.0000,37944.0000,15,2820,
PAGEIND_F2,07/03/2023,10:44:00,38031.6016,38031.6016,38031.6016,38031.6016,15,2835,
PAGEIND_F2,07/03/2023,10:46:00,38022.2500,38022.2500,38022.2500,38022.2500,15,2835,
PAGEIND_F2,07/03/2023,11:15:00,37940.0000,37940.0000,37940.0000,37940.0000,15,2850,
PAGEIND_F2,07/03/2023,11:23:00,37940.0000,37940.0000,37900.0000,37900.0000,45,2850,
PAGEIND_F2,07/03/2023,11:25:00,37900.0000,37900.0000,37900.0000,37900.0000,15,2880,
PAGEIND_F2,07/03/2023,11:35:00,37940.1016,37940.1016,37940.1016,37940.1016,15,2865,
PAGEIND_F2,07/03/2023,11:53:00,37930.0000,37930.0000,37930.0000,37930.0000,15,2865,
PAGEIND_F2,07/03/2023,12:00:00,37920.0000,37920.0000,37920.0000,37920.0000,30,2865,
PAGEIND_F2,07/03/2023,12:34:00,37865.0000,37865.0000,37865.0000,37865.0000,15,2895,
PAGEIND_F2,07/03/2023,12:55:00,37840.0000,37840.0000,37840.0000,37840.0000,15,2910,
