<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
PIIND_F1,07/03/2023,09:15:00,3931.5000,3931.5000,3931.4500,3931.4500,502,1548000,
PIIND_F1,07/03/2023,09:16:00,3925.3501,3944.7000,3921.3000,3921.3000,3500,1548000,
PIIND_F1,07/03/2023,09:17:00,3925.0000,3927.9500,3924.2000,3924.2000,1250,1549250,
PIIND_F1,07/03/2023,09:18:00,3920.7500,3927.0000,3920.7500,3925.1499,5750,1549250,
PIIND_F1,07/03/2023,09:19:00,3932.5000,3932.5000,3932.5000,3932.5000,500,1549250,
PIIND_F1,07/03/2023,09:20:00,3935.2500,3935.2500,3925.7000,3925.7000,1500,1551750,
PIIND_F1,07/03/2023,09:21:00,3928.7500,3929.7500,3928.7500,3929.7500,500,1551750,
PIIND_F1,07/03/2023,09:22:00,3936.8501,3936.8501,3932.8000,3936.3501,1500,1551750,
PIIND_F1,07/03/2023,09:23:00,3936.1001,3936.1001,3929.8999,3929.8999,1250,1550500,
PIIND_F1,07/03/2023,09:24:00,3929.3000,3930.5000,3929.3000,3930.5000,750,1550500,
PIIND_F1,07/03/2023,09:25:00,3935.9500,3935.9500,3924.9500,3924.9500,3750,1550500,
PIIND_F1,07/03/2023,09:26:00,3926.7000,3926.7000,3920.3000,3920.3000,1750,1552000,
PIIND_F1,07/03/2023,09:27:00,3919.7000,3925.0000,3919.7000,3922.2500,1250,1552000,
PIIND_F1,07/03/2023,09:28:00,3922.7000,3925.3999,3921.4500,3921.4500,2750,1552000,
PIIND_F1,07/03/2023,09:29:00,3923.0000,3926.0000,3923.0000,3925.0000,1000,1551250,
PIIND_F1,07/03/2023,09:30:00,3925.0000,3926.8999,3925.0000,3926.8999,750,1551250,
PIIND_F1,07/03/2023,09:31:00,3927.8999,3928.0000,3926.1001,3926.1001,2000,1551250,
PIIND_F1,07/03/2023,09:32:00,3924.3000,3925.5500,3920.0000,3925.1001,2000,1551750,
PIIND_F1,07/03/2023,09:33:00,3925.0500,3925.0500,3921.5500,3921.5500,2000,1551750,
PIIND_F1,07/03/2023,09:34:00,3921.6001,3924.1001,3920.2500,3924.1001,1250,1551750,
PIIND_F1,07/03/2023,09:35:00,3920.8000,3923.0000,3919.4500,3919.4500,3250,1549000,
PIIND_F1,07/03/2023,09:36:00,3925.9500,3933.0000,3925.9500,3929.6001,2500,1549000,
PIIND_F1,07/03/2023,09:37:00,3930.0500,3930.0500,3930.0500,3930.0500,250,1549000,
PIIND_F1,07/03/2023,09:38:00,3932.1499,3932.1499,3928.0000,3928.0000,750,1550250,
PIIND_F1,07/03/2023,09:39:00,3920.5500,3921.4500,3920.5000,3920.5000,2000,1550250,
PIIND_F1,07/03/2023,09:40:00,3919.8000,3921.5000,3916.3999,3916.3999,2000,1550250,
PIIND_F1,07/03/2023,09:41:00,3916.3999,3916.3999,3916.3999,3916.3999,500,1548750,
PIIND_F1,07/03/2023,09:42:00,3920.0000,3922.3999,3920.0000,3922.3999,500,1548750,
PIIND_F1,07/03/2023,09:43:00,3923.4500,3924.8501,3921.2500,3921.2500,1000,1548750,
PIIND_F1,07/03/2023,09:44:00,3924.0500,3926.1499,3924.0500,3926.1499,500,1547000,
PIIND_F1,07/03/2023,09:45:00,3924.8999,3924.8999,3924.8999,3924.8999,250,1547000,
PIIND_F1,07/03/2023,09:46:00,3927.7500,3927.7500,3927.7500,3927.7500,250,1547000,
PIIND_F1,07/03/2023,09:48:00,3924.0500,3927.9500,3924.0500,3927.9500,1000,1547250,
PIIND_F1,07/03/2023,09:49:00,3922.4500,3922.4500,3920.9500,3922.4500,750,1547250,
PIIND_F1,07/03/2023,09:50:00,3924.3000,3924.3000,3923.7500,3923.7500,500,1547000,
PIIND_F1,07/03/2023,09:51:00,3924.9500,3924.9500,3924.9500,3924.9500,500,1547000,
PIIND_F1,07/03/2023,09:52:00,3925.6499,3926.5000,3925.6499,3926.5000,750,1547000,
PIIND_F1,07/03/2023,09:53:00,3923.2500,3925.2500,3919.8999,3919.8999,1250,1548500,
PIIND_F1,07/03/2023,09:54:00,3920.5000,3920.5000,3917.8501,3917.8501,500,1548500,
PIIND_F1,07/03/2023,09:55:00,3919.8501,3919.8501,3919.3000,3919.3000,500,1548500,
PIIND_F1,07/03/2023,09:56:00,3917.0000,3918.8501,3917.0000,3918.8501,500,1548750,
PIIND_F1,07/03/2023,09:57:00,3916.0000,3916.0000,3915.3999,3915.3999,750,1548750,
PIIND_F1,07/03/2023,09:58:00,3916.1499,3919.9500,3915.3999,3915.3999,1750,1548750,
PIIND_F1,07/03/2023,09:59:00,3912.0000,3912.0000,3912.0000,3912.0000,750,1549250,
PIIND_F1,07/03/2023,10:00:00,3912.0000,3912.0000,3912.0000,3912.0000,250,1549250,
PIIND_F1,07/03/2023,10:01:00,3918.0000,3918.0000,3916.0000,3916.0000,750,1549250,
PIIND_F1,07/03/2023,10:02:00,3916.0000,3918.0000,3916.0000,3918.0000,500,1549250,
PIIND_F1,07/03/2023,10:03:00,3921.2500,3926.0000,3921.2500,3925.0000,1750,1549750,
PIIND_F1,07/03/2023,10:04:00,3922.1001,3922.1001,3922.1001,3922.1001,500,1549750,
PIIND_F1,07/03/2023,10:05:00,3926.9500,3926.9500,3926.9500,3926.9500,250,1548750,
PIIND_F1,07/03/2023,10:06:00,3927.0000,3937.7500,3927.0000,3937.7500,3500,1548750,
PIIND_F1,07/03/2023,10:07:00,3932.2500,3932.2500,3932.2500,3932.2500,250,1548750,
PIIND_F1,07/03/2023,10:08:00,3938.2000,3938.2000,3936.6001,3936.6001,500,1548500,
PIIND_F1,07/03/2023,10:09:00,3934.0000,3938.3000,3934.0000,3937.9500,2250,1548500,
PIIND_F1,07/03/2023,10:10:00,3937.8501,3939.0000,3937.8501,3939.0000,750,1548500,
PIIND_F1,07/03/2023,10:11:00,3939.0000,3939.0000,3939.0000,3939.0000,1000,1548500,
PIIND_F1,07/03/2023,10:12:00,3938.3000,3941.1499,3938.3000,3941.1499,1250,1551250,
PIIND_F1,07/03/2023,10:13:00,3941.4500,3944.0000,3934.0000,3934.0000,2500,1551250,
PIIND_F1,07/03/2023,10:14:00,3928.0000,3930.5000,3928.0000,3930.5000,1250,1551250,
PIIND_F1,07/03/2023,10:15:00,3929.3999,3943.1499,3928.9500,3933.4500,5250,1552250,
PIIND_F1,07/03/2023,10:18:00,3942.8000,3944.6001,3942.8000,3944.6001,500,1555500,
PIIND_F1,07/03/2023,10:19:00,3944.6001,3944.6001,3940.0000,3940.0000,500,1555500,
PIIND_F1,07/03/2023,10:20:00,3942.6499,3944.1499,3942.6499,3944.1499,500,1554500,
PIIND_F1,07/03/2023,10:21:00,3938.0000,3938.0000,3938.0000,3938.0000,250,1554500,
PIIND_F1,07/03/2023,10:22:00,3947.7500,3947.7500,3947.7500,3947.7500,2750,1554500,
PIIND_F1,07/03/2023,10:23:00,3947.7500,3948.8999,3947.7500,3948.8999,750,1554500,
PIIND_F1,07/03/2023,10:24:00,3947.1499,3948.0000,3947.1499,3948.0000,2250,1554500,
PIIND_F1,07/03/2023,10:25:00,3947.6001,3947.6001,3947.6001,3947.6001,500,1554500,
PIIND_F1,07/03/2023,10:26:00,3949.9500,3950.0000,3949.9500,3950.0000,750,1555250,
PIIND_F1,07/03/2023,10:27:00,3950.0000,3956.0000,3950.0000,3956.0000,3250,1555250,
PIIND_F1,07/03/2023,10:28:00,3956.0000,3956.0000,3947.7500,3947.9500,5250,1555250,
PIIND_F1,07/03/2023,10:29:00,3948.0000,3949.3000,3946.2500,3948.3501,1500,1554000,
PIIND_F1,07/03/2023,10:30:00,3948.8000,3957.2500,3942.5500,3948.8000,7500,1554000,
PIIND_F1,07/03/2023,10:31:00,3954.4500,3954.4500,3945.7000,3948.1001,2250,1554000,
