<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
COALINDIA_F2,06/01/2022,09:15:00,193.15,193.15,192.80,192.80,33602,1852200
COALINDIA_F2,06/01/2022,09:16:00,192.80,192.80,192.80,192.80,4200,1852200
COALINDIA_F2,06/01/2022,09:17:00,195.00,195.00,194.30,194.30,25200,1856400
COALINDIA_F2,06/01/2022,09:18:00,193.90,194.20,193.90,194.20,8400,1856400
COALINDIA_F2,06/01/2022,09:21:00,193.50,193.50,193.50,193.50,4200,1856400
COALINDIA_F2,06/01/2022,09:23:00,193.00,193.00,193.00,193.00,4200,1869000
COALINDIA_F2,06/01/2022,09:24:00,193.40,193.65,193.40,193.65,8400,1873200
COALINDIA_F2,06/01/2022,09:25:00,193.50,193.50,193.50,193.50,4200,1873200
COALINDIA_F2,06/01/2022,09:26:00,193.75,193.75,193.75,193.75,4200,1873200
COALINDIA_F2,06/01/2022,09:28:00,193.75,193.75,193.75,193.75,4200,1885800
COALINDIA_F2,06/01/2022,09:29:00,193.85,193.85,193.85,193.85,4200,1890000
COALINDIA_F2,06/01/2022,09:30:00,194.15,194.40,194.15,194.40,16800,1890000
COALINDIA_F2,06/01/2022,09:31:00,194.65,194.75,194.65,194.75,8400,1890000
COALINDIA_F2,06/01/2022,09:32:00,194.35,194.40,194.25,194.25,12600,1902600
COALINDIA_F2,06/01/2022,09:34:00,194.50,194.50,194.50,194.50,4200,1902600
COALINDIA_F2,06/01/2022,09:35:00,194.70,195.00,194.70,195.00,21000,1911000
COALINDIA_F2,06/01/2022,09:37:00,195.00,195.00,195.00,195.00,4200,1911000
COALINDIA_F2,06/01/2022,09:40:00,194.75,194.75,194.40,194.40,42000,1915200
COALINDIA_F2,06/01/2022,09:41:00,194.45,194.45,194.40,194.40,16800,1919400
COALINDIA_F2,06/01/2022,09:42:00,194.40,194.40,194.40,194.40,4200,1919400
COALINDIA_F2,06/01/2022,09:43:00,194.55,194.55,194.55,194.55,4200,1919400
COALINDIA_F2,06/01/2022,09:44:00,194.95,194.95,194.75,194.75,21000,1919400
COALINDIA_F2,06/01/2022,09:45:00,195.10,195.10,195.10,195.10,12600,1919400
COALINDIA_F2,06/01/2022,09:46:00,195.10,195.20,195.10,195.20,8400,1919400
COALINDIA_F2,06/01/2022,09:47:00,195.30,195.30,195.30,195.30,4200,1919400
COALINDIA_F2,06/01/2022,09:49:00,195.30,195.30,195.30,195.30,4200,1915200
COALINDIA_F2,06/01/2022,09:50:00,194.90,195.25,194.90,195.25,8400,1919400
COALINDIA_F2,06/01/2022,09:51:00,194.90,194.90,194.90,194.90,4200,1919400
COALINDIA_F2,06/01/2022,09:55:00,194.60,194.60,194.60,194.60,4200,1919400
COALINDIA_F2,06/01/2022,09:58:00,194.60,194.60,194.60,194.60,4200,1919400
COALINDIA_F2,06/01/2022,09:59:00,194.75,194.75,194.75,194.75,4200,1923600
COALINDIA_F2,06/01/2022,10:03:00,194.75,194.75,194.75,194.75,4200,1923600
COALINDIA_F2,06/01/2022,10:07:00,194.50,194.50,194.50,194.50,8400,1923600
COALINDIA_F2,06/01/2022,10:08:00,194.80,194.80,194.80,194.80,8400,1932000
COALINDIA_F2,06/01/2022,10:13:00,195.00,195.00,195.00,195.00,12600,1936200
COALINDIA_F2,06/01/2022,10:14:00,195.50,195.60,195.50,195.60,16800,1936200
COALINDIA_F2,06/01/2022,10:15:00,195.85,195.85,195.85,195.85,4200,1940400
COALINDIA_F2,06/01/2022,10:18:00,195.85,195.85,195.85,195.85,4200,1940400
COALINDIA_F2,06/01/2022,10:21:00,195.15,195.15,195.15,195.15,4200,1936200
COALINDIA_F2,06/01/2022,10:30:00,195.10,195.10,195.10,195.10,4200,1936200
COALINDIA_F2,06/01/2022,10:34:00,195.10,195.10,195.10,195.10,4200,1936200
COALINDIA_F2,06/01/2022,10:39:00,195.20,195.20,195.20,195.20,4200,1940400
COALINDIA_F2,06/01/2022,10:40:00,195.00,195.00,195.00,195.00,4200,1940400
COALINDIA_F2,06/01/2022,10:41:00,194.85,194.85,194.80,194.80,8400,1940400
COALINDIA_F2,06/01/2022,10:43:00,194.50,194.55,194.50,194.55,8400,1948800
COALINDIA_F2,06/01/2022,10:44:00,194.50,194.50,194.50,194.50,4200,1948800
COALINDIA_F2,06/01/2022,10:45:00,194.60,194.60,194.60,194.60,4200,1953000
COALINDIA_F2,06/01/2022,10:49:00,194.50,194.50,194.50,194.50,8400,1957200
COALINDIA_F2,06/01/2022,10:50:00,194.55,194.55,194.55,194.55,8400,1957200
COALINDIA_F2,06/01/2022,10:53:00,194.75,194.75,194.75,194.75,4200,1965600
COALINDIA_F2,06/01/2022,10:56:00,194.95,194.95,194.95,194.95,4200,1969800
COALINDIA_F2,06/01/2022,10:58:00,195.00,195.00,195.00,195.00,4200,1974000
COALINDIA_F2,06/01/2022,11:04:00,194.70,194.70,194.70,194.70,4200,1974000
COALINDIA_F2,06/01/2022,11:06:00,194.75,194.75,194.75,194.75,8400,1969800
COALINDIA_F2,06/01/2022,11:07:00,194.70,194.70,194.70,194.70,4200,1969800
COALINDIA_F2,06/01/2022,11:08:00,194.75,194.75,194.65,194.65,8400,1969800
COALINDIA_F2,06/01/2022,11:11:00,194.65,194.65,194.65,194.65,4200,1969800
COALINDIA_F2,06/01/2022,11:12:00,194.40,194.45,194.40,194.45,8400,1974000
COALINDIA_F2,06/01/2022,11:16:00,194.45,194.45,194.45,194.45,4200,1969800
COALINDIA_F2,06/01/2022,11:21:00,194.50,194.50,194.50,194.50,4200,1974000
COALINDIA_F2,06/01/2022,11:22:00,194.45,194.45,194.45,194.45,8400,1974000
COALINDIA_F2,06/01/2022,11:30:00,194.65,194.65,194.55,194.55,8400,1986600
COALINDIA_F2,06/01/2022,11:32:00,194.75,194.75,194.75,194.75,4200,1986600
COALINDIA_F2,06/01/2022,11:33:00,194.80,194.80,194.80,194.80,8400,1990800
COALINDIA_F2,06/01/2022,11:36:00,194.80,194.80,194.80,194.80,4200,1995000
COALINDIA_F2,06/01/2022,11:50:00,195.60,195.60,195.60,195.60,4200,1999200
COALINDIA_F2,06/01/2022,11:52:00,195.80,195.80,195.80,195.80,4200,2003400
COALINDIA_F2,06/01/2022,11:57:00,195.50,195.50,195.50,195.50,4200,1999200
COALINDIA_F2,06/01/2022,12:08:00,195.10,195.10,195.10,195.10,4200,1995000
COALINDIA_F2,06/01/2022,12:25:00,195.00,195.00,195.00,195.00,4200,1999200
COALINDIA_F2,06/01/2022,12:26:00,195.00,195.00,195.00,195.00,4200,1999200
COALINDIA_F2,06/01/2022,12:31:00,194.95,194.95,194.95,194.95,4200,1999200
COALINDIA_F2,06/01/2022,12:44:00,195.35,195.35,195.35,195.35,4200,1999200
COALINDIA_F2,06/01/2022,12:53:00,194.75,194.75,194.75,194.75,4200,1999200
COALINDIA_F2,06/01/2022,12:54:00,194.90,194.90,194.90,194.90,4200,1995000
COALINDIA_F2,06/01/2022,12:55:00,194.50,194.50,194.50,194.50,4200,1995000
COALINDIA_F2,06/01/2022,12:58:00,194.95,194.95,194.95,194.95,4200,2003400
COALINDIA_F2,06/01/2022,13:00:00,194.40,194.40,194.40,194.40,21000,1999200
COALINDIA_F2,06/01/2022,13:01:00,194.15,194.15,194.15,194.15,8400,1999200
COALINDIA_F2,06/01/2022,13:03:00,194.20,194.20,194.20,194.20,12600,2011800
COALINDIA_F2,06/01/2022,13:04:00,194.20,194.20,194.20,194.20,4200,2011800
COALINDIA_F2,06/01/2022,13:07:00,194.20,194.20,194.20,194.20,4200,2020200
COALINDIA_F2,06/01/2022,13:09:00,194.35,194.35,194.20,194.20,12600,2024400
COALINDIA_F2,06/01/2022,13:10:00,194.10,194.10,194.10,194.10,8400,2024400
COALINDIA_F2,06/01/2022,13:12:00,194.00,194.00,193.95,193.95,33600,2032800
COALINDIA_F2,06/01/2022,13:13:00,193.75,194.00,193.75,193.90,25200,2032800
COALINDIA_F2,06/01/2022,13:14:00,193.95,193.95,193.95,193.95,4200,2032800
COALINDIA_F2,06/01/2022,13:15:00,193.80,193.80,193.80,193.80,4200,2066400
COALINDIA_F2,06/01/2022,13:16:00,193.85,193.85,193.85,193.85,4200,2066400
COALINDIA_F2,06/01/2022,13:17:00,193.80,193.80,193.80,193.80,4200,2066400
COALINDIA_F2,06/01/2022,13:23:00,193.95,193.95,193.95,193.95,4200,2074800
COALINDIA_F2,06/01/2022,13:25:00,193.60,194.05,193.60,194.05,25200,2074800
COALINDIA_F2,06/01/2022,13:32:00,194.00,194.00,194.00,194.00,4200,2074800
COALINDIA_F2,06/01/2022,13:34:00,194.50,194.50,194.50,194.50,8400,2079000
COALINDIA_F2,06/01/2022,13:36:00,194.65,194.65,194.65,194.65,4200,2083200
COALINDIA_F2,06/01/2022,13:42:00,194.25,194.25,194.25,194.25,4200,2087400
